Orthogroup	Cnidaria_Anthozoa_Nematostella_vectensis	Ctenophora_Nuda_Beroe_ovata
OG0000000	Nematostella_vectensis_NV2t011374001.1 NV2t011374001.1	Beroe_ovata_Bova1_4.0362.g6.t1 Bova1_4.0362.g6.t1
OG0000001	Nematostella_vectensis_NV2t001719001.1 NV2t001719001.1	Beroe_ovata_Bova1_4.0158.g6.t2 Bova1_4.0158.g6.t2, Beroe_ovata_Bova1_4.0158.g6.t1 Bova1_4.0158.g6.t1, Beroe_ovata_Bova1_4.0158.g6.t3 Bova1_4.0158.g6.t3
OG0000001	Nematostella_vectensis_NV2t007734005.1 NV2t007734005.1	Beroe_ovata_Bova1_4.0078.g20.t1 Bova1_4.0078.g20.t1
OG0000001	Nematostella_vectensis_NV2t007734002.1 NV2t007734002.1, Nematostella_vectensis_NV2t007734004.1 NV2t007734004.1, Nematostella_vectensis_NV2t007734001.1 NV2t007734001.1, Nematostella_vectensis_NV2t007734003.1 NV2t007734003.1, Nematostella_vectensis_NV2t025737001.1 NV2t025737001.1	Beroe_ovata_Bova1_4.0005.g58.t1 Bova1_4.0005.g58.t1
OG0000001	Nematostella_vectensis_NV2t024496001.1 NV2t024496001.1, Nematostella_vectensis_NV2t024496003.1 NV2t024496003.1, Nematostella_vectensis_NV2t024496004.1 NV2t024496004.1	Beroe_ovata_Bova1_4.0158.g1.t2 Bova1_4.0158.g1.t2, Beroe_ovata_Bova1_4.0158.g1.t1 Bova1_4.0158.g1.t1, Beroe_ovata_Bova1_4.0469.g2.t2 Bova1_4.0469.g2.t2, Beroe_ovata_Bova1_4.0469.g2.t1 Bova1_4.0469.g2.t1
OG0000001	Nematostella_vectensis_NV2t024158001.1 NV2t024158001.1, Nematostella_vectensis_NV2t022843001.1 NV2t022843001.1, Nematostella_vectensis_NV2t022840001.1 NV2t022840001.1	Beroe_ovata_Bova1_4.0013.g38.t1 Bova1_4.0013.g38.t1
OG0000002	Nematostella_vectensis_NV2t017239001.1 NV2t017239001.1	Beroe_ovata_Bova1_4.0017.g28.t1 Bova1_4.0017.g28.t1, Beroe_ovata_Bova1_4.0017.g27.t1 Bova1_4.0017.g27.t1
OG0000002	Nematostella_vectensis_NV2t023884001.1 NV2t023884001.1, Nematostella_vectensis_NV2t023884002.1 NV2t023884002.1, Nematostella_vectensis_NV2t014418001.1 NV2t014418001.1	Beroe_ovata_Bova1_4.0019.g34.t1 Bova1_4.0019.g34.t1, Beroe_ovata_Bova1_4.0105.g2.t1 Bova1_4.0105.g2.t1, Beroe_ovata_Bova1_4.0092.g42.t1 Bova1_4.0092.g42.t1
OG0000002	Nematostella_vectensis_NV2t002780001.1 NV2t002780001.1, Nematostella_vectensis_NV2t000737001.1 NV2t000737001.1	Beroe_ovata_Bova1_4.0116.g21.t1 Bova1_4.0116.g21.t1
OG0000002	Nematostella_vectensis_NV2t025346001.1 NV2t025346001.1	Beroe_ovata_Bova1_4.0176.g1.t1 Bova1_4.0176.g1.t1, Beroe_ovata_Bova1_4.2215.g1.t1 Bova1_4.2215.g1.t1
OG0000003	Nematostella_vectensis_NV2t006897002.1 NV2t006897002.1, Nematostella_vectensis_NV2t013189001.1 NV2t013189001.1, Nematostella_vectensis_NV2t013189002.1 NV2t013189002.1	Beroe_ovata_Bova1_4.0188.g3.t1 Bova1_4.0188.g3.t1, Beroe_ovata_Bova1_4.0188.g5.t1 Bova1_4.0188.g5.t1
OG0000003	Nematostella_vectensis_NV2t012181001.1 NV2t012181001.1, Nematostella_vectensis_NV2t003029001.1 NV2t003029001.1, Nematostella_vectensis_NV2t003028001.1 NV2t003028001.1, Nematostella_vectensis_NV2t020861001.1 NV2t020861001.1, Nematostella_vectensis_NV2t020944001.1 NV2t020944001.1, Nematostella_vectensis_NV2t023776001.1 NV2t023776001.1, Nematostella_vectensis_NV2t023765001.1 NV2t023765001.1, Nematostella_vectensis_NV2t019491001.1 NV2t019491001.1, Nematostella_vectensis_NV2t005939001.1 NV2t005939001.1, Nematostella_vectensis_NV2t007828001.1 NV2t007828001.1, Nematostella_vectensis_NV2t012174001.1 NV2t012174001.1, Nematostella_vectensis_NV2t004783003.1 NV2t004783003.1, Nematostella_vectensis_NV2t004783001.1 NV2t004783001.1, Nematostella_vectensis_NV2t007683001.1 NV2t007683001.1, Nematostella_vectensis_NV2t022444002.1 NV2t022444002.1	Beroe_ovata_Bova1_4.0075.g12.t1 Bova1_4.0075.g12.t1
OG0000004	Nematostella_vectensis_NV2t004191001.1 NV2t004191001.1	Beroe_ovata_Bova1_4.0009.g97.t1 Bova1_4.0009.g97.t1
OG0000005	Nematostella_vectensis_NV2t008552001.1 NV2t008552001.1, Nematostella_vectensis_NV2t008552002.1 NV2t008552002.1, Nematostella_vectensis_NV2t008552003.1 NV2t008552003.1, Nematostella_vectensis_NV2t018077001.1 NV2t018077001.1	Beroe_ovata_Bova1_4.0134.g16.t1 Bova1_4.0134.g16.t1
OG0000007	Nematostella_vectensis_NV2t006897001.1 NV2t006897001.1	Beroe_ovata_Bova1_4.0279.g17.t1 Bova1_4.0279.g17.t1
OG0000009	Nematostella_vectensis_NV2t014830001.1 NV2t014830001.1, Nematostella_vectensis_NV2t014830002.1 NV2t014830002.1, Nematostella_vectensis_NV2t014356001.1 NV2t014356001.1	Beroe_ovata_Bova1_4.0295.g20.t1 Bova1_4.0295.g20.t1, Beroe_ovata_Bova1_4.0295.g17.t1 Bova1_4.0295.g17.t1, Beroe_ovata_Bova1_4.0063.g33.t1 Bova1_4.0063.g33.t1
OG0000010	Nematostella_vectensis_NV2t001116001.1 NV2t001116001.1	Beroe_ovata_Bova1_4.0400.g1.t1 Bova1_4.0400.g1.t1
OG0000010	Nematostella_vectensis_NV2t005728003.1 NV2t005728003.1	Beroe_ovata_Bova1_4.0065.g13.t2 Bova1_4.0065.g13.t2, Beroe_ovata_Bova1_4.0065.g13.t1 Bova1_4.0065.g13.t1, Beroe_ovata_Bova1_4.0057.g8.t1 Bova1_4.0057.g8.t1
OG0000010	Nematostella_vectensis_NV2t006047001.1 NV2t006047001.1, Nematostella_vectensis_NV2t014904001.1 NV2t014904001.1, Nematostella_vectensis_NV2t000707001.1 NV2t000707001.1	Beroe_ovata_Bova1_4.0203.g21.t1 Bova1_4.0203.g21.t1
OG0000010	Nematostella_vectensis_NV2t023229003.1 NV2t023229003.1, Nematostella_vectensis_NV2t023229002.1 NV2t023229002.1, Nematostella_vectensis_NV2t023229001.1 NV2t023229001.1, Nematostella_vectensis_NV2t023230001.1 NV2t023230001.1, Nematostella_vectensis_NV2t013423001.1 NV2t013423001.1, Nematostella_vectensis_NV2t013522001.1 NV2t013522001.1, Nematostella_vectensis_NV2t014043001.1 NV2t014043001.1, Nematostella_vectensis_NV2t014046006.1 NV2t014046006.1, Nematostella_vectensis_NV2t014046005.1 NV2t014046005.1, Nematostella_vectensis_NV2t014092001.1 NV2t014092001.1, Nematostella_vectensis_NV2t014093001.1 NV2t014093001.1, Nematostella_vectensis_NV2t023832001.1 NV2t023832001.1	Beroe_ovata_Bova1_4.0344.g2.t1 Bova1_4.0344.g2.t1, Beroe_ovata_Bova1_4.0113.g30.t1 Bova1_4.0113.g30.t1, Beroe_ovata_Bova1_4.0113.g29.t1 Bova1_4.0113.g29.t1
OG0000011	Nematostella_vectensis_NV2t012077002.1 NV2t012077002.1, Nematostella_vectensis_NV2t006768001.1 NV2t006768001.1	Beroe_ovata_Bova1_4.1430.g1.t1 Bova1_4.1430.g1.t1
OG0000012	Nematostella_vectensis_NV2t012902001.1 NV2t012902001.1, Nematostella_vectensis_NV2t016210001.1 NV2t016210001.1	Beroe_ovata_Bova1_4.0198.g22.t1 Bova1_4.0198.g22.t1, Beroe_ovata_Bova1_4.0198.g23.t1 Bova1_4.0198.g23.t1, Beroe_ovata_Bova1_4.0322.g6.t1 Bova1_4.0322.g6.t1
OG0000012	Nematostella_vectensis_NV2t012730001.1 NV2t012730001.1	Beroe_ovata_Bova1_4.0055.g43.t1 Bova1_4.0055.g43.t1, Beroe_ovata_Bova1_4.0090.g28.t2 Bova1_4.0090.g28.t2, Beroe_ovata_Bova1_4.0090.g28.t1 Bova1_4.0090.g28.t1, Beroe_ovata_Bova1_4.0548.g1.t2 Bova1_4.0548.g1.t2, Beroe_ovata_Bova1_4.0548.g1.t1 Bova1_4.0548.g1.t1
OG0000013	Nematostella_vectensis_NV2t011033001.1 NV2t011033001.1	Beroe_ovata_Bova1_4.0066.g65.t1 Bova1_4.0066.g65.t1
OG0000013	Nematostella_vectensis_NV2t003609002.1 NV2t003609002.1, Nematostella_vectensis_NV2t003609001.1 NV2t003609001.1, Nematostella_vectensis_NV2t003168003.1 NV2t003168003.1, Nematostella_vectensis_NV2t003168001.1 NV2t003168001.1, Nematostella_vectensis_NV2t003168002.1 NV2t003168002.1	Beroe_ovata_Bova1_4.0140.g20.t1 Bova1_4.0140.g20.t1
OG0000015	Nematostella_vectensis_NV2t012863002.1 NV2t012863002.1, Nematostella_vectensis_NV2t012863001.1 NV2t012863001.1, Nematostella_vectensis_NV2t012864001.1 NV2t012864001.1	Beroe_ovata_Bova1_4.0052.g5.t1 Bova1_4.0052.g5.t1, Beroe_ovata_Bova1_4.0628.g1.t1 Bova1_4.0628.g1.t1
OG0000015	Nematostella_vectensis_NV2t021903002.1 NV2t021903002.1, Nematostella_vectensis_NV2t021903003.1 NV2t021903003.1, Nematostella_vectensis_NV2t021904001.1 NV2t021904001.1, Nematostella_vectensis_NV2t021903004.1 NV2t021903004.1, Nematostella_vectensis_NV2t021903001.1 NV2t021903001.1, Nematostella_vectensis_NV2t021905001.1 NV2t021905001.1, Nematostella_vectensis_NV2t005822001.1 NV2t005822001.1, Nematostella_vectensis_NV2t021283002.1 NV2t021283002.1, Nematostella_vectensis_NV2t021283003.1 NV2t021283003.1, Nematostella_vectensis_NV2t021283001.1 NV2t021283001.1, Nematostella_vectensis_NV2t021284001.1 NV2t021284001.1, Nematostella_vectensis_NV2t021284002.1 NV2t021284002.1, Nematostella_vectensis_NV2t005824002.1 NV2t005824002.1, Nematostella_vectensis_NV2t005824001.1 NV2t005824001.1, Nematostella_vectensis_NV2t021288001.1 NV2t021288001.1, Nematostella_vectensis_NV2t021285001.1 NV2t021285001.1, Nematostella_vectensis_NV2t024478001.1 NV2t024478001.1, Nematostella_vectensis_NV2t024478002.1 NV2t024478002.1, Nematostella_vectensis_NV2t021585001.1 NV2t021585001.1, Nematostella_vectensis_NV2t024461001.1 NV2t024461001.1, Nematostella_vectensis_NV2t024741004.1 NV2t024741004.1, Nematostella_vectensis_NV2t024741001.1 NV2t024741001.1, Nematostella_vectensis_NV2t024741002.1 NV2t024741002.1, Nematostella_vectensis_NV2t025392002.1 NV2t025392002.1, Nematostella_vectensis_NV2t025392001.1 NV2t025392001.1, Nematostella_vectensis_NV2t025391001.1 NV2t025391001.1, Nematostella_vectensis_NV2t025393002.1 NV2t025393002.1, Nematostella_vectensis_NV2t025395001.1 NV2t025395001.1, Nematostella_vectensis_NV2t025402001.1 NV2t025402001.1, Nematostella_vectensis_NV2t025394001.1 NV2t025394001.1, Nematostella_vectensis_NV2t025394002.1 NV2t025394002.1, Nematostella_vectensis_NV2t025462001.1 NV2t025462001.1, Nematostella_vectensis_NV2t024877001.1 NV2t024877001.1, Nematostella_vectensis_NV2t025401001.1 NV2t025401001.1, Nematostella_vectensis_NV2t012183001.1 NV2t012183001.1, Nematostella_vectensis_NV2t011069001.1 NV2t011069001.1, Nematostella_vectensis_NV2t011632001.1 NV2t011632001.1, Nematostella_vectensis_NV2t011345005.1 NV2t011345005.1, Nematostella_vectensis_NV2t011345001.1 NV2t011345001.1, Nematostella_vectensis_NV2t011345002.1 NV2t011345002.1, Nematostella_vectensis_NV2t011345004.1 NV2t011345004.1, Nematostella_vectensis_NV2t011345003.1 NV2t011345003.1	Beroe_ovata_Bova1_4.0080.g8.t1 Bova1_4.0080.g8.t1, Beroe_ovata_Bova1_4.0039.g24.t1 Bova1_4.0039.g24.t1, Beroe_ovata_Bova1_4.0237.g3.t1 Bova1_4.0237.g3.t1, Beroe_ovata_Bova1_4.0030.g78.t1 Bova1_4.0030.g78.t1
OG0000016	Nematostella_vectensis_NV2t002700001.1 NV2t002700001.1	Beroe_ovata_Bova1_4.0017.g73.t1 Bova1_4.0017.g73.t1
OG0000016	Nematostella_vectensis_NV2t006370001.1 NV2t006370001.1	Beroe_ovata_Bova1_4.0108.g30.t1 Bova1_4.0108.g30.t1, Beroe_ovata_Bova1_4.0236.g7.t1 Bova1_4.0236.g7.t1, Beroe_ovata_Bova1_4.0254.g4.t1 Bova1_4.0254.g4.t1, Beroe_ovata_Bova1_4.0289.g10.t1 Bova1_4.0289.g10.t1, Beroe_ovata_Bova1_4.0289.g9.t1 Bova1_4.0289.g9.t1, Beroe_ovata_Bova1_4.3261.g1.t1 Bova1_4.3261.g1.t1, Beroe_ovata_Bova1_4.0098.g32.t1 Bova1_4.0098.g32.t1, Beroe_ovata_Bova1_4.0028.g5.t1 Bova1_4.0028.g5.t1, Beroe_ovata_Bova1_4.0001.g168.t1 Bova1_4.0001.g168.t1
OG0000018	Nematostella_vectensis_NV2t016213001.1 NV2t016213001.1	Beroe_ovata_Bova1_4.0023.g78.t1 Bova1_4.0023.g78.t1, Beroe_ovata_Bova1_4.0023.g78.t2 Bova1_4.0023.g78.t2
