Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio
OG0000000	Coturnix_japonica_XP_015734261.1 tenascin isoform X1 [Coturnix japonica]	Danio_rerio_tr_E9QHI1_E9QHI1_DANRE tr|E9QHI1|E9QHI1_DANRE Tenascin C OS=Danio rerio OX=7955 GN=tenc PE=1 SV=1, Danio_rerio_tr_F1QYE2_F1QYE2_DANRE tr|F1QYE2|F1QYE2_DANRE Tenascin C OS=Danio rerio OX=7955 GN=tenc PE=1 SV=1
OG0000000	Coturnix_japonica_XP_015725285.1 PREDICTED_ tenascin-R isoform X2 [Coturnix japonica]	Danio_rerio_tr_Q7T3T6_Q7T3T6_DANRE tr|Q7T3T6|Q7T3T6_DANRE Tenascin-R OS=Danio rerio OX=7955 GN=tnr PE=1 SV=1
OG0000000	Coturnix_japonica_XP_015725046.1 tenascin-N [Coturnix japonica]	Danio_rerio_tr_B0S6K6_B0S6K6_DANRE tr|B0S6K6|B0S6K6_DANRE Tenascin N OS=Danio rerio OX=7955 GN=tnw PE=1 SV=1, Danio_rerio_tr_F1QSR3_F1QSR3_DANRE tr|F1QSR3|F1QSR3_DANRE Tenascin N OS=Danio rerio OX=7955 GN=tenw PE=1 SV=2, Danio_rerio_tr_B0S6K5_B0S6K5_DANRE tr|B0S6K5|B0S6K5_DANRE Tenascin N OS=Danio rerio OX=7955 GN=tnw PE=1 SV=1
OG0000000	Coturnix_japonica_XP_015716417.1 fibrinogen alpha chain [Coturnix japonica]	Danio_rerio_tr_B8A5L6_B8A5L6_DANRE tr|B8A5L6|B8A5L6_DANRE Fibrinogen alpha chain OS=Danio rerio OX=7955 GN=sb_cb892 PE=1 SV=1
OG0000000	Coturnix_japonica_XP_015716415.1 fibrinogen beta chain [Coturnix japonica]	Danio_rerio_tr_Q6NYE1_Q6NYE1_DANRE tr|Q6NYE1|Q6NYE1_DANRE Fibrinogen beta chain OS=Danio rerio OX=7955 GN=wu_fa55c11 PE=1 SV=1
OG0000000	Coturnix_japonica_XP_015716494.1 fibrinogen gamma chain [Coturnix japonica]	Danio_rerio_tr_Q7ZVG7_Q7ZVG7_DANRE tr|Q7ZVG7|Q7ZVG7_DANRE Fgg protein OS=Danio rerio OX=7955 GN=fb60h05 PE=1 SV=1
OG0000000	Coturnix_japonica_XP_015717701.1 fibrinogen-like protein 1 [Coturnix japonica]	Danio_rerio_tr_A0A140LG86_A0A140LG86_DANRE tr|A0A140LG86|A0A140LG86_DANRE Fibrinogen-like 1 OS=Danio rerio OX=7955 GN=fgl1 PE=4 SV=1
OG0000000	Coturnix_japonica_XP_015734889.1 angiopoietin-related protein 2 [Coturnix japonica]	Danio_rerio_tr_Q4LES0_Q4LES0_DANRE tr|Q4LES0|Q4LES0_DANRE Angiopoietin-like 2a OS=Danio rerio OX=7955 GN=angptl2b PE=2 SV=1, Danio_rerio_tr_B0UXH5_B0UXH5_DANRE tr|B0UXH5|B0UXH5_DANRE Angiopoietin-like 2b OS=Danio rerio OX=7955 GN=angptl2 PE=4 SV=1, Danio_rerio_tr_Q5KQT9_Q5KQT9_DANRE tr|Q5KQT9|Q5KQT9_DANRE Angiopoietin-like 2 OS=Danio rerio OX=7955 GN=Angptl2 PE=2 SV=1
OG0000000	Coturnix_japonica_XP_015725101.1 angiopoietin-related protein 1 [Coturnix japonica]	Danio_rerio_tr_Q7SXV7_Q7SXV7_DANRE tr|Q7SXV7|Q7SXV7_DANRE Wu_fi40b08 protein _Fragment_ OS=Danio rerio OX=7955 GN=angptl1b PE=2 SV=1, Danio_rerio_tr_Q5KQU0_Q5KQU0_DANRE tr|Q5KQU0|Q5KQU0_DANRE Angiopoietin-like 1 OS=Danio rerio OX=7955 GN=Angptl1 PE=2 SV=1, Danio_rerio_tr_Q5RH53_Q5RH53_DANRE tr|Q5RH53|Q5RH53_DANRE Angiopoietin-like 1a OS=Danio rerio OX=7955 GN=angptl1 PE=4 SV=1
OG0000000	Coturnix_japonica_XP_015737920.1 angiopoietin-related protein 7 isoform X1 [Coturnix japonica]	Danio_rerio_tr_Q5XJQ0_Q5XJQ0_DANRE tr|Q5XJQ0|Q5XJQ0_DANRE Angiopoietin-like 7 OS=Danio rerio OX=7955 GN=zgc_101687 PE=2 SV=1
OG0000000	Coturnix_japonica_XP_015737426.1 angiopoietin-4 [Coturnix japonica]	Danio_rerio_tr_X1WC45_X1WC45_DANRE tr|X1WC45|X1WC45_DANRE Angiopoietin 4 OS=Danio rerio OX=7955 GN=angpt4 PE=4 SV=1
OG0000000	Coturnix_japonica_XP_015714782.1 angiopoietin-2 isoform X2 [Coturnix japonica]	Danio_rerio_tr_I6Z0F9_I6Z0F9_DANRE tr|I6Z0F9|I6Z0F9_DANRE Angiopoietin 2-like protein OS=Danio rerio OX=7955 GN=ang2-1 PE=2 SV=1
OG0000000	Coturnix_japonica_XP_015711648.1 angiopoietin-1 [Coturnix japonica]	Danio_rerio_tr_Q90Z19_Q90Z19_DANRE tr|Q90Z19|Q90Z19_DANRE Angiopoietin-1 OS=Danio rerio OX=7955 GN=ang1 PE=2 SV=1
OG0000000	Coturnix_japonica_XP_015741945.1 angiopoietin-related protein 4 [Coturnix japonica], Coturnix_japonica_XP_015726184.1 angiopoietin-related protein 3 [Coturnix japonica]	Danio_rerio_tr_A0A8N7UZN6_A0A8N7UZN6_DANRE tr|A0A8N7UZN6|A0A8N7UZN6_DANRE Angiopoietin-like 3 OS=Danio rerio OX=7955 GN=fb60e11 PE=4 SV=1
OG0000000	Coturnix_japonica_XP_015707743.1 angiopoietin-related protein 5 [Coturnix japonica]	Danio_rerio_tr_F1QUC4_F1QUC4_DANRE tr|F1QUC4|F1QUC4_DANRE Angiopoietin-like 5 OS=Danio rerio OX=7955 GN=angptl5 PE=4 SV=1
OG0000000	Coturnix_japonica_XP_015738452.1 fibroleukin [Coturnix japonica]	Danio_rerio_tr_K7DY96_K7DY96_DANRE tr|K7DY96|K7DY96_DANRE Fibrinogen-like 2b OS=Danio rerio OX=7955 GN=fgl2b PE=4 SV=1, Danio_rerio_tr_Q5TYU3_Q5TYU3_DANRE tr|Q5TYU3|Q5TYU3_DANRE Fibrinogen-like 2 OS=Danio rerio OX=7955 GN=fgl2 PE=1 SV=1
OG0000001	Coturnix_japonica_XP_015714020.1 netrin-4 isoform X2 [Coturnix japonica]	Danio_rerio_tr_A0A0R4IFE9_A0A0R4IFE9_DANRE tr|A0A0R4IFE9|A0A0R4IFE9_DANRE Netrin 4 OS=Danio rerio OX=7955 GN=ntn4 PE=4 SV=1, Danio_rerio_tr_Q32SK8_Q32SK8_DANRE tr|Q32SK8|Q32SK8_DANRE Netrin 4 OS=Danio rerio OX=7955 GN=ntn4 PE=2 SV=1
OG0000001	Coturnix_japonica_XP_015706098.1 PREDICTED_ laminin subunit beta-4 [Coturnix japonica]	Danio_rerio_sp_Q8JHV6_LAMB4_DANRE sp|Q8JHV6|LAMB4_DANRE Laminin subunit beta-4 OS=Danio rerio OX=7955 GN=lamb4 PE=2 SV=1
OG0000001	Coturnix_japonica_XP_015730671.1 laminin subunit beta-2 [Coturnix japonica]	Danio_rerio_tr_B7ZDA6_B7ZDA6_DANRE tr|B7ZDA6|B7ZDA6_DANRE Laminin subunit beta-2 precursor OS=Danio rerio OX=7955 GN=si_dkey-32e6.2 PE=1 SV=1
OG0000001	Coturnix_japonica_XP_015706984.1 laminin subunit beta-1 [Coturnix japonica]	Danio_rerio_tr_F1REL9_F1REL9_DANRE tr|F1REL9|F1REL9_DANRE Laminin_ beta 1b OS=Danio rerio OX=7955 GN=si_dkey-183c16.5 PE=4 SV=1, Danio_rerio_tr_Q8JHV7_Q8JHV7_DANRE tr|Q8JHV7|Q8JHV7_DANRE Laminin beta 1 OS=Danio rerio OX=7955 GN=lamb1 PE=1 SV=1
OG0000001	Coturnix_japonica_XP_015723463.1 PREDICTED_ fibronectin isoform X1 [Coturnix japonica]	Danio_rerio_tr_Q6JAN2_Q6JAN2_DANRE tr|Q6JAN2|Q6JAN2_DANRE Fibronectin OS=Danio rerio OX=7955 GN=wu_fb03c02 PE=1 SV=1, Danio_rerio_tr_A2CEW3_A2CEW3_DANRE tr|A2CEW3|A2CEW3_DANRE Fibronectin OS=Danio rerio OX=7955 GN=cb1057 PE=1 SV=2, Danio_rerio_tr_B0S602_B0S602_DANRE tr|B0S602|B0S602_DANRE Fibronectin OS=Danio rerio OX=7955 GN=Fn PE=1 SV=1
OG0000001	Coturnix_japonica_XP_015734637.1 PREDICTED_ netrin-G2 isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015724985.1 netrin-G1 isoform X4 [Coturnix japonica]	Danio_rerio_tr_I3IT80_I3IT80_DANRE tr|I3IT80|I3IT80_DANRE Netrin g2b OS=Danio rerio OX=7955 GN=ntng2b PE=4 SV=1
OG0000001	Coturnix_japonica_XP_015732925.1 netrin-3 isoform X2 [Coturnix japonica]	Danio_rerio_tr_F1QUK5_F1QUK5_DANRE tr|F1QUK5|F1QUK5_DANRE Netrin-1 OS=Danio rerio OX=7955 GN=net1 PE=4 SV=1, Danio_rerio_tr_O42203_O42203_DANRE tr|O42203|O42203_DANRE Netrin-1 OS=Danio rerio OX=7955 GN=net1 PE=2 SV=1
OG0000001	Coturnix_japonica_XP_015735411.1 netrin-1 [Coturnix japonica]	Danio_rerio_tr_O42140_O42140_DANRE tr|O42140|O42140_DANRE Netrin-1 OS=Danio rerio OX=7955 GN=ntn2 PE=2 SV=1
OG0000001	Coturnix_japonica_XP_015734644.1 laminin subunit gamma-3 isoform X2 [Coturnix japonica]	Danio_rerio_tr_F1QPJ1_F1QPJ1_DANRE tr|F1QPJ1|F1QPJ1_DANRE Laminin subunit gamma-3 OS=Danio rerio OX=7955 GN=lamc3 PE=4 SV=1
