Orthogroup	Cnidaria_Hydrozoa_Clytia_hemispherica	Other
OG0000000	Clytia_hemispherica_TCONS_00056369-protein TCONS_00056369-protein, Clytia_hemispherica_TCONS_00036375-protein TCONS_00036375-protein, Clytia_hemispherica_TCONS_00057358-protein TCONS_00057358-protein, Clytia_hemispherica_TCONS_00020582-protein TCONS_00020582-protein, Clytia_hemispherica_TCONS_00019248-protein TCONS_00019248-protein, Clytia_hemispherica_TCONS_00050286-protein TCONS_00050286-protein, Clytia_hemispherica_TCONS_00022360-protein TCONS_00022360-protein	Amphimedon_queenslandica_tr_A0A1X7SIU0_A0A1X7SIU0_AMPQE tr_A0A1X7SIU0_A0A1X7SIU0_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=109592882 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TL47_A0A1X7TL47_AMPQE tr_A0A1X7TL47_A0A1X7TL47_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TJ25_A0A1X7TJ25_AMPQE tr_A0A1X7TJ25_A0A1X7TJ25_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UM27_A0A1X7UM27_AMPQE tr_A0A1X7UM27_A0A1X7UM27_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T5S2_A0A1X7T5S2_AMPQE tr_A0A1X7T5S2_A0A1X7T5S2_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100641528 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UMM6_A0A1X7UMM6_AMPQE tr_A0A1X7UMM6_A0A1X7UMM6_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105313147 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U9M9_A0A1X7U9M9_AMPQE tr_A0A1X7U9M9_A0A1X7U9M9_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T6I7_A0A1X7T6I7_AMPQE tr_A0A1X7T6I7_A0A1X7T6I7_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UMX8_A0A1X7UMX8_AMPQE tr_A0A1X7UMX8_A0A1X7UMX8_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7ULX0_A0A1X7ULX0_AMPQE tr_A0A1X7ULX0_A0A1X7ULX0_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105313147 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UM84_A0A1X7UM84_AMPQE tr_A0A1X7UM84_A0A1X7UM84_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105313149 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T649_A0A1X7T649_AMPQE tr_A0A1X7T649_A0A1X7T649_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SQ32_A0A1X7SQ32_AMPQE tr_A0A1X7SQ32_A0A1X7SQ32_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UZD5_A0A1X7UZD5_AMPQE tr_A0A1X7UZD5_A0A1X7UZD5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000000	Clytia_hemispherica_TCONS_00053667-protein TCONS_00053667-protein	Ephydatia_muelleri_Em0051g14a Em0051g14a, Ephydatia_muelleri_Em0009g849a Em0009g849a, Ephydatia_muelleri_Em0051g15a Em0051g15a, Ephydatia_muelleri_Em0009g848a Em0009g848a, Ephydatia_muelleri_Em0009g833a Em0009g833a, Ephydatia_muelleri_Em0009g834a Em0009g834a, Ephydatia_muelleri_Em0009g864a Em0009g864a, Ephydatia_muelleri_Em0051g4a Em0051g4a, Ephydatia_muelleri_Em0051g18a Em0051g18a, Ephydatia_muelleri_Em0051g17a Em0051g17a
OG0000000	Clytia_hemispherica_TCONS_00053667-protein TCONS_00053667-protein	Amphimedon_queenslandica_tr_A0A1X7SMX3_A0A1X7SMX3_AMPQE tr_A0A1X7SMX3_A0A1X7SMX3_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T529_A0A1X7T529_AMPQE tr_A0A1X7T529_A0A1X7T529_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000003	Clytia_hemispherica_TCONS_00005662-protein TCONS_00005662-protein	Schmidtea_mediterranea_maker-scaffold6567-snap-gene-1.79-mRNA-1 maker-scaffold6567-snap-gene-1.79-mRNA-1 protein AED_0.41 eAED_0.44 QI_0|0.66|0.57|1|0.5|0.57|7|0|334
OG0000003	Clytia_hemispherica_TCONS_00005662-protein TCONS_00005662-protein	Tricoplax_adhaerens_tr_B3S2P8_B3S2P8_TRIAD tr_B3S2P8_B3S2P8_TRIAD C-type lectin domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_58103 PE=4 SV=1
OG0000003	Clytia_hemispherica_TCONS_00005662-protein TCONS_00005662-protein	Aurelia_aurita_Seg2695.2 Seg2695.2 transcript_id=Seg2695.2_GoldUCD_mRNA.D3Y31 product=Fibrillin-3 protein_id=Seg2695.2_GoldUCD_D3Y31
OG0000003	Clytia_hemispherica_TCONS_00005662-protein TCONS_00005662-protein	Stylophora_pistillata_Spis21314 Spis21314 SpisGene21314
OG0000004	Clytia_hemispherica_TCONS_00058657-protein TCONS_00058657-protein, Clytia_hemispherica_TCONS_00048843-protein TCONS_00048843-protein	Exaiptasia_diaphana_XP_028513629.1 XP_028513629.1 uncharacterized protein LOC110235415 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513641.1 XP_028513641.1 uncharacterized protein LOC110235415 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513632.1 XP_028513632.1 uncharacterized protein LOC110235415 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513634.1 XP_028513634.1 uncharacterized protein LOC110235415 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513644.1 XP_028513644.1 uncharacterized protein LOC110235415 isoform X5 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513650.1 XP_028513650.1 uncharacterized protein LOC110235415 isoform X6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896538.2 XP_020896538.2 A disintegrin and metalloproteinase with thrombospondin motifs gon-1 isoform X7 [Exaiptasia diaphana]
OG0000004	Clytia_hemispherica_TCONS_00058657-protein TCONS_00058657-protein, Clytia_hemispherica_TCONS_00048843-protein TCONS_00048843-protein	Acropora_digitifera_adi_v1.19534 adi_v1.19534, Acropora_digitifera_adi_v1.04405 adi_v1.04405
OG0000004	Clytia_hemispherica_TCONS_00058657-protein TCONS_00058657-protein, Clytia_hemispherica_TCONS_00048843-protein TCONS_00048843-protein	Nematostella_vectensis_NV2t001610001.1 NV2t001610001.1, Nematostella_vectensis_NV2t001610003.1 NV2t001610003.1
