Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Myxozoa_Thelohanellus_kitauei
OG0000003	Acropora_digitifera_adi_v1.12298 adi_v1.12298, Acropora_digitifera_adi_v1.02332 adi_v1.02332	Thelohanellus_kitauei_tr_A0A0C2MFY0_A0A0C2MFY0_THEKT tr|A0A0C2MFY0|A0A0C2MFY0_THEKT Alpha-N-acetylgalactosamine-specific lectin OS=Thelohanellus kitauei OX=669202 GN=RF11_00408 PE=4 SV=1
OG0000009	Acropora_digitifera_adi_v1.18886 adi_v1.18886, Acropora_digitifera_adi_v1.20204 adi_v1.20204, Acropora_digitifera_adi_v1.20203 adi_v1.20203, Acropora_digitifera_adi_v1.20205 adi_v1.20205, Acropora_digitifera_adi_v1.13170 adi_v1.13170, Acropora_digitifera_adi_v1.18978 adi_v1.18978	Thelohanellus_kitauei_tr_A0A0C2JCL4_A0A0C2JCL4_THEKT tr|A0A0C2JCL4|A0A0C2JCL4_THEKT Bone morphogenetic protein 1 OS=Thelohanellus kitauei OX=669202 GN=RF11_09759 PE=4 SV=1
OG0000010	Acropora_digitifera_adi_v1.00664 adi_v1.00664, Acropora_digitifera_adi_v1.04228 adi_v1.04228, Acropora_digitifera_adi_v1.21127 adi_v1.21127, Acropora_digitifera_adi_v1.06326 adi_v1.06326, Acropora_digitifera_adi_v1.05562 adi_v1.05562, Acropora_digitifera_adi_v1.07946 adi_v1.07946, Acropora_digitifera_adi_v1.16141 adi_v1.16141, Acropora_digitifera_adi_v1.02202 adi_v1.02202, Acropora_digitifera_adi_v1.04096 adi_v1.04096, Acropora_digitifera_adi_v1.17180 adi_v1.17180, Acropora_digitifera_adi_v1.05525 adi_v1.05525, Acropora_digitifera_adi_v1.18396 adi_v1.18396, Acropora_digitifera_adi_v1.20273 adi_v1.20273, Acropora_digitifera_adi_v1.20157 adi_v1.20157, Acropora_digitifera_adi_v1.04348 adi_v1.04348, Acropora_digitifera_adi_v1.21574 adi_v1.21574, Acropora_digitifera_adi_v1.05424 adi_v1.05424	Thelohanellus_kitauei_tr_A0A0C2J7D4_A0A0C2J7D4_THEKT tr|A0A0C2J7D4|A0A0C2J7D4_THEKT Neural cell adhesion molecule 2 OS=Thelohanellus kitauei OX=669202 GN=RF11_11012 PE=4 SV=1
OG0000019	Acropora_digitifera_adi_v1.07696 adi_v1.07696, Acropora_digitifera_adi_v1.01025 adi_v1.01025, Acropora_digitifera_adi_v1.07728 adi_v1.07728, Acropora_digitifera_adi_v1.10675 adi_v1.10675, Acropora_digitifera_adi_v1.15796 adi_v1.15796, Acropora_digitifera_adi_v1.02299 adi_v1.02299	Thelohanellus_kitauei_tr_A0A0C2IZ76_A0A0C2IZ76_THEKT tr|A0A0C2IZ76|A0A0C2IZ76_THEKT Bone morphogenetic protein 10 OS=Thelohanellus kitauei OX=669202 GN=RF11_05528 PE=3 SV=1
OG0000022	Acropora_digitifera_adi_v1.05985 adi_v1.05985, Acropora_digitifera_adi_v1.13743 adi_v1.13743, Acropora_digitifera_adi_v1.13744 adi_v1.13744, Acropora_digitifera_adi_v1.07947 adi_v1.07947	Thelohanellus_kitauei_tr_A0A0C2JU32_A0A0C2JU32_THEKT tr|A0A0C2JU32|A0A0C2JU32_THEKT Uncharacterized protein OS=Thelohanellus kitauei OX=669202 GN=RF11_12365 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2J4Y6_A0A0C2J4Y6_THEKT tr|A0A0C2J4Y6|A0A0C2J4Y6_THEKT Annexin D5 OS=Thelohanellus kitauei OX=669202 GN=RF11_12366 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2JU46_A0A0C2JU46_THEKT tr|A0A0C2JU46|A0A0C2JU46_THEKT Annexin D5 OS=Thelohanellus kitauei OX=669202 GN=RF11_12377 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2N990_A0A0C2N990_THEKT tr|A0A0C2N990|A0A0C2N990_THEKT Uncharacterized protein OS=Thelohanellus kitauei OX=669202 GN=RF11_12379 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2J4X2_A0A0C2J4X2_THEKT tr|A0A0C2J4X2|A0A0C2J4X2_THEKT Annexin A1 OS=Thelohanellus kitauei OX=669202 GN=RF11_12350 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2ML61_A0A0C2ML61_THEKT tr|A0A0C2ML61|A0A0C2ML61_THEKT Annexin A8 OS=Thelohanellus kitauei OX=669202 GN=RF11_11684 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2N664_A0A0C2N664_THEKT tr|A0A0C2N664|A0A0C2N664_THEKT Annexin A7 OS=Thelohanellus kitauei OX=669202 GN=RF11_11071 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2MB87_A0A0C2MB87_THEKT tr|A0A0C2MB87|A0A0C2MB87_THEKT Annexin OS=Thelohanellus kitauei OX=669202 GN=RF11_02608 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2N5J8_A0A0C2N5J8_THEKT tr|A0A0C2N5J8|A0A0C2N5J8_THEKT Annexin A13 OS=Thelohanellus kitauei OX=669202 GN=RF11_07433 PE=3 SV=1, Thelohanellus_kitauei_tr_A0A0C2NC03_A0A0C2NC03_THEKT tr|A0A0C2NC03|A0A0C2NC03_THEKT Annexin A2 OS=Thelohanellus kitauei OX=669202 GN=RF11_04048 PE=3 SV=1
OG0000023	Acropora_digitifera_adi_v1.03638 adi_v1.03638	Thelohanellus_kitauei_tr_A0A0C2MFD3_A0A0C2MFD3_THEKT tr|A0A0C2MFD3|A0A0C2MFD3_THEKT Disintegrin and metalloproteinase domain-containing protein 7 OS=Thelohanellus kitauei OX=669202 GN=RF11_01835 PE=4 SV=1, Thelohanellus_kitauei_tr_A0A0C2JM09_A0A0C2JM09_THEKT tr|A0A0C2JM09|A0A0C2JM09_THEKT Disintegrin and metalloproteinase domain-containing protein 7 OS=Thelohanellus kitauei OX=669202 GN=RF11_09681 PE=4 SV=1, Thelohanellus_kitauei_tr_A0A0C2N783_A0A0C2N783_THEKT tr|A0A0C2N783|A0A0C2N783_THEKT Disintegrin domain-containing protein OS=Thelohanellus kitauei OX=669202 GN=RF11_10258 PE=4 SV=1
OG0000029	Acropora_digitifera_adi_v1.06123 adi_v1.06123, Acropora_digitifera_adi_v1.06122 adi_v1.06122, Acropora_digitifera_adi_v1.15580 adi_v1.15580, Acropora_digitifera_adi_v1.18528 adi_v1.18528, Acropora_digitifera_adi_v1.24512 adi_v1.24512	Thelohanellus_kitauei_tr_A0A0C2MBA6_A0A0C2MBA6_THEKT tr|A0A0C2MBA6|A0A0C2MBA6_THEKT Contactin-associated protein-like 2 OS=Thelohanellus kitauei OX=669202 GN=RF11_10944 PE=4 SV=1
OG0000030	Acropora_digitifera_adi_v1.02168 adi_v1.02168, Acropora_digitifera_adi_v1.09623 adi_v1.09623	Thelohanellus_kitauei_tr_A0A0C2IKU6_A0A0C2IKU6_THEKT tr|A0A0C2IKU6|A0A0C2IKU6_THEKT Disintegrin and metalloproteinase domain-containing protein 17 OS=Thelohanellus kitauei OX=669202 GN=RF11_10145 PE=4 SV=1, Thelohanellus_kitauei_tr_A0A0C2IDG7_A0A0C2IDG7_THEKT tr|A0A0C2IDG7|A0A0C2IDG7_THEKT Disintegrin and metalloproteinase domain-containing protein 10 OS=Thelohanellus kitauei OX=669202 GN=RF11_02191 PE=4 SV=1
OG0000035	Acropora_digitifera_adi_v1.00964 adi_v1.00964, Acropora_digitifera_adi_v1.01652 adi_v1.01652	Thelohanellus_kitauei_tr_A0A0C2MG52_A0A0C2MG52_THEKT tr|A0A0C2MG52|A0A0C2MG52_THEKT Thrombospondin-2 OS=Thelohanellus kitauei OX=669202 GN=RF11_11948 PE=4 SV=1
OG0000044	Acropora_digitifera_adi_v1.17869 adi_v1.17869, Acropora_digitifera_adi_v1.01279 adi_v1.01279, Acropora_digitifera_adi_v1.01276 adi_v1.01276, Acropora_digitifera_adi_v1.01277 adi_v1.01277	Thelohanellus_kitauei_tr_A0A0C2MGP9_A0A0C2MGP9_THEKT tr|A0A0C2MGP9|A0A0C2MGP9_THEKT Transglutaminase-like domain-containing protein OS=Thelohanellus kitauei OX=669202 GN=RF11_08049 PE=4 SV=1, Thelohanellus_kitauei_tr_A0A0C2MLY4_A0A0C2MLY4_THEKT tr|A0A0C2MLY4|A0A0C2MLY4_THEKT Protein-glutamine gamma-glutamyltransferase 5 OS=Thelohanellus kitauei OX=669202 GN=RF11_09496 PE=4 SV=1, Thelohanellus_kitauei_tr_A0A0C2J3K6_A0A0C2J3K6_THEKT tr|A0A0C2J3K6|A0A0C2J3K6_THEKT Annulin OS=Thelohanellus kitauei OX=669202 GN=RF11_06661 PE=4 SV=1, Thelohanellus_kitauei_tr_A0A0C2I6Y8_A0A0C2I6Y8_THEKT tr|A0A0C2I6Y8|A0A0C2I6Y8_THEKT Protein-glutamine gamma-glutamyltransferase K OS=Thelohanellus kitauei OX=669202 GN=RF11_13941 PE=3 SV=1
OG0000100	Acropora_digitifera_adi_v1.11599 adi_v1.11599	Thelohanellus_kitauei_tr_A0A0C2JM05_A0A0C2JM05_THEKT tr|A0A0C2JM05|A0A0C2JM05_THEKT Collagen alpha-3_VI_ chain OS=Thelohanellus kitauei OX=669202 GN=RF11_09676 PE=4 SV=1
OG0000100	Acropora_digitifera_adi_v1.09217 adi_v1.09217	Thelohanellus_kitauei_tr_A0A0C2N902_A0A0C2N902_THEKT tr|A0A0C2N902|A0A0C2N902_THEKT Collagen alpha-5_VI_ chain OS=Thelohanellus kitauei OX=669202 GN=RF11_09674 PE=4 SV=1
OG0000331	Acropora_digitifera_adi_v1.23613 adi_v1.23613	Thelohanellus_kitauei_tr_A0A0C2JEB5_A0A0C2JEB5_THEKT tr|A0A0C2JEB5|A0A0C2JEB5_THEKT Kunitz-type serine protease inhibitor IX OS=Thelohanellus kitauei OX=669202 GN=RF11_14322 PE=4 SV=1
