Orthogroup	Cnidaria_Anthozoa_Nematostella_vectensis	Chordata_Vertebrata_Coturnix_japonica
OG0000000	Nematostella_vectensis_NV2t014110001.1 NV2t014110001.1, Nematostella_vectensis_NV2t006207001.1 NV2t006207001.1, Nematostella_vectensis_NV2t012138004.1 NV2t012138004.1, Nematostella_vectensis_NV2t012138001.1 NV2t012138001.1, Nematostella_vectensis_NV2t007004001.1 NV2t007004001.1, Nematostella_vectensis_NV2t005873001.1 NV2t005873001.1, Nematostella_vectensis_NV2t011374001.1 NV2t011374001.1, Nematostella_vectensis_NV2t025469001.1 NV2t025469001.1	Coturnix_japonica_XP_015734261.1 tenascin isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015725285.1 PREDICTED_ tenascin-R isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015725046.1 tenascin-N [Coturnix japonica]
OG0000000	Nematostella_vectensis_NV2t016067001.1 NV2t016067001.1, Nematostella_vectensis_NV2t025471001.1 NV2t025471001.1, Nematostella_vectensis_NV2t025467001.1 NV2t025467001.1, Nematostella_vectensis_NV2t025470001.1 NV2t025470001.1, Nematostella_vectensis_NV2t025464001.1 NV2t025464001.1, Nematostella_vectensis_NV2t025526001.1 NV2t025526001.1	Coturnix_japonica_XP_015706135.1 PREDICTED_ microfibril-associated glycoprotein 4_ partial [Coturnix japonica]
OG0000000	Nematostella_vectensis_NV2t010046003.1 NV2t010046003.1, Nematostella_vectensis_NV2t010046002.1 NV2t010046002.1, Nematostella_vectensis_NV2t010046001.1 NV2t010046001.1	Coturnix_japonica_XP_015737426.1 angiopoietin-4 [Coturnix japonica], Coturnix_japonica_XP_015714782.1 angiopoietin-2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015711648.1 angiopoietin-1 [Coturnix japonica]
OG0000001	Nematostella_vectensis_NV2t025734001.1 NV2t025734001.1, Nematostella_vectensis_NV2t025732001.1 NV2t025732001.1	Coturnix_japonica_XP_015734637.1 PREDICTED_ netrin-G2 isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015724985.1 netrin-G1 isoform X4 [Coturnix japonica]
OG0000001	Nematostella_vectensis_NV2t007734001.1 NV2t007734001.1, Nematostella_vectensis_NV2t007734003.1 NV2t007734003.1	Coturnix_japonica_XP_015732925.1 netrin-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015735411.1 netrin-1 [Coturnix japonica]
OG0000001	Nematostella_vectensis_NV2t025737001.1 NV2t025737001.1	Coturnix_japonica_XP_015734644.1 laminin subunit gamma-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015725067.1 laminin subunit gamma-1 [Coturnix japonica]
OG0000001	Nematostella_vectensis_NV2t024158001.1 NV2t024158001.1, Nematostella_vectensis_NV2t022843001.1 NV2t022843001.1, Nematostella_vectensis_NV2t022840001.1 NV2t022840001.1	Coturnix_japonica_XP_015710772.1 laminin subunit alpha-1 [Coturnix japonica]
OG0000002	Nematostella_vectensis_NV2t023886001.1 NV2t023886001.1, Nematostella_vectensis_NV2t023886003.1 NV2t023886003.1, Nematostella_vectensis_NV2t023886002.1 NV2t023886002.1	Coturnix_japonica_XP_015741579.1 cartilage oligomeric matrix protein [Coturnix japonica], Coturnix_japonica_XP_015704105.1 thrombospondin-4 isoform X1 [Coturnix japonica]
OG0000002	Nematostella_vectensis_NV2t011758001.1 NV2t011758001.1	Coturnix_japonica_XP_015709878.1 semaphorin-5A [Coturnix japonica], Coturnix_japonica_XP_015724160.1 semaphorin-5B isoform X2 [Coturnix japonica]
OG0000002	Nematostella_vectensis_NV2t022863003.1 NV2t022863003.1, Nematostella_vectensis_NV2t022863001.1 NV2t022863001.1, Nematostella_vectensis_NV2t022863002.1 NV2t022863002.1	Coturnix_japonica_XP_015728452.1 semaphorin-6D isoform X7 [Coturnix japonica], Coturnix_japonica_XP_015705476.1 semaphorin-6A isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015742241.1 semaphorin-6B isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015740145.1 PREDICTED_ semaphorin-6C isoform X3 [Coturnix japonica]
OG0000003	Nematostella_vectensis_NV2t012172001.1 NV2t012172001.1, Nematostella_vectensis_NV2t012165001.1 NV2t012165001.1, Nematostella_vectensis_NV2t021307001.1 NV2t021307001.1	Coturnix_japonica_XP_015714842.1 PREDICTED_ collectin-11 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015711709.1 collectin-10 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015721592.1 mannose-binding protein [Coturnix japonica]
OG0000003	Nematostella_vectensis_NV2t017872001.1 NV2t017872001.1, Nematostella_vectensis_NV2t021375001.1 NV2t021375001.1	Coturnix_japonica_XP_015710863.1 collectin-12 [Coturnix japonica]
OG0000003	Nematostella_vectensis_NV2t019497001.1 NV2t019497001.1, Nematostella_vectensis_NV2t019497002.1 NV2t019497002.1, Nematostella_vectensis_NV2t025143001.1 NV2t025143001.1, Nematostella_vectensis_NV2t012181001.1 NV2t012181001.1, Nematostella_vectensis_NV2t003029001.1 NV2t003029001.1, Nematostella_vectensis_NV2t003028001.1 NV2t003028001.1, Nematostella_vectensis_NV2t020861001.1 NV2t020861001.1, Nematostella_vectensis_NV2t020944001.1 NV2t020944001.1, Nematostella_vectensis_NV2t023776001.1 NV2t023776001.1, Nematostella_vectensis_NV2t023765001.1 NV2t023765001.1, Nematostella_vectensis_NV2t019491001.1 NV2t019491001.1, Nematostella_vectensis_NV2t005939001.1 NV2t005939001.1, Nematostella_vectensis_NV2t007828001.1 NV2t007828001.1, Nematostella_vectensis_NV2t012174001.1 NV2t012174001.1, Nematostella_vectensis_NV2t004783003.1 NV2t004783003.1, Nematostella_vectensis_NV2t004783001.1 NV2t004783001.1, Nematostella_vectensis_NV2t007683001.1 NV2t007683001.1, Nematostella_vectensis_NV2t022444002.1 NV2t022444002.1	Coturnix_japonica_XP_015703924.1 CD209 antigen-like protein E isoform X2 [Coturnix japonica]
