Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000000	Exaiptasia_diaphana_XP_020908882.2 XP_020908882.2 angiopoietin-related protein 7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913665.1 XP_020913665.1 ryncolin-1-like [Exaiptasia diaphana]	Morbakka_virulenta_scaffold16.g2.t1 scaffold16.g2.t1
OG0000001	Exaiptasia_diaphana_XP_028516585.1 XP_028516585.1 laminin subunit beta-1 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold19.g85.t4 scaffold19.g85.t4, Morbakka_virulenta_scaffold19.g85.t3 scaffold19.g85.t3, Morbakka_virulenta_scaffold19.g85.t1 scaffold19.g85.t1
OG0000001	Exaiptasia_diaphana_XP_020904889.1 XP_020904889.1 laminin subunit alpha-2 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold55.g43.t1 scaffold55.g43.t1, Morbakka_virulenta_scaffold227.g30.t1 scaffold227.g30.t1
OG0000001	Exaiptasia_diaphana_XP_028512753.1 XP_028512753.1 uncharacterized protein LOC114574426 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold356.g13.t1 scaffold356.g13.t1
OG0000001	Exaiptasia_diaphana_XP_020908873.1 XP_020908873.1 fibronectin type III domain-containing protein isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908871.1 XP_020908871.1 fibronectin type III domain-containing protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908872.1 XP_020908872.1 fibronectin type III domain-containing protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516734.1 XP_028516734.1 fibronectin type III domain-containing protein [Exaiptasia diaphana]	Morbakka_virulenta_scaffold161.g23.t1 scaffold161.g23.t1, Morbakka_virulenta_scaffold161.g20.t1 scaffold161.g20.t1
OG0000001	Exaiptasia_diaphana_XP_028518401.1 XP_028518401.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518216.1 XP_028518216.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903383.2 XP_020903383.2 contactin-6 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517822.1 XP_028517822.1 contactin-6 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902298.1 XP_020902298.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518803.1 XP_028518803.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904116.2 XP_020904116.2 contactin-6 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518005.1 XP_028518005.1 contactin-6 isoform X2 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold137.g22.t1 scaffold137.g22.t1, Morbakka_virulenta_scaffold137.g22.t3 scaffold137.g22.t3, Morbakka_virulenta_scaffold137.g22.t4 scaffold137.g22.t4
OG0000001	Exaiptasia_diaphana_XP_028514544.1 XP_028514544.1 neogenin [Exaiptasia diaphana]	Morbakka_virulenta_scaffold397.g4.t2 scaffold397.g4.t2, Morbakka_virulenta_scaffold397.g4.t1 scaffold397.g4.t1
OG0000001	Exaiptasia_diaphana_XP_028515621.1 XP_028515621.1 protein sidekick-1-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515622.1 XP_028515622.1 phosphatidylinositol phosphatase PTPRQ [Exaiptasia diaphana]	Morbakka_virulenta_scaffold12.g138.t1 scaffold12.g138.t1, Morbakka_virulenta_scaffold361.g18.t1 scaffold361.g18.t1
OG0000001	Exaiptasia_diaphana_XP_020901424.1 XP_020901424.1 protein sidekick-2 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold68.g48.t2 scaffold68.g48.t2, Morbakka_virulenta_scaffold68.g48.t1 scaffold68.g48.t1
OG0000001	Exaiptasia_diaphana_XP_020908774.1 XP_020908774.1 Down syndrome cell adhesion molecule-like protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908773.1 XP_020908773.1 Down syndrome cell adhesion molecule-like protein 1 isoform X1 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold37.g39.t1 scaffold37.g39.t1
OG0000001	Exaiptasia_diaphana_XP_020911707.1 XP_020911707.1 neogenin [Exaiptasia diaphana]	Morbakka_virulenta_scaffold99.g24.t1 scaffold99.g24.t1
OG0000001	Exaiptasia_diaphana_XP_020893198.1 XP_020893198.1 uncharacterized protein LOC110232362 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912117.1 XP_020912117.1 uncharacterized protein LOC110249872 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514824.1 XP_028514824.1 uncharacterized protein LOC110238963 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514825.1 XP_028514825.1 uncharacterized protein LOC110238967 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold476.g6.t1 scaffold476.g6.t1, Morbakka_virulenta_scaffold17.g93.t1 scaffold17.g93.t1
OG0000001	Exaiptasia_diaphana_XP_028513037.1 XP_028513037.1 uncharacterized protein LOC110232847 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517084.1 XP_028517084.1 uncharacterized protein LOC110246414 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518620.1 XP_028518620.1 uncharacterized protein LOC110251137 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold186.g16.t1 scaffold186.g16.t1, Morbakka_virulenta_scaffold659.g1.t1 scaffold659.g1.t1, Morbakka_virulenta_scaffold434.g12.t1 scaffold434.g12.t1
OG0000001	Exaiptasia_diaphana_XP_020913082.1 XP_020913082.1 uncharacterized protein LOC110250788 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold23.g77.t2 scaffold23.g77.t2, Morbakka_virulenta_scaffold23.g77.t1 scaffold23.g77.t1, Morbakka_virulenta_scaffold6.g122.t1 scaffold6.g122.t1
OG0000001	Exaiptasia_diaphana_XP_028512987.1 XP_028512987.1 usherin [Exaiptasia diaphana]	Morbakka_virulenta_scaffold43.g67.t1 scaffold43.g67.t1, Morbakka_virulenta_scaffold43.g67.t2 scaffold43.g67.t2
OG0000001	Exaiptasia_diaphana_XP_028519345.1 XP_028519345.1 laminin subunit beta-2 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold35.g66.t1 scaffold35.g66.t1
OG0000001	Exaiptasia_diaphana_XP_020916314.1 XP_020916314.1 laminin subunit gamma-1 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold152.g29.t1 scaffold152.g29.t1, Morbakka_virulenta_scaffold152.g29.t2 scaffold152.g29.t2, Morbakka_virulenta_scaffold152.g29.t3 scaffold152.g29.t3
OG0000001	Exaiptasia_diaphana_XP_020916901.1 XP_020916901.1 laminin subunit gamma-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916243.1 XP_020916243.1 laminin subunit gamma-1 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold1.g52.t1 scaffold1.g52.t1, Morbakka_virulenta_scaffold1.g52.t2 scaffold1.g52.t2
OG0000001	Exaiptasia_diaphana_XP_020916246.1 XP_020916246.1 laminin subunit alpha [Exaiptasia diaphana]	Morbakka_virulenta_scaffold212.g45.t1 scaffold212.g45.t1
OG0000001	Exaiptasia_diaphana_XP_020914470.1 XP_020914470.1 laminin subunit alpha-1 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold55.g42.t1 scaffold55.g42.t1
OG0000002	Exaiptasia_diaphana_XP_028518903.1 XP_028518903.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518902.1 XP_028518902.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518901.1 XP_028518901.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518900.1 XP_028518900.1 cartilage oligomeric matrix protein [Exaiptasia diaphana]	Morbakka_virulenta_scaffold353.g2.t4 scaffold353.g2.t4, Morbakka_virulenta_scaffold353.g2.t3 scaffold353.g2.t3, Morbakka_virulenta_scaffold353.g2.t1 scaffold353.g2.t1, Morbakka_virulenta_scaffold256.g1.t1 scaffold256.g1.t1
OG0000002	Exaiptasia_diaphana_XP_028518906.1 XP_028518906.1 cartilage oligomeric matrix protein [Exaiptasia diaphana]	Morbakka_virulenta_scaffold164.g26.t1 scaffold164.g26.t1
OG0000002	Exaiptasia_diaphana_XP_028519693.1 XP_028519693.1 semaphorin-5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519694.1 XP_028519694.1 semaphorin-5A [Exaiptasia diaphana]	Morbakka_virulenta_scaffold24.g105.t1 scaffold24.g105.t1
OG0000002	Exaiptasia_diaphana_XP_028516031.1 XP_028516031.1 semaphorin-3D [Exaiptasia diaphana]	Morbakka_virulenta_scaffold22.g63.t2 scaffold22.g63.t2, Morbakka_virulenta_scaffold22.g63.t3 scaffold22.g63.t3, Morbakka_virulenta_scaffold22.g63.t1 scaffold22.g63.t1
OG0000002	Exaiptasia_diaphana_XP_020893151.2 XP_020893151.2 netrin receptor UNC5A [Exaiptasia diaphana]	Morbakka_virulenta_scaffold81.g62.t1 scaffold81.g62.t1
OG0000002	Exaiptasia_diaphana_XP_020898429.1 XP_020898429.1 netrin receptor UNC5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514823.1 XP_028514823.1 uncharacterized protein LOC114574199 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold40.g72.t1 scaffold40.g72.t1
OG0000002	Exaiptasia_diaphana_XP_020908702.1 XP_020908702.1 von Willebrand factor A domain-containing protein 7 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold71.g23.t1 scaffold71.g23.t1
OG0000002	Exaiptasia_diaphana_XP_020908572.1 XP_020908572.1 coadhesin-like [Exaiptasia diaphana]	Morbakka_virulenta_scaffold218.g4.t2 scaffold218.g4.t2, Morbakka_virulenta_scaffold218.g4.t1 scaffold218.g4.t1
OG0000002	Exaiptasia_diaphana_XP_028515910.1 XP_028515910.1 uncharacterized protein LOC114575375 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519564.1 XP_028519564.1 mucin-like protein [Exaiptasia diaphana]	Morbakka_virulenta_scaffold1.g61.t1 scaffold1.g61.t1
