Orthogroup	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Anthozoa_Xenia_spec
OG0000001	Morbakka_virulenta_scaffold19.g85.t2 scaffold19.g85.t2, Morbakka_virulenta_scaffold19.g85.t4 scaffold19.g85.t4, Morbakka_virulenta_scaffold19.g85.t3 scaffold19.g85.t3, Morbakka_virulenta_scaffold19.g85.t1 scaffold19.g85.t1	Xenia_spec_Xe_003284_T1 Xe_003284_T1 Xe_003284
OG0000001	Morbakka_virulenta_scaffold161.g23.t1 scaffold161.g23.t1, Morbakka_virulenta_scaffold161.g20.t1 scaffold161.g20.t1	Xenia_spec_Xe_004331_T1 Xe_004331_T1 Xe_004331, Xenia_spec_Xe_004329_T1 Xe_004329_T1 Xe_004329, Xenia_spec_Xe_004227_T1 Xe_004227_T1 Xe_004227, Xenia_spec_Xe_004334_T1 Xe_004334_T1 Xe_004334, Xenia_spec_Xe_004333_T1 Xe_004333_T1 Xe_004333, Xenia_spec_Xe_004326_T1 Xe_004326_T1 Xe_004326, Xenia_spec_Xe_004230_T1 Xe_004230_T1 Xe_004230, Xenia_spec_Xe_004229_T1 Xe_004229_T1 Xe_004229, Xenia_spec_Xe_004209_T1 Xe_004209_T1 Xe_004209, Xenia_spec_Xe_004262_T1 Xe_004262_T1 Xe_004262, Xenia_spec_Xe_015497_T1 Xe_015497_T1 Xe_015497, Xenia_spec_Xe_015497_T2 Xe_015497_T2 Xe_015497, Xenia_spec_Xe_004687_T1 Xe_004687_T1 Xe_004687, Xenia_spec_Xe_004686_T1 Xe_004686_T1 Xe_004686
OG0000001	Morbakka_virulenta_scaffold137.g22.t1 scaffold137.g22.t1, Morbakka_virulenta_scaffold137.g22.t3 scaffold137.g22.t3, Morbakka_virulenta_scaffold137.g22.t4 scaffold137.g22.t4	Xenia_spec_Xe_004325_T1 Xe_004325_T1 Xe_004325, Xenia_spec_Xe_004232_T1 Xe_004232_T1 Xe_004232
OG0000001	Morbakka_virulenta_scaffold397.g4.t2 scaffold397.g4.t2, Morbakka_virulenta_scaffold397.g4.t1 scaffold397.g4.t1	Xenia_spec_Xe_020701_T1 Xe_020701_T1 Xe_020701
OG0000001	Morbakka_virulenta_scaffold68.g48.t2 scaffold68.g48.t2, Morbakka_virulenta_scaffold68.g48.t1 scaffold68.g48.t1	Xenia_spec_Xe_018235_T1 Xe_018235_T1 Xe_018235
OG0000001	Morbakka_virulenta_scaffold37.g39.t1 scaffold37.g39.t1	Xenia_spec_Xe_014011_T1 Xe_014011_T1 Xe_014011
OG0000001	Morbakka_virulenta_scaffold43.g67.t1 scaffold43.g67.t1, Morbakka_virulenta_scaffold43.g67.t2 scaffold43.g67.t2	Xenia_spec_Xe_011751_T1 Xe_011751_T1 Xe_011751
OG0000001	Morbakka_virulenta_scaffold35.g66.t1 scaffold35.g66.t1, Morbakka_virulenta_scaffold152.g29.t1 scaffold152.g29.t1, Morbakka_virulenta_scaffold152.g29.t2 scaffold152.g29.t2, Morbakka_virulenta_scaffold152.g29.t3 scaffold152.g29.t3	Xenia_spec_Xe_008027_T1 Xe_008027_T1 Xe_008027
OG0000001	Morbakka_virulenta_scaffold1.g52.t1 scaffold1.g52.t1, Morbakka_virulenta_scaffold1.g52.t2 scaffold1.g52.t2	Xenia_spec_Xe_008821_T1 Xe_008821_T1 Xe_008821
OG0000001	Morbakka_virulenta_scaffold212.g45.t1 scaffold212.g45.t1	Xenia_spec_Xe_007494_T1 Xe_007494_T1 Xe_007494
OG0000001	Morbakka_virulenta_scaffold55.g42.t1 scaffold55.g42.t1	Xenia_spec_Xe_002223_T1 Xe_002223_T1 Xe_002223
OG0000002	Morbakka_virulenta_scaffold353.g2.t4 scaffold353.g2.t4, Morbakka_virulenta_scaffold353.g2.t3 scaffold353.g2.t3, Morbakka_virulenta_scaffold353.g2.t1 scaffold353.g2.t1, Morbakka_virulenta_scaffold256.g1.t1 scaffold256.g1.t1	Xenia_spec_Xe_002083_T1 Xe_002083_T1 Xe_002083
OG0000002	Morbakka_virulenta_scaffold164.g26.t1 scaffold164.g26.t1	Xenia_spec_Xe_003115_T1 Xe_003115_T1 Xe_003115, Xenia_spec_Xe_003081_T1 Xe_003081_T1 Xe_003081
OG0000002	Morbakka_virulenta_scaffold143.g35.t1 scaffold143.g35.t1	Xenia_spec_Xe_002082_T1 Xe_002082_T1 Xe_002082
OG0000002	Morbakka_virulenta_scaffold24.g105.t1 scaffold24.g105.t1	Xenia_spec_Xe_009903_T1 Xe_009903_T1 Xe_009903
OG0000002	Morbakka_virulenta_scaffold81.g62.t1 scaffold81.g62.t1	Xenia_spec_Xe_009641_T1 Xe_009641_T1 Xe_009641
OG0000002	Morbakka_virulenta_scaffold71.g23.t1 scaffold71.g23.t1	Xenia_spec_Xe_013189_T1 Xe_013189_T1 Xe_013189
