Orthogroup	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Anthozoa_Stylophora_pistillata
OG0000001	Morbakka_virulenta_scaffold19.g85.t4 scaffold19.g85.t4, Morbakka_virulenta_scaffold19.g85.t3 scaffold19.g85.t3, Morbakka_virulenta_scaffold19.g85.t1 scaffold19.g85.t1	Stylophora_pistillata_Spis17368 Spis17368 SpisGene17368
OG0000001	Morbakka_virulenta_scaffold161.g23.t1 scaffold161.g23.t1, Morbakka_virulenta_scaffold161.g20.t1 scaffold161.g20.t1	Stylophora_pistillata_Spis24167 Spis24167 SpisGene24167, Stylophora_pistillata_Spis23377 Spis23377 SpisGene23377, Stylophora_pistillata_Spis19003 Spis19003 SpisGene19003
OG0000001	Morbakka_virulenta_scaffold137.g22.t2 scaffold137.g22.t2, Morbakka_virulenta_scaffold137.g22.t5 scaffold137.g22.t5, Morbakka_virulenta_scaffold137.g22.t1 scaffold137.g22.t1, Morbakka_virulenta_scaffold137.g22.t3 scaffold137.g22.t3, Morbakka_virulenta_scaffold137.g22.t4 scaffold137.g22.t4	Stylophora_pistillata_Spis14116 Spis14116 SpisGene14116
OG0000001	Morbakka_virulenta_scaffold397.g4.t2 scaffold397.g4.t2, Morbakka_virulenta_scaffold397.g4.t1 scaffold397.g4.t1	Stylophora_pistillata_Spis16034 Spis16034 SpisGene16034
OG0000001	Morbakka_virulenta_scaffold68.g48.t2 scaffold68.g48.t2, Morbakka_virulenta_scaffold68.g48.t1 scaffold68.g48.t1	Stylophora_pistillata_Spis15904 Spis15904 SpisGene15904
OG0000001	Morbakka_virulenta_scaffold37.g39.t1 scaffold37.g39.t1	Stylophora_pistillata_Spis1143 Spis1143 SpisGene1143
OG0000001	Morbakka_virulenta_scaffold99.g24.t1 scaffold99.g24.t1	Stylophora_pistillata_Spis16360 Spis16360 SpisGene16360
OG0000001	Morbakka_virulenta_scaffold624.g2.t1 scaffold624.g2.t1	Stylophora_pistillata_Spis16332 Spis16332 SpisGene16332
OG0000001	Morbakka_virulenta_scaffold476.g6.t1 scaffold476.g6.t1, Morbakka_virulenta_scaffold17.g93.t1 scaffold17.g93.t1	Stylophora_pistillata_Spis17176 Spis17176 SpisGene17176, Stylophora_pistillata_Spis16684 Spis16684 SpisGene16684, Stylophora_pistillata_Spis16687 Spis16687 SpisGene16687, Stylophora_pistillata_Spis23488 Spis23488 SpisGene23488, Stylophora_pistillata_Spis16688 Spis16688 SpisGene16688
OG0000001	Morbakka_virulenta_scaffold186.g16.t1 scaffold186.g16.t1, Morbakka_virulenta_scaffold659.g1.t1 scaffold659.g1.t1, Morbakka_virulenta_scaffold434.g12.t1 scaffold434.g12.t1	Stylophora_pistillata_Spis2957 Spis2957 SpisGene2957
OG0000001	Morbakka_virulenta_scaffold23.g77.t2 scaffold23.g77.t2, Morbakka_virulenta_scaffold23.g77.t1 scaffold23.g77.t1, Morbakka_virulenta_scaffold6.g122.t1 scaffold6.g122.t1	Stylophora_pistillata_Spis12987 Spis12987 SpisGene12987
OG0000001	Morbakka_virulenta_scaffold186.g15.t2 scaffold186.g15.t2, Morbakka_virulenta_scaffold186.g15.t4 scaffold186.g15.t4, Morbakka_virulenta_scaffold186.g15.t3 scaffold186.g15.t3	Stylophora_pistillata_Spis14826.t2 Spis14826.t2 SpisGene14826
OG0000001	Morbakka_virulenta_scaffold398.g7.t1 scaffold398.g7.t1	Stylophora_pistillata_Spis19493 Spis19493 SpisGene19493
OG0000001	Morbakka_virulenta_scaffold43.g67.t1 scaffold43.g67.t1, Morbakka_virulenta_scaffold43.g67.t2 scaffold43.g67.t2	Stylophora_pistillata_Spis2356 Spis2356 SpisGene2356
OG0000001	Morbakka_virulenta_scaffold35.g66.t1 scaffold35.g66.t1	Stylophora_pistillata_Spis313 Spis313 SpisGene313
OG0000001	Morbakka_virulenta_scaffold152.g29.t1 scaffold152.g29.t1, Morbakka_virulenta_scaffold152.g29.t2 scaffold152.g29.t2, Morbakka_virulenta_scaffold152.g29.t3 scaffold152.g29.t3	Stylophora_pistillata_Spis312 Spis312 SpisGene312
OG0000001	Morbakka_virulenta_scaffold1.g52.t1 scaffold1.g52.t1, Morbakka_virulenta_scaffold1.g52.t2 scaffold1.g52.t2	Stylophora_pistillata_Spis315 Spis315 SpisGene315
OG0000001	Morbakka_virulenta_scaffold212.g45.t1 scaffold212.g45.t1	Stylophora_pistillata_Spis22126 Spis22126 SpisGene22126
OG0000001	Morbakka_virulenta_scaffold55.g42.t1 scaffold55.g42.t1	Stylophora_pistillata_Spis645.t2 Spis645.t2 SpisGene645
OG0000002	Morbakka_virulenta_scaffold353.g2.t4 scaffold353.g2.t4, Morbakka_virulenta_scaffold353.g2.t3 scaffold353.g2.t3, Morbakka_virulenta_scaffold353.g2.t1 scaffold353.g2.t1, Morbakka_virulenta_scaffold256.g1.t1 scaffold256.g1.t1	Stylophora_pistillata_Spis3382 Spis3382 SpisGene3382
OG0000002	Morbakka_virulenta_scaffold166.g9.t1 scaffold166.g9.t1	Stylophora_pistillata_Spis10996 Spis10996 SpisGene10996, Stylophora_pistillata_Spis19048 Spis19048 SpisGene19048
OG0000002	Morbakka_virulenta_scaffold164.g26.t1 scaffold164.g26.t1	Stylophora_pistillata_Spis3385.t1 Spis3385.t1 SpisGene3385
OG0000002	Morbakka_virulenta_scaffold24.g105.t1 scaffold24.g105.t1	Stylophora_pistillata_Spis10820 Spis10820 SpisGene10820
OG0000002	Morbakka_virulenta_scaffold22.g63.t2 scaffold22.g63.t2, Morbakka_virulenta_scaffold22.g63.t3 scaffold22.g63.t3, Morbakka_virulenta_scaffold22.g63.t1 scaffold22.g63.t1	Stylophora_pistillata_Spis372 Spis372 SpisGene372
OG0000002	Morbakka_virulenta_scaffold81.g62.t1 scaffold81.g62.t1	Stylophora_pistillata_Spis10500 Spis10500 SpisGene10500
OG0000002	Morbakka_virulenta_scaffold71.g23.t1 scaffold71.g23.t1	Stylophora_pistillata_Spis4974 Spis4974 SpisGene4974, Stylophora_pistillata_Spis9568 Spis9568 SpisGene9568, Stylophora_pistillata_Spis14369 Spis14369 SpisGene14369
OG0000002	Morbakka_virulenta_scaffold326.g8.t4 scaffold326.g8.t4, Morbakka_virulenta_scaffold326.g8.t3 scaffold326.g8.t3	Stylophora_pistillata_Spis16680 Spis16680 SpisGene16680
OG0000002	Morbakka_virulenta_scaffold381.g2.t1 scaffold381.g2.t1	Stylophora_pistillata_Spis12981 Spis12981 SpisGene12981, Stylophora_pistillata_Spis12983 Spis12983 SpisGene12983, Stylophora_pistillata_Spis10028 Spis10028 SpisGene10028, Stylophora_pistillata_Spis23313 Spis23313 SpisGene23313, Stylophora_pistillata_Spis3168 Spis3168 SpisGene3168, Stylophora_pistillata_Spis2482 Spis2482 SpisGene2482
OG0000002	Morbakka_virulenta_scaffold15.g40.t1 scaffold15.g40.t1, Morbakka_virulenta_scaffold44.g87.t5 scaffold44.g87.t5, Morbakka_virulenta_scaffold44.g87.t4 scaffold44.g87.t4, Morbakka_virulenta_scaffold44.g87.t3 scaffold44.g87.t3, Morbakka_virulenta_scaffold44.g87.t2 scaffold44.g87.t2	Stylophora_pistillata_Spis12792 Spis12792 SpisGene12792
OG0000003	Morbakka_virulenta_scaffold3.g19.t1 scaffold3.g19.t1	Stylophora_pistillata_Spis11319 Spis11319 SpisGene11319
OG0000003	Morbakka_virulenta_scaffold138.g37.t1 scaffold138.g37.t1	Stylophora_pistillata_Spis4789 Spis4789 SpisGene4789
OG0000003	Morbakka_virulenta_scaffold4.g126.t1 scaffold4.g126.t1, Morbakka_virulenta_scaffold4.g126.t2 scaffold4.g126.t2	Stylophora_pistillata_Spis15966 Spis15966 SpisGene15966
OG0000003	Morbakka_virulenta_scaffold45.g61.t1 scaffold45.g61.t1	Stylophora_pistillata_Spis14636 Spis14636 SpisGene14636
OG0000003	Morbakka_virulenta_scaffold481.g4.t2 scaffold481.g4.t2, Morbakka_virulenta_scaffold481.g4.t1 scaffold481.g4.t1	Stylophora_pistillata_Spis3605 Spis3605 SpisGene3605, Stylophora_pistillata_Spis3607 Spis3607 SpisGene3607
OG0000003	Morbakka_virulenta_scaffold35.g61.t1 scaffold35.g61.t1, Morbakka_virulenta_scaffold35.g61.t3 scaffold35.g61.t3	Stylophora_pistillata_Spis7146.t1 Spis7146.t1 SpisGene7146
OG0000003	Morbakka_virulenta_scaffold163.g30.t1 scaffold163.g30.t1	Stylophora_pistillata_Spis25012 Spis25012 SpisGene25012
OG0000003	Morbakka_virulenta_scaffold252.g1.t1 scaffold252.g1.t1	Stylophora_pistillata_Spis22322 Spis22322 SpisGene22322, Stylophora_pistillata_Spis22423 Spis22423 SpisGene22423, Stylophora_pistillata_Spis22351 Spis22351 SpisGene22351, Stylophora_pistillata_Spis22421 Spis22421 SpisGene22421, Stylophora_pistillata_Spis19258 Spis19258 SpisGene19258, Stylophora_pistillata_Spis15693 Spis15693 SpisGene15693, Stylophora_pistillata_Spis15691 Spis15691 SpisGene15691, Stylophora_pistillata_Spis20399 Spis20399 SpisGene20399, Stylophora_pistillata_Spis22352 Spis22352 SpisGene22352
OG0000004	Morbakka_virulenta_scaffold216.g32.t1 scaffold216.g32.t1	Stylophora_pistillata_Spis13211 Spis13211 SpisGene13211, Stylophora_pistillata_Spis20566 Spis20566 SpisGene20566
OG0000004	Morbakka_virulenta_scaffold19.g42.t1 scaffold19.g42.t1, Morbakka_virulenta_scaffold409.g9.t1 scaffold409.g9.t1, Morbakka_virulenta_scaffold19.g44.t1 scaffold19.g44.t1, Morbakka_virulenta_scaffold19.g33.t1 scaffold19.g33.t1, Morbakka_virulenta_scaffold19.g33.t2 scaffold19.g33.t2, Morbakka_virulenta_scaffold19.g46.t1 scaffold19.g46.t1, Morbakka_virulenta_scaffold19.g46.t2 scaffold19.g46.t2	Stylophora_pistillata_Spis5789.t1 Spis5789.t1 SpisGene5789
OG0000004	Morbakka_virulenta_scaffold109.g53.t1 scaffold109.g53.t1	Stylophora_pistillata_Spis22146.t1 Spis22146.t1 SpisGene22146, Stylophora_pistillata_Spis1349 Spis1349 SpisGene1349
OG0000004	Morbakka_virulenta_scaffold495.g5.t1 scaffold495.g5.t1	Stylophora_pistillata_Spis13182 Spis13182 SpisGene13182
OG0000004	Morbakka_virulenta_scaffold292.g12.t1 scaffold292.g12.t1	Stylophora_pistillata_Spis8899 Spis8899 SpisGene8899, Stylophora_pistillata_Spis30 Spis30 SpisGene30
OG0000004	Morbakka_virulenta_scaffold86.g35.t1 scaffold86.g35.t1	Stylophora_pistillata_Spis11895 Spis11895 SpisGene11895
OG0000004	Morbakka_virulenta_scaffold152.g33.t1 scaffold152.g33.t1, Morbakka_virulenta_scaffold152.g33.t2 scaffold152.g33.t2	Stylophora_pistillata_Spis8457 Spis8457 SpisGene8457
