Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Ctenophora_Tentaculata_Pleurobrachia_bachei
OG0000001	Hydra_vulgaris_Sc4wPfr_1127.g22555.t1 Sc4wPfr_1127.g22555.t1	Pleurobrachia_bachei_sb_2652422_ sb_2652422_
OG0000001	Hydra_vulgaris_Sc4wPfr_641.g16807.t1 Sc4wPfr_641.g16807.t1	Pleurobrachia_bachei_sb_2667052_ sb_2667052_, Pleurobrachia_bachei_sb_2641560_ sb_2641560_
OG0000001	Hydra_vulgaris_Sc4wPfr_328.2.g12077.t1 Sc4wPfr_328.2.g12077.t1	Pleurobrachia_bachei_sb_2656958_ sb_2656958_, Pleurobrachia_bachei_sb_2651191_ sb_2651191_
OG0000001	Hydra_vulgaris_Sc4wPfr_447.g28994.t1 Sc4wPfr_447.g28994.t1	Pleurobrachia_bachei_sb_2640766_ sb_2640766_
OG0000002	Hydra_vulgaris_Sc4wPfr_514.g14422.t1 Sc4wPfr_514.g14422.t1	Pleurobrachia_bachei_sb_2656797_ sb_2656797_, Pleurobrachia_bachei_sb_2657716_ sb_2657716_, Pleurobrachia_bachei_sb_2656175_ sb_2656175_, Pleurobrachia_bachei_sb_2666978_ sb_2666978_, Pleurobrachia_bachei_sb_2657496_ sb_2657496_
OG0000002	Hydra_vulgaris_Sc4wPfr_48.g30233.t1 Sc4wPfr_48.g30233.t1, Hydra_vulgaris_Sc4wPfr_175.1.g31517.t1 Sc4wPfr_175.1.g31517.t1, Hydra_vulgaris_Sc4wPfr_1747.g1269.t1 Sc4wPfr_1747.g1269.t1	Pleurobrachia_bachei_sb_2638781_ sb_2638781_
OG0000002	Hydra_vulgaris_Sc4wPfr_16.3.g17418.t1 Sc4wPfr_16.3.g17418.t1	Pleurobrachia_bachei_sb_2641978_ sb_2641978_, Pleurobrachia_bachei_sb_2638179_ sb_2638179_
OG0000002	Hydra_vulgaris_Sc4wPfr_654.g18231.t1 Sc4wPfr_654.g18231.t1	Pleurobrachia_bachei_sb_2650841_ sb_2650841_, Pleurobrachia_bachei_sb_2641280_ sb_2641280_, Pleurobrachia_bachei_sb_2645200_ sb_2645200_, Pleurobrachia_bachei_sb_2665050_ sb_2665050_
OG0000002	Hydra_vulgaris_Sc4wPfr_881.g1673.t1 Sc4wPfr_881.g1673.t1	Pleurobrachia_bachei_sb_2643333_ sb_2643333_, Pleurobrachia_bachei_sb_2655712_ sb_2655712_, Pleurobrachia_bachei_sb_2649228_ sb_2649228_, Pleurobrachia_bachei_sb_2661683_ sb_2661683_, Pleurobrachia_bachei_sb_2659647_ sb_2659647_
OG0000003	Hydra_vulgaris_Sc4wPfr_1968.g26006.t1 Sc4wPfr_1968.g26006.t1	Pleurobrachia_bachei_sb_2648001_ sb_2648001_, Pleurobrachia_bachei_sb_2646835_ sb_2646835_
OG0000003	Hydra_vulgaris_Sc4wPfr_198.g23280.t1 Sc4wPfr_198.g23280.t1	Pleurobrachia_bachei_sb_2660103_ sb_2660103_, Pleurobrachia_bachei_sb_2661433_ sb_2661433_, Pleurobrachia_bachei_sb_2643938_ sb_2643938_
OG0000003	Hydra_vulgaris_Sc4wPfr_1300.g9827.t1 Sc4wPfr_1300.g9827.t1, Hydra_vulgaris_Sc4wPfr_1300.g9822.t1 Sc4wPfr_1300.g9822.t1, Hydra_vulgaris_Sc4wPfr_38.1.g13212.t4 Sc4wPfr_38.1.g13212.t4, Hydra_vulgaris_Sc4wPfr_174.g11872.t1 Sc4wPfr_174.g11872.t1	Pleurobrachia_bachei_sb_2665626_ sb_2665626_
OG0000003	Hydra_vulgaris_Sc4wPfr_597.2.g14346.t1 Sc4wPfr_597.2.g14346.t1	Pleurobrachia_bachei_sb_2659118_ sb_2659118_, Pleurobrachia_bachei_sb_2655921_ sb_2655921_
OG0000005	Hydra_vulgaris_Sc4wPfr_703.g8971.t1 Sc4wPfr_703.g8971.t1	Pleurobrachia_bachei_sb_2653163_ sb_2653163_, Pleurobrachia_bachei_sb_2665088_ sb_2665088_
OG0000005	Hydra_vulgaris_Sc4wPfr_377.g82.t1 Sc4wPfr_377.g82.t1	Pleurobrachia_bachei_sb_2663304_ sb_2663304_
OG0000005	Hydra_vulgaris_Sc4wPfr_264.g27426.t1 Sc4wPfr_264.g27426.t1, Hydra_vulgaris_Sc4wPfr_59.2.g12499.t1 Sc4wPfr_59.2.g12499.t1, Hydra_vulgaris_Sc4wPfr_59.2.g12506.t1 Sc4wPfr_59.2.g12506.t1, Hydra_vulgaris_Sc4wPfr_950.g24023.t2 Sc4wPfr_950.g24023.t2, Hydra_vulgaris_Sc4wPfr_950.g24023.t1 Sc4wPfr_950.g24023.t1, Hydra_vulgaris_Sc4wPfr_950.g24022.t1 Sc4wPfr_950.g24022.t1, Hydra_vulgaris_Sc4wPfr_264.g27426.t2 Sc4wPfr_264.g27426.t2	Pleurobrachia_bachei_sb_2661175_ sb_2661175_
OG0000009	Hydra_vulgaris_Sc4wPfr_175.g6382.t1 Sc4wPfr_175.g6382.t1, Hydra_vulgaris_Sc4wPfr_175.g6382.t2 Sc4wPfr_175.g6382.t2, Hydra_vulgaris_Sc4wPfr_38.1.g13212.t1 Sc4wPfr_38.1.g13212.t1, Hydra_vulgaris_Sc4wPfr_38.1.g13212.t2 Sc4wPfr_38.1.g13212.t2	Pleurobrachia_bachei_sb_2644938_ sb_2644938_, Pleurobrachia_bachei_sb_2644939_ sb_2644939_
OG0000010	Hydra_vulgaris_Sc4wPfr_1300.g9811.t1 Sc4wPfr_1300.g9811.t1, Hydra_vulgaris_Sc4wPfr_1300.g9811.t2 Sc4wPfr_1300.g9811.t2	Pleurobrachia_bachei_sb_2644187_ sb_2644187_, Pleurobrachia_bachei_sb_2652668_ sb_2652668_
OG0000010	Hydra_vulgaris_Sc4wPfr_5.g3410.t1 Sc4wPfr_5.g3410.t1	Pleurobrachia_bachei_sb_2653999_ sb_2653999_
OG0000011	Hydra_vulgaris_Sc4wPfr_439.g20742.t1 Sc4wPfr_439.g20742.t1	Pleurobrachia_bachei_sb_2642560_ sb_2642560_, Pleurobrachia_bachei_sb_2648030_ sb_2648030_, Pleurobrachia_bachei_sb_2669700_ sb_2669700_, Pleurobrachia_bachei_sb_2649758_ sb_2649758_, Pleurobrachia_bachei_sb_2669701_ sb_2669701_
OG0000012	Hydra_vulgaris_Sc4wPfr_309.g10778.t1 Sc4wPfr_309.g10778.t1, Hydra_vulgaris_Sc4wPfr_977.g21608.t1 Sc4wPfr_977.g21608.t1, Hydra_vulgaris_Sc4wPfr_363.2.g30334.t1 Sc4wPfr_363.2.g30334.t1	Pleurobrachia_bachei_sb_2646755_ sb_2646755_, Pleurobrachia_bachei_sb_2666898_ sb_2666898_, Pleurobrachia_bachei_sb_2651486_ sb_2651486_, Pleurobrachia_bachei_sb_2648597_ sb_2648597_
OG0000012	Hydra_vulgaris_Sc4wPfr_68.g2367.t1 Sc4wPfr_68.g2367.t1, Hydra_vulgaris_Sc4wPfr_68.g2364.t1 Sc4wPfr_68.g2364.t1	Pleurobrachia_bachei_sb_2662653_ sb_2662653_, Pleurobrachia_bachei_sb_2662654_ sb_2662654_, Pleurobrachia_bachei_sb_2662655_ sb_2662655_, Pleurobrachia_bachei_sb_2650533_ sb_2650533_, Pleurobrachia_bachei_sb_2642902_ sb_2642902_, Pleurobrachia_bachei_sb_2653924_ sb_2653924_, Pleurobrachia_bachei_sb_2638518_ sb_2638518_, Pleurobrachia_bachei_sb_2669102_ sb_2669102_, Pleurobrachia_bachei_sb_2647317_ sb_2647317_, Pleurobrachia_bachei_sb_2649652_ sb_2649652_, Pleurobrachia_bachei_sb_2648688_ sb_2648688_, Pleurobrachia_bachei_sb_2663772_ sb_2663772_, Pleurobrachia_bachei_sb_2643491_ sb_2643491_, Pleurobrachia_bachei_sb_2668726_ sb_2668726_
OG0000012	Hydra_vulgaris_Sc4wPfr_977.g21610.t1 Sc4wPfr_977.g21610.t1	Pleurobrachia_bachei_sb_2652483_ sb_2652483_
OG0000013	Hydra_vulgaris_Sc4wPfr_68.g2322.t1 Sc4wPfr_68.g2322.t1, Hydra_vulgaris_Sc4wPfr_68.g2320.t1 Sc4wPfr_68.g2320.t1, Hydra_vulgaris_Sc4wPfr_224.1.g33373.t1 Sc4wPfr_224.1.g33373.t1	Pleurobrachia_bachei_sb_2669302_ sb_2669302_
OG0000015	Hydra_vulgaris_Sc4wPfr_330.g6850.t1 Sc4wPfr_330.g6850.t1	Pleurobrachia_bachei_sb_2660647_ sb_2660647_
OG0000015	Hydra_vulgaris_Sc4wPfr_1593.g7872.t1 Sc4wPfr_1593.g7872.t1	Pleurobrachia_bachei_sb_2660649_ sb_2660649_
OG0000016	Hydra_vulgaris_Sc4wPfr_104.g15015.t1 Sc4wPfr_104.g15015.t1, Hydra_vulgaris_Sc4wPfr_2253.g19973.t1 Sc4wPfr_2253.g19973.t1, Hydra_vulgaris_Sc4wPfr_1100.g15590.t1 Sc4wPfr_1100.g15590.t1	Pleurobrachia_bachei_sb_2665574_ sb_2665574_
OG0000017	Hydra_vulgaris_Sc4wPfr_463.g30874.t1 Sc4wPfr_463.g30874.t1	Pleurobrachia_bachei_sb_2668718_ sb_2668718_, Pleurobrachia_bachei_sb_2664007_ sb_2664007_, Pleurobrachia_bachei_sb_2644899_ sb_2644899_, Pleurobrachia_bachei_sb_2662118_ sb_2662118_
OG0000019	Hydra_vulgaris_Sc4wPfr_292.g13083.t1 Sc4wPfr_292.g13083.t1, Hydra_vulgaris_Sc4wPfr_825.g15293.t1 Sc4wPfr_825.g15293.t1, Hydra_vulgaris_Sc4wPfr_1127.1.g1473.t1 Sc4wPfr_1127.1.g1473.t1	Pleurobrachia_bachei_sb_2656361_ sb_2656361_, Pleurobrachia_bachei_sb_2666226_ sb_2666226_, Pleurobrachia_bachei_sb_2659869_ sb_2659869_, Pleurobrachia_bachei_sb_2647435_ sb_2647435_
OG0000019	Hydra_vulgaris_Sc4wPfr_1127.1.g1463.t1 Sc4wPfr_1127.1.g1463.t1, Hydra_vulgaris_Sc4wPfr_467.g16222.t1 Sc4wPfr_467.g16222.t1, Hydra_vulgaris_Sc4wPfr_628.g32876.t1 Sc4wPfr_628.g32876.t1, Hydra_vulgaris_Sc4wPfr_628.g32877.t1 Sc4wPfr_628.g32877.t1, Hydra_vulgaris_Sc4wPfr_628.g32875.t1 Sc4wPfr_628.g32875.t1, Hydra_vulgaris_Sc4wPfr_121.g2830.t1 Sc4wPfr_121.g2830.t1, Hydra_vulgaris_Sc4wPfr_639.g22916.t1 Sc4wPfr_639.g22916.t1	Pleurobrachia_bachei_sb_2641584_ sb_2641584_
OG0000021	Hydra_vulgaris_Sc4wPfr_597.2.g14347.t1 Sc4wPfr_597.2.g14347.t1	Pleurobrachia_bachei_sb_2656801_ sb_2656801_
OG0000022	Hydra_vulgaris_Sc4wPfr_181.2.g21314.t1 Sc4wPfr_181.2.g21314.t1	Pleurobrachia_bachei_sb_2639090_ sb_2639090_, Pleurobrachia_bachei_sb_2646697_ sb_2646697_, Pleurobrachia_bachei_sb_2657768_ sb_2657768_, Pleurobrachia_bachei_sb_2659001_ sb_2659001_
