Orthogroup	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Anthozoa_Acropora_digitifera
OG0000000	Clytia_hemispherica_TCONS_00053667-protein TCONS_00053667-protein	Acropora_digitifera_adi_v1.18297 adi_v1.18297, Acropora_digitifera_adi_v1.24356 adi_v1.24356
OG0000000	Clytia_hemispherica_TCONS_00047229-protein TCONS_00047229-protein, Clytia_hemispherica_TCONS_00035351-protein TCONS_00035351-protein, Clytia_hemispherica_TCONS_00072749-protein TCONS_00072749-protein, Clytia_hemispherica_TCONS_00060419-protein TCONS_00060419-protein, Clytia_hemispherica_TCONS_00027220-protein TCONS_00027220-protein, Clytia_hemispherica_TCONS_00019639-protein TCONS_00019639-protein, Clytia_hemispherica_TCONS_00041903-protein TCONS_00041903-protein, Clytia_hemispherica_TCONS_00055631-protein TCONS_00055631-protein, Clytia_hemispherica_TCONS_00017249-protein TCONS_00017249-protein, Clytia_hemispherica_TCONS_00071837-protein TCONS_00071837-protein, Clytia_hemispherica_TCONS_00011360-protein TCONS_00011360-protein, Clytia_hemispherica_TCONS_00060455-protein TCONS_00060455-protein, Clytia_hemispherica_TCONS_00032431-protein TCONS_00032431-protein, Clytia_hemispherica_TCONS_00062122-protein TCONS_00062122-protein, Clytia_hemispherica_TCONS_00006663-protein TCONS_00006663-protein, Clytia_hemispherica_TCONS_00015470-protein TCONS_00015470-protein, Clytia_hemispherica_TCONS_00021098-protein TCONS_00021098-protein, Clytia_hemispherica_TCONS_00022251-protein TCONS_00022251-protein, Clytia_hemispherica_TCONS_00031046-protein TCONS_00031046-protein, Clytia_hemispherica_TCONS_00056773-protein TCONS_00056773-protein, Clytia_hemispherica_TCONS_00049966-protein TCONS_00049966-protein	Acropora_digitifera_adi_v1.19827 adi_v1.19827
OG0000001	Clytia_hemispherica_TCONS_00049799-protein TCONS_00049799-protein	Acropora_digitifera_adi_v1.19636 adi_v1.19636
OG0000001	Clytia_hemispherica_TCONS_00002943-protein TCONS_00002943-protein, Clytia_hemispherica_TCONS_00011288-protein TCONS_00011288-protein, Clytia_hemispherica_TCONS_00068399-protein TCONS_00068399-protein	Acropora_digitifera_adi_v1.16442 adi_v1.16442, Acropora_digitifera_adi_v1.14600 adi_v1.14600
OG0000001	Clytia_hemispherica_TCONS_00065163-protein TCONS_00065163-protein	Acropora_digitifera_adi_v1.11962 adi_v1.11962
OG0000001	Clytia_hemispherica_TCONS_00067647-protein TCONS_00067647-protein	Acropora_digitifera_adi_v1.04637 adi_v1.04637
OG0000001	Clytia_hemispherica_TCONS_00062616-protein TCONS_00062616-protein	Acropora_digitifera_adi_v1.00967 adi_v1.00967
OG0000001	Clytia_hemispherica_TCONS_00020139-protein TCONS_00020139-protein, Clytia_hemispherica_TCONS_00072631-protein TCONS_00072631-protein	Acropora_digitifera_adi_v1.03506 adi_v1.03506
OG0000001	Clytia_hemispherica_TCONS_00027713-protein TCONS_00027713-protein	Acropora_digitifera_adi_v1.16238 adi_v1.16238, Acropora_digitifera_adi_v1.00487 adi_v1.00487, Acropora_digitifera_adi_v1.13699 adi_v1.13699, Acropora_digitifera_adi_v1.10217 adi_v1.10217, Acropora_digitifera_adi_v1.15607 adi_v1.15607, Acropora_digitifera_adi_v1.19548 adi_v1.19548, Acropora_digitifera_adi_v1.09422 adi_v1.09422
OG0000001	Clytia_hemispherica_TCONS_00020951-protein TCONS_00020951-protein	Acropora_digitifera_adi_v1.20924 adi_v1.20924, Acropora_digitifera_adi_v1.22909 adi_v1.22909, Acropora_digitifera_adi_v1.17200 adi_v1.17200, Acropora_digitifera_adi_v1.22911 adi_v1.22911
OG0000001	Clytia_hemispherica_TCONS_00017274-protein TCONS_00017274-protein	Acropora_digitifera_adi_v1.11082 adi_v1.11082
OG0000001	Clytia_hemispherica_TCONS_00011362-protein TCONS_00011362-protein	Acropora_digitifera_adi_v1.10769 adi_v1.10769
OG0000001	Clytia_hemispherica_TCONS_00067350-protein TCONS_00067350-protein	Acropora_digitifera_adi_v1.06175 adi_v1.06175
OG0000001	Clytia_hemispherica_TCONS_00004794-protein TCONS_00004794-protein	Acropora_digitifera_adi_v1.11383 adi_v1.11383
OG0000001	Clytia_hemispherica_TCONS_00056933-protein TCONS_00056933-protein	Acropora_digitifera_adi_v1.19391 adi_v1.19391, Acropora_digitifera_adi_v1.06434 adi_v1.06434
OG0000002	Clytia_hemispherica_TCONS_00055165-protein TCONS_00055165-protein, Clytia_hemispherica_TCONS_00027170-protein TCONS_00027170-protein	Acropora_digitifera_adi_v1.12948 adi_v1.12948
