Orthogroup	Porifera_Demospongiae_Amphimedon_queenslandica	Cnidaria_Anthozoa_Xenia_spec
OG0000000	Amphimedon_queenslandica_tr_A0A1X7VG26_A0A1X7VG26_AMPQE tr_A0A1X7VG26_A0A1X7VG26_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100632699 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TP62_A0A1X7TP62_AMPQE tr_A0A1X7TP62_A0A1X7TP62_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Xenia_spec_Xe_009126_T1 Xe_009126_T1 Xe_009126
OG0000000	Amphimedon_queenslandica_tr_A0A1X7ULD6_A0A1X7ULD6_AMPQE tr_A0A1X7ULD6_A0A1X7ULD6_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105313195 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UNX5_A0A1X7UNX5_AMPQE tr_A0A1X7UNX5_A0A1X7UNX5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VAP0_A0A1X7VAP0_AMPQE tr_A0A1X7VAP0_A0A1X7VAP0_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100637828 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UEI3_A0A1X7UEI3_AMPQE tr_A0A1X7UEI3_A0A1X7UEI3_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TEI7_A0A1X7TEI7_AMPQE tr_A0A1X7TEI7_A0A1X7TEI7_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SPQ0_A0A1X7SPQ0_AMPQE tr_A0A1X7SPQ0_A0A1X7SPQ0_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TF91_A0A1X7TF91_AMPQE tr_A0A1X7TF91_A0A1X7TF91_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UXI6_A0A1X7UXI6_AMPQE tr_A0A1X7UXI6_A0A1X7UXI6_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UYQ5_A0A1X7UYQ5_AMPQE tr_A0A1X7UYQ5_A0A1X7UYQ5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100632538 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TTH3_A0A1X7TTH3_AMPQE tr_A0A1X7TTH3_A0A1X7TTH3_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TT50_A0A1X7TT50_AMPQE tr_A0A1X7TT50_A0A1X7TT50_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100639626 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U6Q1_A0A1X7U6Q1_AMPQE tr_A0A1X7U6Q1_A0A1X7U6Q1_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U6Q6_A0A1X7U6Q6_AMPQE tr_A0A1X7U6Q6_A0A1X7U6Q6_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T854_A0A1X7T854_AMPQE tr_A0A1X7T854_A0A1X7T854_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100637814 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U6G7_A0A1X7U6G7_AMPQE tr_A0A1X7U6G7_A0A1X7U6G7_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105313870 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TRL5_A0A1X7TRL5_AMPQE tr_A0A1X7TRL5_A0A1X7TRL5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100634289 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U772_A0A1X7U772_AMPQE tr_A0A1X7U772_A0A1X7U772_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105313869 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TNT2_A0A1X7TNT2_AMPQE tr_A0A1X7TNT2_A0A1X7TNT2_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100639582 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7STA5_A0A1X7STA5_AMPQE tr_A0A1X7STA5_A0A1X7STA5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TF57_A0A1X7TF57_AMPQE tr_A0A1X7TF57_A0A1X7TF57_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100633103 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T456_A0A1X7T456_AMPQE tr_A0A1X7T456_A0A1X7T456_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U0N8_A0A1X7U0N8_AMPQE tr_A0A1X7U0N8_A0A1X7U0N8_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105314125 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U0C2_A0A1X7U0C2_AMPQE tr_A0A1X7U0C2_A0A1X7U0C2_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TP65_A0A1X7TP65_AMPQE tr_A0A1X7TP65_A0A1X7TP65_AMPQE Arpin OS=Amphimedon queenslandica OX=400682 PE=3 SV=1, Amphimedon_queenslandica_tr_A0A1X7U606_A0A1X7U606_AMPQE tr_A0A1X7U606_A0A1X7U606_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T8J7_A0A1X7T8J7_AMPQE tr_A0A1X7T8J7_A0A1X7T8J7_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Xenia_spec_Xe_009140_T1 Xe_009140_T1 Xe_009140
OG0000001	Amphimedon_queenslandica_tr_A0A1X7VTD0_A0A1X7VTD0_AMPQE tr_A0A1X7VTD0_A0A1X7VTD0_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=105314164 PE=4 SV=1	Xenia_spec_Xe_003284_T1 Xe_003284_T1 Xe_003284
OG0000001	Amphimedon_queenslandica_tr_A0A1X7VJK8_A0A1X7VJK8_AMPQE tr_A0A1X7VJK8_A0A1X7VJK8_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VJP3_A0A1X7VJP3_AMPQE tr_A0A1X7VJP3_A0A1X7VJP3_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7ULH8_A0A1X7ULH8_AMPQE tr_A0A1X7ULH8_A0A1X7ULH8_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=3 SV=1, Amphimedon_queenslandica_tr_A0A1X7VI68_A0A1X7VI68_AMPQE tr_A0A1X7VI68_A0A1X7VI68_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Xenia_spec_Xe_014520_T1 Xe_014520_T1 Xe_014520
OG0000001	Amphimedon_queenslandica_tr_A0A1X7UXM0_A0A1X7UXM0_AMPQE tr_A0A1X7UXM0_A0A1X7UXM0_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=105312708 PE=4 SV=1	Xenia_spec_Xe_011751_T1 Xe_011751_T1 Xe_011751
OG0000001	Amphimedon_queenslandica_tr_A0A1X7VK58_A0A1X7VK58_AMPQE tr_A0A1X7VK58_A0A1X7VK58_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=109580252 PE=4 SV=1	Xenia_spec_Xe_020157_T1 Xe_020157_T1 Xe_020157
OG0000001	Amphimedon_queenslandica_tr_A0A1X7SK21_A0A1X7SK21_AMPQE tr_A0A1X7SK21_A0A1X7SK21_AMPQE Laminin EGF-like domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Xenia_spec_Xe_008027_T1 Xe_008027_T1 Xe_008027, Xenia_spec_Xe_016511_T1 Xe_016511_T1 Xe_016511, Xenia_spec_Xe_008821_T1 Xe_008821_T1 Xe_008821, Xenia_spec_Xe_007494_T1 Xe_007494_T1 Xe_007494, Xenia_spec_Xe_002223_T1 Xe_002223_T1 Xe_002223
OG0000002	Amphimedon_queenslandica_tr_A0A1X7T8F3_A0A1X7T8F3_AMPQE tr_A0A1X7T8F3_A0A1X7T8F3_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SPA1_A0A1X7SPA1_AMPQE tr_A0A1X7SPA1_A0A1X7SPA1_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Xenia_spec_Xe_009903_T1 Xe_009903_T1 Xe_009903
OG0000002	Amphimedon_queenslandica_tr_A0A1X7U240_A0A1X7U240_AMPQE tr_A0A1X7U240_A0A1X7U240_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100632678 PE=3 SV=1	Xenia_spec_Xe_012746_T1 Xe_012746_T1 Xe_012746
