Orthogroup	Cnidaria_Cubozoa_Morbakka_virulenta	Ctenophora_Tentaculata_Pleurobrachia_bachei
OG0000001	Morbakka_virulenta_scaffold626.g1.t2 scaffold626.g1.t2	Pleurobrachia_bachei_sb_2639858_ sb_2639858_, Pleurobrachia_bachei_sb_2654211_ sb_2654211_
OG0000001	Morbakka_virulenta_scaffold19.g85.t2 scaffold19.g85.t2, Morbakka_virulenta_scaffold19.g85.t4 scaffold19.g85.t4, Morbakka_virulenta_scaffold19.g85.t3 scaffold19.g85.t3, Morbakka_virulenta_scaffold19.g85.t1 scaffold19.g85.t1	Pleurobrachia_bachei_sb_2652422_ sb_2652422_
OG0000001	Morbakka_virulenta_scaffold186.g17.t1 scaffold186.g17.t1, Morbakka_virulenta_scaffold434.g16.t1 scaffold434.g16.t1	Pleurobrachia_bachei_sb_2648385_ sb_2648385_, Pleurobrachia_bachei_sb_2665366_ sb_2665366_
OG0000001	Morbakka_virulenta_scaffold1.g52.t1 scaffold1.g52.t1, Morbakka_virulenta_scaffold1.g52.t2 scaffold1.g52.t2	Pleurobrachia_bachei_sb_2656958_ sb_2656958_, Pleurobrachia_bachei_sb_2651191_ sb_2651191_
OG0000001	Morbakka_virulenta_scaffold212.g45.t1 scaffold212.g45.t1	Pleurobrachia_bachei_sb_2640766_ sb_2640766_
OG0000002	Morbakka_virulenta_scaffold353.g2.t4 scaffold353.g2.t4, Morbakka_virulenta_scaffold353.g2.t3 scaffold353.g2.t3, Morbakka_virulenta_scaffold353.g2.t1 scaffold353.g2.t1, Morbakka_virulenta_scaffold256.g1.t1 scaffold256.g1.t1, Morbakka_virulenta_scaffold166.g9.t1 scaffold166.g9.t1	Pleurobrachia_bachei_sb_2656797_ sb_2656797_, Pleurobrachia_bachei_sb_2657716_ sb_2657716_, Pleurobrachia_bachei_sb_2656175_ sb_2656175_, Pleurobrachia_bachei_sb_2666978_ sb_2666978_, Pleurobrachia_bachei_sb_2657496_ sb_2657496_
OG0000002	Morbakka_virulenta_scaffold166.g7.t2 scaffold166.g7.t2, Morbakka_virulenta_scaffold166.g7.t1 scaffold166.g7.t1	Pleurobrachia_bachei_sb_2659350_ sb_2659350_
OG0000002	Morbakka_virulenta_scaffold479.g8.t1 scaffold479.g8.t1	Pleurobrachia_bachei_sb_2638781_ sb_2638781_, Pleurobrachia_bachei_sb_2653796_ sb_2653796_
OG0000002	Morbakka_virulenta_scaffold415.g11.t1 scaffold415.g11.t1, Morbakka_virulenta_scaffold83.g77.t1 scaffold83.g77.t1	Pleurobrachia_bachei_sb_2662616_ sb_2662616_
OG0000002	Morbakka_virulenta_scaffold81.g62.t1 scaffold81.g62.t1	Pleurobrachia_bachei_sb_2639240_ sb_2639240_
OG0000002	Morbakka_virulenta_scaffold40.g72.t1 scaffold40.g72.t1	Pleurobrachia_bachei_sb_2653447_ sb_2653447_
