Orthogroup	Porifera_Demospongiae_Amphimedon_queenslandica	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000000	Amphimedon_queenslandica_tr_A0A1X7UEG4_A0A1X7UEG4_AMPQE tr_A0A1X7UEG4_A0A1X7UEG4_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VPP5_A0A1X7VPP5_AMPQE tr_A0A1X7VPP5_A0A1X7VPP5_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TEX2_A0A1X7TEX2_AMPQE tr_A0A1X7TEX2_A0A1X7TEX2_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Morbakka_virulenta_scaffold713.g2.t2 scaffold713.g2.t2, Morbakka_virulenta_scaffold713.g2.t1 scaffold713.g2.t1
OG0000000	Amphimedon_queenslandica_tr_A0A1X7TFJ4_A0A1X7TFJ4_AMPQE tr_A0A1X7TFJ4_A0A1X7TFJ4_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TFU9_A0A1X7TFU9_AMPQE tr_A0A1X7TFU9_A0A1X7TFU9_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Morbakka_virulenta_scaffold16.g2.t1 scaffold16.g2.t1
OG0000001	Amphimedon_queenslandica_tr_A0A1X7UHN7_A0A1X7UHN7_AMPQE tr_A0A1X7UHN7_A0A1X7UHN7_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100638010 PE=4 SV=1	Morbakka_virulenta_scaffold626.g1.t2 scaffold626.g1.t2
OG0000001	Amphimedon_queenslandica_tr_A0A1X7VTD0_A0A1X7VTD0_AMPQE tr_A0A1X7VTD0_A0A1X7VTD0_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=105314164 PE=4 SV=1	Morbakka_virulenta_scaffold19.g85.t2 scaffold19.g85.t2, Morbakka_virulenta_scaffold19.g85.t4 scaffold19.g85.t4, Morbakka_virulenta_scaffold19.g85.t3 scaffold19.g85.t3, Morbakka_virulenta_scaffold19.g85.t1 scaffold19.g85.t1
OG0000001	Amphimedon_queenslandica_tr_A0A1X7VJK8_A0A1X7VJK8_AMPQE tr_A0A1X7VJK8_A0A1X7VJK8_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VJP3_A0A1X7VJP3_AMPQE tr_A0A1X7VJP3_A0A1X7VJP3_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7ULH8_A0A1X7ULH8_AMPQE tr_A0A1X7ULH8_A0A1X7ULH8_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=3 SV=1, Amphimedon_queenslandica_tr_A0A1X7VI68_A0A1X7VI68_AMPQE tr_A0A1X7VI68_A0A1X7VI68_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Morbakka_virulenta_scaffold12.g138.t1 scaffold12.g138.t1, Morbakka_virulenta_scaffold361.g18.t1 scaffold361.g18.t1, Morbakka_virulenta_scaffold209.g24.t6 scaffold209.g24.t6, Morbakka_virulenta_scaffold209.g24.t3 scaffold209.g24.t3, Morbakka_virulenta_scaffold209.g24.t5 scaffold209.g24.t5, Morbakka_virulenta_scaffold209.g24.t4 scaffold209.g24.t4
OG0000001	Amphimedon_queenslandica_tr_A0A1X7VDE9_A0A1X7VDE9_AMPQE tr_A0A1X7VDE9_A0A1X7VDE9_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=109580498 PE=4 SV=1	Morbakka_virulenta_scaffold186.g17.t1 scaffold186.g17.t1, Morbakka_virulenta_scaffold434.g16.t1 scaffold434.g16.t1
OG0000001	Amphimedon_queenslandica_tr_A0A1X7UXM0_A0A1X7UXM0_AMPQE tr_A0A1X7UXM0_A0A1X7UXM0_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=105312708 PE=4 SV=1	Morbakka_virulenta_scaffold43.g67.t1 scaffold43.g67.t1, Morbakka_virulenta_scaffold43.g67.t2 scaffold43.g67.t2
OG0000001	Amphimedon_queenslandica_tr_A0A1X7SE74_A0A1X7SE74_AMPQE tr_A0A1X7SE74_A0A1X7SE74_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Morbakka_virulenta_scaffold47.g73.t1 scaffold47.g73.t1
OG0000001	Amphimedon_queenslandica_tr_A0A1X7SNS0_A0A1X7SNS0_AMPQE tr_A0A1X7SNS0_A0A1X7SNS0_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7V965_A0A1X7V965_AMPQE tr_A0A1X7V965_A0A1X7V965_AMPQE Fibronectin type-III domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105312132 PE=4 SV=1	Morbakka_virulenta_scaffold763.g1.t1 scaffold763.g1.t1, Morbakka_virulenta_scaffold763.g1.t2 scaffold763.g1.t2, Morbakka_virulenta_scaffold126.g21.t2 scaffold126.g21.t2
