Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Ctenophora_Tentaculata_Pleurobrachia_bachei
OG0000001	Xenia_spec_Xe_003284_T1 Xe_003284_T1 Xe_003284	Pleurobrachia_bachei_sb_2652422_ sb_2652422_
OG0000001	Xenia_spec_Xe_016511_T1 Xe_016511_T1 Xe_016511, Xenia_spec_Xe_008821_T1 Xe_008821_T1 Xe_008821	Pleurobrachia_bachei_sb_2656958_ sb_2656958_, Pleurobrachia_bachei_sb_2651191_ sb_2651191_
OG0000001	Xenia_spec_Xe_007494_T1 Xe_007494_T1 Xe_007494	Pleurobrachia_bachei_sb_2640766_ sb_2640766_
OG0000002	Xenia_spec_Xe_002327_T1 Xe_002327_T1 Xe_002327	Pleurobrachia_bachei_sb_2641958_ sb_2641958_, Pleurobrachia_bachei_sb_2638270_ sb_2638270_
OG0000002	Xenia_spec_Xe_002083_T1 Xe_002083_T1 Xe_002083, Xenia_spec_Xe_002085_T1 Xe_002085_T1 Xe_002085	Pleurobrachia_bachei_sb_2656797_ sb_2656797_, Pleurobrachia_bachei_sb_2657716_ sb_2657716_, Pleurobrachia_bachei_sb_2656175_ sb_2656175_, Pleurobrachia_bachei_sb_2666978_ sb_2666978_, Pleurobrachia_bachei_sb_2657496_ sb_2657496_
OG0000002	Xenia_spec_Xe_009641_T1 Xe_009641_T1 Xe_009641	Pleurobrachia_bachei_sb_2658150_ sb_2658150_, Pleurobrachia_bachei_sb_2639240_ sb_2639240_
OG0000002	Xenia_spec_Xe_012680_T1 Xe_012680_T1 Xe_012680	Pleurobrachia_bachei_sb_2641978_ sb_2641978_, Pleurobrachia_bachei_sb_2638179_ sb_2638179_
OG0000002	Xenia_spec_Xe_007911_T1 Xe_007911_T1 Xe_007911	Pleurobrachia_bachei_sb_2643333_ sb_2643333_, Pleurobrachia_bachei_sb_2655712_ sb_2655712_, Pleurobrachia_bachei_sb_2649228_ sb_2649228_, Pleurobrachia_bachei_sb_2661683_ sb_2661683_, Pleurobrachia_bachei_sb_2659647_ sb_2659647_
OG0000003	Xenia_spec_Xe_008214_T1 Xe_008214_T1 Xe_008214	Pleurobrachia_bachei_sb_2648001_ sb_2648001_, Pleurobrachia_bachei_sb_2646835_ sb_2646835_
OG0000003	Xenia_spec_Xe_009803_T1 Xe_009803_T1 Xe_009803, Xenia_spec_Xe_009805_T1 Xe_009805_T1 Xe_009805, Xenia_spec_Xe_009799_T1 Xe_009799_T1 Xe_009799, Xenia_spec_Xe_013651_T1 Xe_013651_T1 Xe_013651	Pleurobrachia_bachei_sb_2665626_ sb_2665626_
OG0000003	Xenia_spec_Xe_009687_T1 Xe_009687_T1 Xe_009687, Xenia_spec_Xe_010093_T1 Xe_010093_T1 Xe_010093	Pleurobrachia_bachei_sb_2666979_ sb_2666979_
OG0000003	Xenia_spec_Xe_002591_T1 Xe_002591_T1 Xe_002591	Pleurobrachia_bachei_sb_2655552_ sb_2655552_, Pleurobrachia_bachei_sb_2651961_ sb_2651961_
OG0000004	Xenia_spec_Xe_016398_T1 Xe_016398_T1 Xe_016398, Xenia_spec_Xe_009339_T1 Xe_009339_T1 Xe_009339, Xenia_spec_Xe_009337_T1 Xe_009337_T1 Xe_009337, Xenia_spec_Xe_009340_T1 Xe_009340_T1 Xe_009340	Pleurobrachia_bachei_sb_2649423_ sb_2649423_, Pleurobrachia_bachei_sb_2643743_ sb_2643743_
