Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Chordata_Amphioxiformes_Branchiostoma_lanceolatum
OG0000000	Xenia_spec_Xe_009126_T1 Xe_009126_T1 Xe_009126	Branchiostoma_lanceolatum_tr_A0A8J9YVS3_A0A8J9YVS3_BRALA tr|A0A8J9YVS3|A0A8J9YVS3_BRALA MEGF10 protein OS=Branchiostoma lanceolatum OX=7740 GN=MEGF10 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YVW9_A0A8J9YVW9_BRALA tr|A0A8J9YVW9|A0A8J9YVW9_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A2Y8_A0A8K0A2Y8_BRALA tr|A0A8K0A2Y8|A0A8K0A2Y8_BRALA NOTCH3 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A2N6_A0A8K0A2N6_BRALA tr|A0A8K0A2N6|A0A8K0A2N6_BRALA NOTCH3 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A5F9_A0A8K0A5F9_BRALA tr|A0A8K0A5F9|A0A8K0A5F9_BRALA NOTCH3 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EUG9_A0A8K0EUG9_BRALA tr|A0A8K0EUG9|A0A8K0EUG9_BRALA NOTCH3 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ECH5_A0A8K0ECH5_BRALA tr|A0A8K0ECH5|A0A8K0ECH5_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZK72_A0A8J9ZK72_BRALA tr|A0A8J9ZK72|A0A8J9ZK72_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZY15_A0A8J9ZY15_BRALA tr|A0A8J9ZY15|A0A8J9ZY15_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A955_A0A8K0A955_BRALA tr|A0A8K0A955|A0A8K0A955_BRALA PKD1L3 protein OS=Branchiostoma lanceolatum OX=7740 GN=PKD1L3 PE=3 SV=1
OG0000000	Xenia_spec_Xe_009140_T1 Xe_009140_T1 Xe_009140	Branchiostoma_lanceolatum_tr_A0A8J9ZFK3_A0A8J9ZFK3_BRALA tr|A0A8J9ZFK3|A0A8J9ZFK3_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZEH8_A0A8J9ZEH8_BRALA tr|A0A8J9ZEH8|A0A8J9ZEH8_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A9G0_A0A8K0A9G0_BRALA tr|A0A8K0A9G0|A0A8K0A9G0_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F2M8_A0A8K0F2M8_BRALA tr|A0A8K0F2M8|A0A8K0F2M8_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZZV3_A0A8J9ZZV3_BRALA tr|A0A8J9ZZV3|A0A8J9ZZV3_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1
OG0000001	Xenia_spec_Xe_003284_T1 Xe_003284_T1 Xe_003284	Branchiostoma_lanceolatum_tr_A0A8K0A481_A0A8K0A481_BRALA tr|A0A8K0A481|A0A8K0A481_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A1W6_A0A8K0A1W6_BRALA tr|A0A8K0A1W6|A0A8K0A1W6_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A1K9_A0A8K0A1K9_BRALA tr|A0A8K0A1K9|A0A8K0A1K9_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZZ56_A0A8J9ZZ56_BRALA tr|A0A8J9ZZ56|A0A8J9ZZ56_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A0G1_A0A8K0A0G1_BRALA tr|A0A8K0A0G1|A0A8K0A0G1_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZZ61_A0A8J9ZZ61_BRALA tr|A0A8J9ZZ61|A0A8J9ZZ61_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1
OG0000001	Xenia_spec_Xe_020701_T1 Xe_020701_T1 Xe_020701	Branchiostoma_lanceolatum_tr_A0A8J9ZDC2_A0A8J9ZDC2_BRALA tr|A0A8J9ZDC2|A0A8J9ZDC2_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZDK6_A0A8J9ZDK6_BRALA tr|A0A8J9ZDK6|A0A8J9ZDK6_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EJV3_A0A8K0EJV3_BRALA tr|A0A8K0EJV3|A0A8K0EJV3_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EHQ4_A0A8K0EHQ4_BRALA tr|A0A8K0EHQ4|A0A8K0EHQ4_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZE07_A0A8J9ZE07_BRALA tr|A0A8J9ZE07|A0A8J9ZE07_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EH85_A0A8K0EH85_BRALA tr|A0A8K0EH85|A0A8K0EH85_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EKB7_A0A8K0EKB7_BRALA tr|A0A8K0EKB7|A0A8K0EKB7_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EFS0_A0A8K0EFS0_BRALA tr|A0A8K0EFS0|A0A8K0EFS0_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZD06_A0A8J9ZD06_BRALA tr|A0A8J9ZD06|A0A8J9ZD06_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZBD6_A0A8J9ZBD6_BRALA tr|A0A8J9ZBD6|A0A8J9ZBD6_BRALA PRTG protein OS=Branchiostoma lanceolatum OX=7740 GN=PRTG PE=4 SV=1
OG0000001	Xenia_spec_Xe_014520_T1 Xe_014520_T1 Xe_014520	Branchiostoma_lanceolatum_tr_A0A8K0AAL2_A0A8K0AAL2_BRALA tr|A0A8K0AAL2|A0A8K0AAL2_BRALA PTPRQ protein OS=Branchiostoma lanceolatum OX=7740 GN=PTPRQ PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AGT1_A0A8K0AGT1_BRALA tr|A0A8K0AGT1|A0A8K0AGT1_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AJE6_A0A8K0AJE6_BRALA tr|A0A8K0AJE6|A0A8K0AJE6_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AHA8_A0A8K0AHA8_BRALA tr|A0A8K0AHA8|A0A8K0AHA8_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AFN9_A0A8K0AFN9_BRALA tr|A0A8K0AFN9|A0A8K0AFN9_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AFP9_A0A8K0AFP9_BRALA tr|A0A8K0AFP9|A0A8K0AFP9_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AJE9_A0A8K0AJE9_BRALA tr|A0A8K0AJE9|A0A8K0AJE9_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AFJ7_A0A8K0AFJ7_BRALA tr|A0A8K0AFJ7|A0A8K0AFJ7_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AGD9_A0A8K0AGD9_BRALA tr|A0A8K0AGD9|A0A8K0AGD9_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F1X9_A0A8K0F1X9_BRALA tr|A0A8K0F1X9|A0A8K0F1X9_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F3P9_A0A8K0F3P9_BRALA tr|A0A8K0F3P9|A0A8K0F3P9_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F401_A0A8K0F401_BRALA tr|A0A8K0F401|A0A8K0F401_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F404_A0A8K0F404_BRALA tr|A0A8K0F404|A0A8K0F404_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F1F1_A0A8K0F1F1_BRALA tr|A0A8K0F1F1|A0A8K0F1F1_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AGU0_A0A8K0AGU0_BRALA tr|A0A8K0AGU0|A0A8K0AGU0_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AEM6_A0A8K0AEM6_BRALA tr|A0A8K0AEM6|A0A8K0AEM6_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F3P6_A0A8K0F3P6_BRALA tr|A0A8K0F3P6|A0A8K0F3P6_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AHB7_A0A8K0AHB7_BRALA tr|A0A8K0AHB7|A0A8K0AHB7_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F1E5_A0A8K0F1E5_BRALA tr|A0A8K0F1E5|A0A8K0F1E5_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EZA8_A0A8K0EZA8_BRALA tr|A0A8K0EZA8|A0A8K0EZA8_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AFI5_A0A8K0AFI5_BRALA tr|A0A8K0AFI5|A0A8K0AFI5_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AD39_A0A8K0AD39_BRALA tr|A0A8K0AD39|A0A8K0AD39_BRALA KCP protein OS=Branchiostoma lanceolatum OX=7740 GN=KCP PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AEB4_A0A8K0AEB4_BRALA tr|A0A8K0AEB4|A0A8K0AEB4_BRALA KCP protein OS=Branchiostoma lanceolatum OX=7740 GN=KCP PE=4 SV=1
OG0000001	Xenia_spec_Xe_018235_T1 Xe_018235_T1 Xe_018235	Branchiostoma_lanceolatum_tr_A0A8K0ACS0_A0A8K0ACS0_BRALA tr|A0A8K0ACS0|A0A8K0ACS0_BRALA SDK1 protein OS=Branchiostoma lanceolatum OX=7740 GN=SDK1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AEB9_A0A8K0AEB9_BRALA tr|A0A8K0AEB9|A0A8K0AEB9_BRALA SDK1 protein OS=Branchiostoma lanceolatum OX=7740 GN=SDK1 PE=4 SV=1
OG0000001	Xenia_spec_Xe_000439_T1 Xe_000439_T1 Xe_000439	Branchiostoma_lanceolatum_tr_A0A8K0EHD0_A0A8K0EHD0_BRALA tr|A0A8K0EHD0|A0A8K0EHD0_BRALA PTPRB protein OS=Branchiostoma lanceolatum OX=7740 GN=PTPRB PE=4 SV=1
OG0000001	Xenia_spec_Xe_008027_T1 Xe_008027_T1 Xe_008027	Branchiostoma_lanceolatum_tr_A0A8K0AAI7_A0A8K0AAI7_BRALA tr|A0A8K0AAI7|A0A8K0AAI7_BRALA NTNG2 protein OS=Branchiostoma lanceolatum OX=7740 GN=NTNG2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ABQ5_A0A8K0ABQ5_BRALA tr|A0A8K0ABQ5|A0A8K0ABQ5_BRALA NTNG2 protein OS=Branchiostoma lanceolatum OX=7740 GN=NTNG2 PE=4 SV=1
OG0000001	Xenia_spec_Xe_016511_T1 Xe_016511_T1 Xe_016511	Branchiostoma_lanceolatum_tr_A0A8K0AEM3_A0A8K0AEM3_BRALA tr|A0A8K0AEM3|A0A8K0AEM3_BRALA Netrin-1 OS=Branchiostoma lanceolatum OX=7740 GN=NTN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AER8_A0A8K0AER8_BRALA tr|A0A8K0AER8|A0A8K0AER8_BRALA NTN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NTN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ADI9_A0A8K0ADI9_BRALA tr|A0A8K0ADI9|A0A8K0ADI9_BRALA NTN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NTN1 PE=4 SV=1
