Orthogroup	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis
OG0000001	Mnemiopsis_leidyi_ML035910a ML035910a	Calvadosia_cruxmelitensis_Ccrux.Trinity.33421 Ccrux.Trinity.33421, Calvadosia_cruxmelitensis_Ccrux.Trinity.8636 Ccrux.Trinity.8636
OG0000001	Mnemiopsis_leidyi_ML17591a ML17591a	Calvadosia_cruxmelitensis_Ccrux.Trinity.23735 Ccrux.Trinity.23735, Calvadosia_cruxmelitensis_Ccrux.Trinity.23733 Ccrux.Trinity.23733
OG0000001	Mnemiopsis_leidyi_ML21866a ML21866a	Calvadosia_cruxmelitensis_Ccrux.Trinity.15136 Ccrux.Trinity.15136
OG0000001	Mnemiopsis_leidyi_ML20591a ML20591a, Mnemiopsis_leidyi_ML05951a ML05951a	Calvadosia_cruxmelitensis_Ccrux.Trinity.70250 Ccrux.Trinity.70250, Calvadosia_cruxmelitensis_Ccrux.Trinity.33425 Ccrux.Trinity.33425, Calvadosia_cruxmelitensis_Ccrux.Trinity.33423 Ccrux.Trinity.33423, Calvadosia_cruxmelitensis_Ccrux.Trinity.33422 Ccrux.Trinity.33422, Calvadosia_cruxmelitensis_Ccrux.Trinity.33427 Ccrux.Trinity.33427
OG0000002	Mnemiopsis_leidyi_ML06976a ML06976a	Calvadosia_cruxmelitensis_Ccrux.Trinity.45769 Ccrux.Trinity.45769
OG0000002	Mnemiopsis_leidyi_ML049019a ML049019a, Mnemiopsis_leidyi_ML34222a ML34222a	Calvadosia_cruxmelitensis_Ccrux.Trinity.40216 Ccrux.Trinity.40216, Calvadosia_cruxmelitensis_Ccrux.Trinity.40220 Ccrux.Trinity.40220, Calvadosia_cruxmelitensis_Ccrux.Trinity.40212 Ccrux.Trinity.40212, Calvadosia_cruxmelitensis_Ccrux.Trinity.40218 Ccrux.Trinity.40218, Calvadosia_cruxmelitensis_Ccrux.Trinity.48847 Ccrux.Trinity.48847, Calvadosia_cruxmelitensis_Ccrux.Trinity.48848 Ccrux.Trinity.48848
OG0000002	Mnemiopsis_leidyi_ML05299a ML05299a, Mnemiopsis_leidyi_ML016334a ML016334a	Calvadosia_cruxmelitensis_Ccrux.Trinity.13790 Ccrux.Trinity.13790, Calvadosia_cruxmelitensis_Ccrux.Trinity.58446 Ccrux.Trinity.58446
OG0000002	Mnemiopsis_leidyi_ML033229a ML033229a	Calvadosia_cruxmelitensis_Ccrux.Trinity.60674 Ccrux.Trinity.60674
OG0000002	Mnemiopsis_leidyi_ML093048a ML093048a	Calvadosia_cruxmelitensis_Ccrux.Trinity.55054 Ccrux.Trinity.55054
OG0000002	Mnemiopsis_leidyi_ML27988a ML27988a	Calvadosia_cruxmelitensis_Ccrux.Trinity.59035 Ccrux.Trinity.59035
OG0000002	Mnemiopsis_leidyi_ML07453a ML07453a	Calvadosia_cruxmelitensis_Ccrux.Trinity.66227 Ccrux.Trinity.66227, Calvadosia_cruxmelitensis_Ccrux.Trinity.9254 Ccrux.Trinity.9254
OG0000003	Mnemiopsis_leidyi_ML01785a ML01785a	Calvadosia_cruxmelitensis_Ccrux.Trinity.72236 Ccrux.Trinity.72236, Calvadosia_cruxmelitensis_Ccrux.Trinity.60462 Ccrux.Trinity.60462, Calvadosia_cruxmelitensis_Ccrux.Trinity.73549 Ccrux.Trinity.73549
OG0000003	Mnemiopsis_leidyi_ML01786a ML01786a	Calvadosia_cruxmelitensis_Ccrux.Trinity.59807 Ccrux.Trinity.59807
OG0000003	Mnemiopsis_leidyi_ML090113a ML090113a	Calvadosia_cruxmelitensis_Ccrux.Trinity.67573 Ccrux.Trinity.67573, Calvadosia_cruxmelitensis_Ccrux.Trinity.72435 Ccrux.Trinity.72435, Calvadosia_cruxmelitensis_Ccrux.Trinity.74546 Ccrux.Trinity.74546, Calvadosia_cruxmelitensis_Ccrux.Trinity.24225 Ccrux.Trinity.24225, Calvadosia_cruxmelitensis_Ccrux.Trinity.16785 Ccrux.Trinity.16785, Calvadosia_cruxmelitensis_Ccrux.Trinity.56752 Ccrux.Trinity.56752
OG0000004	Mnemiopsis_leidyi_ML077636a ML077636a, Mnemiopsis_leidyi_ML270522a ML270522a	Calvadosia_cruxmelitensis_Ccrux.Trinity.25108 Ccrux.Trinity.25108, Calvadosia_cruxmelitensis_Ccrux.Trinity.25110 Ccrux.Trinity.25110, Calvadosia_cruxmelitensis_Ccrux.Trinity.25109 Ccrux.Trinity.25109
OG0000005	Mnemiopsis_leidyi_ML073034a ML073034a	Calvadosia_cruxmelitensis_Ccrux.Trinity.5034 Ccrux.Trinity.5034, Calvadosia_cruxmelitensis_Ccrux.Trinity.9020 Ccrux.Trinity.9020, Calvadosia_cruxmelitensis_Ccrux.Trinity.63285 Ccrux.Trinity.63285
OG0000005	Mnemiopsis_leidyi_ML104615a ML104615a, Mnemiopsis_leidyi_ML104616a ML104616a, Mnemiopsis_leidyi_ML00083a ML00083a	Calvadosia_cruxmelitensis_Ccrux.Trinity.56607 Ccrux.Trinity.56607
OG0000006	Mnemiopsis_leidyi_ML085031a ML085031a	Calvadosia_cruxmelitensis_Ccrux.Trinity.30116 Ccrux.Trinity.30116
OG0000008	Mnemiopsis_leidyi_ML09866a ML09866a, Mnemiopsis_leidyi_ML128618a ML128618a	Calvadosia_cruxmelitensis_Ccrux.Trinity.66398 Ccrux.Trinity.66398
OG0000009	Mnemiopsis_leidyi_ML31401a ML31401a, Mnemiopsis_leidyi_ML007435a ML007435a	Calvadosia_cruxmelitensis_Ccrux.Trinity.21187 Ccrux.Trinity.21187, Calvadosia_cruxmelitensis_Ccrux.Trinity.21188 Ccrux.Trinity.21188, Calvadosia_cruxmelitensis_Ccrux.Trinity.21184 Ccrux.Trinity.21184
OG0000010	Mnemiopsis_leidyi_ML073043a ML073043a	Calvadosia_cruxmelitensis_Ccrux.Trinity.72958 Ccrux.Trinity.72958
OG0000010	Mnemiopsis_leidyi_ML004921a ML004921a	Calvadosia_cruxmelitensis_Ccrux.Trinity.58517 Ccrux.Trinity.58517, Calvadosia_cruxmelitensis_Ccrux.Trinity.57575 Ccrux.Trinity.57575, Calvadosia_cruxmelitensis_Ccrux.Trinity.36547 Ccrux.Trinity.36547, Calvadosia_cruxmelitensis_Ccrux.Trinity.36546 Ccrux.Trinity.36546
