Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Ctenophora_Tentaculata_Mnemiopsis_leidyi
OG0000001	Exaiptasia_diaphana_XP_020906267.2 XP_020906267.2 laminin subunit beta-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516585.1 XP_028516585.1 laminin subunit beta-1 [Exaiptasia diaphana]	Mnemiopsis_leidyi_ML17591a ML17591a
OG0000001	Exaiptasia_diaphana_XP_028517047.1 XP_028517047.1 netrin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916901.1 XP_020916901.1 laminin subunit gamma-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916243.1 XP_020916243.1 laminin subunit gamma-1 [Exaiptasia diaphana]	Mnemiopsis_leidyi_ML20591a ML20591a, Mnemiopsis_leidyi_ML05951a ML05951a
OG0000002	Exaiptasia_diaphana_XP_028516981.1 XP_028516981.1 mucin-7-like_ partial [Exaiptasia diaphana]	Mnemiopsis_leidyi_ML08714a ML08714a, Mnemiopsis_leidyi_ML025011a ML025011a, Mnemiopsis_leidyi_ML15458a ML15458a, Mnemiopsis_leidyi_ML21527a ML21527a, Mnemiopsis_leidyi_ML02152a ML02152a, Mnemiopsis_leidyi_ML104325a ML104325a, Mnemiopsis_leidyi_ML014910a ML014910a, Mnemiopsis_leidyi_ML04601a ML04601a, Mnemiopsis_leidyi_ML06976a ML06976a
OG0000002	Exaiptasia_diaphana_XP_028518903.1 XP_028518903.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518902.1 XP_028518902.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518901.1 XP_028518901.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518900.1 XP_028518900.1 cartilage oligomeric matrix protein [Exaiptasia diaphana]	Mnemiopsis_leidyi_ML049019a ML049019a, Mnemiopsis_leidyi_ML34222a ML34222a
OG0000002	Exaiptasia_diaphana_XP_028512668.1 XP_028512668.1 SCO-spondin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512672.1 XP_028512672.1 uncharacterized protein LOC114574392 isoform X1 [Exaiptasia diaphana]	Mnemiopsis_leidyi_ML050913a ML050913a
OG0000002	Exaiptasia_diaphana_XP_028516014.1 XP_028516014.1 coadhesin-like [Exaiptasia diaphana]	Mnemiopsis_leidyi_ML07453a ML07453a
OG0000003	Exaiptasia_diaphana_XP_028512488.1 XP_028512488.1 uncharacterized protein LOC114574349 [Exaiptasia diaphana]	Mnemiopsis_leidyi_ML01785a ML01785a
OG0000003	Exaiptasia_diaphana_XP_020898903.1 XP_020898903.1 macrophage mannose receptor 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913921.1 XP_020913921.1 uncharacterized protein LOC110251540 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512544.1 XP_028512544.1 neurogenic locus Notch protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893947.1 XP_020893947.1 lactose-binding lectin l-2_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901791.2 XP_020901791.2 fibrillin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515241.1 XP_028515241.1 fibrillin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896879.2 XP_020896879.2 fibropellin-3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518736.1 XP_028518736.1 fibrillin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897241.1 XP_020897241.1 protein kinase C-binding protein NELL1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517885.1 XP_028517885.1 nidogen-2_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514911.1 XP_028514911.1 EGF-like repeat and discoidin I-like domain-containing protein 3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915720.2 XP_020915720.2 uncharacterized protein LOC110253183 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515645.1 XP_028515645.1 neurogenic locus notch homolog protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518390.1 XP_028518390.1 uncharacterized protein LOC114576273 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517873.1 XP_028517873.1 uncharacterized protein LOC110248715 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907890.2 XP_020907890.2 uncharacterized protein LOC110245933 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517870.1 XP_028517870.1 uncharacterized protein LOC110248708 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907891.1 XP_020907891.1 uncharacterized protein LOC110245934 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912859.2 XP_020912859.2 uncharacterized protein LOC110250599 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518448.1 XP_028518448.1 P-selectin-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514228.1 XP_028514228.1 uncharacterized protein LOC114574827 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907884.2 XP_020907884.2 uncharacterized protein LOC110245927 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518810.1 XP_028518810.1 uncharacterized protein LOC110251696 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911103.1 XP_020911103.1 uncharacterized protein LOC110248883 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516010.1 XP_028516010.1 uncharacterized protein LOC114575413 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515610.1 XP_028515610.1 fibrillin-3_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518447.1 XP_028518447.1 uncharacterized protein LOC110250603 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518446.1 XP_028518446.1 neurotrypsin_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907897.2 XP_020907897.2 uromodulin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519493.1 XP_028519493.1 C-type mannose receptor 2-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512812.1 XP_028512812.1 glycine-rich cell wall structural protein 1.0_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516914.1 XP_028516914.1 adhesion G protein-coupled receptor E2 [Exaiptasia diaphana]	Mnemiopsis_leidyi_ML090113a ML090113a
OG0000005	Exaiptasia_diaphana_XP_020906559.1 XP_020906559.1 blastula protease 10 [Exaiptasia diaphana]	Mnemiopsis_leidyi_ML073034a ML073034a
OG0000005	Exaiptasia_diaphana_XP_020914254.1 XP_020914254.1 zinc metalloproteinase nas-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908974.1 XP_020908974.1 uncharacterized protein LOC110246932 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908967.2 XP_020908967.2 uncharacterized protein LOC110246925 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902117.2 XP_020902117.2 nematocyst expressed protein 6-like [Exaiptasia diaphana]	Mnemiopsis_leidyi_ML104615a ML104615a, Mnemiopsis_leidyi_ML104616a ML104616a, Mnemiopsis_leidyi_ML00083a ML00083a
