Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Chordata_Amphioxiformes_Branchiostoma_floridae
OG0000000	Acropora_digitifera_adi_v1.14483 adi_v1.14483, Acropora_digitifera_adi_v1.14482 adi_v1.14482	Branchiostoma_floridae_tr_A0A9J7LWX8_A0A9J7LWX8_BRAFL tr|A0A9J7LWX8|A0A9J7LWX8_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118425064 PE=4 SV=1
OG0000000	Acropora_digitifera_adi_v1.08974 adi_v1.08974, Acropora_digitifera_adi_v1.17747 adi_v1.17747, Acropora_digitifera_adi_v1.10971 adi_v1.10971, Acropora_digitifera_adi_v1.03089 adi_v1.03089, Acropora_digitifera_adi_v1.18895 adi_v1.18895	Branchiostoma_floridae_tr_A0A9J7N0A1_A0A9J7N0A1_BRAFL tr|A0A9J7N0A1|A0A9J7N0A1_BRAFL Uncharacterized protein LOC118421761 OS=Branchiostoma floridae OX=7739 GN=LOC118421761 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MZB8_A0A9J7MZB8_BRAFL tr|A0A9J7MZB8|A0A9J7MZB8_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118421299 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MY72_A0A9J7MY72_BRAFL tr|A0A9J7MY72|A0A9J7MY72_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118421300 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LNR3_A0A9J7LNR3_BRAFL tr|A0A9J7LNR3|A0A9J7LNR3_BRAFL Ryncolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421760 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LL47_A0A9J7LL47_BRAFL tr|A0A9J7LL47|A0A9J7LL47_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421615 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MF63_A0A9J7MF63_BRAFL tr|A0A9J7MF63|A0A9J7MF63_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118431928 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MC07_A0A9J7MC07_BRAFL tr|A0A9J7MC07|A0A9J7MC07_BRAFL Fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118431100 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MAD2_A0A9J7MAD2_BRAFL tr|A0A9J7MAD2|A0A9J7MAD2_BRAFL Angiopoietin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118430281 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MWL1_A0A9J7MWL1_BRAFL tr|A0A9J7MWL1|A0A9J7MWL1_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421173 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LL70_A0A9J7LL70_BRAFL tr|A0A9J7LL70|A0A9J7LL70_BRAFL Fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421145 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MY04_A0A9J7MY04_BRAFL tr|A0A9J7MY04|A0A9J7MY04_BRAFL Fibrinogen C domain-containing protein 1-A-like OS=Branchiostoma floridae OX=7739 GN=LOC118421176 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MZ66_A0A9J7MZ66_BRAFL tr|A0A9J7MZ66|A0A9J7MZ66_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421175 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LJY3_A0A9J7LJY3_BRAFL tr|A0A9J7LJY3|A0A9J7LJY3_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421177 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MZ41_A0A9J7MZ41_BRAFL tr|A0A9J7MZ41|A0A9J7MZ41_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421102 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LM23_A0A9J7LM23_BRAFL tr|A0A9J7LM23|A0A9J7LM23_BRAFL Fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421181 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LRW3_A0A9J7LRW3_BRAFL tr|A0A9J7LRW3|A0A9J7LRW3_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118423398 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MYB9_A0A9J7MYB9_BRAFL tr|A0A9J7MYB9|A0A9J7MYB9_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421402 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HW56_A0A9J7HW56_BRAFL tr|A0A9J7HW56|A0A9J7HW56_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118408877 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N0I8_A0A9J7N0I8_BRAFL tr|A0A9J7N0I8|A0A9J7N0I8_BRAFL Ryncolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118422273 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LQ57_A0A9J7LQ57_BRAFL tr|A0A9J7LQ57|A0A9J7LQ57_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118422563 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LQ44_A0A9J7LQ44_BRAFL tr|A0A9J7LQ44|A0A9J7LQ44_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118422564 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LNA7_A0A9J7LNA7_BRAFL tr|A0A9J7LNA7|A0A9J7LNA7_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118422559 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LRV7_A0A9J7LRV7_BRAFL tr|A0A9J7LRV7|A0A9J7LRV7_BRAFL Ryncolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118423194 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LT20_A0A9J7LT20_BRAFL tr|A0A9J7LT20|A0A9J7LT20_BRAFL Fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118423617 PE=4 SV=1
OG0000000	Acropora_digitifera_adi_v1.20123 adi_v1.20123, Acropora_digitifera_adi_v1.13695 adi_v1.13695, Acropora_digitifera_adi_v1.15148 adi_v1.15148, Acropora_digitifera_adi_v1.13912 adi_v1.13912, Acropora_digitifera_adi_v1.20223 adi_v1.20223	Branchiostoma_floridae_tr_A0A9J7L664_A0A9J7L664_BRAFL tr|A0A9J7L664|A0A9J7L664_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118416083 PE=4 SV=1
OG0000000	Acropora_digitifera_adi_v1.00941 adi_v1.00941	Branchiostoma_floridae_tr_A0A9J7MGI9_A0A9J7MGI9_BRAFL tr|A0A9J7MGI9|A0A9J7MGI9_BRAFL Angiopoietin-related protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118409820 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HK50_A0A9J7HK50_BRAFL tr|A0A9J7HK50|A0A9J7HK50_BRAFL Uncharacterized protein LOC118404530 OS=Branchiostoma floridae OX=7739 GN=LOC118404530 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LZL0_A0A9J7LZL0_BRAFL tr|A0A9J7LZL0|A0A9J7LZL0_BRAFL Angiopoietin-related protein 7-like OS=Branchiostoma floridae OX=7739 GN=LOC118426394 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M8I9_A0A9J7M8I9_BRAFL tr|A0A9J7M8I9|A0A9J7M8I9_BRAFL Angiopoietin-related protein 7-like OS=Branchiostoma floridae OX=7739 GN=LOC118429692 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LW16_A0A9J7LW16_BRAFL tr|A0A9J7LW16|A0A9J7LW16_BRAFL Fibrinogen-like protein 1 OS=Branchiostoma floridae OX=7739 GN=LOC118425520 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LW06_A0A9J7LW06_BRAFL tr|A0A9J7LW06|A0A9J7LW06_BRAFL Angiopoietin-related protein 7-like OS=Branchiostoma floridae OX=7739 GN=LOC118425514 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M2D4_A0A9J7M2D4_BRAFL tr|A0A9J7M2D4|A0A9J7M2D4_BRAFL Angiopoietin-related protein 7-like OS=Branchiostoma floridae OX=7739 GN=LOC118427467 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KVY4_A0A9J7KVY4_BRAFL tr|A0A9J7KVY4|A0A9J7KVY4_BRAFL Uncharacterized protein LOC118412167 OS=Branchiostoma floridae OX=7739 GN=LOC118412167 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LL68_A0A9J7LL68_BRAFL tr|A0A9J7LL68|A0A9J7LL68_BRAFL Fibroleukin-like isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118420879 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MYU0_A0A9J7MYU0_BRAFL tr|A0A9J7MYU0|A0A9J7MYU0_BRAFL Hepatocyte growth factor activator-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118420879 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MYY3_A0A9J7MYY3_BRAFL tr|A0A9J7MYY3|A0A9J7MYY3_BRAFL Neurogenic locus notch homolog protein 1-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118420879 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MXM7_A0A9J7MXM7_BRAFL tr|A0A9J7MXM7|A0A9J7MXM7_BRAFL Neurogenic locus notch homolog protein 1-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118420879 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LJ53_A0A9J7LJ53_BRAFL tr|A0A9J7LJ53|A0A9J7LJ53_BRAFL Fibroleukin-like isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118420879 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LIT1_A0A9J7LIT1_BRAFL tr|A0A9J7LIT1|A0A9J7LIT1_BRAFL Angiopoietin-related protein 7-like OS=Branchiostoma floridae OX=7739 GN=LOC118420817 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HMZ4_A0A9J7HMZ4_BRAFL tr|A0A9J7HMZ4|A0A9J7HMZ4_BRAFL Angiopoietin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118405471 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LMR2_A0A9J7LMR2_BRAFL tr|A0A9J7LMR2|A0A9J7LMR2_BRAFL Angiopoietin-related protein 2-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118421678 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N057_A0A9J7N057_BRAFL tr|A0A9J7N057|A0A9J7N057_BRAFL Angiopoietin-related protein 2-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118421678 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MA17_A0A9J7MA17_BRAFL tr|A0A9J7MA17|A0A9J7MA17_BRAFL Leucine-rich repeat-containing protein DDB_G0290503 isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118430524 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M9Y0_A0A9J7M9Y0_BRAFL tr|A0A9J7M9Y0|A0A9J7M9Y0_BRAFL Leucine-rich repeat-containing protein DDB_G0290503 isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118430524 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KL40_A0A9J7KL40_BRAFL tr|A0A9J7KL40|A0A9J7KL40_BRAFL Angiopoietin-related protein 7-like OS=Branchiostoma floridae OX=7739 GN=LOC118408406 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HLK9_A0A9J7HLK9_BRAFL tr|A0A9J7HLK9|A0A9J7HLK9_BRAFL Angiopoietin-related protein 7-like OS=Branchiostoma floridae OX=7739 GN=LOC118404890 PE=4 SV=1
OG0000000	Acropora_digitifera_adi_v1.05260 adi_v1.05260, Acropora_digitifera_adi_v1.14266 adi_v1.14266, Acropora_digitifera_adi_v1.11270 adi_v1.11270, Acropora_digitifera_adi_v1.14265 adi_v1.14265	Branchiostoma_floridae_tr_A0A9J7LX30_A0A9J7LX30_BRAFL tr|A0A9J7LX30|A0A9J7LX30_BRAFL Angiopoietin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118425063 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7ME75_A0A9J7ME75_BRAFL tr|A0A9J7ME75|A0A9J7ME75_BRAFL Angiopoietin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118432117 PE=4 SV=1
OG0000001	Acropora_digitifera_adi_v1.17690 adi_v1.17690, Acropora_digitifera_adi_v1.07845 adi_v1.07845, Acropora_digitifera_adi_v1.06176 adi_v1.06176	Branchiostoma_floridae_tr_A0A9J7KIY4_A0A9J7KIY4_BRAFL tr|A0A9J7KIY4|A0A9J7KIY4_BRAFL Laminin subunit beta-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118408876 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LLZ4_A0A9J7LLZ4_BRAFL tr|A0A9J7LLZ4|A0A9J7LLZ4_BRAFL Laminin subunit gamma-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421980 PE=4 SV=1
OG0000001	Acropora_digitifera_adi_v1.19636 adi_v1.19636	Branchiostoma_floridae_tr_A0A9J7L569_A0A9J7L569_BRAFL tr|A0A9J7L569|A0A9J7L569_BRAFL Netrin-1 OS=Branchiostoma floridae OX=7739 GN=LOC118415570 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L7R6_A0A9J7L7R6_BRAFL tr|A0A9J7L7R6|A0A9J7L7R6_BRAFL Laminin subunit beta-1-like isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L7W8_A0A9J7L7W8_BRAFL tr|A0A9J7L7W8|A0A9J7L7W8_BRAFL Laminin subunit beta-1-like isoform X6 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L7Z9_A0A9J7L7Z9_BRAFL tr|A0A9J7L7Z9|A0A9J7L7Z9_BRAFL Laminin subunit beta-1-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MS81_A0A9J7MS81_BRAFL tr|A0A9J7MS81|A0A9J7MS81_BRAFL Laminin subunit beta-1-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LAB9_A0A9J7LAB9_BRAFL tr|A0A9J7LAB9|A0A9J7LAB9_BRAFL Laminin subunit beta-1-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L963_A0A9J7L963_BRAFL tr|A0A9J7L963|A0A9J7L963_BRAFL Laminin subunit beta-1-like isoform X7 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L8D4_A0A9J7L8D4_BRAFL tr|A0A9J7L8D4|A0A9J7L8D4_BRAFL Laminin subunit beta-1-like isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MT27_A0A9J7MT27_BRAFL tr|A0A9J7MT27|A0A9J7MT27_BRAFL Laminin subunit beta-1-like isoform X8 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MR92_A0A9J7MR92_BRAFL tr|A0A9J7MR92|A0A9J7MR92_BRAFL Laminin subunit beta-1-like isoform X9 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1
OG0000001	Acropora_digitifera_adi_v1.04637 adi_v1.04637	Branchiostoma_floridae_tr_A0A9J7MKF1_A0A9J7MKF1_BRAFL tr|A0A9J7MKF1|A0A9J7MKF1_BRAFL Neogenin-like OS=Branchiostoma floridae OX=7739 GN=LOC118412265 PE=3 SV=1
OG0000001	Acropora_digitifera_adi_v1.08764 adi_v1.08764	Branchiostoma_floridae_tr_A0A9J7MK86_A0A9J7MK86_BRAFL tr|A0A9J7MK86|A0A9J7MK86_BRAFL Protogenin-like OS=Branchiostoma floridae OX=7739 GN=LOC118411915 PE=4 SV=1
