Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Scyphozoa_Aurelia_aurita
OG0000000	Stylophora_pistillata_Spis23020 Spis23020 SpisGene23020, Stylophora_pistillata_Spis15804 Spis15804 SpisGene15804, Stylophora_pistillata_Spis17174 Spis17174 SpisGene17174	Aurelia_aurita_Seg1515.1 Seg1515.1 transcript_id=Seg1515.1_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg1515.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1515.2 Seg1515.2 transcript_id=Seg1515.2_GoldUCD_mRNA.D3Y31 product=Ryncolin-4 protein_id=Seg1515.2_GoldUCD_D3Y31, Aurelia_aurita_Seg144.2 Seg144.2 transcript_id=Seg144.2_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg144.2_GoldUCD_D3Y31, Aurelia_aurita_Seg451.5 Seg451.5 transcript_id=Seg451.5_GoldUCD_mRNA.D3Y31 product=Ryncolin-3 protein_id=Seg451.5_GoldUCD_D3Y31, Aurelia_aurita_Seg2318.1 Seg2318.1 transcript_id=Seg2318.1_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2318.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2243.3 Seg2243.3 transcript_id=Seg2243.3_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2243.3_GoldUCD_D3Y31, Aurelia_aurita_Seg4227.2 Seg4227.2 transcript_id=Seg4227.2_GoldUCD_mRNA.D3Y31 product=Ficolin-3 protein_id=Seg4227.2_GoldUCD_D3Y31, Aurelia_aurita_Seg983.3 Seg983.3 transcript_id=Seg983.3_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg983.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1964.7 Seg1964.7 transcript_id=Seg1964.7_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1964.7_GoldUCD_D3Y31, Aurelia_aurita_Seg349.4 Seg349.4 transcript_id=Seg349.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg349.4_GoldUCD_D3Y31
OG0000000	Stylophora_pistillata_Spis6532 Spis6532 SpisGene6532, Stylophora_pistillata_Spis22079 Spis22079 SpisGene22079, Stylophora_pistillata_Spis10952 Spis10952 SpisGene10952, Stylophora_pistillata_Spis14746 Spis14746 SpisGene14746, Stylophora_pistillata_Spis8083 Spis8083 SpisGene8083, Stylophora_pistillata_Spis8082 Spis8082 SpisGene8082, Stylophora_pistillata_Spis22076 Spis22076 SpisGene22076, Stylophora_pistillata_Spis18042 Spis18042 SpisGene18042, Stylophora_pistillata_Spis22993 Spis22993 SpisGene22993	Aurelia_aurita_Seg1762.8 Seg1762.8 transcript_id=Seg1762.8_GoldUCD_mRNA.D3Y31 product=Techylectin-5B protein_id=Seg1762.8_GoldUCD_D3Y31, Aurelia_aurita_Seg3388.1 Seg3388.1 transcript_id=Seg3388.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3388.1_GoldUCD_D3Y31, Aurelia_aurita_Seg3031.2 Seg3031.2 transcript_id=Seg3031.2_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3031.2_GoldUCD_D3Y31, Aurelia_aurita_Seg3086.3 Seg3086.3 transcript_id=Seg3086.3_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3086.3_GoldUCD_D3Y31, Aurelia_aurita_Seg6310.1 Seg6310.1 transcript_id=Seg6310.1_GoldUCD_mRNA.D3Y31 product=Ryncolin-2 protein_id=Seg6310.1_GoldUCD_D3Y31, Aurelia_aurita_Seg3715.1 Seg3715.1 transcript_id=Seg3715.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3715.1_GoldUCD_D3Y31, Aurelia_aurita_Seg87.1 Seg87.1 transcript_id=Seg87.1_GoldUCD_mRNA.D3Y31 product=Ficolin-1-A protein_id=Seg87.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2208.3 Seg2208.3 transcript_id=Seg2208.3_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg2208.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2828.3 Seg2828.3 transcript_id=Seg2828.3_GoldUCD_mRNA.D3Y31 product=Techylectin-5A protein_id=Seg2828.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2828.2 Seg2828.2 transcript_id=Seg2828.2_GoldUCD_mRNA.D3Y31 product=Ryncolin-4 protein_id=Seg2828.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2404.2 Seg2404.2 transcript_id=Seg2404.2_GoldUCD_mRNA.D3Y31 product=Techylectin-5A protein_id=Seg2404.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2404.1 Seg2404.1 transcript_id=Seg2404.1_GoldUCD_mRNA.D3Y31 product=Techylectin-5A protein_id=Seg2404.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1014.3 Seg1014.3 transcript_id=Seg1014.3_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1014.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1014.2 Seg1014.2 transcript_id=Seg1014.2_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1014.2_GoldUCD_D3Y31
OG0000000	Stylophora_pistillata_Spis9824 Spis9824 SpisGene9824, Stylophora_pistillata_Spis9823 Spis9823 SpisGene9823	Aurelia_aurita_Seg1444.3 Seg1444.3 transcript_id=Seg1444.3_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg1444.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2112.5 Seg2112.5 transcript_id=Seg2112.5_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2112.5_GoldUCD_D3Y31, Aurelia_aurita_Seg1875.9 Seg1875.9 transcript_id=Seg1875.9_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg1875.9_GoldUCD_D3Y31, Aurelia_aurita_Seg1876.8 Seg1876.8 transcript_id=Seg1876.8_GoldUCD_mRNA.D3Y31 product=Ryncolin-2 protein_id=Seg1876.8_GoldUCD_D3Y31, Aurelia_aurita_Seg5312.1 Seg5312.1 transcript_id=Seg5312.1_GoldUCD_mRNA.D3Y31 product=Ryncolin-2 protein_id=Seg5312.1_GoldUCD_D3Y31, Aurelia_aurita_Seg5312.2 Seg5312.2 transcript_id=Seg5312.2_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg5312.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2050.1 Seg2050.1 transcript_id=Seg2050.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg2050.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1153.9 Seg1153.9 transcript_id=Seg1153.9_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg1153.9_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2095.4 Seg2095.4 transcript_id=Seg2095.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen-like protein A" protein_id=Seg2095.4_GoldUCD_D3Y31, Aurelia_aurita_Seg1927.3 Seg1927.3 transcript_id=Seg1927.3_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1927.3_GoldUCD_D3Y31
OG0000001	Stylophora_pistillata_Spis17368 Spis17368 SpisGene17368	Aurelia_aurita_Seg2403.1 Seg2403.1 transcript_id=Seg2403.1_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-1" protein_id=Seg2403.1_GoldUCD_D3Y31
OG0000001	Stylophora_pistillata_Spis24167 Spis24167 SpisGene24167, Stylophora_pistillata_Spis23377 Spis23377 SpisGene23377, Stylophora_pistillata_Spis19003 Spis19003 SpisGene19003	Aurelia_aurita_Seg447.8 Seg447.8 transcript_id=Seg447.8_GoldUCD_mRNA.D3Y31 product="Fibronectin type III domain-containing protein" protein_id=Seg447.8_GoldUCD_D3Y31 partial=true
OG0000001	Stylophora_pistillata_Spis14116 Spis14116 SpisGene14116	Aurelia_aurita_Seg918.1 Seg918.1 transcript_id=Seg918.1_GoldUCD_mRNA.D3Y31 product="Protein sidekick" protein_id=Seg918.1_GoldUCD_D3Y31 partial=true
OG0000001	Stylophora_pistillata_Spis16034 Spis16034 SpisGene16034	Aurelia_aurita_Seg436.1 Seg436.1 transcript_id=Seg436.1_GoldUCD_mRNA.D3Y31 product=Neogenin protein_id=Seg436.1_GoldUCD_D3Y31 partial=true
OG0000001	Stylophora_pistillata_Spis8306 Spis8306 SpisGene8306, Stylophora_pistillata_Spis9292 Spis9292 SpisGene9292, Stylophora_pistillata_Spis11787 Spis11787 SpisGene11787, Stylophora_pistillata_Spis11782 Spis11782 SpisGene11782, Stylophora_pistillata_Spis18233 Spis18233 SpisGene18233, Stylophora_pistillata_Spis7755 Spis7755 SpisGene7755, Stylophora_pistillata_Spis6005 Spis6005 SpisGene6005, Stylophora_pistillata_Spis16273 Spis16273 SpisGene16273	Aurelia_aurita_Seg1879.3 Seg1879.3 transcript_id=Seg1879.3_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg1879.3_GoldUCD_D3Y31 partial=true
OG0000001	Stylophora_pistillata_Spis18234 Spis18234 SpisGene18234	Aurelia_aurita_Seg2492.3 Seg2492.3 transcript_id=Seg2492.3_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg2492.3_GoldUCD_D3Y31, Aurelia_aurita_Seg913.6_Seg913.4 Seg913.6_Seg913.4 transcript_id=Seg913.6_Seg913.4_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg913.6_Seg913.4_GoldUCD_D3Y31, Aurelia_aurita_Seg913.3 Seg913.3 transcript_id=Seg913.3_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg913.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3339.2 Seg3339.2 transcript_id=Seg3339.2_GoldUCD_mRNA.D3Y31 product="Receptor-type tyrosine-protein phosphatase F" protein_id=Seg3339.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2958.1 Seg2958.1 transcript_id=Seg2958.1_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg2958.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1093.3 Seg1093.3 transcript_id=Seg1093.3_GoldUCD_mRNA.D3Y31 product="Phosphatidylinositol phosphatase PTPRQ" protein_id=Seg1093.3_GoldUCD_D3Y31 partial=true
OG0000001	Stylophora_pistillata_Spis15904 Spis15904 SpisGene15904	Aurelia_aurita_Seg420.2 Seg420.2 transcript_id=Seg420.2_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg420.2_GoldUCD_D3Y31
