Orthogroup	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Chordata_Vertebrata_Coturnix_japonica
OG0000000	Schmidtea_mediterranea_maker-scaffold9678-snap-gene-0.37-mRNA-1 maker-scaffold9678-snap-gene-0.37-mRNA-1 protein AED_0.36 eAED_0.36 QI_0|0.25|0.11|0.66|0.5|0.55|9|0|2056	Coturnix_japonica_XP_015734261.1 tenascin isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015725285.1 PREDICTED_ tenascin-R isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015725046.1 tenascin-N [Coturnix japonica]
OG0000001	Schmidtea_mediterranea_maker-scaffold14005-snap-gene-0.42-mRNA-1 maker-scaffold14005-snap-gene-0.42-mRNA-1 protein AED_0.02 eAED_0.04 QI_10|0|0|0.83|0.8|0.83|6|0|258	Coturnix_japonica_XP_015714020.1 netrin-4 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015740591.1 laminin subunit beta-3 [Coturnix japonica], Coturnix_japonica_XP_015706098.1 PREDICTED_ laminin subunit beta-4 [Coturnix japonica], Coturnix_japonica_XP_015730671.1 laminin subunit beta-2 [Coturnix japonica], Coturnix_japonica_XP_015706984.1 laminin subunit beta-1 [Coturnix japonica]
OG0000001	Schmidtea_mediterranea_maker-scaffold10153-augustus-gene-0.51-mRNA-1 maker-scaffold10153-augustus-gene-0.51-mRNA-1 protein AED_0.09 eAED_0.09 QI_141|0.86|0.95|1|0.65|0.70|24|255|1751	Coturnix_japonica_XP_015734644.1 laminin subunit gamma-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015725067.1 laminin subunit gamma-1 [Coturnix japonica]
OG0000002	Schmidtea_mediterranea_maker-scaffold7690-augustus-gene-1.40-mRNA-1 maker-scaffold7690-augustus-gene-1.40-mRNA-1 protein AED_0.11 eAED_0.11 QI_557|0.89|0.89|1|0.75|0.76|67|0|4303	Coturnix_japonica_XP_015725373.1 PREDICTED_ hemicentin-1 isoform X9 [Coturnix japonica]
OG0000003	Schmidtea_mediterranea_augustus_masked-scaffold1092-processed-gene-0.0-mRNA-1 augustus_masked-scaffold1092-processed-gene-0.0-mRNA-1 protein AED_0.18 eAED_0.18 QI_0|0|0|0.33|1|1|3|0|189	Coturnix_japonica_XP_015714842.1 PREDICTED_ collectin-11 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015711709.1 collectin-10 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015721592.1 mannose-binding protein [Coturnix japonica]
OG0000003	Schmidtea_mediterranea_maker-scaffold6567-snap-gene-1.79-mRNA-1 maker-scaffold6567-snap-gene-1.79-mRNA-1 protein AED_0.41 eAED_0.44 QI_0|0.66|0.57|1|0.5|0.57|7|0|334, Schmidtea_mediterranea_snap_masked-scaffold6567-processed-gene-1.12-mRNA-1 snap_masked-scaffold6567-processed-gene-1.12-mRNA-1 protein AED_0.27 eAED_0.27 QI_78|0.87|0.82|1|0.43|0.64|17|0|870	Coturnix_japonica_XP_015703924.1 CD209 antigen-like protein E isoform X2 [Coturnix japonica]
OG0000004	Schmidtea_mediterranea_maker-scaffold18765-snap-gene-0.24-mRNA-1 maker-scaffold18765-snap-gene-0.24-mRNA-1 protein AED_0.03 eAED_0.03 QI_51|0.77|0.8|1|0.44|0.9|10|0|608	Coturnix_japonica_XP_015709146.1 collagen alpha-1_XXVIII_ chain [Coturnix japonica]
OG0000007	Schmidtea_mediterranea_maker-scaffold5858-augustus-gene-1.61-mRNA-1 maker-scaffold5858-augustus-gene-1.61-mRNA-1 protein AED_0.23 eAED_0.22 QI_33|0.52|0.75|0.95|0.42|0.6|20|88|1375	Coturnix_japonica_XP_015738107.1 PREDICTED_ LOW QUALITY PROTEIN_ multiple epidermal growth factor-like domains protein 6 [Coturnix japonica]
OG0000009	Schmidtea_mediterranea_maker-scaffold7935-augustus-gene-0.39-mRNA-1 maker-scaffold7935-augustus-gene-0.39-mRNA-1 protein AED_0.10 eAED_0.10 QI_422|1|1|1|0.35|0.72|18|100|1068	Coturnix_japonica_XP_015722340.1 tolloid-like protein 2 [Coturnix japonica], Coturnix_japonica_XP_015716446.1 tolloid-like protein 1 isoform X1 [Coturnix japonica]
OG0000009	Schmidtea_mediterranea_maker-scaffold736-augustus-gene-1.62-mRNA-1 maker-scaffold736-augustus-gene-1.62-mRNA-1 protein AED_0.46 eAED_0.47 QI_0|0.27|0.33|0.75|0.36|0.58|12|82|665	Coturnix_japonica_XP_015726187.1 CUB domain-containing protein 2 isoform X2 [Coturnix japonica]
