Orthogroup	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Chordata_Amphioxiformes_Branchiostoma_floridae
OG0000001	Mnemiopsis_leidyi_ML17591a ML17591a	Branchiostoma_floridae_tr_A0A9J7L569_A0A9J7L569_BRAFL tr|A0A9J7L569|A0A9J7L569_BRAFL Netrin-1 OS=Branchiostoma floridae OX=7739 GN=LOC118415570 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L7R6_A0A9J7L7R6_BRAFL tr|A0A9J7L7R6|A0A9J7L7R6_BRAFL Laminin subunit beta-1-like isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L7W8_A0A9J7L7W8_BRAFL tr|A0A9J7L7W8|A0A9J7L7W8_BRAFL Laminin subunit beta-1-like isoform X6 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L7Z9_A0A9J7L7Z9_BRAFL tr|A0A9J7L7Z9|A0A9J7L7Z9_BRAFL Laminin subunit beta-1-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MS81_A0A9J7MS81_BRAFL tr|A0A9J7MS81|A0A9J7MS81_BRAFL Laminin subunit beta-1-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LAB9_A0A9J7LAB9_BRAFL tr|A0A9J7LAB9|A0A9J7LAB9_BRAFL Laminin subunit beta-1-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L963_A0A9J7L963_BRAFL tr|A0A9J7L963|A0A9J7L963_BRAFL Laminin subunit beta-1-like isoform X7 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L8D4_A0A9J7L8D4_BRAFL tr|A0A9J7L8D4|A0A9J7L8D4_BRAFL Laminin subunit beta-1-like isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MT27_A0A9J7MT27_BRAFL tr|A0A9J7MT27|A0A9J7MT27_BRAFL Laminin subunit beta-1-like isoform X8 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MR92_A0A9J7MR92_BRAFL tr|A0A9J7MR92|A0A9J7MR92_BRAFL Laminin subunit beta-1-like isoform X9 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1
OG0000001	Mnemiopsis_leidyi_ML20591a ML20591a, Mnemiopsis_leidyi_ML05951a ML05951a	Branchiostoma_floridae_tr_A0A9J7M5E8_A0A9J7M5E8_BRAFL tr|A0A9J7M5E8|A0A9J7M5E8_BRAFL Netrin-1-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118428730 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N853_A0A9J7N853_BRAFL tr|A0A9J7N853|A0A9J7N853_BRAFL Netrin-1-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118428730 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MX51_A0A9J7MX51_BRAFL tr|A0A9J7MX51|A0A9J7MX51_BRAFL Laminin subunit gamma-1-like isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118421560 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LN45_A0A9J7LN45_BRAFL tr|A0A9J7LN45|A0A9J7LN45_BRAFL Laminin subunit gamma-1-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118421560 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LN27_A0A9J7LN27_BRAFL tr|A0A9J7LN27|A0A9J7LN27_BRAFL Laminin subunit gamma-1-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118421560 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LMC9_A0A9J7LMC9_BRAFL tr|A0A9J7LMC9|A0A9J7LMC9_BRAFL Laminin subunit gamma-1-like isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118421560 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MZY0_A0A9J7MZY0_BRAFL tr|A0A9J7MZY0|A0A9J7MZY0_BRAFL Laminin subunit gamma-1-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118421560 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MZQ1_A0A9J7MZQ1_BRAFL tr|A0A9J7MZQ1|A0A9J7MZQ1_BRAFL Laminin subunit gamma-1-like isoform X6 OS=Branchiostoma floridae OX=7739 GN=LOC118421560 PE=4 SV=1
OG0000002	Mnemiopsis_leidyi_ML025011a ML025011a, Mnemiopsis_leidyi_ML15458a ML15458a, Mnemiopsis_leidyi_ML21527a ML21527a, Mnemiopsis_leidyi_ML02152a ML02152a, Mnemiopsis_leidyi_ML104325a ML104325a, Mnemiopsis_leidyi_ML014910a ML014910a, Mnemiopsis_leidyi_ML04601a ML04601a, Mnemiopsis_leidyi_ML06976a ML06976a	Branchiostoma_floridae_tr_A0A9J7LU26_A0A9J7LU26_BRAFL tr|A0A9J7LU26|A0A9J7LU26_BRAFL von Willebrand factor A domain-containing protein 7-like OS=Branchiostoma floridae OX=7739 GN=LOC118424186 PE=4 SV=1
OG0000002	Mnemiopsis_leidyi_ML05299a ML05299a, Mnemiopsis_leidyi_ML016334a ML016334a	Branchiostoma_floridae_tr_A0A9J7M1G2_A0A9J7M1G2_BRAFL tr|A0A9J7M1G2|A0A9J7M1G2_BRAFL Coadhesin-like OS=Branchiostoma floridae OX=7739 GN=LOC118426203 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N5B1_A0A9J7N5B1_BRAFL tr|A0A9J7N5B1|A0A9J7N5B1_BRAFL A disintegrin and metalloproteinase with thrombospondin motifs adt-1-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118425526 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N265_A0A9J7N265_BRAFL tr|A0A9J7N265|A0A9J7N265_BRAFL A disintegrin and metalloproteinase with thrombospondin motifs adt-1-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118425526 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LXD4_A0A9J7LXD4_BRAFL tr|A0A9J7LXD4|A0A9J7LXD4_BRAFL A disintegrin and metalloproteinase with thrombospondin motifs adt-1-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118425526 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LZM9_A0A9J7LZM9_BRAFL tr|A0A9J7LZM9|A0A9J7LZM9_BRAFL Hemicentin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118426202 PE=4 SV=1
OG0000002	Mnemiopsis_leidyi_ML040510a ML040510a	Branchiostoma_floridae_tr_A0A9J7HHP8_A0A9J7HHP8_BRAFL tr|A0A9J7HHP8|A0A9J7HHP8_BRAFL Hemicentin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118404641 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HW88_A0A9J7HW88_BRAFL tr|A0A9J7HW88|A0A9J7HW88_BRAFL Hemicentin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118409059 PE=4 SV=1
OG0000002	Mnemiopsis_leidyi_ML14871a ML14871a, Mnemiopsis_leidyi_ML093048a ML093048a	Branchiostoma_floridae_tr_A0A9J7M4I3_A0A9J7M4I3_BRAFL tr|A0A9J7M4I3|A0A9J7M4I3_BRAFL Delta-like protein 1 OS=Branchiostoma floridae OX=7739 GN=LOC118428593 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L665_A0A9J7L665_BRAFL tr|A0A9J7L665|A0A9J7L665_BRAFL Signal peptide_ CUB and EGF-like domain-containing protein 1 OS=Branchiostoma floridae OX=7739 GN=LOC118415651 PE=4 SV=1
OG0000002	Mnemiopsis_leidyi_ML050913a ML050913a	Branchiostoma_floridae_tr_A0A9J7HM30_A0A9J7HM30_BRAFL tr|A0A9J7HM30|A0A9J7HM30_BRAFL Hemicentin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118406148 PE=4 SV=1
OG0000002	Mnemiopsis_leidyi_ML27985a ML27985a, Mnemiopsis_leidyi_ML000132a ML000132a, Mnemiopsis_leidyi_ML10112a ML10112a, Mnemiopsis_leidyi_ML10113a ML10113a, Mnemiopsis_leidyi_ML271515a ML271515a, Mnemiopsis_leidyi_ML460822a ML460822a	Branchiostoma_floridae_tr_A0A9J7LWI5_A0A9J7LWI5_BRAFL tr|A0A9J7LWI5|A0A9J7LWI5_BRAFL Cartilage intermediate layer protein 2-like OS=Branchiostoma floridae OX=7739 GN=LOC118425311 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N629_A0A9J7N629_BRAFL tr|A0A9J7N629|A0A9J7N629_BRAFL Hemicentin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118426127 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L3N9_A0A9J7L3N9_BRAFL tr|A0A9J7L3N9|A0A9J7L3N9_BRAFL Ectin-like OS=Branchiostoma floridae OX=7739 GN=LOC118415186 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HD18_A0A9J7HD18_BRAFL tr|A0A9J7HD18|A0A9J7HD18_BRAFL Netrin receptor UNC5A-like OS=Branchiostoma floridae OX=7739 GN=LOC118403025 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KS90_A0A9J7KS90_BRAFL tr|A0A9J7KS90|A0A9J7KS90_BRAFL Uncharacterized protein LOC118410979 OS=Branchiostoma floridae OX=7739 GN=LOC118410979 PE=4 SV=1
OG0000002	Mnemiopsis_leidyi_ML07453a ML07453a	Branchiostoma_floridae_tr_A0A9J7NA17_A0A9J7NA17_BRAFL tr|A0A9J7NA17|A0A9J7NA17_BRAFL Semaphorin-5A-like OS=Branchiostoma floridae OX=7739 GN=LOC118430065 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M8F5_A0A9J7M8F5_BRAFL tr|A0A9J7M8F5|A0A9J7M8F5_BRAFL Uncharacterized protein LOC118430066 OS=Branchiostoma floridae OX=7739 GN=LOC118430066 PE=4 SV=1
