Orthogroup	Cnidaria_Anthozoa_Porites_asteroides	Porifera_Demospongiae_Amphimedon_queenslandica
OG0000000	Porites_asteroides_GCKDGN103G3H3D GCKDGN103G3H3D extracted_CDS GOMatch=C3XRU3 GOTerms=GO_0005102_GO_0005615_GO_0007165 length=440 region=3 run=R_2010_02_19_08_49_25_ xy=2793_0711	Amphimedon_queenslandica_tr_A0A1X7TKD1_A0A1X7TKD1_AMPQE tr_A0A1X7TKD1_A0A1X7TKD1_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7THB2_A0A1X7THB2_AMPQE tr_A0A1X7THB2_A0A1X7THB2_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T7C3_A0A1X7T7C3_AMPQE tr_A0A1X7T7C3_A0A1X7T7C3_AMPQE Angiopoietin-related protein 4 OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000000	Porites_asteroides_isotig30225 isotig30225 extracted_CDS GOMatch=A7RR21 GOTerms=GO_0005102_GO_0005615_GO_0007165 gene=isogroup28493 length=223 numContigs=1, Porites_asteroides_GE909771 GE909771 extracted_CDS 9555023_L17.ab1_c Past_norm2007 Porites astreoides cDNA_mRNA sequence, Porites_asteroides_isotig28759 isotig28759 extracted_CDS GOMatch=A7RR21 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Tenascin-R_ Match_Acc=Q7T3T6 gene=isogroup27027 length=263 numContigs=1, Porites_asteroides_isotig25684 isotig25684 extracted_CDS GOMatch=C3Y0I4 GOTerms=GO_0005102_GO_0007165 Gene=Ficolin__Collagen_fibrinogen_domain_containing__3__Hakata_antig en__ Match_Acc=Q6DIT6 gene=isogroup23952 length=322 numContigs=1, Porites_asteroides_isotig11115 isotig11115 extracted_CDS GOMatch=A7SR68 GOTerms=GO_0005102_GO_0005615_GO_0007165 gene=isogroup09383 length=615 numContigs=1, Porites_asteroides_isotig00527 isotig00527 extracted_CDS GOMatch=A7SLX6 GOTerms=GO_0005102_GO_0005615_GO_0007165 gene=isogroup00135 length=1593 numContigs=3, Porites_asteroides_isotig00528 isotig00528 extracted_CDS GOMatch=A7SLX6 GOTerms=GO_0005102_GO_0005615_GO_0007165 gene=isogroup00135 length=1238 numContigs=3	Amphimedon_queenslandica_tr_A0A1X7ULD6_A0A1X7ULD6_AMPQE tr_A0A1X7ULD6_A0A1X7ULD6_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105313195 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UNX5_A0A1X7UNX5_AMPQE tr_A0A1X7UNX5_A0A1X7UNX5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VAP0_A0A1X7VAP0_AMPQE tr_A0A1X7VAP0_A0A1X7VAP0_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100637828 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UEI3_A0A1X7UEI3_AMPQE tr_A0A1X7UEI3_A0A1X7UEI3_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TEI7_A0A1X7TEI7_AMPQE tr_A0A1X7TEI7_A0A1X7TEI7_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SPQ0_A0A1X7SPQ0_AMPQE tr_A0A1X7SPQ0_A0A1X7SPQ0_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TF91_A0A1X7TF91_AMPQE tr_A0A1X7TF91_A0A1X7TF91_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UXI6_A0A1X7UXI6_AMPQE tr_A0A1X7UXI6_A0A1X7UXI6_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UYQ5_A0A1X7UYQ5_AMPQE tr_A0A1X7UYQ5_A0A1X7UYQ5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100632538 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TTH3_A0A1X7TTH3_AMPQE tr_A0A1X7TTH3_A0A1X7TTH3_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TT50_A0A1X7TT50_AMPQE tr_A0A1X7TT50_A0A1X7TT50_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100639626 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U6Q1_A0A1X7U6Q1_AMPQE tr_A0A1X7U6Q1_A0A1X7U6Q1_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U6Q6_A0A1X7U6Q6_AMPQE tr_A0A1X7U6Q6_A0A1X7U6Q6_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T854_A0A1X7T854_AMPQE tr_A0A1X7T854_A0A1X7T854_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100637814 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U6G7_A0A1X7U6G7_AMPQE tr_A0A1X7U6G7_A0A1X7U6G7_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105313870 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TRL5_A0A1X7TRL5_AMPQE tr_A0A1X7TRL5_A0A1X7TRL5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100634289 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U772_A0A1X7U772_AMPQE tr_A0A1X7U772_A0A1X7U772_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105313869 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TNT2_A0A1X7TNT2_AMPQE tr_A0A1X7TNT2_A0A1X7TNT2_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100639582 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7STA5_A0A1X7STA5_AMPQE tr_A0A1X7STA5_A0A1X7STA5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TF57_A0A1X7TF57_AMPQE tr_A0A1X7TF57_A0A1X7TF57_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100633103 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T456_A0A1X7T456_AMPQE tr_A0A1X7T456_A0A1X7T456_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U0N8_A0A1X7U0N8_AMPQE tr_A0A1X7U0N8_A0A1X7U0N8_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105314125 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U0C2_A0A1X7U0C2_AMPQE tr_A0A1X7U0C2_A0A1X7U0C2_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TP65_A0A1X7TP65_AMPQE tr_A0A1X7TP65_A0A1X7TP65_AMPQE Arpin OS=Amphimedon queenslandica OX=400682 PE=3 SV=1, Amphimedon_queenslandica_tr_A0A1X7U606_A0A1X7U606_AMPQE tr_A0A1X7U606_A0A1X7U606_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T8J7_A0A1X7T8J7_AMPQE tr_A0A1X7T8J7_A0A1X7T8J7_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000001	Porites_asteroides_isotig05078 isotig05078 extracted_CDS GOMatch=A7SIF3 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_subunit_gamma-1_ Match_Acc=A0JP86 gene=isogroup03346 length=1119 numContigs=1, Porites_asteroides_isotig24173 isotig24173 extracted_CDS GOMatch=A7SIF3 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_B2_ Match_Acc=B4PEF1 gene=isogroup22441 length=343 numContigs=1	Amphimedon_queenslandica_tr_A0A1X7UHN7_A0A1X7UHN7_AMPQE tr_A0A1X7UHN7_A0A1X7UHN7_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100638010 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VW10_A0A1X7VW10_AMPQE tr_A0A1X7VW10_A0A1X7VW10_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=109582339 PE=4 SV=1
OG0000001	Porites_asteroides_isotig32429 isotig32429 extracted_CDS GOMatch=Q2HXW4 GOTerms=GO_0001764_GO_0005576_GO_0005578_GO_0005604_GO_0005737_GO_0006915_GO_0007409_GO_0007411_GO_0008284_GO_0016337_GO_0030334_GO_0030517_GO_0030879_GO_0040023_GO_0045773_GO_0060603 Gene=Netrin__Fragment__ Match_Acc=Q0Q618 gene=isogroup30697 length=137 numContigs=1	Amphimedon_queenslandica_tr_A0A1X7U8Z0_A0A1X7U8Z0_AMPQE tr_A0A1X7U8Z0_A0A1X7U8Z0_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000001	Porites_asteroides_isotig18438 isotig18438 extracted_CDS GOMatch=D2HSQ6 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Dscam_family_member_AbsCAM-Ig7A_ Match_Acc=Q1T6Y3 gene=isogroup16706 length=415 numContigs=1	Amphimedon_queenslandica_tr_A0A1X7VJK8_A0A1X7VJK8_AMPQE tr_A0A1X7VJK8_A0A1X7VJK8_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VJP3_A0A1X7VJP3_AMPQE tr_A0A1X7VJP3_A0A1X7VJP3_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7ULH8_A0A1X7ULH8_AMPQE tr_A0A1X7ULH8_A0A1X7ULH8_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=3 SV=1, Amphimedon_queenslandica_tr_A0A1X7VI68_A0A1X7VI68_AMPQE tr_A0A1X7VI68_A0A1X7VI68_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000001	Porites_asteroides_GCKDGN101BOTBW GCKDGN101BOTBW extracted_CDS GOMatch=C3YQU6 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Phosphotidylinositol_phosphatase_PTPRQ_ Match_Acc=P0C5E4 length=511 region=1 run=R_2010_02_19_08_49_25_ xy=0575_2282, Porites_asteroides_isotig17724 isotig17724 extracted_CDS GOMatch=A7RNP0 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Down_syndrome_cell_adhesion_molecule_ Match_Acc=Q17F85 gene=isogroup15992 length=428 numContigs=1, Porites_asteroides_isotig16782 isotig16782 extracted_CDS GOMatch=C3YQU6 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Receptor_protein_tyrosine_phosphatase_LAR_ Match_Acc=Q9IAJ0 gene=isogroup15050 length=444 numContigs=1	Amphimedon_queenslandica_tr_A0A1X7TD79_A0A1X7TD79_AMPQE tr_A0A1X7TD79_A0A1X7TD79_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000001	Porites_asteroides_GCKDGN101BCFKJ GCKDGN101BCFKJ extracted_CDS Gene=Dscam_ Match_Acc=Q292T1 length=267 region=1 run=R_2010_02_19_08_49_25_ xy=0434_2113	Amphimedon_queenslandica_tr_A0A1X7VP48_A0A1X7VP48_AMPQE tr_A0A1X7VP48_A0A1X7VP48_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000001	Porites_asteroides_isotig12265 isotig12265 extracted_CDS GOMatch=B3RRN6 GOTerms=GO_0004871_GO_0004872_GO_0004888_GO_0004930_GO_0005886_GO_0007165_GO_0007166_GO_0007186_GO_0007218_GO_0016020_GO_0016021 Gene=Roundabout_1_ Match_Acc=B0WQ95 gene=isogroup10533 length=570 numContigs=1	Amphimedon_queenslandica_tr_A0A1X7UDR2_A0A1X7UDR2_AMPQE tr_A0A1X7UDR2_A0A1X7UDR2_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UEI7_A0A1X7UEI7_AMPQE tr_A0A1X7UEI7_A0A1X7UEI7_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UEK4_A0A1X7UEK4_AMPQE tr_A0A1X7UEK4_A0A1X7UEK4_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SR16_A0A1X7SR16_AMPQE tr_A0A1X7SR16_A0A1X7SR16_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000001	Porites_asteroides_GCKDGN101BOW3Y GCKDGN101BOW3Y extracted_CDS GOMatch=B7Q1H6 GOTerms=GO_0004714_GO_0007155_GO_0016740_GO_0031012 Gene=Usherin_ Match_Acc=Q2QI47 length=478 region=1 run=R_2010_02_19_08_49_25_ xy=0576_3084	Amphimedon_queenslandica_tr_A0A1X7UDK8_A0A1X7UDK8_AMPQE tr_A0A1X7UDK8_A0A1X7UDK8_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VK74_A0A1X7VK74_AMPQE tr_A0A1X7VK74_A0A1X7VK74_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=109580249 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VIH6_A0A1X7VIH6_AMPQE tr_A0A1X7VIH6_A0A1X7VIH6_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7STV3_A0A1X7STV3_AMPQE tr_A0A1X7STV3_A0A1X7STV3_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7V2V0_A0A1X7V2V0_AMPQE tr_A0A1X7V2V0_A0A1X7V2V0_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UYX0_A0A1X7UYX0_AMPQE tr_A0A1X7UYX0_A0A1X7UYX0_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UIP8_A0A1X7UIP8_AMPQE tr_A0A1X7UIP8_A0A1X7UIP8_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
