Orthogroup	Ctenophora_Tentaculata_Pleurobrachia_bachei	Placozoa_Trichoplacidae_Tricoplax_adhaerens
OG0000001	Pleurobrachia_bachei_sb_2652422_ sb_2652422_	Tricoplax_adhaerens_tr_B3RUG1_B3RUG1_TRIAD tr_B3RUG1_B3RUG1_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_24524 PE=4 SV=1
OG0000001	Pleurobrachia_bachei_sb_2664824_ sb_2664824_, Pleurobrachia_bachei_sb_2643298_ sb_2643298_	Tricoplax_adhaerens_tr_B3RI09_B3RI09_TRIAD tr_B3RI09_B3RI09_TRIAD Fibronectin type-III domain-containing protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_18482 PE=4 SV=1
OG0000001	Pleurobrachia_bachei_sb_2653902_ sb_2653902_	Tricoplax_adhaerens_tr_B3RN89_B3RN89_TRIAD tr_B3RN89_B3RN89_TRIAD NTR domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53080 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RK07_B3RK07_TRIAD tr_B3RK07_B3RK07_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_51581 PE=4 SV=1
OG0000001	Pleurobrachia_bachei_sb_2656958_ sb_2656958_, Pleurobrachia_bachei_sb_2651191_ sb_2651191_	Tricoplax_adhaerens_tr_B3RNB7_B3RNB7_TRIAD tr_B3RNB7_B3RNB7_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_21436 PE=4 SV=1
OG0000002	Pleurobrachia_bachei_sb_2659350_ sb_2659350_	Tricoplax_adhaerens_tr_B3RLH2_B3RLH2_TRIAD tr_B3RLH2_B3RLH2_TRIAD TSP C-terminal domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_20056 PE=3 SV=1
OG0000003	Pleurobrachia_bachei_sb_2666979_ sb_2666979_	Tricoplax_adhaerens_tr_B3RQ04_B3RQ04_TRIAD tr_B3RQ04_B3RQ04_TRIAD Predicted protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53731 PE=4 SV=1
OG0000005	Pleurobrachia_bachei_sb_2653163_ sb_2653163_, Pleurobrachia_bachei_sb_2665088_ sb_2665088_, Pleurobrachia_bachei_sb_2642012_ sb_2642012_, Pleurobrachia_bachei_sb_2654112_ sb_2654112_, Pleurobrachia_bachei_sb_2651359_ sb_2651359_	Tricoplax_adhaerens_tr_B3RTE3_B3RTE3_TRIAD tr_B3RTE3_B3RTE3_TRIAD Metalloendopeptidase OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54934 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RTE4_B3RTE4_TRIAD tr_B3RTE4_B3RTE4_TRIAD Metalloendopeptidase OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54935 PE=4 SV=1, Tricoplax_adhaerens_tr_B3S9X8_B3S9X8_TRIAD tr_B3S9X8_B3S9X8_TRIAD Metalloendopeptidase _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_32049 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RTC7_B3RTC7_TRIAD tr_B3RTC7_B3RTC7_TRIAD Metalloendopeptidase _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_8107 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SD01_B3SD01_TRIAD tr_B3SD01_B3SD01_TRIAD Metalloendopeptidase _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_33646 PE=4 SV=1, Tricoplax_adhaerens_tr_B3S0U5_B3S0U5_TRIAD tr_B3S0U5_B3S0U5_TRIAD Metalloendopeptidase _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_26557 PE=4 SV=1
OG0000005	Pleurobrachia_bachei_sb_2663304_ sb_2663304_	Tricoplax_adhaerens_tr_B3RNQ2_B3RNQ2_TRIAD tr_B3RNQ2_B3RNQ2_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53247 PE=3 SV=1
OG0000007	Pleurobrachia_bachei_sb_2647954_ sb_2647954_, Pleurobrachia_bachei_sb_2638238_ sb_2638238_	Tricoplax_adhaerens_tr_B3RNY2_B3RNY2_TRIAD tr_B3RNY2_B3RNY2_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53334 PE=4 SV=1
