Orthogroup	Cnidaria_Cubozoa_Morbakka_virulenta	Porifera_Demospongiae_Ephydatia_muelleri
OG0000001	Morbakka_virulenta_scaffold161.g23.t1 scaffold161.g23.t1, Morbakka_virulenta_scaffold161.g20.t1 scaffold161.g20.t1	Ephydatia_muelleri_Em0009g1115a Em0009g1115a
OG0000001	Morbakka_virulenta_scaffold12.g138.t1 scaffold12.g138.t1, Morbakka_virulenta_scaffold361.g18.t1 scaffold361.g18.t1, Morbakka_virulenta_scaffold209.g24.t6 scaffold209.g24.t6, Morbakka_virulenta_scaffold209.g24.t3 scaffold209.g24.t3, Morbakka_virulenta_scaffold209.g24.t5 scaffold209.g24.t5, Morbakka_virulenta_scaffold209.g24.t4 scaffold209.g24.t4	Ephydatia_muelleri_Em0015g115a Em0015g115a, Ephydatia_muelleri_Em0015g114a Em0015g114a, Ephydatia_muelleri_Em0015g113a Em0015g113a
OG0000001	Morbakka_virulenta_scaffold186.g17.t1 scaffold186.g17.t1, Morbakka_virulenta_scaffold434.g16.t1 scaffold434.g16.t1	Ephydatia_muelleri_Em0018g288a Em0018g288a
OG0000001	Morbakka_virulenta_scaffold43.g67.t1 scaffold43.g67.t1, Morbakka_virulenta_scaffold43.g67.t2 scaffold43.g67.t2	Ephydatia_muelleri_Em0019g102a Em0019g102a
OG0000001	Morbakka_virulenta_scaffold212.g45.t1 scaffold212.g45.t1	Ephydatia_muelleri_Em0016g530a Em0016g530a
OG0000002	Morbakka_virulenta_scaffold479.g8.t1 scaffold479.g8.t1	Ephydatia_muelleri_Em0012g778a Em0012g778a, Ephydatia_muelleri_Em0012g771a Em0012g771a
OG0000002	Morbakka_virulenta_scaffold1.g61.t1 scaffold1.g61.t1, Morbakka_virulenta_scaffold381.g2.t1 scaffold381.g2.t1, Morbakka_virulenta_scaffold218.g9.t1 scaffold218.g9.t1, Morbakka_virulenta_scaffold218.g9.t2 scaffold218.g9.t2, Morbakka_virulenta_scaffold218.g9.t3 scaffold218.g9.t3, Morbakka_virulenta_scaffold678.g3.t2 scaffold678.g3.t2, Morbakka_virulenta_scaffold678.g3.t1 scaffold678.g3.t1, Morbakka_virulenta_scaffold678.g3.t3 scaffold678.g3.t3, Morbakka_virulenta_scaffold255.g10.t1 scaffold255.g10.t1, Morbakka_virulenta_scaffold218.g5.t1 scaffold218.g5.t1, Morbakka_virulenta_scaffold218.g5.t2 scaffold218.g5.t2, Morbakka_virulenta_scaffold13.g74.t1 scaffold13.g74.t1, Morbakka_virulenta_scaffold273.g21.t1 scaffold273.g21.t1	Ephydatia_muelleri_Em0018g930a Em0018g930a, Ephydatia_muelleri_Em0011g758a Em0011g758a, Ephydatia_muelleri_Em0018g931a Em0018g931a
OG0000004	Morbakka_virulenta_scaffold502.g1.t1 scaffold502.g1.t1	Ephydatia_muelleri_Em0011g654a Em0011g654a
OG0000004	Morbakka_virulenta_scaffold19.g42.t1 scaffold19.g42.t1, Morbakka_virulenta_scaffold409.g9.t1 scaffold409.g9.t1, Morbakka_virulenta_scaffold19.g44.t1 scaffold19.g44.t1, Morbakka_virulenta_scaffold19.g33.t1 scaffold19.g33.t1, Morbakka_virulenta_scaffold19.g33.t2 scaffold19.g33.t2, Morbakka_virulenta_scaffold19.g46.t1 scaffold19.g46.t1, Morbakka_virulenta_scaffold19.g46.t2 scaffold19.g46.t2	Ephydatia_muelleri_Em0007g757a Em0007g757a, Ephydatia_muelleri_Em0007g755a Em0007g755a
OG0000004	Morbakka_virulenta_scaffold495.g5.t1 scaffold495.g5.t1, Morbakka_virulenta_scaffold292.g12.t1 scaffold292.g12.t1, Morbakka_virulenta_scaffold86.g35.t1 scaffold86.g35.t1	Ephydatia_muelleri_Em0022g301a Em0022g301a
OG0000005	Morbakka_virulenta_scaffold16.g23.t2 scaffold16.g23.t2, Morbakka_virulenta_scaffold16.g23.t1 scaffold16.g23.t1	Ephydatia_muelleri_Em0582g1a Em0582g1a, Ephydatia_muelleri_Em0016g939a Em0016g939a, Ephydatia_muelleri_Em0016g925a Em0016g925a, Ephydatia_muelleri_Em0582g3a Em0582g3a
OG0000007	Morbakka_virulenta_scaffold299.g20.t2 scaffold299.g20.t2, Morbakka_virulenta_scaffold299.g20.t4 scaffold299.g20.t4, Morbakka_virulenta_scaffold299.g20.t3 scaffold299.g20.t3, Morbakka_virulenta_scaffold299.g20.t1 scaffold299.g20.t1, Morbakka_virulenta_scaffold415.g7.t2 scaffold415.g7.t2, Morbakka_virulenta_scaffold415.g7.t1 scaffold415.g7.t1, Morbakka_virulenta_scaffold36.g25.t1 scaffold36.g25.t1, Morbakka_virulenta_scaffold29.g26.t1 scaffold29.g26.t1, Morbakka_virulenta_scaffold252.g2.t1 scaffold252.g2.t1, Morbakka_virulenta_scaffold252.g7.t1 scaffold252.g7.t1	Ephydatia_muelleri_Em0010g757a Em0010g757a, Ephydatia_muelleri_Em0010g762a Em0010g762a, Ephydatia_muelleri_Em0382g2a Em0382g2a, Ephydatia_muelleri_Em0462g1a Em0462g1a, Ephydatia_muelleri_Em0010g756a Em0010g756a, Ephydatia_muelleri_Em0418g1a Em0418g1a, Ephydatia_muelleri_Em0002g1565a Em0002g1565a, Ephydatia_muelleri_Em0002g1561a Em0002g1561a, Ephydatia_muelleri_Em0005g97a Em0005g97a, Ephydatia_muelleri_Em0010g209a Em0010g209a, Ephydatia_muelleri_Em0010g239a Em0010g239a, Ephydatia_muelleri_Em0001g3643a Em0001g3643a
OG0000009	Morbakka_virulenta_scaffold30.g63.t1 scaffold30.g63.t1	Ephydatia_muelleri_Em0008g943a Em0008g943a
OG0000009	Morbakka_virulenta_scaffold62.g78.t2 scaffold62.g78.t2, Morbakka_virulenta_scaffold62.g78.t1 scaffold62.g78.t1, Morbakka_virulenta_scaffold123.g33.t1 scaffold123.g33.t1	Ephydatia_muelleri_Em0081g2a Em0081g2a, Ephydatia_muelleri_Em0081g7a Em0081g7a, Ephydatia_muelleri_Em0021g426a Em0021g426a, Ephydatia_muelleri_Em0019g554a Em0019g554a, Ephydatia_muelleri_Em0006g967a Em0006g967a
OG0000010	Morbakka_virulenta_scaffold529.g8.t1 scaffold529.g8.t1	Ephydatia_muelleri_Em0006g1145a Em0006g1145a
OG0000010	Morbakka_virulenta_scaffold425.g3.t1 scaffold425.g3.t1, Morbakka_virulenta_scaffold425.g3.t2 scaffold425.g3.t2	Ephydatia_muelleri_Em0006g1150a Em0006g1150a
