Orthogroup	Cnidaria_Anthozoa_Nematostella_vectensis	Ctenophora_Tentaculata_Pleurobrachia_bachei
OG0000001	Nematostella_vectensis_NV2t020012002.1 NV2t020012002.1, Nematostella_vectensis_NV2t020009001.1 NV2t020009001.1, Nematostella_vectensis_NV2t020012001.1 NV2t020012001.1	Pleurobrachia_bachei_sb_2667052_ sb_2667052_, Pleurobrachia_bachei_sb_2641560_ sb_2641560_
OG0000001	Nematostella_vectensis_NV2t001719001.1 NV2t001719001.1	Pleurobrachia_bachei_sb_2652296_ sb_2652296_, Pleurobrachia_bachei_sb_2640676_ sb_2640676_
OG0000001	Nematostella_vectensis_NV2t011962001.1 NV2t011962001.1	Pleurobrachia_bachei_sb_2648385_ sb_2648385_, Pleurobrachia_bachei_sb_2665366_ sb_2665366_
OG0000001	Nematostella_vectensis_NV2t007734005.1 NV2t007734005.1	Pleurobrachia_bachei_sb_2653902_ sb_2653902_
OG0000001	Nematostella_vectensis_NV2t007734002.1 NV2t007734002.1, Nematostella_vectensis_NV2t007734004.1 NV2t007734004.1, Nematostella_vectensis_NV2t007734001.1 NV2t007734001.1, Nematostella_vectensis_NV2t007734003.1 NV2t007734003.1, Nematostella_vectensis_NV2t025737001.1 NV2t025737001.1	Pleurobrachia_bachei_sb_2656958_ sb_2656958_, Pleurobrachia_bachei_sb_2651191_ sb_2651191_
OG0000001	Nematostella_vectensis_NV2t024496001.1 NV2t024496001.1, Nematostella_vectensis_NV2t024496003.1 NV2t024496003.1, Nematostella_vectensis_NV2t024496004.1 NV2t024496004.1	Pleurobrachia_bachei_sb_2640766_ sb_2640766_
OG0000002	Nematostella_vectensis_NV2t017239001.1 NV2t017239001.1	Pleurobrachia_bachei_sb_2639676_ sb_2639676_
OG0000002	Nematostella_vectensis_NV2t025728001.1 NV2t025728001.1	Pleurobrachia_bachei_sb_2653974_ sb_2653974_
OG0000002	Nematostella_vectensis_NV2t023884001.1 NV2t023884001.1, Nematostella_vectensis_NV2t023884002.1 NV2t023884002.1, Nematostella_vectensis_NV2t014418001.1 NV2t014418001.1	Pleurobrachia_bachei_sb_2656797_ sb_2656797_, Pleurobrachia_bachei_sb_2657716_ sb_2657716_, Pleurobrachia_bachei_sb_2656175_ sb_2656175_, Pleurobrachia_bachei_sb_2666978_ sb_2666978_, Pleurobrachia_bachei_sb_2657496_ sb_2657496_
OG0000002	Nematostella_vectensis_NV2t011502001.1 NV2t011502001.1	Pleurobrachia_bachei_sb_2639240_ sb_2639240_
OG0000002	Nematostella_vectensis_NV2t002780001.1 NV2t002780001.1, Nematostella_vectensis_NV2t000737001.1 NV2t000737001.1	Pleurobrachia_bachei_sb_2650841_ sb_2650841_, Pleurobrachia_bachei_sb_2641280_ sb_2641280_, Pleurobrachia_bachei_sb_2645200_ sb_2645200_, Pleurobrachia_bachei_sb_2665050_ sb_2665050_
OG0000002	Nematostella_vectensis_NV2t025346001.1 NV2t025346001.1	Pleurobrachia_bachei_sb_2643333_ sb_2643333_, Pleurobrachia_bachei_sb_2655712_ sb_2655712_, Pleurobrachia_bachei_sb_2649228_ sb_2649228_, Pleurobrachia_bachei_sb_2661683_ sb_2661683_, Pleurobrachia_bachei_sb_2659647_ sb_2659647_
OG0000003	Nematostella_vectensis_NV2t005851001.1 NV2t005851001.1, Nematostella_vectensis_NV2t014809001.1 NV2t014809001.1, Nematostella_vectensis_NV2t014808004.1 NV2t014808004.1, Nematostella_vectensis_NV2t014772001.1 NV2t014772001.1, Nematostella_vectensis_NV2t014808002.1 NV2t014808002.1	Pleurobrachia_bachei_sb_2648001_ sb_2648001_
OG0000003	Nematostella_vectensis_NV2t016335001.1 NV2t016335001.1	Pleurobrachia_bachei_sb_2646835_ sb_2646835_
OG0000003	Nematostella_vectensis_NV2t012859002.1 NV2t012859002.1, Nematostella_vectensis_NV2t012859001.1 NV2t012859001.1	Pleurobrachia_bachei_sb_2660103_ sb_2660103_, Pleurobrachia_bachei_sb_2661433_ sb_2661433_, Pleurobrachia_bachei_sb_2643938_ sb_2643938_
OG0000003	Nematostella_vectensis_NV2t012172001.1 NV2t012172001.1, Nematostella_vectensis_NV2t012165001.1 NV2t012165001.1, Nematostella_vectensis_NV2t021307001.1 NV2t021307001.1, Nematostella_vectensis_NV2t018585001.1 NV2t018585001.1, Nematostella_vectensis_NV2t018585002.1 NV2t018585002.1	Pleurobrachia_bachei_sb_2665626_ sb_2665626_
OG0000003	Nematostella_vectensis_NV2t019491001.1 NV2t019491001.1, Nematostella_vectensis_NV2t005939001.1 NV2t005939001.1, Nematostella_vectensis_NV2t007828001.1 NV2t007828001.1, Nematostella_vectensis_NV2t012174001.1 NV2t012174001.1, Nematostella_vectensis_NV2t004783003.1 NV2t004783003.1, Nematostella_vectensis_NV2t004783001.1 NV2t004783001.1, Nematostella_vectensis_NV2t007683001.1 NV2t007683001.1, Nematostella_vectensis_NV2t022444002.1 NV2t022444002.1	Pleurobrachia_bachei_sb_2655552_ sb_2655552_, Pleurobrachia_bachei_sb_2651961_ sb_2651961_
