Orthogroup	Cnidaria_Anthozoa_Porites_asteroides	Ctenophora_Tentaculata_Pleurobrachia_bachei
OG0000001	Porites_asteroides_isotig05078 isotig05078 extracted_CDS GOMatch=A7SIF3 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_subunit_gamma-1_ Match_Acc=A0JP86 gene=isogroup03346 length=1119 numContigs=1, Porites_asteroides_isotig24173 isotig24173 extracted_CDS GOMatch=A7SIF3 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_B2_ Match_Acc=B4PEF1 gene=isogroup22441 length=343 numContigs=1	Pleurobrachia_bachei_sb_2639858_ sb_2639858_, Pleurobrachia_bachei_sb_2654211_ sb_2654211_
OG0000001	Porites_asteroides_isotig01315 isotig01315 extracted_CDS GOMatch=C3Y0F7 GOTerms=GO_0005198_GO_0007155 Gene=Usherin_ Match_Acc=O75445 gene=isogroup00490 length=1263 numContigs=2, Porites_asteroides_isotig01314 isotig01314 extracted_CDS GOMatch=C3Y0F7 GOTerms=GO_0005198_GO_0007155 Gene=Usherin_ Match_Acc=O75445 gene=isogroup00490 length=1288 numContigs=2	Pleurobrachia_bachei_sb_2667052_ sb_2667052_, Pleurobrachia_bachei_sb_2641560_ sb_2641560_
OG0000001	Porites_asteroides_GCKDGN103GOSQT GCKDGN103GOSQT extracted_CDS GOMatch=A7RNP0 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Receptor-type_tyrosine-protein_phosphatase_F_ Match_Acc=A4IFW2 length=484 region=3 run=R_2010_02_19_08_49_25_ xy=2625_2803	Pleurobrachia_bachei_sb_2647545_ sb_2647545_
OG0000001	Porites_asteroides_isotig07530 isotig07530 extracted_CDS GOMatch=C3Y2L2 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Receptor_protein_tyrosine_phosphatase__putative__Fragment__ Match_Acc=B7PAS3 gene=isogroup05798 length=806 numContigs=1	Pleurobrachia_bachei_sb_2644342_ sb_2644342_, Pleurobrachia_bachei_sb_2646740_ sb_2646740_
OG0000001	Porites_asteroides_isotig08245 isotig08245 extracted_CDS GOMatch=Q2HXW4 GOTerms=GO_0001764_GO_0005576_GO_0005578_GO_0005604_GO_0005737_GO_0006915_GO_0007409_GO_0007411_GO_0008284_GO_0016337_GO_0030334_GO_0030517_GO_0030879_GO_0040023_GO_0045773_GO_0060603 Gene=Netrin_1_ Match_Acc=B1ARR0 gene=isogroup06513 length=765 numContigs=1	Pleurobrachia_bachei_sb_2653902_ sb_2653902_
OG0000001	Porites_asteroides_isotig05979 isotig05979 extracted_CDS GOMatch=A7SIF3 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_subunit_gamma-1_ Match_Acc=Q1LVF0 gene=isogroup04247 length=967 numContigs=1	Pleurobrachia_bachei_sb_2656958_ sb_2656958_, Pleurobrachia_bachei_sb_2651191_ sb_2651191_
OG0000001	Porites_asteroides_isotig03516 isotig03516 extracted_CDS GOMatch=A7SYW2 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_subunit_beta-4_ Match_Acc=Q8JHV6 gene=isogroup01784 length=1765 numContigs=1	Pleurobrachia_bachei_sb_2640766_ sb_2640766_
OG0000002	Porites_asteroides_isotig20371 isotig20371 extracted_CDS GOMatch=A7S9R9 GOTerms=GO_0005509_GO_0005576_GO_0007155 Gene=Thrombospondin_4_ Match_Acc=B2RTL6 gene=isogroup18639 length=392 numContigs=1	Pleurobrachia_bachei_sb_2656797_ sb_2656797_, Pleurobrachia_bachei_sb_2657716_ sb_2657716_, Pleurobrachia_bachei_sb_2656175_ sb_2656175_, Pleurobrachia_bachei_sb_2666978_ sb_2666978_, Pleurobrachia_bachei_sb_2657496_ sb_2657496_
OG0000002	Porites_asteroides_isotig04429 isotig04429 extracted_CDS GOMatch=C3Z8H9 GOTerms=GO_0005509_GO_0005576_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=Thrombospondin__Fragment__ Match_Acc=Q16ZU9 gene=isogroup02697 length=1276 numContigs=1	Pleurobrachia_bachei_sb_2659350_ sb_2659350_
