Orthogroup	Chordata_Amphioxiformes_Branchiostoma_floridae	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis
OG0000000	Branchiostoma_floridae_tr_A0A9J7LIZ7_A0A9J7LIZ7_BRAFL tr|A0A9J7LIZ7|A0A9J7LIZ7_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118420403 PE=4 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.5902 Ccrux.Trinity.5902, Calvadosia_cruxmelitensis_Ccrux.Trinity.5900 Ccrux.Trinity.5900
OG0000000	Branchiostoma_floridae_tr_A0A9J7MIW1_A0A9J7MIW1_BRAFL tr|A0A9J7MIW1|A0A9J7MIW1_BRAFL Uncharacterized protein LOC118411081 OS=Branchiostoma floridae OX=7739 GN=LOC118411081 PE=4 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.22425 Ccrux.Trinity.22425, Calvadosia_cruxmelitensis_Ccrux.Trinity.22427 Ccrux.Trinity.22427, Calvadosia_cruxmelitensis_Ccrux.Trinity.22430 Ccrux.Trinity.22430, Calvadosia_cruxmelitensis_Ccrux.Trinity.4328 Ccrux.Trinity.4328
OG0000000	Branchiostoma_floridae_tr_A0A9J7L7S9_A0A9J7L7S9_BRAFL tr|A0A9J7L7S9|A0A9J7L7S9_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118416523 PE=4 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.70576 Ccrux.Trinity.70576, Calvadosia_cruxmelitensis_Ccrux.Trinity.48270 Ccrux.Trinity.48270, Calvadosia_cruxmelitensis_Ccrux.Trinity.72284 Ccrux.Trinity.72284
OG0000000	Branchiostoma_floridae_tr_A0A9J7N0A1_A0A9J7N0A1_BRAFL tr|A0A9J7N0A1|A0A9J7N0A1_BRAFL Uncharacterized protein LOC118421761 OS=Branchiostoma floridae OX=7739 GN=LOC118421761 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MZB8_A0A9J7MZB8_BRAFL tr|A0A9J7MZB8|A0A9J7MZB8_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118421299 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MY72_A0A9J7MY72_BRAFL tr|A0A9J7MY72|A0A9J7MY72_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118421300 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LNR3_A0A9J7LNR3_BRAFL tr|A0A9J7LNR3|A0A9J7LNR3_BRAFL Ryncolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421760 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LL47_A0A9J7LL47_BRAFL tr|A0A9J7LL47|A0A9J7LL47_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421615 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MF63_A0A9J7MF63_BRAFL tr|A0A9J7MF63|A0A9J7MF63_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118431928 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MC07_A0A9J7MC07_BRAFL tr|A0A9J7MC07|A0A9J7MC07_BRAFL Fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118431100 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MAD2_A0A9J7MAD2_BRAFL tr|A0A9J7MAD2|A0A9J7MAD2_BRAFL Angiopoietin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118430281 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MWL1_A0A9J7MWL1_BRAFL tr|A0A9J7MWL1|A0A9J7MWL1_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421173 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LL70_A0A9J7LL70_BRAFL tr|A0A9J7LL70|A0A9J7LL70_BRAFL Fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421145 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MY04_A0A9J7MY04_BRAFL tr|A0A9J7MY04|A0A9J7MY04_BRAFL Fibrinogen C domain-containing protein 1-A-like OS=Branchiostoma floridae OX=7739 GN=LOC118421176 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MZ66_A0A9J7MZ66_BRAFL tr|A0A9J7MZ66|A0A9J7MZ66_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421175 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LJY3_A0A9J7LJY3_BRAFL tr|A0A9J7LJY3|A0A9J7LJY3_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421177 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MZ41_A0A9J7MZ41_BRAFL tr|A0A9J7MZ41|A0A9J7MZ41_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421102 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LM23_A0A9J7LM23_BRAFL tr|A0A9J7LM23|A0A9J7LM23_BRAFL Fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421181 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LRW3_A0A9J7LRW3_BRAFL tr|A0A9J7LRW3|A0A9J7LRW3_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118423398 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MYB9_A0A9J7MYB9_BRAFL tr|A0A9J7MYB9|A0A9J7MYB9_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421402 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HW56_A0A9J7HW56_BRAFL tr|A0A9J7HW56|A0A9J7HW56_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118408877 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N0I8_A0A9J7N0I8_BRAFL tr|A0A9J7N0I8|A0A9J7N0I8_BRAFL Ryncolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118422273 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LQ57_A0A9J7LQ57_BRAFL tr|A0A9J7LQ57|A0A9J7LQ57_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118422563 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LQ44_A0A9J7LQ44_BRAFL tr|A0A9J7LQ44|A0A9J7LQ44_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118422564 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LNA7_A0A9J7LNA7_BRAFL tr|A0A9J7LNA7|A0A9J7LNA7_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118422559 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LRV7_A0A9J7LRV7_BRAFL tr|A0A9J7LRV7|A0A9J7LRV7_BRAFL Ryncolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118423194 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LT20_A0A9J7LT20_BRAFL tr|A0A9J7LT20|A0A9J7LT20_BRAFL Fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118423617 PE=4 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.27805 Ccrux.Trinity.27805, Calvadosia_cruxmelitensis_Ccrux.Trinity.27804 Ccrux.Trinity.27804, Calvadosia_cruxmelitensis_Ccrux.Trinity.27806 Ccrux.Trinity.27806, Calvadosia_cruxmelitensis_Ccrux.Trinity.27807 Ccrux.Trinity.27807, Calvadosia_cruxmelitensis_Ccrux.Trinity.27808 Ccrux.Trinity.27808, Calvadosia_cruxmelitensis_Ccrux.Trinity.27803 Ccrux.Trinity.27803, Calvadosia_cruxmelitensis_Ccrux.Trinity.18974 Ccrux.Trinity.18974, Calvadosia_cruxmelitensis_Ccrux.Trinity.18973 Ccrux.Trinity.18973, Calvadosia_cruxmelitensis_Ccrux.Trinity.18975 Ccrux.Trinity.18975
OG0000000	Branchiostoma_floridae_tr_A0A9J7N926_A0A9J7N926_BRAFL tr|A0A9J7N926|A0A9J7N926_BRAFL Uncharacterized protein LOC118430604 OS=Branchiostoma floridae OX=7739 GN=LOC118430604 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HIT6_A0A9J7HIT6_BRAFL tr|A0A9J7HIT6|A0A9J7HIT6_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118404148 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HLS3_A0A9J7HLS3_BRAFL tr|A0A9J7HLS3|A0A9J7HLS3_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118406154 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M5V3_A0A9J7M5V3_BRAFL tr|A0A9J7M5V3|A0A9J7M5V3_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118428694 PE=4 SV=1, Branchiostoma_floridae_tr_C3Z9N5_C3Z9N5_BRAFL tr|C3Z9N5|C3Z9N5_BRAFL Microfibril-associated glycoprotein 4-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118403339 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KGQ6_A0A9J7KGQ6_BRAFL tr|A0A9J7KGQ6|A0A9J7KGQ6_BRAFL Microfibril-associated glycoprotein 4-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118403339 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KFN4_A0A9J7KFN4_BRAFL tr|A0A9J7KFN4|A0A9J7KFN4_BRAFL Microfibril-associated glycoprotein 4-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118403339 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7ML58_A0A9J7ML58_BRAFL tr|A0A9J7ML58|A0A9J7ML58_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118412446 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MLB1_A0A9J7MLB1_BRAFL tr|A0A9J7MLB1|A0A9J7MLB1_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118412444 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KU53_A0A9J7KU53_BRAFL tr|A0A9J7KU53|A0A9J7KU53_BRAFL LOW QUALITY PROTEIN_ ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118411679 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KUI2_A0A9J7KUI2_BRAFL tr|A0A9J7KUI2|A0A9J7KUI2_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118412231 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MJ34_A0A9J7MJ34_BRAFL tr|A0A9J7MJ34|A0A9J7MJ34_BRAFL Fibroleukin-like OS=Branchiostoma floridae OX=7739 GN=LOC118411206 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M8P2_A0A9J7M8P2_BRAFL tr|A0A9J7M8P2|A0A9J7M8P2_BRAFL LOW QUALITY PROTEIN_ fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118430235 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KV88_A0A9J7KV88_BRAFL tr|A0A9J7KV88|A0A9J7KV88_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118412452 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LLG5_A0A9J7LLG5_BRAFL tr|A0A9J7LLG5|A0A9J7LLG5_BRAFL Uncharacterized protein LOC118421508 OS=Branchiostoma floridae OX=7739 GN=LOC118421508 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LK76_A0A9J7LK76_BRAFL tr|A0A9J7LK76|A0A9J7LK76_BRAFL Uncharacterized protein LOC118421237 OS=Branchiostoma floridae OX=7739 GN=LOC118421237 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L664_A0A9J7L664_BRAFL tr|A0A9J7L664|A0A9J7L664_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118416083 PE=4 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.13476 Ccrux.Trinity.13476, Calvadosia_cruxmelitensis_Ccrux.Trinity.60601 Ccrux.Trinity.60601, Calvadosia_cruxmelitensis_Ccrux.Trinity.72013 Ccrux.Trinity.72013, Calvadosia_cruxmelitensis_Ccrux.Trinity.25175 Ccrux.Trinity.25175, Calvadosia_cruxmelitensis_Ccrux.Trinity.25174 Ccrux.Trinity.25174, Calvadosia_cruxmelitensis_Ccrux.Trinity.25178 Ccrux.Trinity.25178, Calvadosia_cruxmelitensis_Ccrux.Trinity.25170 Ccrux.Trinity.25170, Calvadosia_cruxmelitensis_Ccrux.Trinity.25173 Ccrux.Trinity.25173, Calvadosia_cruxmelitensis_Ccrux.Trinity.63690 Ccrux.Trinity.63690, Calvadosia_cruxmelitensis_Ccrux.Trinity.1835 Ccrux.Trinity.1835, Calvadosia_cruxmelitensis_Ccrux.Trinity.10162 Ccrux.Trinity.10162, Calvadosia_cruxmelitensis_Ccrux.Trinity.10161 Ccrux.Trinity.10161, Calvadosia_cruxmelitensis_Ccrux.Trinity.44850 Ccrux.Trinity.44850, Calvadosia_cruxmelitensis_Ccrux.Trinity.44852 Ccrux.Trinity.44852
OG0000000	Branchiostoma_floridae_tr_A0A9J7MMK1_A0A9J7MMK1_BRAFL tr|A0A9J7MMK1|A0A9J7MMK1_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118413164 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KVN6_A0A9J7KVN6_BRAFL tr|A0A9J7KVN6|A0A9J7KVN6_BRAFL Fibrinogen-like protein 1 OS=Branchiostoma floridae OX=7739 GN=LOC118412559 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LLG0_A0A9J7LLG0_BRAFL tr|A0A9J7LLG0|A0A9J7LLG0_BRAFL Uncharacterized protein LOC118421682 OS=Branchiostoma floridae OX=7739 GN=LOC118421682 PE=4 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.16839 Ccrux.Trinity.16839, Calvadosia_cruxmelitensis_Ccrux.Trinity.16840 Ccrux.Trinity.16840, Calvadosia_cruxmelitensis_Ccrux.Trinity.16842 Ccrux.Trinity.16842, Calvadosia_cruxmelitensis_Ccrux.Trinity.76 Ccrux.Trinity.76
OG0000000	Branchiostoma_floridae_tr_A0A9J7KVX0_A0A9J7KVX0_BRAFL tr|A0A9J7KVX0|A0A9J7KVX0_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118412515 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MLC2_A0A9J7MLC2_BRAFL tr|A0A9J7MLC2|A0A9J7MLC2_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118412568 PE=4 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.57029 Ccrux.Trinity.57029, Calvadosia_cruxmelitensis_Ccrux.Trinity.14746 Ccrux.Trinity.14746, Calvadosia_cruxmelitensis_Ccrux.Trinity.14747 Ccrux.Trinity.14747, Calvadosia_cruxmelitensis_Ccrux.Trinity.14745 Ccrux.Trinity.14745, Calvadosia_cruxmelitensis_Ccrux.Trinity.32577 Ccrux.Trinity.32577, Calvadosia_cruxmelitensis_Ccrux.Trinity.32575 Ccrux.Trinity.32575, Calvadosia_cruxmelitensis_Ccrux.Trinity.32580 Ccrux.Trinity.32580, Calvadosia_cruxmelitensis_Ccrux.Trinity.32581 Ccrux.Trinity.32581, Calvadosia_cruxmelitensis_Ccrux.Trinity.32579 Ccrux.Trinity.32579, Calvadosia_cruxmelitensis_Ccrux.Trinity.32582 Ccrux.Trinity.32582, Calvadosia_cruxmelitensis_Ccrux.Trinity.32586 Ccrux.Trinity.32586, Calvadosia_cruxmelitensis_Ccrux.Trinity.32584 Ccrux.Trinity.32584, Calvadosia_cruxmelitensis_Ccrux.Trinity.32587 Ccrux.Trinity.32587, Calvadosia_cruxmelitensis_Ccrux.Trinity.3602 Ccrux.Trinity.3602, Calvadosia_cruxmelitensis_Ccrux.Trinity.15481 Ccrux.Trinity.15481, Calvadosia_cruxmelitensis_Ccrux.Trinity.15482 Ccrux.Trinity.15482, Calvadosia_cruxmelitensis_Ccrux.Trinity.8180 Ccrux.Trinity.8180, Calvadosia_cruxmelitensis_Ccrux.Trinity.3782 Ccrux.Trinity.3782, Calvadosia_cruxmelitensis_Ccrux.Trinity.3783 Ccrux.Trinity.3783, Calvadosia_cruxmelitensis_Ccrux.Trinity.27647 Ccrux.Trinity.27647, Calvadosia_cruxmelitensis_Ccrux.Trinity.27648 Ccrux.Trinity.27648, Calvadosia_cruxmelitensis_Ccrux.Trinity.27646 Ccrux.Trinity.27646, Calvadosia_cruxmelitensis_Ccrux.Trinity.27652 Ccrux.Trinity.27652, Calvadosia_cruxmelitensis_Ccrux.Trinity.27649 Ccrux.Trinity.27649
OG0000000	Branchiostoma_floridae_tr_A0A9J7LX30_A0A9J7LX30_BRAFL tr|A0A9J7LX30|A0A9J7LX30_BRAFL Angiopoietin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118425063 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7ME75_A0A9J7ME75_BRAFL tr|A0A9J7ME75|A0A9J7ME75_BRAFL Angiopoietin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118432117 PE=4 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.70260 Ccrux.Trinity.70260, Calvadosia_cruxmelitensis_Ccrux.Trinity.62537 Ccrux.Trinity.62537, Calvadosia_cruxmelitensis_Ccrux.Trinity.39081 Ccrux.Trinity.39081
OG0000001	Branchiostoma_floridae_tr_A0A9J7L7R6_A0A9J7L7R6_BRAFL tr|A0A9J7L7R6|A0A9J7L7R6_BRAFL Laminin subunit beta-1-like isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L7W8_A0A9J7L7W8_BRAFL tr|A0A9J7L7W8|A0A9J7L7W8_BRAFL Laminin subunit beta-1-like isoform X6 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L7Z9_A0A9J7L7Z9_BRAFL tr|A0A9J7L7Z9|A0A9J7L7Z9_BRAFL Laminin subunit beta-1-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MS81_A0A9J7MS81_BRAFL tr|A0A9J7MS81|A0A9J7MS81_BRAFL Laminin subunit beta-1-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LAB9_A0A9J7LAB9_BRAFL tr|A0A9J7LAB9|A0A9J7LAB9_BRAFL Laminin subunit beta-1-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L963_A0A9J7L963_BRAFL tr|A0A9J7L963|A0A9J7L963_BRAFL Laminin subunit beta-1-like isoform X7 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L8D4_A0A9J7L8D4_BRAFL tr|A0A9J7L8D4|A0A9J7L8D4_BRAFL Laminin subunit beta-1-like isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MT27_A0A9J7MT27_BRAFL tr|A0A9J7MT27|A0A9J7MT27_BRAFL Laminin subunit beta-1-like isoform X8 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MR92_A0A9J7MR92_BRAFL tr|A0A9J7MR92|A0A9J7MR92_BRAFL Laminin subunit beta-1-like isoform X9 OS=Branchiostoma floridae OX=7739 GN=LOC118416742 PE=4 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.23735 Ccrux.Trinity.23735, Calvadosia_cruxmelitensis_Ccrux.Trinity.23733 Ccrux.Trinity.23733
