Orthogroup	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Exaiptasia_diaphana
OG0000000	Mus_musculus_sp_Q80YX1_TENA_MOUSE sp_Q80YX1_TENA_MOUSE Tenascin OS=Mus musculus OX=10090 GN=Tnc PE=1 SV=1, Mus_musculus_sp_Q80YX1_TENA_MOUSE sp_Q80YX1_TENA_MOUSE Tenascin OS=Mus musculus OX=10090 GN=Tnc PE=1 SV=1, Mus_musculus_sp_Q80YX1_TENA_MOUSE sp_Q80YX1_TENA_MOUSE Tenascin OS=Mus musculus OX=10090 GN=Tnc PE=1 SV=1, Mus_musculus_sp_Q8BYI9_TENR_MOUSE sp_Q8BYI9_TENR_MOUSE Tenascin-R OS=Mus musculus OX=10090 GN=Tnr PE=1 SV=2, Mus_musculus_sp_Q8BYI9_TENR_MOUSE sp_Q8BYI9_TENR_MOUSE Tenascin-R OS=Mus musculus OX=10090 GN=Tnr PE=1 SV=2, Mus_musculus_sp_Q80Z71_TENN_MOUSE sp_Q80Z71_TENN_MOUSE Tenascin-N OS=Mus musculus OX=10090 GN=Tnn PE=1 SV=2	Exaiptasia_diaphana_XP_020901662.1 XP_020901662.1 microfibril-associated glycoprotein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898206.1 XP_020898206.1 techylectin-5B [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900471.2 XP_020900471.2 tenascin-R [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514860.1 XP_028514860.1 microfibril-associated glycoprotein 4-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900722.1 XP_020900722.1 angiopoietin-related protein 7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900409.1 XP_020900409.1 ryncolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892023.1 XP_020892023.1 angiopoietin-related protein 7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515677.1 XP_028515677.1 angiopoietin-related protein 7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515087.1 XP_028515087.1 fibroleukin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512828.1 XP_028512828.1 titin isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512829.1 XP_028512829.1 titin isoform X2 [Exaiptasia diaphana]
OG0000000	Mus_musculus_sp_Q9D1H9_MFAP4_MOUSE sp_Q9D1H9_MFAP4_MOUSE Microfibril-associated glycoprotein 4 OS=Mus musculus OX=10090 GN=Mfap4 PE=1 SV=1	Exaiptasia_diaphana_XP_028514603.1 XP_028514603.1 ficolin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514604.1 XP_028514604.1 ficolin-2 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899430.1 XP_020899430.1 microfibril-associated glycoprotein 4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896727.1 XP_020896727.1 microfibril-associated glycoprotein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896726.1 XP_020896726.1 ficolin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517872.1 XP_028517872.1 ficolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519151.1 XP_028519151.1 microfibril-associated glycoprotein 4-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519152.1 XP_028519152.1 fibrinogen C domain-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519153.1 XP_028519153.1 ficolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514372.1 XP_028514372.1 ficolin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908817.1 XP_020908817.1 fibrinogen-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908818.1 XP_020908818.1 fibrinogen-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517227.1 XP_028517227.1 ficolin-1-like [Exaiptasia diaphana]
OG0000000	Mus_musculus_sp_Q9WVH6_ANGP4_MOUSE sp_Q9WVH6_ANGP4_MOUSE Angiopoietin-4 OS=Mus musculus OX=10090 GN=Angpt4 PE=1 SV=1, Mus_musculus_sp_O35608_ANGP2_MOUSE sp_O35608_ANGP2_MOUSE Angiopoietin-2 OS=Mus musculus OX=10090 GN=Angpt2 PE=2 SV=2, Mus_musculus_sp_O08538_ANGP1_MOUSE sp_O08538_ANGP1_MOUSE Angiopoietin-1 OS=Mus musculus OX=10090 GN=Angpt1 PE=1 SV=2	Exaiptasia_diaphana_XP_020908882.2 XP_020908882.2 angiopoietin-related protein 7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913665.1 XP_020913665.1 ryncolin-1-like [Exaiptasia diaphana]
OG0000000	Mus_musculus_sp_P12804_FGL2_MOUSE sp_P12804_FGL2_MOUSE Fibroleukin OS=Mus musculus OX=10090 GN=Fgl2 PE=1 SV=1	Exaiptasia_diaphana_XP_028512814.1 XP_028512814.1 uncharacterized protein LOC110232112 [Exaiptasia diaphana]
OG0000001	Mus_musculus_sp_Q61292_LAMB2_MOUSE sp_Q61292_LAMB2_MOUSE Laminin subunit beta-2 OS=Mus musculus OX=10090 GN=Lamb2 PE=1 SV=2, Mus_musculus_sp_P02469_LAMB1_MOUSE sp_P02469_LAMB1_MOUSE Laminin subunit beta-1 OS=Mus musculus OX=10090 GN=Lamb1 PE=1 SV=3	Exaiptasia_diaphana_XP_028516585.1 XP_028516585.1 laminin subunit beta-1 [Exaiptasia diaphana]
OG0000001	Mus_musculus_sp_Q8R4F1_NTNG2_MOUSE sp_Q8R4F1_NTNG2_MOUSE Netrin-G2 OS=Mus musculus OX=10090 GN=Ntng2 PE=1 SV=2	Exaiptasia_diaphana_XP_028519345.1 XP_028519345.1 laminin subunit beta-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916314.1 XP_020916314.1 laminin subunit gamma-1 [Exaiptasia diaphana]
OG0000001	Mus_musculus_sp_Q9R1A3_NET3_MOUSE sp_Q9R1A3_NET3_MOUSE Netrin-3 OS=Mus musculus OX=10090 GN=Ntn3 PE=2 SV=1, Mus_musculus_sp_O09118_NET1_MOUSE sp_O09118_NET1_MOUSE Netrin-1 OS=Mus musculus OX=10090 GN=Ntn1 PE=1 SV=3	Exaiptasia_diaphana_XP_028517047.1 XP_028517047.1 netrin-1 [Exaiptasia diaphana]
OG0000001	Mus_musculus_sp_Q9R0B6_LAMC3_MOUSE sp_Q9R0B6_LAMC3_MOUSE Laminin subunit gamma-3 OS=Mus musculus OX=10090 GN=Lamc3 PE=1 SV=2, Mus_musculus_sp_P02468_LAMC1_MOUSE sp_P02468_LAMC1_MOUSE Laminin subunit gamma-1 OS=Mus musculus OX=10090 GN=Lamc1 PE=1 SV=2	Exaiptasia_diaphana_XP_020916901.1 XP_020916901.1 laminin subunit gamma-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916243.1 XP_020916243.1 laminin subunit gamma-1 [Exaiptasia diaphana]
OG0000002	Mus_musculus_sp_Q9R0G6_COMP_MOUSE sp_Q9R0G6_COMP_MOUSE Cartilage oligomeric matrix protein OS=Mus musculus OX=10090 GN=Comp PE=1 SV=2, Mus_musculus_sp_Q05895_TSP3_MOUSE sp_Q05895_TSP3_MOUSE Thrombospondin-3 OS=Mus musculus OX=10090 GN=Thbs3 PE=1 SV=2, Mus_musculus_sp_Q9Z1T2_TSP4_MOUSE sp_Q9Z1T2_TSP4_MOUSE Thrombospondin-4 OS=Mus musculus OX=10090 GN=Thbs4 PE=1 SV=1	Exaiptasia_diaphana_XP_028518906.1 XP_028518906.1 cartilage oligomeric matrix protein [Exaiptasia diaphana]
OG0000002	Mus_musculus_sp_Q62217_SEM5A_MOUSE sp_Q62217_SEM5A_MOUSE Semaphorin-5A OS=Mus musculus OX=10090 GN=Sema5a PE=2 SV=1, Mus_musculus_sp_Q60519_SEM5B_MOUSE sp_Q60519_SEM5B_MOUSE Semaphorin-5B OS=Mus musculus OX=10090 GN=Sema5b PE=2 SV=2, Mus_musculus_sp_Q60519_SEM5B_MOUSE sp_Q60519_SEM5B_MOUSE Semaphorin-5B OS=Mus musculus OX=10090 GN=Sema5b PE=2 SV=2	Exaiptasia_diaphana_XP_028519693.1 XP_028519693.1 semaphorin-5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519694.1 XP_028519694.1 semaphorin-5A [Exaiptasia diaphana]
