Orthogroup	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000001	Mnemiopsis_leidyi_ML035910a ML035910a	Morbakka_virulenta_scaffold626.g1.t2 scaffold626.g1.t2
OG0000001	Mnemiopsis_leidyi_ML17591a ML17591a	Morbakka_virulenta_scaffold19.g85.t2 scaffold19.g85.t2, Morbakka_virulenta_scaffold19.g85.t4 scaffold19.g85.t4, Morbakka_virulenta_scaffold19.g85.t3 scaffold19.g85.t3, Morbakka_virulenta_scaffold19.g85.t1 scaffold19.g85.t1
OG0000001	Mnemiopsis_leidyi_ML44781a ML44781a	Morbakka_virulenta_scaffold186.g17.t1 scaffold186.g17.t1, Morbakka_virulenta_scaffold434.g16.t1 scaffold434.g16.t1
OG0000001	Mnemiopsis_leidyi_ML20591a ML20591a, Mnemiopsis_leidyi_ML05951a ML05951a	Morbakka_virulenta_scaffold1.g52.t1 scaffold1.g52.t1, Morbakka_virulenta_scaffold1.g52.t2 scaffold1.g52.t2
OG0000002	Mnemiopsis_leidyi_ML049019a ML049019a, Mnemiopsis_leidyi_ML34222a ML34222a	Morbakka_virulenta_scaffold353.g2.t4 scaffold353.g2.t4, Morbakka_virulenta_scaffold353.g2.t3 scaffold353.g2.t3, Morbakka_virulenta_scaffold353.g2.t1 scaffold353.g2.t1, Morbakka_virulenta_scaffold256.g1.t1 scaffold256.g1.t1, Morbakka_virulenta_scaffold166.g9.t1 scaffold166.g9.t1
OG0000002	Mnemiopsis_leidyi_ML05979a ML05979a, Mnemiopsis_leidyi_ML08108a ML08108a	Morbakka_virulenta_scaffold479.g8.t1 scaffold479.g8.t1
OG0000002	Mnemiopsis_leidyi_ML05299a ML05299a, Mnemiopsis_leidyi_ML016334a ML016334a	Morbakka_virulenta_scaffold415.g11.t1 scaffold415.g11.t1, Morbakka_virulenta_scaffold83.g77.t1 scaffold83.g77.t1
OG0000002	Mnemiopsis_leidyi_ML27988a ML27988a	Morbakka_virulenta_scaffold326.g8.t4 scaffold326.g8.t4, Morbakka_virulenta_scaffold326.g8.t3 scaffold326.g8.t3
OG0000002	Mnemiopsis_leidyi_ML07453a ML07453a	Morbakka_virulenta_scaffold15.g40.t1 scaffold15.g40.t1, Morbakka_virulenta_scaffold44.g87.t5 scaffold44.g87.t5, Morbakka_virulenta_scaffold44.g87.t4 scaffold44.g87.t4, Morbakka_virulenta_scaffold44.g87.t3 scaffold44.g87.t3, Morbakka_virulenta_scaffold44.g87.t2 scaffold44.g87.t2
OG0000003	Mnemiopsis_leidyi_ML01785a ML01785a	Morbakka_virulenta_scaffold71.g67.t1 scaffold71.g67.t1
OG0000003	Mnemiopsis_leidyi_ML090113a ML090113a	Morbakka_virulenta_scaffold163.g30.t1 scaffold163.g30.t1, Morbakka_virulenta_scaffold2.g141.t1 scaffold2.g141.t1, Morbakka_virulenta_scaffold192.g7.t1 scaffold192.g7.t1, Morbakka_virulenta_scaffold252.g1.t1 scaffold252.g1.t1, Morbakka_virulenta_scaffold23.g83.t1 scaffold23.g83.t1
