Orthogroup	Nematoda_Chromadorea_Caenorhabditis_elegans	Chordata_Vertebrata_Danio_rerio
OG0000000	Caenorhabditis_elegans_T15B7.1 T15B7.1, Caenorhabditis_elegans_C49C8.5 C49C8.5, Caenorhabditis_elegans_Y43C5A.2 Y43C5A.2, Caenorhabditis_elegans_T01D3.6b T01D3.6b	Danio_rerio_tr_E9QHI1_E9QHI1_DANRE tr|E9QHI1|E9QHI1_DANRE Tenascin C OS=Danio rerio OX=7955 GN=tenc PE=1 SV=1, Danio_rerio_tr_F1QYE2_F1QYE2_DANRE tr|F1QYE2|F1QYE2_DANRE Tenascin C OS=Danio rerio OX=7955 GN=tenc PE=1 SV=1, Danio_rerio_tr_Q7T3T6_Q7T3T6_DANRE tr|Q7T3T6|Q7T3T6_DANRE Tenascin-R OS=Danio rerio OX=7955 GN=tnr PE=1 SV=1, Danio_rerio_tr_B0S6K6_B0S6K6_DANRE tr|B0S6K6|B0S6K6_DANRE Tenascin N OS=Danio rerio OX=7955 GN=tnw PE=1 SV=1, Danio_rerio_tr_F1QSR3_F1QSR3_DANRE tr|F1QSR3|F1QSR3_DANRE Tenascin N OS=Danio rerio OX=7955 GN=tenw PE=1 SV=2, Danio_rerio_tr_B0S6K5_B0S6K5_DANRE tr|B0S6K5|B0S6K5_DANRE Tenascin N OS=Danio rerio OX=7955 GN=tnw PE=1 SV=1
OG0000000	Caenorhabditis_elegans_D1009.3b D1009.3b	Danio_rerio_tr_B8A5L6_B8A5L6_DANRE tr|B8A5L6|B8A5L6_DANRE Fibrinogen alpha chain OS=Danio rerio OX=7955 GN=sb_cb892 PE=1 SV=1, Danio_rerio_tr_Q6NYE1_Q6NYE1_DANRE tr|Q6NYE1|Q6NYE1_DANRE Fibrinogen beta chain OS=Danio rerio OX=7955 GN=wu_fa55c11 PE=1 SV=1, Danio_rerio_tr_Q7ZVG7_Q7ZVG7_DANRE tr|Q7ZVG7|Q7ZVG7_DANRE Fgg protein OS=Danio rerio OX=7955 GN=fb60h05 PE=1 SV=1, Danio_rerio_tr_A0A140LG86_A0A140LG86_DANRE tr|A0A140LG86|A0A140LG86_DANRE Fibrinogen-like 1 OS=Danio rerio OX=7955 GN=fgl1 PE=4 SV=1, Danio_rerio_tr_Q4LES0_Q4LES0_DANRE tr|Q4LES0|Q4LES0_DANRE Angiopoietin-like 2a OS=Danio rerio OX=7955 GN=angptl2b PE=2 SV=1, Danio_rerio_tr_B0UXH5_B0UXH5_DANRE tr|B0UXH5|B0UXH5_DANRE Angiopoietin-like 2b OS=Danio rerio OX=7955 GN=angptl2 PE=4 SV=1, Danio_rerio_tr_Q5KQT9_Q5KQT9_DANRE tr|Q5KQT9|Q5KQT9_DANRE Angiopoietin-like 2 OS=Danio rerio OX=7955 GN=Angptl2 PE=2 SV=1, Danio_rerio_tr_Q7SXV7_Q7SXV7_DANRE tr|Q7SXV7|Q7SXV7_DANRE Wu_fi40b08 protein _Fragment_ OS=Danio rerio OX=7955 GN=angptl1b PE=2 SV=1, Danio_rerio_tr_Q5KQU0_Q5KQU0_DANRE tr|Q5KQU0|Q5KQU0_DANRE Angiopoietin-like 1 OS=Danio rerio OX=7955 GN=Angptl1 PE=2 SV=1, Danio_rerio_tr_Q5RH53_Q5RH53_DANRE tr|Q5RH53|Q5RH53_DANRE Angiopoietin-like 1a OS=Danio rerio OX=7955 GN=angptl1 PE=4 SV=1, Danio_rerio_tr_Q5KQT8_Q5KQT8_DANRE tr|Q5KQT8|Q5KQT8_DANRE Angiopoietin-like 6 OS=Danio rerio OX=7955 GN=Angptl6 PE=2 SV=1, Danio_rerio_tr_F1R2V2_F1R2V2_DANRE tr|F1R2V2|F1R2V2_DANRE Angiopoietin-like 6 OS=Danio rerio OX=7955 GN=cb242 PE=4 SV=1, Danio_rerio_tr_Q5XJQ0_Q5XJQ0_DANRE tr|Q5XJQ0|Q5XJQ0_DANRE Angiopoietin-like 7 OS=Danio rerio OX=7955 GN=zgc_101687 PE=2 SV=1, Danio_rerio_tr_X1WC45_X1WC45_DANRE tr|X1WC45|X1WC45_DANRE Angiopoietin 4 OS=Danio rerio OX=7955 GN=angpt4 PE=4 SV=1, Danio_rerio_tr_I6Z0F9_I6Z0F9_DANRE tr|I6Z0F9|I6Z0F9_DANRE Angiopoietin 2-like protein OS=Danio rerio OX=7955 GN=ang2-1 PE=2 SV=1, Danio_rerio_tr_Q90Z19_Q90Z19_DANRE tr|Q90Z19|Q90Z19_DANRE Angiopoietin-1 OS=Danio rerio OX=7955 GN=ang1 PE=2 SV=1, Danio_rerio_tr_Q90Z18_Q90Z18_DANRE tr|Q90Z18|Q90Z18_DANRE Angiopoietin-2 OS=Danio rerio OX=7955 GN=ang2 PE=2 SV=1, Danio_rerio_tr_A0A8N7UZN6_A0A8N7UZN6_DANRE tr|A0A8N7UZN6|A0A8N7UZN6_DANRE Angiopoietin-like 3 OS=Danio rerio OX=7955 GN=fb60e11 PE=4 SV=1, Danio_rerio_tr_F1QUC4_F1QUC4_DANRE tr|F1QUC4|F1QUC4_DANRE Angiopoietin-like 5 OS=Danio rerio OX=7955 GN=angptl5 PE=4 SV=1, Danio_rerio_tr_K7DY96_K7DY96_DANRE tr|K7DY96|K7DY96_DANRE Fibrinogen-like 2b OS=Danio rerio OX=7955 GN=fgl2b PE=4 SV=1, Danio_rerio_tr_Q5TYU3_Q5TYU3_DANRE tr|Q5TYU3|Q5TYU3_DANRE Fibrinogen-like 2 OS=Danio rerio OX=7955 GN=fgl2 PE=1 SV=1
OG0000001	Caenorhabditis_elegans_F41C6.1 F41C6.1	Danio_rerio_tr_F1QUK5_F1QUK5_DANRE tr|F1QUK5|F1QUK5_DANRE Netrin-1 OS=Danio rerio OX=7955 GN=net1 PE=4 SV=1, Danio_rerio_tr_O42203_O42203_DANRE tr|O42203|O42203_DANRE Netrin-1 OS=Danio rerio OX=7955 GN=net1 PE=2 SV=1, Danio_rerio_tr_O42140_O42140_DANRE tr|O42140|O42140_DANRE Netrin-1 OS=Danio rerio OX=7955 GN=ntn2 PE=2 SV=1
OG0000001	Caenorhabditis_elegans_C54D1.5 C54D1.5	Danio_rerio_tr_F1QPJ1_F1QPJ1_DANRE tr|F1QPJ1|F1QPJ1_DANRE Laminin subunit gamma-3 OS=Danio rerio OX=7955 GN=lamc3 PE=4 SV=1, Danio_rerio_sp_Q1LVF0_LAMC1_DANRE sp|Q1LVF0|LAMC1_DANRE Laminin subunit gamma-1 OS=Danio rerio OX=7955 GN=lamc1 PE=2 SV=2
OG0000001	Caenorhabditis_elegans_T22A3.8 T22A3.8	Danio_rerio_tr_G8IHU0_G8IHU0_DANRE tr|G8IHU0|G8IHU0_DANRE Laminin alpha 2 chain short splice variant OS=Danio rerio OX=7955 GN=Lama2 PE=1 SV=1
OG0000002	Caenorhabditis_elegans_Y54E5B.1c Y54E5B.1c	Danio_rerio_tr_A3KPS4_A3KPS4_DANRE tr|A3KPS4|A3KPS4_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D_-like OS=Danio rerio OX=7955 GN=si_ch211-278n20.1 PE=2 SV=1, Danio_rerio_tr_A3KPS3_A3KPS3_DANRE tr|A3KPS3|A3KPS3_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D_-like OS=Danio rerio OX=7955 GN=si_ch211-278n20.1 PE=2 SV=1, Danio_rerio_tr_Q6P7E1_Q6P7E1_DANRE tr|Q6P7E1|Q6P7E1_DANRE Semaphorin-6A precursor OS=Danio rerio OX=7955 GN=zgc_66106 PE=2 SV=1, Danio_rerio_tr_B8JMB1_B8JMB1_DANRE tr|B8JMB1|B8JMB1_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D OS=Danio rerio OX=7955 GN=wu_fi06a12 PE=4 SV=1
OG0000003	Caenorhabditis_elegans_T19E7.1 T19E7.1	Danio_rerio_tr_A4JYN2_A4JYN2_DANRE tr|A4JYN2|A4JYN2_DANRE Bcan OS=Danio rerio OX=7955 GN=fi32a12 PE=2 SV=1, Danio_rerio_tr_F1QEZ8_F1QEZ8_DANRE tr|F1QEZ8|F1QEZ8_DANRE Neurocan b OS=Danio rerio OX=7955 GN=ncanb PE=4 SV=3, Danio_rerio_tr_Q75ZI3_Q75ZI3_DANRE tr|Q75ZI3|Q75ZI3_DANRE Dermacan OS=Danio rerio OX=7955 GN=dcan PE=1 SV=1, Danio_rerio_tr_E7F537_E7F537_DANRE tr|E7F537|E7F537_DANRE Aggrecan a OS=Danio rerio OX=7955 GN=acana PE=4 SV=3, Danio_rerio_tr_F1QDA1_F1QDA1_DANRE tr|F1QDA1|F1QDA1_DANRE Aggrecan a OS=Danio rerio OX=7955 GN=acana PE=4 SV=2
OG0000003	Caenorhabditis_elegans_K02F3.5 K02F3.5	Danio_rerio_sp_Q5U3G1_COL11_DANRE sp|Q5U3G1|COL11_DANRE Collectin-11 OS=Danio rerio OX=7955 GN=colec11 PE=2 SV=1, Danio_rerio_tr_Q504I3_Q504I3_DANRE tr|Q504I3|Q504I3_DANRE Hbl3 protein OS=Danio rerio OX=7955 GN=hbl3 PE=2 SV=1
OG0000003	Caenorhabditis_elegans_F25B4.9 F25B4.9	Danio_rerio_sp_A5PMY6_COL12_DANRE sp|A5PMY6|COL12_DANRE Collectin-12 OS=Danio rerio OX=7955 GN=colec12 PE=2 SV=1, Danio_rerio_tr_F1QW96_F1QW96_DANRE tr|F1QW96|F1QW96_DANRE CD209 molecule OS=Danio rerio OX=7955 GN=DC-SIGN PE=4 SV=1
OG0000004	Caenorhabditis_elegans_K07D8.1 K07D8.1, Caenorhabditis_elegans_K08E5.3b K08E5.3b	Danio_rerio_tr_F1QH94_F1QH94_DANRE tr|F1QH94|F1QH94_DANRE Matrilin 3a OS=Danio rerio OX=7955 GN=ns_zf-e359 PE=1 SV=1, Danio_rerio_tr_Q68EK6_Q68EK6_DANRE tr|Q68EK6|Q68EK6_DANRE Matn3a protein OS=Danio rerio OX=7955 GN=ns_zf-e359 PE=1 SV=1, Danio_rerio_tr_B7ZD91_B7ZD91_DANRE tr|B7ZD91|B7ZD91_DANRE Matrilin 3b OS=Danio rerio OX=7955 GN=zgc_123028 PE=4 SV=1, Danio_rerio_tr_Q5NIW0_Q5NIW0_DANRE tr|Q5NIW0|Q5NIW0_DANRE Matrilin-3 precursor OS=Danio rerio OX=7955 GN=zgc_123028 PE=2 SV=1, Danio_rerio_tr_Q5NJJ7_Q5NJJ7_DANRE tr|Q5NJJ7|Q5NJJ7_DANRE Matrilin-3 isoform X3 OS=Danio rerio OX=7955 GN=zgc_123028 PE=2 SV=1, Danio_rerio_tr_Q5NJJ6_Q5NJJ6_DANRE tr|Q5NJJ6|Q5NJJ6_DANRE Matrilin-3 isoform X2 OS=Danio rerio OX=7955 GN=zgc_123028 PE=2 SV=1, Danio_rerio_tr_A5WWJ4_A5WWJ4_DANRE tr|A5WWJ4|A5WWJ4_DANRE Cartilage matrix protein precursor OS=Danio rerio OX=7955 GN=matn1 PE=1 SV=1, Danio_rerio_tr_Q6PYX2_Q6PYX2_DANRE tr|Q6PYX2|Q6PYX2_DANRE Matrilin 4 OS=Danio rerio OX=7955 GN=im_7137546 PE=1 SV=1, Danio_rerio_tr_Q5NJJ5_Q5NJJ5_DANRE tr|Q5NJJ5|Q5NJJ5_DANRE Matrilin-4 OS=Danio rerio OX=7955 GN=im_7137546 PE=1 SV=1, Danio_rerio_tr_M5BFV8_M5BFV8_DANRE tr|M5BFV8|M5BFV8_DANRE Collagen alpha-1_XXII_ chain precursor OS=Danio rerio OX=7955 GN=prp PE=1 SV=1
