Orthogroup	Cnidaria_Scyphozoa_Aurelia_aurita	Chordata_Vertebrata_Coturnix_japonica
OG0000000	Aurelia_aurita_Seg2137.5 Seg2137.5 transcript_id=Seg2137.5_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg2137.5_GoldUCD_D3Y31, Aurelia_aurita_Seg5398.1 Seg5398.1 transcript_id=Seg5398.1_GoldUCD_mRNA.D3Y31 product=Tenascin-X protein_id=Seg5398.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1317.9 Seg1317.9 transcript_id=Seg1317.9_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1317.9_GoldUCD_D3Y31, Aurelia_aurita_Seg967.2 Seg967.2 transcript_id=Seg967.2_GoldUCD_mRNA.D3Y31 product="Fibrinogen-like protein A" protein_id=Seg967.2_GoldUCD_D3Y31, Aurelia_aurita_Seg1772.6 Seg1772.6 transcript_id=Seg1772.6_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg1772.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3795.4 Seg3795.4 transcript_id=Seg3795.4_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg3795.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1515.1 Seg1515.1 transcript_id=Seg1515.1_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg1515.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1515.2 Seg1515.2 transcript_id=Seg1515.2_GoldUCD_mRNA.D3Y31 product=Ryncolin-4 protein_id=Seg1515.2_GoldUCD_D3Y31, Aurelia_aurita_Seg144.2 Seg144.2 transcript_id=Seg144.2_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg144.2_GoldUCD_D3Y31, Aurelia_aurita_Seg451.5 Seg451.5 transcript_id=Seg451.5_GoldUCD_mRNA.D3Y31 product=Ryncolin-3 protein_id=Seg451.5_GoldUCD_D3Y31, Aurelia_aurita_Seg2318.1 Seg2318.1 transcript_id=Seg2318.1_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2318.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2243.3 Seg2243.3 transcript_id=Seg2243.3_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2243.3_GoldUCD_D3Y31, Aurelia_aurita_Seg4227.2 Seg4227.2 transcript_id=Seg4227.2_GoldUCD_mRNA.D3Y31 product=Ficolin-3 protein_id=Seg4227.2_GoldUCD_D3Y31, Aurelia_aurita_Seg983.3 Seg983.3 transcript_id=Seg983.3_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg983.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1964.7 Seg1964.7 transcript_id=Seg1964.7_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1964.7_GoldUCD_D3Y31, Aurelia_aurita_Seg349.4 Seg349.4 transcript_id=Seg349.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg349.4_GoldUCD_D3Y31, Aurelia_aurita_Seg5415.2 Seg5415.2 transcript_id=Seg5415.2_GoldUCD_mRNA.D3Y31 product="Angiopoietin-related protein 2" protein_id=Seg5415.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1193.1 Seg1193.1 transcript_id=Seg1193.1_GoldUCD_mRNA.D3Y31 product=Tenascin protein_id=Seg1193.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2014.4 Seg2014.4 transcript_id=Seg2014.4_GoldUCD_mRNA.D3Y31 product=Techylectin-5B protein_id=Seg2014.4_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015734261.1 tenascin isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015725285.1 PREDICTED_ tenascin-R isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015725046.1 tenascin-N [Coturnix japonica]
OG0000000	Aurelia_aurita_Seg1898.4 Seg1898.4 transcript_id=Seg1898.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen-like protein 1" protein_id=Seg1898.4_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015737426.1 angiopoietin-4 [Coturnix japonica], Coturnix_japonica_XP_015714782.1 angiopoietin-2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015711648.1 angiopoietin-1 [Coturnix japonica]
OG0000000	Aurelia_aurita_Seg4670.2 Seg4670.2 transcript_id=Seg4670.2_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg4670.2_GoldUCD_D3Y31	Coturnix_japonica_XP_015734076.1 PREDICTED_ tenascin-X [Coturnix japonica]
OG0000001	Aurelia_aurita_Seg1567.8 Seg1567.8 transcript_id=Seg1567.8_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-3" protein_id=Seg1567.8_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2217.4 Seg2217.4 transcript_id=Seg2217.4_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg2217.4_GoldUCD_D3Y31, Aurelia_aurita_Seg1519.1 Seg1519.1 transcript_id=Seg1519.1_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg1519.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg5148.1 Seg5148.1 transcript_id=Seg5148.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5148.1_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015725071.1 laminin subunit gamma-2 [Coturnix japonica]
OG0000001	Aurelia_aurita_Seg1378.3 Seg1378.3 transcript_id=Seg1378.3_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-1" protein_id=Seg1378.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2403.1 Seg2403.1 transcript_id=Seg2403.1_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-1" protein_id=Seg2403.1_GoldUCD_D3Y31	Coturnix_japonica_XP_015706098.1 PREDICTED_ laminin subunit beta-4 [Coturnix japonica], Coturnix_japonica_XP_015730671.1 laminin subunit beta-2 [Coturnix japonica], Coturnix_japonica_XP_015706984.1 laminin subunit beta-1 [Coturnix japonica]
OG0000001	Aurelia_aurita_Seg823.5 Seg823.5 transcript_id=Seg823.5_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-2" protein_id=Seg823.5_GoldUCD_D3Y31, Aurelia_aurita_Seg359.1 Seg359.1 transcript_id=Seg359.1_GoldUCD_mRNA.D3Y31 product=Netrin-1 protein_id=Seg359.1_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015734637.1 PREDICTED_ netrin-G2 isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015724985.1 netrin-G1 isoform X4 [Coturnix japonica]
OG0000001	Aurelia_aurita_Seg80.9 Seg80.9 transcript_id=Seg80.9_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg80.9_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015734644.1 laminin subunit gamma-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015725067.1 laminin subunit gamma-1 [Coturnix japonica]
OG0000001	Aurelia_aurita_Seg592.14 Seg592.14 transcript_id=Seg592.14_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-3" protein_id=Seg592.14_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg519.5 Seg519.5 transcript_id=Seg519.5_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg519.5_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015710772.1 laminin subunit alpha-1 [Coturnix japonica]
OG0000002	Aurelia_aurita_Seg4559.1 Seg4559.1 transcript_id=Seg4559.1_GoldUCD_mRNA.D3Y31 product=Semaphorin-5B protein_id=Seg4559.1_GoldUCD_D3Y31	Coturnix_japonica_XP_015709878.1 semaphorin-5A [Coturnix japonica], Coturnix_japonica_XP_015724160.1 semaphorin-5B isoform X2 [Coturnix japonica]
OG0000002	Aurelia_aurita_Seg3230.1 Seg3230.1 transcript_id=Seg3230.1_GoldUCD_mRNA.D3Y31 product=Semaphorin-5B protein_id=Seg3230.1_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015728452.1 semaphorin-6D isoform X7 [Coturnix japonica], Coturnix_japonica_XP_015705476.1 semaphorin-6A isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015742241.1 semaphorin-6B isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015740145.1 PREDICTED_ semaphorin-6C isoform X3 [Coturnix japonica]
