Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Cnidaria_Anthozoa_Porites_asteroides
OG0000000	Coturnix_japonica_XP_015734261.1 tenascin isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015725285.1 PREDICTED_ tenascin-R isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015725046.1 tenascin-N [Coturnix japonica]	Porites_asteroides_isotig22287 isotig22287 extracted_CDS GOMatch=Q9U8W8 GOTerms=GO_0005102_GO_0005529_GO_0005576_GO_0005615_GO_0007165_GO_0016337_GO_0046872 Gene=Techylectin-5A_ Match_Acc=Q9U8W8 gene=isogroup20555 length=366 numContigs=1, Porites_asteroides_isotig06298 isotig06298 extracted_CDS gene=isogroup04566 length=931 numContigs=1, Porites_asteroides_GCKDGN103G3H3D GCKDGN103G3H3D extracted_CDS GOMatch=C3XRU3 GOTerms=GO_0005102_GO_0005615_GO_0007165 length=440 region=3 run=R_2010_02_19_08_49_25_ xy=2793_0711, Porites_asteroides_isotig24293 isotig24293 extracted_CDS GOMatch=A7RSN8 GOTerms=GO_0005102_GO_0005615_GO_0007165 gene=isogroup22561 length=343 numContigs=1, Porites_asteroides_isotig04154 isotig04154 extracted_CDS GOMatch=A7SD41 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Ficolin-2_ Match_Acc=Q15485 gene=isogroup02422 length=1361 numContigs=1, Porites_asteroides_isotig24972 isotig24972 extracted_CDS GOMatch=A7RSP0 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Sialic_acid-binding_lectin_2_ Match_Acc=O76334 gene=isogroup23240 length=334 numContigs=1, Porites_asteroides_isotig19617 isotig19617 extracted_CDS GOMatch=C3Z9N5 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Tenascin-R_ Match_Acc=Q00546 gene=isogroup17885 length=400 numContigs=1, Porites_asteroides_GCKDGN102EK4EI GCKDGN102EK4EI extracted_CDS GOMatch=C3Z9N5 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Carcinolectin5b-7_ Match_Acc=A9X700 length=462 region=2 run=R_2010_02_19_08_49_25_ xy=1763_2808, Porites_asteroides_isotig21537 isotig21537 extracted_CDS GOMatch=A7SLX6 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Techylectin-5B_ Match_Acc=Q9U8W7 gene=isogroup19805 length=373 numContigs=1, Porites_asteroides_isotig01945 isotig01945 extracted_CDS GOMatch=A7SLX6 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Carcinolectin5b-5_ Match_Acc=A9X6Z8 gene=isogroup00805 length=548 numContigs=2
OG0000000	Coturnix_japonica_XP_015706135.1 PREDICTED_ microfibril-associated glycoprotein 4_ partial [Coturnix japonica]	Porites_asteroides_isotig25684 isotig25684 extracted_CDS GOMatch=C3Y0I4 GOTerms=GO_0005102_GO_0007165 Gene=Ficolin__Collagen_fibrinogen_domain_containing__3__Hakata_antig en__ Match_Acc=Q6DIT6 gene=isogroup23952 length=322 numContigs=1
OG0000000	Coturnix_japonica_XP_015734076.1 PREDICTED_ tenascin-X [Coturnix japonica]	Porites_asteroides_GCKDGN103FVVXB GCKDGN103FVVXB extracted_CDS GOMatch=A7RST9 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Fibrinogen-like_protein_ Match_Acc=Q9NDQ1 length=260 region=3 run=R_2010_02_19_08_49_25_ xy=2296_1485
OG0000001	Coturnix_japonica_XP_015725071.1 laminin subunit gamma-2 [Coturnix japonica]	Porites_asteroides_isotig05078 isotig05078 extracted_CDS GOMatch=A7SIF3 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_subunit_gamma-1_ Match_Acc=A0JP86 gene=isogroup03346 length=1119 numContigs=1
OG0000001	Coturnix_japonica_XP_015732925.1 netrin-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015735411.1 netrin-1 [Coturnix japonica], Coturnix_japonica_XP_015734644.1 laminin subunit gamma-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015725067.1 laminin subunit gamma-1 [Coturnix japonica]	Porites_asteroides_isotig05979 isotig05979 extracted_CDS GOMatch=A7SIF3 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_subunit_gamma-1_ Match_Acc=Q1LVF0 gene=isogroup04247 length=967 numContigs=1
OG0000002	Coturnix_japonica_XP_015709878.1 semaphorin-5A [Coturnix japonica], Coturnix_japonica_XP_015724160.1 semaphorin-5B isoform X2 [Coturnix japonica]	Porites_asteroides_isotig06741 isotig06741 extracted_CDS GOMatch=A7RHU3 GOTerms=GO_0004872_GO_0007275_GO_0016020_GO_0016021 Gene=Semaphorin_5A-like_protein_ Match_Acc=D2XNK8 gene=isogroup05009 length=883 numContigs=1
OG0000003	Coturnix_japonica_XP_015714842.1 PREDICTED_ collectin-11 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015711709.1 collectin-10 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015721592.1 mannose-binding protein [Coturnix japonica]	Porites_asteroides_isotig03882 isotig03882 extracted_CDS GOMatch=A7RGD7 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=Mrc2_protein_ Match_Acc=A1A5G9 gene=isogroup02150 length=1475 numContigs=1, Porites_asteroides_isotig03504 isotig03504 extracted_CDS GOMatch=A7RGD7 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=Testis_cDNA_clone__QtsA-10921__similar_to_human_mannose_receptor__C_type_1__MRC1___ Match_Acc=Q4R919 gene=isogroup01772 length=1787 numContigs=1, Porites_asteroides_isotig25304 isotig25304 extracted_CDS GOMatch=A7RGD7 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=DC-SIGN_protein__Fragment__ Match_Acc=D7SA64 gene=isogroup23572 length=324 numContigs=1, Porites_asteroides_isotig18052 isotig18052 extracted_CDS GOMatch=A7RL02 GOTerms=GO_0005488 Gene=Collectin-12_ Match_Acc=Q8K4Q8 gene=isogroup16320 length=417 numContigs=1
OG0000003	Coturnix_japonica_XP_015703924.1 CD209 antigen-like protein E isoform X2 [Coturnix japonica]	Porites_asteroides_isotig24779 isotig24779 extracted_CDS GOMatch=B3S3N0 GOTerms=GO_0005509 Gene=Ci-META1_ Match_Acc=Q9BLJ1 gene=isogroup23047 length=333 numContigs=1, Porites_asteroides_isotig24573 isotig24573 extracted_CDS GOMatch=C3ZHR3 GOTerms=GO_0005509 Gene=TFP250_ Match_Acc=Q7YZP0 gene=isogroup22841 length=339 numContigs=1, Porites_asteroides_isotig28981 isotig28981 extracted_CDS GOMatch=C3ZHR3 GOTerms=GO_0005509 Gene=Microneme_protein_4_ Match_Acc=Q9BI05 gene=isogroup27249 length=256 numContigs=1, Porites_asteroides_GCKDGN102DUUEA GCKDGN102DUUEA extracted_CDS length=345 Gene=Nidogen-1_ run=R_2010_02_19_08_49_25_ region=2 Match_Acc=P14543 xy=1464_1488, Porites_asteroides_isotig31118 isotig31118 extracted_CDS GOMatch=C3ZCX6 GOTerms=GO_0005488_GO_0005509 Gene=Mutant_fibrillin-1_ Match_Acc=O88840 gene=isogroup29386 length=184 numContigs=1, Porites_asteroides_GCKDGN102E13R1 GCKDGN102E13R1 extracted_CDS GOMatch=C3ZVH8 GOTerms=GO_0005509 length=378 region=2 run=R_2010_02_19_08_49_25_ xy=1957_0527, Porites_asteroides_isotig30830 isotig30830 extracted_CDS GOMatch=A7SCA6 GOTerms=GO_0005102_GO_0005509_GO_0007165 Gene=Fibrillin-1__putative__Fragment__ Match_Acc=B7Q8G4 gene=isogroup29098 length=202 numContigs=1, Porites_asteroides_isotig10437 isotig10437 extracted_CDS GOMatch=C3ZHR3 GOTerms=GO_0005509 gene=isogroup08705 length=653 numContigs=1, Porites_asteroides_isotig02367 isotig02367 extracted_CDS GOMatch=A7RGE4 GOTerms=GO_0005509 Gene=TFP250_ Match_Acc=Q7YZP0 gene=isogroup01016 length=514 numContigs=2, Porites_asteroides_isotig31910 isotig31910 extracted_CDS GOMatch=B3RQ07 GOTerms=GO_0005201_GO_0005509_GO_0005578_GO_0007160_GO_0016020 Gene=TFP250_ Match_Acc=Q7YZP0 gene=isogroup30178 length=161 numContigs=1, Porites_asteroides_isotig10990 isotig10990 extracted_CDS GOMatch=C3YBU7 GOTerms=GO_0005509 Gene=Ci-META1_ Match_Acc=Q9BLJ1 gene=isogroup09258 length=620 numContigs=1, Porites_asteroides_isotig26926 isotig26926 extracted_CDS GOMatch=A7RMX3 GOTerms=GO_0005509 Gene=Microneme_protein_4_ Match_Acc=Q9BI05 gene=isogroup25194 length=300 numContigs=1, Porites_asteroides_isotig01152 isotig01152 extracted_CDS GOMatch=C3ZCX6 GOTerms=GO_0005488_GO_0005509 Gene=Uromodulin_ Match_Acc=P07911 gene=isogroup00409 length=1568 numContigs=2, Porites_asteroides_isotig01153 isotig01153 extracted_CDS GOMatch=C3ZCX6 GOTerms=GO_0005488_GO_0005509 Gene=Uromodulin_ Match_Acc=P07911 gene=isogroup00409 length=1537 numContigs=2, Porites_asteroides_isotig03251 isotig03251 extracted_CDS GOMatch=A7SS60 GOTerms=GO_0005488_GO_0005529 Gene=Immunity_adhesion_receptor_DC-SIGN_ Match_Acc=B2BSM2 gene=isogroup01519 length=2316 numContigs=1, Porites_asteroides_isotig23352 isotig23352 extracted_CDS GOMatch=A7T1U0 GOTerms=GO_0005488_GO_0005529 Gene=Immunity_adhesion_receptor_DC-SIGN_ Match_Acc=B2BSM1 gene=isogroup21620 length=356 numContigs=1, Porites_asteroides_isotig11658 isotig11658 extracted_CDS GOMatch=C3ZCX6 GOTerms=GO_0005488_GO_0005509 gene=isogroup09926 length=592 numContigs=1, Porites_asteroides_isotig23687 isotig23687 extracted_CDS GOMatch=A7REX6 GOTerms=GO_0005509 gene=isogroup21955 length=348 numContigs=1, Porites_asteroides_isotig27434 isotig27434 extracted_CDS GOMatch=A7SCM0 GOTerms=GO_0005509 gene=isogroup25702 length=291 numContigs=1
OG0000004	Coturnix_japonica_XP_015713068.1 vitrin isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015720468.1 cochlin [Coturnix japonica]	Porites_asteroides_isotig18284 isotig18284 extracted_CDS gene=isogroup16552 length=417 numContigs=1, Porites_asteroides_isotig08816 isotig08816 extracted_CDS GOMatch=C3ZZV2 GOTerms=GO_0016491_GO_0046914_GO_0055114 Gene=Collagen_alpha-1_XII__chain_ Match_Acc=P13944 gene=isogroup07084 length=736 numContigs=1, Porites_asteroides_isotig20757 isotig20757 extracted_CDS GOMatch=D2H080 GOTerms=GO_0005539_GO_0005614_GO_0010811_GO_0030198_GO_0031012 Gene=VIT_protein_ Match_Acc=A1A526 gene=isogroup19025 length=385 numContigs=1, Porites_asteroides_isotig15239 isotig15239 extracted_CDS GOMatch=D2HSH8 GOTerms=GO_0005198_GO_0005615_GO_0007155_GO_0031012 Gene=Collagen_alpha-1_XII__chain_ Match_Acc=Q60847 gene=isogroup13507 length=472 numContigs=1, Porites_asteroides_isotig22176 isotig22176 extracted_CDS GOMatch=C3ZZV2 GOTerms=GO_0016491_GO_0046914_GO_0055114 gene=isogroup20444 length=370 numContigs=1
OG0000005	Coturnix_japonica_XP_015720065.1 astacin-like metalloendopeptidase [Coturnix japonica]	Porites_asteroides_isotig12380 isotig12380 extracted_CDS GOMatch=Q2MCX8 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Astacin_2_ Match_Acc=Q2MCX8 gene=isogroup10648 length=565 numContigs=1, Porites_asteroides_isotig01650 isotig01650 extracted_CDS GOMatch=A7SA78 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Putative_metalloproteinase_1__Fragment__ Match_Acc=Q5EN83 gene=isogroup00658 length=1154 numContigs=2, Porites_asteroides_isotig06903 isotig06903 extracted_CDS GOMatch=A7S728 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Astacus_protease_domain__304..897__two_repeats_of_CUB_domain__8 98..1578__ Match_Acc=B7ZQ15 gene=isogroup05171 length=863 numContigs=1
