Orthogroup	Cnidaria_Anthozoa_Nematostella_vectensis	Other
OG0000000	Nematostella_vectensis_NV2t016067001.1 NV2t016067001.1, Nematostella_vectensis_NV2t025471001.1 NV2t025471001.1, Nematostella_vectensis_NV2t025467001.1 NV2t025467001.1, Nematostella_vectensis_NV2t025470001.1 NV2t025470001.1, Nematostella_vectensis_NV2t025464001.1 NV2t025464001.1, Nematostella_vectensis_NV2t025526001.1 NV2t025526001.1	Amphimedon_queenslandica_tr_A0A1X7SR47_A0A1X7SR47_AMPQE tr_A0A1X7SR47_A0A1X7SR47_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SHK0_A0A1X7SHK0_AMPQE tr_A0A1X7SHK0_A0A1X7SHK0_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VS35_A0A1X7VS35_AMPQE tr_A0A1X7VS35_A0A1X7VS35_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100632478 PE=4 SV=1
OG0000000	Nematostella_vectensis_NV2t007038001.1 NV2t007038001.1, Nematostella_vectensis_NV2t019779001.1 NV2t019779001.1, Nematostella_vectensis_NV2t019779002.1 NV2t019779002.1, Nematostella_vectensis_NV2t022610001.1 NV2t022610001.1, Nematostella_vectensis_NV2t022609002.1 NV2t022609002.1, Nematostella_vectensis_NV2t022609001.1 NV2t022609001.1, Nematostella_vectensis_NV2t024484001.1 NV2t024484001.1, Nematostella_vectensis_NV2t017198001.1 NV2t017198001.1, Nematostella_vectensis_NV2t005688002.1 NV2t005688002.1, Nematostella_vectensis_NV2t005688001.1 NV2t005688001.1, Nematostella_vectensis_NV2t005687001.1 NV2t005687001.1, Nematostella_vectensis_NV2t006013001.1 NV2t006013001.1, Nematostella_vectensis_NV2t006016001.1 NV2t006016001.1, Nematostella_vectensis_NV2t006010001.1 NV2t006010001.1, Nematostella_vectensis_NV2t006015001.1 NV2t006015001.1, Nematostella_vectensis_NV2t006014001.1 NV2t006014001.1, Nematostella_vectensis_NV2t006014002.1 NV2t006014002.1, Nematostella_vectensis_NV2t017096001.1 NV2t017096001.1	Ephydatia_muelleri_Em0051g14a Em0051g14a, Ephydatia_muelleri_Em0009g849a Em0009g849a, Ephydatia_muelleri_Em0051g15a Em0051g15a, Ephydatia_muelleri_Em0009g848a Em0009g848a, Ephydatia_muelleri_Em0009g833a Em0009g833a, Ephydatia_muelleri_Em0009g834a Em0009g834a, Ephydatia_muelleri_Em0009g864a Em0009g864a, Ephydatia_muelleri_Em0051g4a Em0051g4a, Ephydatia_muelleri_Em0051g18a Em0051g18a, Ephydatia_muelleri_Em0051g17a Em0051g17a
OG0000000	Nematostella_vectensis_NV2t007038001.1 NV2t007038001.1	Amphimedon_queenslandica_tr_A0A1X7V4X3_A0A1X7V4X3_AMPQE tr_A0A1X7V4X3_A0A1X7V4X3_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TSM1_A0A1X7TSM1_AMPQE tr_A0A1X7TSM1_A0A1X7TSM1_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000000	Nematostella_vectensis_NV2t019779001.1 NV2t019779001.1	Amphimedon_queenslandica_tr_A0A1X7UL53_A0A1X7UL53_AMPQE tr_A0A1X7UL53_A0A1X7UL53_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000000	Nematostella_vectensis_NV2t005688002.1 NV2t005688002.1, Nematostella_vectensis_NV2t005688001.1 NV2t005688001.1, Nematostella_vectensis_NV2t005687001.1 NV2t005687001.1, Nematostella_vectensis_NV2t006013001.1 NV2t006013001.1, Nematostella_vectensis_NV2t006016001.1 NV2t006016001.1, Nematostella_vectensis_NV2t006010001.1 NV2t006010001.1, Nematostella_vectensis_NV2t006015001.1 NV2t006015001.1, Nematostella_vectensis_NV2t006014001.1 NV2t006014001.1, Nematostella_vectensis_NV2t006014002.1 NV2t006014002.1	Amphimedon_queenslandica_tr_A0A1X7T2Y1_A0A1X7T2Y1_AMPQE tr_A0A1X7T2Y1_A0A1X7T2Y1_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UMM1_A0A1X7UMM1_AMPQE tr_A0A1X7UMM1_A0A1X7UMM1_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000002	Nematostella_vectensis_NV2t017239001.1 NV2t017239001.1	Pleurobrachia_bachei_sb_2650520_ sb_2650520_, Pleurobrachia_bachei_sb_2643421_ sb_2643421_
OG0000003	Nematostella_vectensis_NV2t019491001.1 NV2t019491001.1, Nematostella_vectensis_NV2t005939001.1 NV2t005939001.1, Nematostella_vectensis_NV2t007828001.1 NV2t007828001.1	Branchiostoma_floridae_tr_A0A9J7M1M5_A0A9J7M1M5_BRAFL tr|A0A9J7M1M5|A0A9J7M1M5_BRAFL C-type lectin lectoxin-Thr1-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118427240 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M103_A0A9J7M103_BRAFL tr|A0A9J7M103|A0A9J7M103_BRAFL Snaclec agkisacutacin subunit B-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118427240 PE=4 SV=1
OG0000004	Nematostella_vectensis_NV2t001610001.1 NV2t001610001.1, Nematostella_vectensis_NV2t001610003.1 NV2t001610003.1	Clytia_hemispherica_TCONS_00058657-protein TCONS_00058657-protein, Clytia_hemispherica_TCONS_00048843-protein TCONS_00048843-protein
OG0000005	Nematostella_vectensis_NV2t018104001.1 NV2t018104001.1	Calvadosia_cruxmelitensis_Ccrux.Trinity.51739 Ccrux.Trinity.51739, Calvadosia_cruxmelitensis_Ccrux.Trinity.25433 Ccrux.Trinity.25433
OG0000012	Nematostella_vectensis_NV2t006919001.1 NV2t006919001.1	Monosiga_brevicollisXP_001743927.1 XP_001743927.1 uncharacterized protein MONBRDRAFT_15048_ partial [Monosiga brevicollis MX1]
