Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Chordata_Vertebrata_Homo_sapiens
OG0000000	Xenia_spec_Xe_009126_T1 Xe_009126_T1 Xe_009126	Homo_sapiens_sp_P24821_TENA_HUMAN sp|P24821|TENA_HUMAN Tenascin OS=Homo sapiens OX=9606 GN=TNC PE=1 SV=3, Homo_sapiens_sp_Q92752_TENR_HUMAN sp|Q92752|TENR_HUMAN Tenascin-R OS=Homo sapiens OX=9606 GN=TNR PE=1 SV=3, Homo_sapiens_sp_Q9UQP3_TENN_HUMAN sp|Q9UQP3|TENN_HUMAN Tenascin-N OS=Homo sapiens OX=9606 GN=TNN PE=1 SV=2
OG0000000	Xenia_spec_Xe_009140_T1 Xe_009140_T1 Xe_009140	Homo_sapiens_sp_P55083_MFAP4_HUMAN sp|P55083|MFAP4_HUMAN Microfibril-associated glycoprotein 4 OS=Homo sapiens OX=9606 GN=MFAP4 PE=1 SV=2, Homo_sapiens_sp_O00602_FCN1_HUMAN sp|O00602|FCN1_HUMAN Ficolin-1 OS=Homo sapiens OX=9606 GN=FCN1 PE=1 SV=2, Homo_sapiens_sp_Q15485_FCN2_HUMAN sp|Q15485|FCN2_HUMAN Ficolin-2 OS=Homo sapiens OX=9606 GN=FCN2 PE=1 SV=2, Homo_sapiens_sp_O75636_FCN3_HUMAN sp|O75636|FCN3_HUMAN Ficolin-3 OS=Homo sapiens OX=9606 GN=FCN3 PE=1 SV=2
OG0000001	Xenia_spec_Xe_003284_T1 Xe_003284_T1 Xe_003284	Homo_sapiens_sp_A4D0S4_LAMB4_HUMAN sp|A4D0S4|LAMB4_HUMAN Laminin subunit beta-4 OS=Homo sapiens OX=9606 GN=LAMB4 PE=2 SV=1, Homo_sapiens_sp_P55268_LAMB2_HUMAN sp|P55268|LAMB2_HUMAN Laminin subunit beta-2 OS=Homo sapiens OX=9606 GN=LAMB2 PE=1 SV=2, Homo_sapiens_sp_P07942_LAMB1_HUMAN sp|P07942|LAMB1_HUMAN Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=2
OG0000001	Xenia_spec_Xe_008027_T1 Xe_008027_T1 Xe_008027	Homo_sapiens_sp_Q96CW9_NTNG2_HUMAN sp|Q96CW9|NTNG2_HUMAN Netrin-G2 OS=Homo sapiens OX=9606 GN=NTNG2 PE=1 SV=2, Homo_sapiens_sp_Q9Y2I2_NTNG1_HUMAN sp|Q9Y2I2|NTNG1_HUMAN Netrin-G1 OS=Homo sapiens OX=9606 GN=NTNG1 PE=1 SV=3
OG0000001	Xenia_spec_Xe_016511_T1 Xe_016511_T1 Xe_016511	Homo_sapiens_sp_O00634_NET3_HUMAN sp|O00634|NET3_HUMAN Netrin-3 OS=Homo sapiens OX=9606 GN=NTN3 PE=1 SV=1
OG0000001	Xenia_spec_Xe_008821_T1 Xe_008821_T1 Xe_008821	Homo_sapiens_sp_Q9Y6N6_LAMC3_HUMAN sp|Q9Y6N6|LAMC3_HUMAN Laminin subunit gamma-3 OS=Homo sapiens OX=9606 GN=LAMC3 PE=1 SV=3, Homo_sapiens_sp_P11047_LAMC1_HUMAN sp|P11047|LAMC1_HUMAN Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3
OG0000002	Xenia_spec_Xe_003115_T1 Xe_003115_T1 Xe_003115, Xenia_spec_Xe_003081_T1 Xe_003081_T1 Xe_003081	Homo_sapiens_sp_P49747_COMP_HUMAN sp|P49747|COMP_HUMAN Cartilage oligomeric matrix protein OS=Homo sapiens OX=9606 GN=COMP PE=1 SV=2, Homo_sapiens_sp_P49746_TSP3_HUMAN sp|P49746|TSP3_HUMAN Thrombospondin-3 OS=Homo sapiens OX=9606 GN=THBS3 PE=1 SV=1, Homo_sapiens_sp_P35443_TSP4_HUMAN sp|P35443|TSP4_HUMAN Thrombospondin-4 OS=Homo sapiens OX=9606 GN=THBS4 PE=1 SV=2
OG0000003	Xenia_spec_Xe_009803_T1 Xe_009803_T1 Xe_009803, Xenia_spec_Xe_009805_T1 Xe_009805_T1 Xe_009805, Xenia_spec_Xe_009799_T1 Xe_009799_T1 Xe_009799	Homo_sapiens_sp_Q9BWP8_COL11_HUMAN sp|Q9BWP8|COL11_HUMAN Collectin-11 OS=Homo sapiens OX=9606 GN=COLEC11 PE=1 SV=1, Homo_sapiens_sp_Q9Y6Z7_COL10_HUMAN sp|Q9Y6Z7|COL10_HUMAN Collectin-10 OS=Homo sapiens OX=9606 GN=COLEC10 PE=1 SV=2, Homo_sapiens_sp_P11226_MBL2_HUMAN sp|P11226|MBL2_HUMAN Mannose-binding protein C OS=Homo sapiens OX=9606 GN=MBL2 PE=1 SV=2
OG0000003	Xenia_spec_Xe_008296_T1 Xe_008296_T1 Xe_008296	Homo_sapiens_sp_Q06141_REG3A_HUMAN sp|Q06141|REG3A_HUMAN Regenerating islet-derived protein 3-alpha OS=Homo sapiens OX=9606 GN=REG3A PE=1 SV=1, Homo_sapiens_sp_Q6UW15_REG3G_HUMAN sp|Q6UW15|REG3G_HUMAN Regenerating islet-derived protein 3-gamma OS=Homo sapiens OX=9606 GN=REG3G PE=1 SV=1, Homo_sapiens_sp_P48304_REG1B_HUMAN sp|P48304|REG1B_HUMAN Lithostathine-1-beta OS=Homo sapiens OX=9606 GN=REG1B PE=1 SV=1
OG0000004	Xenia_spec_Xe_002025_T1 Xe_002025_T1 Xe_002025	Homo_sapiens_sp_Q6PCB0_VWA1_HUMAN sp|Q6PCB0|VWA1_HUMAN von Willebrand factor A domain-containing protein 1 OS=Homo sapiens OX=9606 GN=VWA1 PE=1 SV=1, Homo_sapiens_sp_Q02388_CO7A1_HUMAN sp|Q02388|CO7A1_HUMAN Collagen alpha-1_VII_ chain OS=Homo sapiens OX=9606 GN=COL7A1 PE=1 SV=2, Homo_sapiens_sp_Q9P218_COKA1_HUMAN sp|Q9P218|COKA1_HUMAN Collagen alpha-1_XX_ chain OS=Homo sapiens OX=9606 GN=COL20A1 PE=1 SV=4, Homo_sapiens_sp_Q99715_COCA1_HUMAN sp|Q99715|COCA1_HUMAN Collagen alpha-1_XII_ chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=2, Homo_sapiens_sp_Q05707_COEA1_HUMAN sp|Q05707|COEA1_HUMAN Collagen alpha-1_XIV_ chain OS=Homo sapiens OX=9606 GN=COL14A1 PE=1 SV=3, Homo_sapiens_sp_Q5GFL6_VWA2_HUMAN sp|Q5GFL6|VWA2_HUMAN von Willebrand factor A domain-containing protein 2 OS=Homo sapiens OX=9606 GN=VWA2 PE=1 SV=1, Homo_sapiens_sp_A8TX70_CO6A5_HUMAN sp|A8TX70|CO6A5_HUMAN Collagen alpha-5_VI_ chain OS=Homo sapiens OX=9606 GN=COL6A5 PE=1 SV=1, Homo_sapiens_sp_A6NMZ7_CO6A6_HUMAN sp|A6NMZ7|CO6A6_HUMAN Collagen alpha-6_VI_ chain OS=Homo sapiens OX=9606 GN=COL6A6 PE=1 SV=2, Homo_sapiens_sp_P12111_CO6A3_HUMAN sp|P12111|CO6A3_HUMAN Collagen alpha-3_VI_ chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5, Homo_sapiens_sp_Q6UXI7_VITRN_HUMAN sp|Q6UXI7|VITRN_HUMAN Vitrin OS=Homo sapiens OX=9606 GN=VIT PE=2 SV=1, Homo_sapiens_sp_O43405_COCH_HUMAN sp|O43405|COCH_HUMAN Cochlin OS=Homo sapiens OX=9606 GN=COCH PE=1 SV=1, Homo_sapiens_sp_O00339_MATN2_HUMAN sp|O00339|MATN2_HUMAN Matrilin-2 OS=Homo sapiens OX=9606 GN=MATN2 PE=1 SV=4, Homo_sapiens_sp_O95460_MATN4_HUMAN sp|O95460|MATN4_HUMAN Matrilin-4 OS=Homo sapiens OX=9606 GN=MATN4 PE=1 SV=3, Homo_sapiens_sp_Q96P44_COLA1_HUMAN sp|Q96P44|COLA1_HUMAN Collagen alpha-1_XXI_ chain OS=Homo sapiens OX=9606 GN=COL21A1 PE=2 SV=1, Homo_sapiens_sp_Q8NFW1_COMA1_HUMAN sp|Q8NFW1|COMA1_HUMAN Collagen alpha-1_XXII_ chain OS=Homo sapiens OX=9606 GN=COL22A1 PE=2 SV=2
