Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Cnidaria_Anthozoa_Acropora_digitifera
OG0000000	Coturnix_japonica_XP_015734261.1 tenascin isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015725285.1 PREDICTED_ tenascin-R isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015725046.1 tenascin-N [Coturnix japonica]	Acropora_digitifera_adi_v1.08380 adi_v1.08380, Acropora_digitifera_adi_v1.14483 adi_v1.14483, Acropora_digitifera_adi_v1.14482 adi_v1.14482, Acropora_digitifera_adi_v1.20225 adi_v1.20225, Acropora_digitifera_adi_v1.07747 adi_v1.07747, Acropora_digitifera_adi_v1.24622 adi_v1.24622, Acropora_digitifera_adi_v1.06759 adi_v1.06759, Acropora_digitifera_adi_v1.21284 adi_v1.21284
OG0000000	Coturnix_japonica_XP_015706135.1 PREDICTED_ microfibril-associated glycoprotein 4_ partial [Coturnix japonica]	Acropora_digitifera_adi_v1.08974 adi_v1.08974, Acropora_digitifera_adi_v1.17747 adi_v1.17747, Acropora_digitifera_adi_v1.10971 adi_v1.10971, Acropora_digitifera_adi_v1.03089 adi_v1.03089, Acropora_digitifera_adi_v1.18895 adi_v1.18895
OG0000000	Coturnix_japonica_XP_015716417.1 fibrinogen alpha chain [Coturnix japonica], Coturnix_japonica_XP_015716415.1 fibrinogen beta chain [Coturnix japonica], Coturnix_japonica_XP_015716494.1 fibrinogen gamma chain [Coturnix japonica], Coturnix_japonica_XP_015717701.1 fibrinogen-like protein 1 [Coturnix japonica], Coturnix_japonica_XP_015734889.1 angiopoietin-related protein 2 [Coturnix japonica], Coturnix_japonica_XP_015725101.1 angiopoietin-related protein 1 [Coturnix japonica], Coturnix_japonica_XP_015737920.1 angiopoietin-related protein 7 isoform X1 [Coturnix japonica]	Acropora_digitifera_adi_v1.00941 adi_v1.00941
OG0000001	Coturnix_japonica_XP_015725071.1 laminin subunit gamma-2 [Coturnix japonica]	Acropora_digitifera_adi_v1.06433 adi_v1.06433, Acropora_digitifera_adi_v1.03761 adi_v1.03761
OG0000001	Coturnix_japonica_XP_015714020.1 netrin-4 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015740591.1 laminin subunit beta-3 [Coturnix japonica], Coturnix_japonica_XP_015706098.1 PREDICTED_ laminin subunit beta-4 [Coturnix japonica], Coturnix_japonica_XP_015730671.1 laminin subunit beta-2 [Coturnix japonica], Coturnix_japonica_XP_015706984.1 laminin subunit beta-1 [Coturnix japonica]	Acropora_digitifera_adi_v1.19636 adi_v1.19636
OG0000001	Coturnix_japonica_XP_015734637.1 PREDICTED_ netrin-G2 isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015724985.1 netrin-G1 isoform X4 [Coturnix japonica]	Acropora_digitifera_adi_v1.10769 adi_v1.10769
OG0000001	Coturnix_japonica_XP_015732925.1 netrin-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015735411.1 netrin-1 [Coturnix japonica]	Acropora_digitifera_adi_v1.01960 adi_v1.01960
OG0000001	Coturnix_japonica_XP_015734644.1 laminin subunit gamma-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015725067.1 laminin subunit gamma-1 [Coturnix japonica]	Acropora_digitifera_adi_v1.06175 adi_v1.06175
OG0000001	Coturnix_japonica_XP_015710772.1 laminin subunit alpha-1 [Coturnix japonica]	Acropora_digitifera_adi_v1.19391 adi_v1.19391, Acropora_digitifera_adi_v1.06434 adi_v1.06434
OG0000002	Coturnix_japonica_XP_015709878.1 semaphorin-5A [Coturnix japonica], Coturnix_japonica_XP_015724160.1 semaphorin-5B isoform X2 [Coturnix japonica]	Acropora_digitifera_adi_v1.01703 adi_v1.01703, Acropora_digitifera_adi_v1.01702 adi_v1.01702, Acropora_digitifera_adi_v1.01379 adi_v1.01379, Acropora_digitifera_adi_v1.14561 adi_v1.14561, Acropora_digitifera_adi_v1.01794 adi_v1.01794, Acropora_digitifera_adi_v1.18031 adi_v1.18031
