Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Chordata_Amphioxiformes_Branchiostoma_lanceolatum
OG0000000	Acropora_digitifera_adi_v1.20123 adi_v1.20123, Acropora_digitifera_adi_v1.13695 adi_v1.13695, Acropora_digitifera_adi_v1.15148 adi_v1.15148, Acropora_digitifera_adi_v1.13912 adi_v1.13912, Acropora_digitifera_adi_v1.20223 adi_v1.20223	Branchiostoma_lanceolatum_tr_A0A8J9ZZV3_A0A8J9ZZV3_BRALA tr|A0A8J9ZZV3|A0A8J9ZZV3_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1
OG0000000	Acropora_digitifera_adi_v1.00941 adi_v1.00941	Branchiostoma_lanceolatum_tr_A0A8J9ZFC5_A0A8J9ZFC5_BRALA tr|A0A8J9ZFC5|A0A8J9ZFC5_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z5H0_A0A8J9Z5H0_BRALA tr|A0A8J9Z5H0|A0A8J9Z5H0_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z4V6_A0A8J9Z4V6_BRALA tr|A0A8J9Z4V6|A0A8J9Z4V6_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZV94_A0A8J9ZV94_BRALA tr|A0A8J9ZV94|A0A8J9ZV94_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZV95_A0A8J9ZV95_BRALA tr|A0A8J9ZV95|A0A8J9ZV95_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZYE6_A0A8J9ZYE6_BRALA tr|A0A8J9ZYE6|A0A8J9ZYE6_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EVJ5_A0A8K0EVJ5_BRALA tr|A0A8K0EVJ5|A0A8K0EVJ5_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZXV7_A0A8J9ZXV7_BRALA tr|A0A8J9ZXV7|A0A8J9ZXV7_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EPW9_A0A8K0EPW9_BRALA tr|A0A8K0EPW9|A0A8K0EPW9_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ESC6_A0A8K0ESC6_BRALA tr|A0A8K0ESC6|A0A8K0ESC6_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZWR0_A0A8J9ZWR0_BRALA tr|A0A8J9ZWR0|A0A8J9ZWR0_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ENU0_A0A8K0ENU0_BRALA tr|A0A8K0ENU0|A0A8K0ENU0_BRALA FGL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AB27_A0A8K0AB27_BRALA tr|A0A8K0AB27|A0A8K0AB27_BRALA FGL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9V9B6_A0A8J9V9B6_BRALA tr|A0A8J9V9B6|A0A8J9V9B6_BRALA ANGPT4 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT4 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F2F4_A0A8K0F2F4_BRALA tr|A0A8K0F2F4|A0A8K0F2F4_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EZW6_A0A8K0EZW6_BRALA tr|A0A8K0EZW6|A0A8K0EZW6_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EKT5_A0A8K0EKT5_BRALA tr|A0A8K0EKT5|A0A8K0EKT5_BRALA ANGPT1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AHL1_A0A8K0AHL1_BRALA tr|A0A8K0AHL1|A0A8K0AHL1_BRALA ANGPTL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VTN9_A0A8J9VTN9_BRALA tr|A0A8J9VTN9|A0A8J9VTN9_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VKY9_A0A8J9VKY9_BRALA tr|A0A8J9VKY9|A0A8J9VKY9_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EJG0_A0A8K0EJG0_BRALA tr|A0A8K0EJG0|A0A8K0EJG0_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EGP6_A0A8K0EGP6_BRALA tr|A0A8K0EGP6|A0A8K0EGP6_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1
OG0000000	Acropora_digitifera_adi_v1.05260 adi_v1.05260, Acropora_digitifera_adi_v1.14266 adi_v1.14266, Acropora_digitifera_adi_v1.11270 adi_v1.11270, Acropora_digitifera_adi_v1.14265 adi_v1.14265	Branchiostoma_lanceolatum_tr_A0A8J9YW30_A0A8J9YW30_BRALA tr|A0A8J9YW30|A0A8J9YW30_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0E690_A0A8K0E690_BRALA tr|A0A8K0E690|A0A8K0E690_BRALA FGL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL1 PE=4 SV=1
OG0000001	Acropora_digitifera_adi_v1.17690 adi_v1.17690, Acropora_digitifera_adi_v1.07845 adi_v1.07845, Acropora_digitifera_adi_v1.06176 adi_v1.06176	Branchiostoma_lanceolatum_tr_A0A8K0AA53_A0A8K0AA53_BRALA tr|A0A8K0AA53|A0A8K0AA53_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ABT6_A0A8K0ABT6_BRALA tr|A0A8K0ABT6|A0A8K0ABT6_BRALA LAMA1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMA1 PE=4 SV=1
OG0000001	Acropora_digitifera_adi_v1.19636 adi_v1.19636	Branchiostoma_lanceolatum_tr_A0A8K0EX25_A0A8K0EX25_BRALA tr|A0A8K0EX25|A0A8K0EX25_BRALA NTN4 protein OS=Branchiostoma lanceolatum OX=7740 GN=NTN4 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A481_A0A8K0A481_BRALA tr|A0A8K0A481|A0A8K0A481_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A1W6_A0A8K0A1W6_BRALA tr|A0A8K0A1W6|A0A8K0A1W6_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A1K9_A0A8K0A1K9_BRALA tr|A0A8K0A1K9|A0A8K0A1K9_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZZ56_A0A8J9ZZ56_BRALA tr|A0A8J9ZZ56|A0A8J9ZZ56_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A0G1_A0A8K0A0G1_BRALA tr|A0A8K0A0G1|A0A8K0A0G1_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZZ61_A0A8J9ZZ61_BRALA tr|A0A8J9ZZ61|A0A8J9ZZ61_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1
OG0000001	Acropora_digitifera_adi_v1.04637 adi_v1.04637	Branchiostoma_lanceolatum_tr_A0A8J9ZDC2_A0A8J9ZDC2_BRALA tr|A0A8J9ZDC2|A0A8J9ZDC2_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZDK6_A0A8J9ZDK6_BRALA tr|A0A8J9ZDK6|A0A8J9ZDK6_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EJV3_A0A8K0EJV3_BRALA tr|A0A8K0EJV3|A0A8K0EJV3_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EHQ4_A0A8K0EHQ4_BRALA tr|A0A8K0EHQ4|A0A8K0EHQ4_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZE07_A0A8J9ZE07_BRALA tr|A0A8J9ZE07|A0A8J9ZE07_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EH85_A0A8K0EH85_BRALA tr|A0A8K0EH85|A0A8K0EH85_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EKB7_A0A8K0EKB7_BRALA tr|A0A8K0EKB7|A0A8K0EKB7_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EFS0_A0A8K0EFS0_BRALA tr|A0A8K0EFS0|A0A8K0EFS0_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZD06_A0A8J9ZD06_BRALA tr|A0A8J9ZD06|A0A8J9ZD06_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=3 SV=1
OG0000001	Acropora_digitifera_adi_v1.08764 adi_v1.08764	Branchiostoma_lanceolatum_tr_A0A8J9ZBD6_A0A8J9ZBD6_BRALA tr|A0A8J9ZBD6|A0A8J9ZBD6_BRALA PRTG protein OS=Branchiostoma lanceolatum OX=7740 GN=PRTG PE=4 SV=1
OG0000001	Acropora_digitifera_adi_v1.06273 adi_v1.06273, Acropora_digitifera_adi_v1.05371 adi_v1.05371, Acropora_digitifera_adi_v1.12829 adi_v1.12829, Acropora_digitifera_adi_v1.20934 adi_v1.20934, Acropora_digitifera_adi_v1.04277 adi_v1.04277, Acropora_digitifera_adi_v1.21086 adi_v1.21086, Acropora_digitifera_adi_v1.11064 adi_v1.11064, Acropora_digitifera_adi_v1.14113 adi_v1.14113, Acropora_digitifera_adi_v1.18078 adi_v1.18078	Branchiostoma_lanceolatum_tr_A0A8K0AAL2_A0A8K0AAL2_BRALA tr|A0A8K0AAL2|A0A8K0AAL2_BRALA PTPRQ protein OS=Branchiostoma lanceolatum OX=7740 GN=PTPRQ PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AGT1_A0A8K0AGT1_BRALA tr|A0A8K0AGT1|A0A8K0AGT1_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AJE6_A0A8K0AJE6_BRALA tr|A0A8K0AJE6|A0A8K0AJE6_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AHA8_A0A8K0AHA8_BRALA tr|A0A8K0AHA8|A0A8K0AHA8_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AFN9_A0A8K0AFN9_BRALA tr|A0A8K0AFN9|A0A8K0AFN9_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AFP9_A0A8K0AFP9_BRALA tr|A0A8K0AFP9|A0A8K0AFP9_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AJE9_A0A8K0AJE9_BRALA tr|A0A8K0AJE9|A0A8K0AJE9_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AFJ7_A0A8K0AFJ7_BRALA tr|A0A8K0AFJ7|A0A8K0AFJ7_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AGD9_A0A8K0AGD9_BRALA tr|A0A8K0AGD9|A0A8K0AGD9_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F1X9_A0A8K0F1X9_BRALA tr|A0A8K0F1X9|A0A8K0F1X9_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F3P9_A0A8K0F3P9_BRALA tr|A0A8K0F3P9|A0A8K0F3P9_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F401_A0A8K0F401_BRALA tr|A0A8K0F401|A0A8K0F401_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F404_A0A8K0F404_BRALA tr|A0A8K0F404|A0A8K0F404_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F1F1_A0A8K0F1F1_BRALA tr|A0A8K0F1F1|A0A8K0F1F1_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AGU0_A0A8K0AGU0_BRALA tr|A0A8K0AGU0|A0A8K0AGU0_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AEM6_A0A8K0AEM6_BRALA tr|A0A8K0AEM6|A0A8K0AEM6_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F3P6_A0A8K0F3P6_BRALA tr|A0A8K0F3P6|A0A8K0F3P6_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AHB7_A0A8K0AHB7_BRALA tr|A0A8K0AHB7|A0A8K0AHB7_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F1E5_A0A8K0F1E5_BRALA tr|A0A8K0F1E5|A0A8K0F1E5_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EZA8_A0A8K0EZA8_BRALA tr|A0A8K0EZA8|A0A8K0EZA8_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AFI5_A0A8K0AFI5_BRALA tr|A0A8K0AFI5|A0A8K0AFI5_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AD39_A0A8K0AD39_BRALA tr|A0A8K0AD39|A0A8K0AD39_BRALA KCP protein OS=Branchiostoma lanceolatum OX=7740 GN=KCP PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AEB4_A0A8K0AEB4_BRALA tr|A0A8K0AEB4|A0A8K0AEB4_BRALA KCP protein OS=Branchiostoma lanceolatum OX=7740 GN=KCP PE=4 SV=1
OG0000001	Acropora_digitifera_adi_v1.00967 adi_v1.00967	Branchiostoma_lanceolatum_tr_A0A8K0ACS0_A0A8K0ACS0_BRALA tr|A0A8K0ACS0|A0A8K0ACS0_BRALA SDK1 protein OS=Branchiostoma lanceolatum OX=7740 GN=SDK1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AEB9_A0A8K0AEB9_BRALA tr|A0A8K0AEB9|A0A8K0AEB9_BRALA SDK1 protein OS=Branchiostoma lanceolatum OX=7740 GN=SDK1 PE=4 SV=1
