Orthogroup	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Cnidaria_Anthozoa_Xenia_spec
OG0000000	Calvadosia_cruxmelitensis_Ccrux.Trinity.27805 Ccrux.Trinity.27805, Calvadosia_cruxmelitensis_Ccrux.Trinity.27804 Ccrux.Trinity.27804, Calvadosia_cruxmelitensis_Ccrux.Trinity.27806 Ccrux.Trinity.27806, Calvadosia_cruxmelitensis_Ccrux.Trinity.27807 Ccrux.Trinity.27807, Calvadosia_cruxmelitensis_Ccrux.Trinity.27808 Ccrux.Trinity.27808, Calvadosia_cruxmelitensis_Ccrux.Trinity.27803 Ccrux.Trinity.27803, Calvadosia_cruxmelitensis_Ccrux.Trinity.18974 Ccrux.Trinity.18974, Calvadosia_cruxmelitensis_Ccrux.Trinity.18973 Ccrux.Trinity.18973, Calvadosia_cruxmelitensis_Ccrux.Trinity.18975 Ccrux.Trinity.18975, Calvadosia_cruxmelitensis_Ccrux.Trinity.13476 Ccrux.Trinity.13476, Calvadosia_cruxmelitensis_Ccrux.Trinity.60601 Ccrux.Trinity.60601, Calvadosia_cruxmelitensis_Ccrux.Trinity.72013 Ccrux.Trinity.72013, Calvadosia_cruxmelitensis_Ccrux.Trinity.25175 Ccrux.Trinity.25175, Calvadosia_cruxmelitensis_Ccrux.Trinity.25174 Ccrux.Trinity.25174, Calvadosia_cruxmelitensis_Ccrux.Trinity.25178 Ccrux.Trinity.25178, Calvadosia_cruxmelitensis_Ccrux.Trinity.25170 Ccrux.Trinity.25170, Calvadosia_cruxmelitensis_Ccrux.Trinity.25173 Ccrux.Trinity.25173, Calvadosia_cruxmelitensis_Ccrux.Trinity.63690 Ccrux.Trinity.63690, Calvadosia_cruxmelitensis_Ccrux.Trinity.1835 Ccrux.Trinity.1835, Calvadosia_cruxmelitensis_Ccrux.Trinity.10162 Ccrux.Trinity.10162, Calvadosia_cruxmelitensis_Ccrux.Trinity.10161 Ccrux.Trinity.10161, Calvadosia_cruxmelitensis_Ccrux.Trinity.44850 Ccrux.Trinity.44850, Calvadosia_cruxmelitensis_Ccrux.Trinity.44852 Ccrux.Trinity.44852	Xenia_spec_Xe_009140_T1 Xe_009140_T1 Xe_009140
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.23735 Ccrux.Trinity.23735, Calvadosia_cruxmelitensis_Ccrux.Trinity.23733 Ccrux.Trinity.23733	Xenia_spec_Xe_003284_T1 Xe_003284_T1 Xe_003284
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.15286 Ccrux.Trinity.15286, Calvadosia_cruxmelitensis_Ccrux.Trinity.15288 Ccrux.Trinity.15288, Calvadosia_cruxmelitensis_Ccrux.Trinity.15287 Ccrux.Trinity.15287, Calvadosia_cruxmelitensis_Ccrux.Trinity.15289 Ccrux.Trinity.15289, Calvadosia_cruxmelitensis_Ccrux.Trinity.15290 Ccrux.Trinity.15290	Xenia_spec_Xe_004331_T1 Xe_004331_T1 Xe_004331, Xenia_spec_Xe_004329_T1 Xe_004329_T1 Xe_004329, Xenia_spec_Xe_004227_T1 Xe_004227_T1 Xe_004227, Xenia_spec_Xe_004334_T1 Xe_004334_T1 Xe_004334, Xenia_spec_Xe_004333_T1 Xe_004333_T1 Xe_004333, Xenia_spec_Xe_004326_T1 Xe_004326_T1 Xe_004326, Xenia_spec_Xe_004230_T1 Xe_004230_T1 Xe_004230, Xenia_spec_Xe_004229_T1 Xe_004229_T1 Xe_004229, Xenia_spec_Xe_004209_T1 Xe_004209_T1 Xe_004209, Xenia_spec_Xe_004262_T1 Xe_004262_T1 Xe_004262, Xenia_spec_Xe_015497_T1 Xe_015497_T1 Xe_015497, Xenia_spec_Xe_015497_T2 Xe_015497_T2 Xe_015497, Xenia_spec_Xe_004687_T1 Xe_004687_T1 Xe_004687, Xenia_spec_Xe_004686_T1 Xe_004686_T1 Xe_004686
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.6711 Ccrux.Trinity.6711, Calvadosia_cruxmelitensis_Ccrux.Trinity.6713 Ccrux.Trinity.6713	Xenia_spec_Xe_004325_T1 Xe_004325_T1 Xe_004325, Xenia_spec_Xe_004232_T1 Xe_004232_T1 Xe_004232
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.38369 Ccrux.Trinity.38369, Calvadosia_cruxmelitensis_Ccrux.Trinity.52230 Ccrux.Trinity.52230, Calvadosia_cruxmelitensis_Ccrux.Trinity.14769 Ccrux.Trinity.14769	Xenia_spec_Xe_020701_T1 Xe_020701_T1 Xe_020701
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.59987 Ccrux.Trinity.59987	Xenia_spec_Xe_014520_T1 Xe_014520_T1 Xe_014520
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.40612 Ccrux.Trinity.40612, Calvadosia_cruxmelitensis_Ccrux.Trinity.40613 Ccrux.Trinity.40613	Xenia_spec_Xe_018235_T1 Xe_018235_T1 Xe_018235
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.47275 Ccrux.Trinity.47275, Calvadosia_cruxmelitensis_Ccrux.Trinity.47256 Ccrux.Trinity.47256, Calvadosia_cruxmelitensis_Ccrux.Trinity.47271 Ccrux.Trinity.47271, Calvadosia_cruxmelitensis_Ccrux.Trinity.47257 Ccrux.Trinity.47257, Calvadosia_cruxmelitensis_Ccrux.Trinity.47260 Ccrux.Trinity.47260, Calvadosia_cruxmelitensis_Ccrux.Trinity.47278 Ccrux.Trinity.47278, Calvadosia_cruxmelitensis_Ccrux.Trinity.47280 Ccrux.Trinity.47280	Xenia_spec_Xe_014011_T1 Xe_014011_T1 Xe_014011
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.70507 Ccrux.Trinity.70507	Xenia_spec_Xe_004909_T1 Xe_004909_T1 Xe_004909, Xenia_spec_Xe_012739_T1 Xe_012739_T1 Xe_012739, Xenia_spec_Xe_012736_T1 Xe_012736_T1 Xe_012736, Xenia_spec_Xe_012738_T1 Xe_012738_T1 Xe_012738
