Orthogroup	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Chordata_Amphioxiformes_Branchiostoma_floridae
OG0000000	Monosiga_brevicollisXP_001746832.1 XP_001746832.1 uncharacterized protein MONBRDRAFT_37540 [Monosiga brevicollis MX1]	Branchiostoma_floridae_tr_A0A9J7L8L7_A0A9J7L8L7_BRAFL tr|A0A9J7L8L7|A0A9J7L8L7_BRAFL Angiopoietin-related protein 3-like OS=Branchiostoma floridae OX=7739 GN=LOC118416624 PE=4 SV=1
OG0000001	Monosiga_brevicollisXP_001743515.1 XP_001743515.1 uncharacterized protein MONBRDRAFT_6041 [Monosiga brevicollis MX1]	Branchiostoma_floridae_tr_A0A9J7KIY4_A0A9J7KIY4_BRAFL tr|A0A9J7KIY4|A0A9J7KIY4_BRAFL Laminin subunit beta-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118408876 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LLZ4_A0A9J7LLZ4_BRAFL tr|A0A9J7LLZ4|A0A9J7LLZ4_BRAFL Laminin subunit gamma-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421980 PE=4 SV=1
OG0000001	Monosiga_brevicollisXP_001747329.1 XP_001747329.1 uncharacterized protein MONBRDRAFT_26942 [Monosiga brevicollis MX1]	Branchiostoma_floridae_tr_A0A9J7LWR5_A0A9J7LWR5_BRAFL tr|A0A9J7LWR5|A0A9J7LWR5_BRAFL Usherin-like OS=Branchiostoma floridae OX=7739 GN=LOC118424239 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L4M2_A0A9J7L4M2_BRAFL tr|A0A9J7L4M2|A0A9J7L4M2_BRAFL Usherin-like OS=Branchiostoma floridae OX=7739 GN=LOC118415341 PE=4 SV=1
OG0000001	Monosiga_brevicollisXP_001744552.1 XP_001744552.1 uncharacterized protein MONBRDRAFT_36570 [Monosiga brevicollis MX1]	Branchiostoma_floridae_tr_A0A9J7N1F8_A0A9J7N1F8_BRAFL tr|A0A9J7N1F8|A0A9J7N1F8_BRAFL Uncharacterized protein LOC118422774 isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118422774 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LQ04_A0A9J7LQ04_BRAFL tr|A0A9J7LQ04|A0A9J7LQ04_BRAFL Uncharacterized protein LOC118422774 isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118422774 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LSH8_A0A9J7LSH8_BRAFL tr|A0A9J7LSH8|A0A9J7LSH8_BRAFL Contactin-3-like isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118422774 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N155_A0A9J7N155_BRAFL tr|A0A9J7N155|A0A9J7N155_BRAFL Contactin-6-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118422774 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N049_A0A9J7N049_BRAFL tr|A0A9J7N049|A0A9J7N049_BRAFL Contactin-6-like isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118422774 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MYC5_A0A9J7MYC5_BRAFL tr|A0A9J7MYC5|A0A9J7MYC5_BRAFL Contactin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118422529 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MPE4_A0A9J7MPE4_BRAFL tr|A0A9J7MPE4|A0A9J7MPE4_BRAFL Neuronal cell adhesion molecule-like isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118415273 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7MQR2_A0A9J7MQR2_BRAFL tr|A0A9J7MQR2|A0A9J7MQR2_BRAFL Neuronal cell adhesion molecule-like isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118415273 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7L5L4_A0A9J7L5L4_BRAFL tr|A0A9J7L5L4|A0A9J7L5L4_BRAFL Neuronal cell adhesion molecule-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118415273 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7L531_A0A9J7L531_BRAFL tr|A0A9J7L531|A0A9J7L531_BRAFL Neuronal cell adhesion molecule-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118415273 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7L4A7_A0A9J7L4A7_BRAFL tr|A0A9J7L4A7|A0A9J7L4A7_BRAFL Neuronal cell adhesion molecule-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118415273 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7MQV2_A0A9J7MQV2_BRAFL tr|A0A9J7MQV2|A0A9J7MQV2_BRAFL Neuronal cell adhesion molecule-like isoform X7 OS=Branchiostoma floridae OX=7739 GN=LOC118415273 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7L495_A0A9J7L495_BRAFL tr|A0A9J7L495|A0A9J7L495_BRAFL Neuronal cell adhesion molecule-like isoform X6 OS=Branchiostoma floridae OX=7739 GN=LOC118415273 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7MQK6_A0A9J7MQK6_BRAFL tr|A0A9J7MQK6|A0A9J7MQK6_BRAFL Neuronal cell adhesion molecule-like isoform X8 OS=Branchiostoma floridae OX=7739 GN=LOC118415273 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7MQ98_A0A9J7MQ98_BRAFL tr|A0A9J7MQ98|A0A9J7MQ98_BRAFL Neuronal cell adhesion molecule-like isoform X9 OS=Branchiostoma floridae OX=7739 GN=LOC118415273 PE=3 SV=1
OG0000001	Monosiga_brevicollisXP_001747261.1 XP_001747261.1 uncharacterized protein MONBRDRAFT_26825 [Monosiga brevicollis MX1]	Branchiostoma_floridae_tr_A0A9J7LP27_A0A9J7LP27_BRAFL tr|A0A9J7LP27|A0A9J7LP27_BRAFL Laminin subunit beta-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421978 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LLJ1_A0A9J7LLJ1_BRAFL tr|A0A9J7LLJ1|A0A9J7LLJ1_BRAFL Netrin-G1-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118421265 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LMA1_A0A9J7LMA1_BRAFL tr|A0A9J7LMA1|A0A9J7LMA1_BRAFL Netrin-G2-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118421265 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LKK0_A0A9J7LKK0_BRAFL tr|A0A9J7LKK0|A0A9J7LKK0_BRAFL Netrin-G1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421422 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M5E8_A0A9J7M5E8_BRAFL tr|A0A9J7M5E8|A0A9J7M5E8_BRAFL Netrin-1-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118428730 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N853_A0A9J7N853_BRAFL tr|A0A9J7N853|A0A9J7N853_BRAFL Netrin-1-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118428730 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MX51_A0A9J7MX51_BRAFL tr|A0A9J7MX51|A0A9J7MX51_BRAFL Laminin subunit gamma-1-like isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118421560 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LN45_A0A9J7LN45_BRAFL tr|A0A9J7LN45|A0A9J7LN45_BRAFL Laminin subunit gamma-1-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118421560 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LN27_A0A9J7LN27_BRAFL tr|A0A9J7LN27|A0A9J7LN27_BRAFL Laminin subunit gamma-1-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118421560 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LMC9_A0A9J7LMC9_BRAFL tr|A0A9J7LMC9|A0A9J7LMC9_BRAFL Laminin subunit gamma-1-like isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118421560 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MZY0_A0A9J7MZY0_BRAFL tr|A0A9J7MZY0|A0A9J7MZY0_BRAFL Laminin subunit gamma-1-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118421560 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MZQ1_A0A9J7MZQ1_BRAFL tr|A0A9J7MZQ1|A0A9J7MZQ1_BRAFL Laminin subunit gamma-1-like isoform X6 OS=Branchiostoma floridae OX=7739 GN=LOC118421560 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N0B1_A0A9J7N0B1_BRAFL tr|A0A9J7N0B1|A0A9J7N0B1_BRAFL Laminin-like protein epi-1 OS=Branchiostoma floridae OX=7739 GN=LOC118421973 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQE3_A0A9J7KQE3_BRAFL tr|A0A9J7KQE3|A0A9J7KQE3_BRAFL Laminin subunit alpha-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118410579 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HSX2_A0A9J7HSX2_BRAFL tr|A0A9J7HSX2|A0A9J7HSX2_BRAFL Laminin subunit alpha-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118408556 PE=4 SV=1
OG0000002	Monosiga_brevicollisXP_001742800.1 XP_001742800.1 uncharacterized protein MONBRDRAFT_5267 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001747141.1 XP_001747141.1 uncharacterized protein MONBRDRAFT_32969 [Monosiga brevicollis MX1]	Branchiostoma_floridae_tr_A0A9J7LU26_A0A9J7LU26_BRAFL tr|A0A9J7LU26|A0A9J7LU26_BRAFL von Willebrand factor A domain-containing protein 7-like OS=Branchiostoma floridae OX=7739 GN=LOC118424186 PE=4 SV=1
OG0000002	Monosiga_brevicollisXP_001744742.1 XP_001744742.1 uncharacterized protein MONBRDRAFT_16091_ partial [Monosiga brevicollis MX1]	Branchiostoma_floridae_tr_A0A9J7HHP8_A0A9J7HHP8_BRAFL tr|A0A9J7HHP8|A0A9J7HHP8_BRAFL Hemicentin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118404641 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HW88_A0A9J7HW88_BRAFL tr|A0A9J7HW88|A0A9J7HW88_BRAFL Hemicentin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118409059 PE=4 SV=1
OG0000003	Monosiga_brevicollisXP_001749778.1 XP_001749778.1 uncharacterized protein MONBRDRAFT_38878 [Monosiga brevicollis MX1]	Branchiostoma_floridae_tr_A0A9J7KQ72_A0A9J7KQ72_BRAFL tr|A0A9J7KQ72|A0A9J7KQ72_BRAFL Fibrillin-1-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118410505 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQA0_A0A9J7KQA0_BRAFL tr|A0A9J7KQA0|A0A9J7KQA0_BRAFL Fibrillin-1-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118410505 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQ86_A0A9J7KQ86_BRAFL tr|A0A9J7KQ86|A0A9J7KQ86_BRAFL Fibrillin-1-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118410505 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQ80_A0A9J7KQ80_BRAFL tr|A0A9J7KQ80|A0A9J7KQ80_BRAFL Fibrillin-1-like isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118410505 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQ60_A0A9J7KQ60_BRAFL tr|A0A9J7KQ60|A0A9J7KQ60_BRAFL Fibrillin-1-like isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118410505 PE=4 SV=1
OG0000003	Monosiga_brevicollisXP_001747347.1 XP_001747347.1 uncharacterized protein MONBRDRAFT_26977 [Monosiga brevicollis MX1]	Branchiostoma_floridae_tr_A0A9J7M5H0_A0A9J7M5H0_BRAFL tr|A0A9J7M5H0|A0A9J7M5H0_BRAFL Collectin-10-like OS=Branchiostoma floridae OX=7739 GN=LOC118428479 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M888_A0A9J7M888_BRAFL tr|A0A9J7M888|A0A9J7M888_BRAFL Collectin-10-like OS=Branchiostoma floridae OX=7739 GN=LOC118429366 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KSZ8_A0A9J7KSZ8_BRAFL tr|A0A9J7KSZ8|A0A9J7KSZ8_BRAFL Uncharacterized protein LOC118411508 OS=Branchiostoma floridae OX=7739 GN=LOC118411508 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KS32_A0A9J7KS32_BRAFL tr|A0A9J7KS32|A0A9J7KS32_BRAFL Uncharacterized protein LOC118411324 isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118411324 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KTB4_A0A9J7KTB4_BRAFL tr|A0A9J7KTB4|A0A9J7KTB4_BRAFL Uncharacterized protein LOC118411324 isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118411324 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KU42_A0A9J7KU42_BRAFL tr|A0A9J7KU42|A0A9J7KU42_BRAFL Uncharacterized protein LOC118411665 OS=Branchiostoma floridae OX=7739 GN=LOC118411665 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LH94_A0A9J7LH94_BRAFL tr|A0A9J7LH94|A0A9J7LH94_BRAFL Latent-transforming growth factor beta-binding protein 2-like OS=Branchiostoma floridae OX=7739 GN=LOC118420225 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KHD9_A0A9J7KHD9_BRAFL tr|A0A9J7KHD9|A0A9J7KHD9_BRAFL C-type lectin mannose-binding isoform-like OS=Branchiostoma floridae OX=7739 GN=LOC118404871 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M6I0_A0A9J7M6I0_BRAFL tr|A0A9J7M6I0|A0A9J7M6I0_BRAFL C-type lectin domain family 10 member A-like OS=Branchiostoma floridae OX=7739 GN=LOC118428736 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HJQ9_A0A9J7HJQ9_BRAFL tr|A0A9J7HJQ9|A0A9J7HJQ9_BRAFL Alpha-N-acetylgalactosamine-specific lectin-like OS=Branchiostoma floridae OX=7739 GN=LOC118404276 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M1H8_A0A9J7M1H8_BRAFL tr|A0A9J7M1H8|A0A9J7M1H8_BRAFL Perlucin-like protein OS=Branchiostoma floridae OX=7739 GN=LOC118427084 PE=4 SV=1
