Orthogroup	Cnidaria_Cubozoa_Morbakka_virulenta	Placozoa_Trichoplacidae_Trichoplax_spec-H2
OG0000001	Morbakka_virulenta_scaffold19.g85.t2 scaffold19.g85.t2, Morbakka_virulenta_scaffold19.g85.t4 scaffold19.g85.t4, Morbakka_virulenta_scaffold19.g85.t3 scaffold19.g85.t3, Morbakka_virulenta_scaffold19.g85.t1 scaffold19.g85.t1	Trichoplax_specH2_tr_A0A369SGJ7_A0A369SGJ7_9METZ tr|A0A369SGJ7|A0A369SGJ7_9METZ Laminin subunit beta-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001775 PE=4 SV=1
OG0000001	Morbakka_virulenta_scaffold137.g22.t2 scaffold137.g22.t2, Morbakka_virulenta_scaffold137.g22.t5 scaffold137.g22.t5, Morbakka_virulenta_scaffold137.g22.t1 scaffold137.g22.t1, Morbakka_virulenta_scaffold137.g22.t3 scaffold137.g22.t3, Morbakka_virulenta_scaffold137.g22.t4 scaffold137.g22.t4	Trichoplax_specH2_tr_A0A369S6H3_A0A369S6H3_9METZ tr|A0A369S6H3|A0A369S6H3_9METZ Protein sidekick-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005469 PE=4 SV=1
OG0000001	Morbakka_virulenta_scaffold68.g48.t2 scaffold68.g48.t2, Morbakka_virulenta_scaffold68.g48.t1 scaffold68.g48.t1	Trichoplax_specH2_tr_A0A369S2W3_A0A369S2W3_9METZ tr|A0A369S2W3|A0A369S2W3_9METZ Protein sidekick-2 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_006253 PE=4 SV=1
OG0000001	Morbakka_virulenta_scaffold37.g39.t1 scaffold37.g39.t1	Trichoplax_specH2_tr_A0A369S5F0_A0A369S5F0_9METZ tr|A0A369S5F0|A0A369S5F0_9METZ Down syndrome cell adhesion molecule-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_007185 PE=4 SV=1
OG0000001	Morbakka_virulenta_scaffold186.g13.t1 scaffold186.g13.t1	Trichoplax_specH2_tr_A0A369RMI3_A0A369RMI3_9METZ tr|A0A369RMI3|A0A369RMI3_9METZ Tyrosine-protein phosphatase Lar _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011819 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RMF1_A0A369RMF1_9METZ tr|A0A369RMF1|A0A369RMF1_9METZ Receptor-type tyrosine-protein phosphatase F OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_012065 PE=4 SV=1
OG0000001	Morbakka_virulenta_scaffold624.g2.t1 scaffold624.g2.t1	Trichoplax_specH2_tr_A0A369RZ42_A0A369RZ42_9METZ tr|A0A369RZ42|A0A369RZ42_9METZ Protogenin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_007029 PE=4 SV=1
OG0000001	Morbakka_virulenta_scaffold1.g52.t1 scaffold1.g52.t1, Morbakka_virulenta_scaffold1.g52.t2 scaffold1.g52.t2	Trichoplax_specH2_tr_A0A369SBY2_A0A369SBY2_9METZ tr|A0A369SBY2|A0A369SBY2_9METZ Laminin subunit gamma-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_003028 PE=4 SV=1
OG0000002	Morbakka_virulenta_scaffold166.g7.t2 scaffold166.g7.t2, Morbakka_virulenta_scaffold166.g7.t1 scaffold166.g7.t1	Trichoplax_specH2_tr_A0A369RVI4_A0A369RVI4_9METZ tr|A0A369RVI4|A0A369RVI4_9METZ Thrombospondin-3a OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009811 PE=3 SV=1
OG0000002	Morbakka_virulenta_scaffold24.g105.t1 scaffold24.g105.t1	Trichoplax_specH2_tr_A0A369SFC4_A0A369SFC4_9METZ tr|A0A369SFC4|A0A369SFC4_9METZ Semaphorin-5A OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002772 PE=4 SV=1
