Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000001	Stylophora_pistillata_Spis17368 Spis17368 SpisGene17368	Morbakka_virulenta_scaffold19.g85.t4 scaffold19.g85.t4, Morbakka_virulenta_scaffold19.g85.t3 scaffold19.g85.t3, Morbakka_virulenta_scaffold19.g85.t1 scaffold19.g85.t1
OG0000001	Stylophora_pistillata_Spis24167 Spis24167 SpisGene24167, Stylophora_pistillata_Spis23377 Spis23377 SpisGene23377, Stylophora_pistillata_Spis19003 Spis19003 SpisGene19003	Morbakka_virulenta_scaffold161.g23.t1 scaffold161.g23.t1, Morbakka_virulenta_scaffold161.g20.t1 scaffold161.g20.t1
OG0000001	Stylophora_pistillata_Spis14116 Spis14116 SpisGene14116	Morbakka_virulenta_scaffold137.g22.t2 scaffold137.g22.t2, Morbakka_virulenta_scaffold137.g22.t5 scaffold137.g22.t5, Morbakka_virulenta_scaffold137.g22.t1 scaffold137.g22.t1, Morbakka_virulenta_scaffold137.g22.t3 scaffold137.g22.t3, Morbakka_virulenta_scaffold137.g22.t4 scaffold137.g22.t4
OG0000001	Stylophora_pistillata_Spis16034 Spis16034 SpisGene16034	Morbakka_virulenta_scaffold397.g4.t2 scaffold397.g4.t2, Morbakka_virulenta_scaffold397.g4.t1 scaffold397.g4.t1
OG0000001	Stylophora_pistillata_Spis15904 Spis15904 SpisGene15904	Morbakka_virulenta_scaffold68.g48.t2 scaffold68.g48.t2, Morbakka_virulenta_scaffold68.g48.t1 scaffold68.g48.t1
OG0000001	Stylophora_pistillata_Spis1143 Spis1143 SpisGene1143	Morbakka_virulenta_scaffold37.g39.t1 scaffold37.g39.t1
OG0000001	Stylophora_pistillata_Spis16360 Spis16360 SpisGene16360	Morbakka_virulenta_scaffold99.g24.t1 scaffold99.g24.t1
OG0000001	Stylophora_pistillata_Spis16332 Spis16332 SpisGene16332	Morbakka_virulenta_scaffold624.g2.t1 scaffold624.g2.t1
OG0000001	Stylophora_pistillata_Spis17176 Spis17176 SpisGene17176, Stylophora_pistillata_Spis16684 Spis16684 SpisGene16684, Stylophora_pistillata_Spis16687 Spis16687 SpisGene16687, Stylophora_pistillata_Spis23488 Spis23488 SpisGene23488, Stylophora_pistillata_Spis16688 Spis16688 SpisGene16688	Morbakka_virulenta_scaffold476.g6.t1 scaffold476.g6.t1, Morbakka_virulenta_scaffold17.g93.t1 scaffold17.g93.t1
OG0000001	Stylophora_pistillata_Spis2957 Spis2957 SpisGene2957	Morbakka_virulenta_scaffold186.g16.t1 scaffold186.g16.t1, Morbakka_virulenta_scaffold659.g1.t1 scaffold659.g1.t1, Morbakka_virulenta_scaffold434.g12.t1 scaffold434.g12.t1
OG0000001	Stylophora_pistillata_Spis12987 Spis12987 SpisGene12987	Morbakka_virulenta_scaffold23.g77.t2 scaffold23.g77.t2, Morbakka_virulenta_scaffold23.g77.t1 scaffold23.g77.t1, Morbakka_virulenta_scaffold6.g122.t1 scaffold6.g122.t1
OG0000001	Stylophora_pistillata_Spis14826.t2 Spis14826.t2 SpisGene14826	Morbakka_virulenta_scaffold186.g15.t2 scaffold186.g15.t2, Morbakka_virulenta_scaffold186.g15.t4 scaffold186.g15.t4, Morbakka_virulenta_scaffold186.g15.t3 scaffold186.g15.t3
OG0000001	Stylophora_pistillata_Spis19493 Spis19493 SpisGene19493	Morbakka_virulenta_scaffold398.g7.t1 scaffold398.g7.t1
OG0000001	Stylophora_pistillata_Spis2356 Spis2356 SpisGene2356	Morbakka_virulenta_scaffold43.g67.t1 scaffold43.g67.t1, Morbakka_virulenta_scaffold43.g67.t2 scaffold43.g67.t2
OG0000001	Stylophora_pistillata_Spis313 Spis313 SpisGene313	Morbakka_virulenta_scaffold35.g66.t1 scaffold35.g66.t1
OG0000001	Stylophora_pistillata_Spis312 Spis312 SpisGene312	Morbakka_virulenta_scaffold152.g29.t1 scaffold152.g29.t1, Morbakka_virulenta_scaffold152.g29.t2 scaffold152.g29.t2, Morbakka_virulenta_scaffold152.g29.t3 scaffold152.g29.t3
OG0000001	Stylophora_pistillata_Spis315 Spis315 SpisGene315	Morbakka_virulenta_scaffold1.g52.t1 scaffold1.g52.t1, Morbakka_virulenta_scaffold1.g52.t2 scaffold1.g52.t2
OG0000001	Stylophora_pistillata_Spis22126 Spis22126 SpisGene22126	Morbakka_virulenta_scaffold212.g45.t1 scaffold212.g45.t1
OG0000001	Stylophora_pistillata_Spis645.t2 Spis645.t2 SpisGene645	Morbakka_virulenta_scaffold55.g42.t1 scaffold55.g42.t1
