Orthogroup	Ctenophora_Nuda_Beroe_ovata	Platyhelminthes_Tricladida_Schmidtea_mediterranea
OG0000001	Beroe_ovata_Bova1_4.0204.g2.t1 Bova1_4.0204.g2.t1	Schmidtea_mediterranea_maker-scaffold14005-snap-gene-0.42-mRNA-1 maker-scaffold14005-snap-gene-0.42-mRNA-1 protein AED_0.02 eAED_0.04 QI_10|0|0|0.83|0.8|0.83|6|0|258
OG0000001	Beroe_ovata_Bova1_4.0158.g6.t2 Bova1_4.0158.g6.t2, Beroe_ovata_Bova1_4.0158.g6.t1 Bova1_4.0158.g6.t1, Beroe_ovata_Bova1_4.0158.g6.t3 Bova1_4.0158.g6.t3	Schmidtea_mediterranea_maker-scaffold5594-snap-gene-0.19-mRNA-1 maker-scaffold5594-snap-gene-0.19-mRNA-1 protein AED_0.79 eAED_0.95 QI_0|0|0|0.33|0.8|1|6|0|127
OG0000001	Beroe_ovata_Bova1_4.0005.g58.t1 Bova1_4.0005.g58.t1	Schmidtea_mediterranea_maker-scaffold4714-augustus-gene-0.16-mRNA-1 maker-scaffold4714-augustus-gene-0.16-mRNA-1 protein AED_0.10 eAED_0.30 QI_0|0.42|0.37|0.87|0.57|0.75|8|0|675, Schmidtea_mediterranea_maker-scaffold10153-augustus-gene-0.51-mRNA-1 maker-scaffold10153-augustus-gene-0.51-mRNA-1 protein AED_0.09 eAED_0.09 QI_141|0.86|0.95|1|0.65|0.70|24|255|1751
OG0000002	Beroe_ovata_Bova1_4.0556.g1.t1 Bova1_4.0556.g1.t1, Beroe_ovata_Bova1_4.0059.g49.t3 Bova1_4.0059.g49.t3, Beroe_ovata_Bova1_4.0059.g49.t1 Bova1_4.0059.g49.t1, Beroe_ovata_Bova1_4.0059.g49.t2 Bova1_4.0059.g49.t2, Beroe_ovata_Bova1_4.0024.g32.t1 Bova1_4.0024.g32.t1	Schmidtea_mediterranea_maker-scaffold18032-augustus-gene-0.16-mRNA-1 maker-scaffold18032-augustus-gene-0.16-mRNA-1 protein AED_0.31 eAED_0.31 QI_285|0.66|0.61|0.84|0.25|0.46|13|0|656
OG0000002	Beroe_ovata_Bova1_4.0002.g184.t1 Bova1_4.0002.g184.t1	Schmidtea_mediterranea_maker-scaffold19530-augustus-gene-0.11-mRNA-1 maker-scaffold19530-augustus-gene-0.11-mRNA-1 protein AED_0.24 eAED_0.24 QI_650|0.75|0.8|1|0|0.2|5|325|316
OG0000002	Beroe_ovata_Bova1_4.0084.g30.t1 Bova1_4.0084.g30.t1, Beroe_ovata_Bova1_4.0084.g31.t1 Bova1_4.0084.g31.t1	Schmidtea_mediterranea_maker-scaffold587-snap-gene-1.53-mRNA-1 maker-scaffold587-snap-gene-1.53-mRNA-1 protein AED_0.00 eAED_0.00 QI_51|1|1|1|0.5|0.8|5|108|475
OG0000003	Beroe_ovata_Bova1_4.0075.g12.t1 Bova1_4.0075.g12.t1	Schmidtea_mediterranea_maker-scaffold6567-snap-gene-1.79-mRNA-1 maker-scaffold6567-snap-gene-1.79-mRNA-1 protein AED_0.41 eAED_0.44 QI_0|0.66|0.57|1|0.5|0.57|7|0|334, Schmidtea_mediterranea_snap_masked-scaffold6567-processed-gene-1.12-mRNA-1 snap_masked-scaffold6567-processed-gene-1.12-mRNA-1 protein AED_0.27 eAED_0.27 QI_78|0.87|0.82|1|0.43|0.64|17|0|870
OG0000005	Beroe_ovata_Bova1_4.0259.g12.t1 Bova1_4.0259.g12.t1	Schmidtea_mediterranea_maker-scaffold7616-augustus-gene-0.51-mRNA-1 maker-scaffold7616-augustus-gene-0.51-mRNA-1 protein AED_0.10 eAED_0.10 QI_41|1|0.88|1|0.75|0.77|9|0|278, Schmidtea_mediterranea_maker-scaffold5365-augustus-gene-0.30-mRNA-1 maker-scaffold5365-augustus-gene-0.30-mRNA-1 protein AED_0.52 eAED_0.52 QI_268|0.5|0.71|0.85|0.5|0.57|7|0|1425, Schmidtea_mediterranea_maker-scaffold17618-augustus-gene-0.10-mRNA-1 maker-scaffold17618-augustus-gene-0.10-mRNA-1 protein AED_0.02 eAED_0.02 QI_310|1|0.85|1|0.83|0.71|7|0|1279, Schmidtea_mediterranea_maker-scaffold24900-augustus-gene-0.37-mRNA-1 maker-scaffold24900-augustus-gene-0.37-mRNA-1 protein AED_0.02 eAED_0.05 QI_0|0.81|0.75|1|0.81|1|12|156|703
OG0000005	Beroe_ovata_Bova1_4.0020.g36.t1 Bova1_4.0020.g36.t1, Beroe_ovata_Bova1_4.0020.g37.t1 Bova1_4.0020.g37.t1, Beroe_ovata_Bova1_4.0536.g2.t1 Bova1_4.0536.g2.t1	Schmidtea_mediterranea_maker-scaffold410-augustus-gene-0.17-mRNA-1 maker-scaffold410-augustus-gene-0.17-mRNA-1 protein AED_0.43 eAED_0.43 QI_134|0.5|0.66|1|0|0|3|0|143, Schmidtea_mediterranea_maker-scaffold410-augustus-gene-0.18-mRNA-1 maker-scaffold410-augustus-gene-0.18-mRNA-1 protein AED_0.30 eAED_0.35 QI_134|0.5|0.66|1|0.25|0.11|9|48|509, Schmidtea_mediterranea_maker-scaffold410-augustus-gene-0.14-mRNA-1 maker-scaffold410-augustus-gene-0.14-mRNA-1 protein AED_0.20 eAED_0.20 QI_0|1|0.5|1|1|1|2|29|178, Schmidtea_mediterranea_maker-scaffold410-snap-gene-0.21-mRNA-1 maker-scaffold410-snap-gene-0.21-mRNA-1 protein AED_0.22 eAED_0.22 QI_0|0.37|0.33|0.44|0.62|0.55|9|0|266, Schmidtea_mediterranea_maker-scaffold26758-augustus-gene-0.10-mRNA-1 maker-scaffold26758-augustus-gene-0.10-mRNA-1 protein AED_0.03 eAED_0.03 QI_0|0.85|0.87|1|0.71|0.87|8|33|422, Schmidtea_mediterranea_maker-scaffold15992-snap-gene-0.13-mRNA-1 maker-scaffold15992-snap-gene-0.13-mRNA-1 protein AED_0.29 eAED_0.29 QI_0|0.66|0.42|0.71|0.5|0.42|7|0|308, Schmidtea_mediterranea_maker-scaffold17515-augustus-gene-0.6-mRNA-1 maker-scaffold17515-augustus-gene-0.6-mRNA-1 protein AED_0.25 eAED_0.25 QI_106|1|1|1|0.75|0.6|5|49|241, Schmidtea_mediterranea_maker-scaffold17515-augustus-gene-0.5-mRNA-1 maker-scaffold17515-augustus-gene-0.5-mRNA-1 protein AED_0.25 eAED_0.25 QI_106|1|1|1|0|0|5|31|241, Schmidtea_mediterranea_maker-scaffold16496-augustus-gene-0.5-mRNA-1 maker-scaffold16496-augustus-gene-0.5-mRNA-1 protein AED_0.00 eAED_0.00 QI_118|1|1|1|1|1|4|139|175, Schmidtea_mediterranea_maker-scaffold7819-augustus-gene-0.28-mRNA-1 maker-scaffold7819-augustus-gene-0.28-mRNA-1 protein AED_0.20 eAED_0.20 QI_47|0.42|0.62|0.62|0.85|1|8|33|424
