Orthogroup	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Cnidaria_Hydrozoa_Hydra_vulgaris
OG0000001	Trichoplax_specH2_tr_A0A369SGJ7_A0A369SGJ7_9METZ tr|A0A369SGJ7|A0A369SGJ7_9METZ Laminin subunit beta-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001775 PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_1127.g22555.t1 Sc4wPfr_1127.g22555.t1
OG0000001	Trichoplax_specH2_tr_A0A369S6H3_A0A369S6H3_9METZ tr|A0A369S6H3|A0A369S6H3_9METZ Protein sidekick-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005469 PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_132.g22677.t2 Sc4wPfr_132.g22677.t2, Hydra_vulgaris_Sc4wPfr_132.g22677.t1 Sc4wPfr_132.g22677.t1
OG0000001	Trichoplax_specH2_tr_A0A369S2W3_A0A369S2W3_9METZ tr|A0A369S2W3|A0A369S2W3_9METZ Protein sidekick-2 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_006253 PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_555.g27157.t1 Sc4wPfr_555.g27157.t1, Hydra_vulgaris_Sc4wPfr_304.2.g12749.t1 Sc4wPfr_304.2.g12749.t1
OG0000001	Trichoplax_specH2_tr_A0A369S5F0_A0A369S5F0_9METZ tr|A0A369S5F0|A0A369S5F0_9METZ Down syndrome cell adhesion molecule-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_007185 PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_435.1.g6986.t1 Sc4wPfr_435.1.g6986.t1
OG0000001	Trichoplax_specH2_tr_A0A369S3K6_A0A369S3K6_9METZ tr|A0A369S3K6|A0A369S3K6_9METZ Contactin-6 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008419 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S1P1_A0A369S1P1_9METZ tr|A0A369S1P1|A0A369S1P1_9METZ Contactin-3 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008409 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S3M7_A0A369S3M7_9METZ tr|A0A369S3M7|A0A369S3M7_9METZ Neuronal cell adhesion molecule OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008421 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S281_A0A369S281_9METZ tr|A0A369S281|A0A369S281_9METZ Contactin-3 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008418 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RRS5_A0A369RRS5_9METZ tr|A0A369RRS5|A0A369RRS5_9METZ Neuronal cell adhesion molecule OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010761 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RRR9_A0A369RRR9_9METZ tr|A0A369RRR9|A0A369RRR9_9METZ Contactin-3 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010760 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RRQ8_A0A369RRQ8_9METZ tr|A0A369RRQ8|A0A369RRQ8_9METZ Neurofascin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010757 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RTJ8_A0A369RTJ8_9METZ tr|A0A369RTJ8|A0A369RTJ8_9METZ Contactin-6 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010614 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RR42_A0A369RR42_9METZ tr|A0A369RR42|A0A369RR42_9METZ Contactin-6 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009459 PE=3 SV=1, Trichoplax_specH2_tr_A0A369RQV2_A0A369RQV2_9METZ tr|A0A369RQV2|A0A369RQV2_9METZ Neuronal cell adhesion molecule OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011090 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RWY6_A0A369RWY6_9METZ tr|A0A369RWY6|A0A369RWY6_9METZ Contactin-6 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008576 PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_27.g12214.t1 Sc4wPfr_27.g12214.t1
OG0000001	Trichoplax_specH2_tr_A0A369SBY2_A0A369SBY2_9METZ tr|A0A369SBY2|A0A369SBY2_9METZ Laminin subunit gamma-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_003028 PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_328.2.g12077.t1 Sc4wPfr_328.2.g12077.t1
OG0000004	Trichoplax_specH2_tr_A0A369RWX1_A0A369RWX1_9METZ tr|A0A369RWX1|A0A369RWX1_9METZ Protocadherin beta-13 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009019 PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_715.g30415.t1 Sc4wPfr_715.g30415.t1, Hydra_vulgaris_Sc4wPfr_715.g30416.t1 Sc4wPfr_715.g30416.t1, Hydra_vulgaris_Sc4wPfr_6.g19133.t1 Sc4wPfr_6.g19133.t1
OG0000004	Trichoplax_specH2_tr_A0A369SLV2_A0A369SLV2_9METZ tr|A0A369SLV2|A0A369SLV2_9METZ Protocadherin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001602 PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_483.g14184.t1 Sc4wPfr_483.g14184.t1, Hydra_vulgaris_Sc4wPfr_483.g14182.t1 Sc4wPfr_483.g14182.t1
OG0000004	Trichoplax_specH2_tr_A0A369RXK6_A0A369RXK6_9METZ tr|A0A369RXK6|A0A369RXK6_9METZ Protocadherin Fat 1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009009 PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_1449.g14260.t1 Sc4wPfr_1449.g14260.t1, Hydra_vulgaris_Sc4wPfr_1449.g14260.t2 Sc4wPfr_1449.g14260.t2
