Orthogroup	Cnidaria_Anthozoa_Nematostella_vectensis	Porifera_Demospongiae_Ephydatia_muelleri
OG0000000	Nematostella_vectensis_NV2t003941001.1 NV2t003941001.1, Nematostella_vectensis_NV2t022115001.1 NV2t022115001.1, Nematostella_vectensis_NV2t016067001.1 NV2t016067001.1, Nematostella_vectensis_NV2t025471001.1 NV2t025471001.1, Nematostella_vectensis_NV2t025467001.1 NV2t025467001.1, Nematostella_vectensis_NV2t025470001.1 NV2t025470001.1, Nematostella_vectensis_NV2t025464001.1 NV2t025464001.1, Nematostella_vectensis_NV2t025526001.1 NV2t025526001.1, Nematostella_vectensis_NV2t007038001.1 NV2t007038001.1, Nematostella_vectensis_NV2t019779001.1 NV2t019779001.1, Nematostella_vectensis_NV2t019779002.1 NV2t019779002.1, Nematostella_vectensis_NV2t022610001.1 NV2t022610001.1, Nematostella_vectensis_NV2t022609002.1 NV2t022609002.1, Nematostella_vectensis_NV2t022609001.1 NV2t022609001.1, Nematostella_vectensis_NV2t024484001.1 NV2t024484001.1, Nematostella_vectensis_NV2t017198001.1 NV2t017198001.1, Nematostella_vectensis_NV2t005688002.1 NV2t005688002.1, Nematostella_vectensis_NV2t005688001.1 NV2t005688001.1, Nematostella_vectensis_NV2t005687001.1 NV2t005687001.1, Nematostella_vectensis_NV2t006013001.1 NV2t006013001.1, Nematostella_vectensis_NV2t006016001.1 NV2t006016001.1, Nematostella_vectensis_NV2t006010001.1 NV2t006010001.1, Nematostella_vectensis_NV2t006015001.1 NV2t006015001.1, Nematostella_vectensis_NV2t006014001.1 NV2t006014001.1, Nematostella_vectensis_NV2t006014002.1 NV2t006014002.1, Nematostella_vectensis_NV2t017096001.1 NV2t017096001.1	Ephydatia_muelleri_Em0001g3419a Em0001g3419a, Ephydatia_muelleri_Em0001g3405a Em0001g3405a, Ephydatia_muelleri_Em0001g3413a Em0001g3413a, Ephydatia_muelleri_Em0001g3310a Em0001g3310a, Ephydatia_muelleri_Em0001g3415a Em0001g3415a, Ephydatia_muelleri_Em0001g3392a Em0001g3392a, Ephydatia_muelleri_Em0001g3535a Em0001g3535a, Ephydatia_muelleri_Em0001g3515a Em0001g3515a
OG0000001	Nematostella_vectensis_NV2t000601001.1 NV2t000601001.1	Ephydatia_muelleri_Em0006g1464a Em0006g1464a, Ephydatia_muelleri_Em0006g1452a Em0006g1452a, Ephydatia_muelleri_Em0006g1465a Em0006g1465a, Ephydatia_muelleri_Em0007g177a Em0007g177a, Ephydatia_muelleri_Em0006g1457a Em0006g1457a, Ephydatia_muelleri_Em0006g1446a Em0006g1446a, Ephydatia_muelleri_Em0006g1438a Em0006g1438a, Ephydatia_muelleri_Em0006g1439a Em0006g1439a, Ephydatia_muelleri_Em0006g1442a Em0006g1442a
OG0000001	Nematostella_vectensis_NV2t001171001.1 NV2t001171001.1	Ephydatia_muelleri_Em0009g1115a Em0009g1115a
OG0000001	Nematostella_vectensis_NV2t012582003.1 NV2t012582003.1, Nematostella_vectensis_NV2t012653001.1 NV2t012653001.1, Nematostella_vectensis_NV2t012583001.1 NV2t012583001.1, Nematostella_vectensis_NV2t023796001.1 NV2t023796001.1, Nematostella_vectensis_NV2t017702001.1 NV2t017702001.1, Nematostella_vectensis_NV2t022951001.1 NV2t022951001.1, Nematostella_vectensis_NV2t011373001.1 NV2t011373001.1, Nematostella_vectensis_NV2t011373002.1 NV2t011373002.1, Nematostella_vectensis_NV2t020188002.1 NV2t020188002.1, Nematostella_vectensis_NV2t020188001.1 NV2t020188001.1, Nematostella_vectensis_NV2t020819001.1 NV2t020819001.1, Nematostella_vectensis_NV2t019077001.1 NV2t019077001.1, Nematostella_vectensis_NV2t011946001.1 NV2t011946001.1, Nematostella_vectensis_NV2t011946002.1 NV2t011946002.1, Nematostella_vectensis_NV2t011946003.1 NV2t011946003.1, Nematostella_vectensis_NV2t011797001.1 NV2t011797001.1, Nematostella_vectensis_NV2t012753001.1 NV2t012753001.1, Nematostella_vectensis_NV2t012755001.1 NV2t012755001.1, Nematostella_vectensis_NV2t022551001.1 NV2t022551001.1, Nematostella_vectensis_NV2t016932001.1 NV2t016932001.1, Nematostella_vectensis_NV2t022950001.1 NV2t022950001.1, Nematostella_vectensis_NV2t016931001.1 NV2t016931001.1, Nematostella_vectensis_NV2t001803001.1 NV2t001803001.1, Nematostella_vectensis_NV2t001804001.1 NV2t001804001.1, Nematostella_vectensis_NV2t000600001.1 NV2t000600001.1	Ephydatia_muelleri_Em0015g115a Em0015g115a, Ephydatia_muelleri_Em0015g114a Em0015g114a, Ephydatia_muelleri_Em0015g113a Em0015g113a
OG0000001	Nematostella_vectensis_NV2t011900001.1 NV2t011900001.1, Nematostella_vectensis_NV2t000599002.1 NV2t000599002.1, Nematostella_vectensis_NV2t000599001.1 NV2t000599001.1	Ephydatia_muelleri_Em0021g358a Em0021g358a, Ephydatia_muelleri_Em0021g361a Em0021g361a, Ephydatia_muelleri_Em0003g1623a Em0003g1623a, Ephydatia_muelleri_Em0003g1616a Em0003g1616a, Ephydatia_muelleri_Em0003g1628a Em0003g1628a, Ephydatia_muelleri_Em0011g443a Em0011g443a
OG0000001	Nematostella_vectensis_NV2t011962001.1 NV2t011962001.1	Ephydatia_muelleri_Em0018g288a Em0018g288a
OG0000001	Nematostella_vectensis_NV2t020013001.1 NV2t020013001.1, Nematostella_vectensis_NV2t020013002.1 NV2t020013002.1, Nematostella_vectensis_NV2t020014001.1 NV2t020014001.1	Ephydatia_muelleri_Em0019g102a Em0019g102a
OG0000001	Nematostella_vectensis_NV2t000360001.1 NV2t000360001.1	Ephydatia_muelleri_Em0005g585a Em0005g585a, Ephydatia_muelleri_Em0005g584a Em0005g584a
OG0000001	Nematostella_vectensis_NV2t024496001.1 NV2t024496001.1, Nematostella_vectensis_NV2t024496003.1 NV2t024496003.1, Nematostella_vectensis_NV2t024496004.1 NV2t024496004.1	Ephydatia_muelleri_Em0016g530a Em0016g530a
OG0000002	Nematostella_vectensis_NV2t017239001.1 NV2t017239001.1	Ephydatia_muelleri_Em0019g573a Em0019g573a, Ephydatia_muelleri_Em0019g563a Em0019g563a, Ephydatia_muelleri_Em0019g588a Em0019g588a, Ephydatia_muelleri_Em0007g817a Em0007g817a
