Orthogroup	Porifera_Demospongiae_Amphimedon_queenslandica	Chordata_Vertebrata_Bos_taurus
OG0000000	Amphimedon_queenslandica_tr_A0A1X7VG26_A0A1X7VG26_AMPQE tr_A0A1X7VG26_A0A1X7VG26_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100632699 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TP62_A0A1X7TP62_AMPQE tr_A0A1X7TP62_A0A1X7TP62_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TKD1_A0A1X7TKD1_AMPQE tr_A0A1X7TKD1_A0A1X7TKD1_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7THB2_A0A1X7THB2_AMPQE tr_A0A1X7THB2_A0A1X7THB2_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T7C3_A0A1X7T7C3_AMPQE tr_A0A1X7T7C3_A0A1X7T7C3_AMPQE Angiopoietin-related protein 4 OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UD48_A0A1X7UD48_AMPQE tr_A0A1X7UD48_A0A1X7UD48_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TEL1_A0A1X7TEL1_AMPQE tr_A0A1X7TEL1_A0A1X7TEL1_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UMX4_A0A1X7UMX4_AMPQE tr_A0A1X7UMX4_A0A1X7UMX4_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TQB3_A0A1X7TQB3_AMPQE tr_A0A1X7TQB3_A0A1X7TQB3_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7STG5_A0A1X7STG5_AMPQE tr_A0A1X7STG5_A0A1X7STG5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SKS1_A0A1X7SKS1_AMPQE tr_A0A1X7SKS1_A0A1X7SKS1_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	XP_005210603.1 tenascin isoform X1 [Bos taurus], XP_010811641.2 tenascin-N isoform X1 [Bos taurus]
OG0000000	Amphimedon_queenslandica_tr_A0A1X7ULD6_A0A1X7ULD6_AMPQE tr_A0A1X7ULD6_A0A1X7ULD6_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105313195 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UNX5_A0A1X7UNX5_AMPQE tr_A0A1X7UNX5_A0A1X7UNX5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VAP0_A0A1X7VAP0_AMPQE tr_A0A1X7VAP0_A0A1X7VAP0_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100637828 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UEI3_A0A1X7UEI3_AMPQE tr_A0A1X7UEI3_A0A1X7UEI3_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TEI7_A0A1X7TEI7_AMPQE tr_A0A1X7TEI7_A0A1X7TEI7_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SPQ0_A0A1X7SPQ0_AMPQE tr_A0A1X7SPQ0_A0A1X7SPQ0_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TF91_A0A1X7TF91_AMPQE tr_A0A1X7TF91_A0A1X7TF91_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UXI6_A0A1X7UXI6_AMPQE tr_A0A1X7UXI6_A0A1X7UXI6_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UYQ5_A0A1X7UYQ5_AMPQE tr_A0A1X7UYQ5_A0A1X7UYQ5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100632538 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TTH3_A0A1X7TTH3_AMPQE tr_A0A1X7TTH3_A0A1X7TTH3_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TT50_A0A1X7TT50_AMPQE tr_A0A1X7TT50_A0A1X7TT50_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100639626 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U6Q1_A0A1X7U6Q1_AMPQE tr_A0A1X7U6Q1_A0A1X7U6Q1_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U6Q6_A0A1X7U6Q6_AMPQE tr_A0A1X7U6Q6_A0A1X7U6Q6_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T854_A0A1X7T854_AMPQE tr_A0A1X7T854_A0A1X7T854_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100637814 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U6G7_A0A1X7U6G7_AMPQE tr_A0A1X7U6G7_A0A1X7U6G7_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105313870 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TRL5_A0A1X7TRL5_AMPQE tr_A0A1X7TRL5_A0A1X7TRL5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100634289 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U772_A0A1X7U772_AMPQE tr_A0A1X7U772_A0A1X7U772_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105313869 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TNT2_A0A1X7TNT2_AMPQE tr_A0A1X7TNT2_A0A1X7TNT2_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100639582 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7STA5_A0A1X7STA5_AMPQE tr_A0A1X7STA5_A0A1X7STA5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TF57_A0A1X7TF57_AMPQE tr_A0A1X7TF57_A0A1X7TF57_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100633103 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T456_A0A1X7T456_AMPQE tr_A0A1X7T456_A0A1X7T456_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U0N8_A0A1X7U0N8_AMPQE tr_A0A1X7U0N8_A0A1X7U0N8_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105314125 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U0C2_A0A1X7U0C2_AMPQE tr_A0A1X7U0C2_A0A1X7U0C2_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TP65_A0A1X7TP65_AMPQE tr_A0A1X7TP65_A0A1X7TP65_AMPQE Arpin OS=Amphimedon queenslandica OX=400682 PE=3 SV=1, Amphimedon_queenslandica_tr_A0A1X7U606_A0A1X7U606_AMPQE tr_A0A1X7U606_A0A1X7U606_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T8J7_A0A1X7T8J7_AMPQE tr_A0A1X7T8J7_A0A1X7T8J7_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	XP_005213566.1 ficolin-2 isoform X2 [Bos taurus], XP_024834735.2 LOW QUALITY PROTEIN_ ficolin-3 [Bos taurus]
OG0000000	Amphimedon_queenslandica_tr_A0A1X7UEG4_A0A1X7UEG4_AMPQE tr_A0A1X7UEG4_A0A1X7UEG4_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VPP5_A0A1X7VPP5_AMPQE tr_A0A1X7VPP5_A0A1X7VPP5_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TEX2_A0A1X7TEX2_AMPQE tr_A0A1X7TEX2_A0A1X7TEX2_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TFJ4_A0A1X7TFJ4_AMPQE tr_A0A1X7TFJ4_A0A1X7TFJ4_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TFU9_A0A1X7TFU9_AMPQE tr_A0A1X7TFU9_A0A1X7TFU9_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	sp|Q24K15.1|ANGP4_BOVIN RecName_ Full=Angiopoietin-4; Short=ANG-4; Flags_ Precursor, sp|O77802.3|ANGP2_BOVIN RecName_ Full=Angiopoietin-2; Short=ANG-2; Flags_ Precursor, XP_059749109.1 angiopoietin-1 isoform X1 [Bos taurus]
OG0000000	Amphimedon_queenslandica_tr_A0A1X7VK27_A0A1X7VK27_AMPQE tr_A0A1X7VK27_A0A1X7VK27_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100632192 PE=4 SV=1	sp|Q29RY7.1|FGL2_BOVIN RecName_ Full=Fibroleukin; AltName_ Full=Fibrinogen-like protein 2; Flags_ Precursor
OG0000001	Amphimedon_queenslandica_tr_A0A1X7UHN7_A0A1X7UHN7_AMPQE tr_A0A1X7UHN7_A0A1X7UHN7_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100638010 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VW10_A0A1X7VW10_AMPQE tr_A0A1X7VW10_A0A1X7VW10_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=109582339 PE=4 SV=1	XP_059731805.1 laminin subunit gamma-2 isoform X1 [Bos taurus]
OG0000001	Amphimedon_queenslandica_tr_A0A1X7VTD0_A0A1X7VTD0_AMPQE tr_A0A1X7VTD0_A0A1X7VTD0_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=105314164 PE=4 SV=1	XP_010803496.1 netrin-4 isoform X2 [Bos taurus], XP_059731406.1 laminin subunit beta-3 isoform X1 [Bos taurus], NP_001039712.2 laminin subunit beta-2 precursor [Bos taurus], DAA30633.1 TPA_ laminin_ beta 1 [Bos taurus]
OG0000001	Amphimedon_queenslandica_tr_A0A1X7V889_A0A1X7V889_AMPQE tr_A0A1X7V889_A0A1X7V889_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor, sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor, sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor, sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor, sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor, sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor, XP_059734749.1 leukemia inhibitory factor receptor isoform X1 [Bos taurus]
OG0000001	Amphimedon_queenslandica_tr_A0A1X7VB47_A0A1X7VB47_AMPQE tr_A0A1X7VB47_A0A1X7VB47_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=105312030 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SI38_A0A1X7SI38_AMPQE tr_A0A1X7SI38_A0A1X7SI38_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	NP_001193801.1 netrin-5 precursor [Bos taurus]
OG0000001	Amphimedon_queenslandica_tr_A0A1X7SK21_A0A1X7SK21_AMPQE tr_A0A1X7SK21_A0A1X7SK21_AMPQE Laminin EGF-like domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	XP_059747260.1 netrin-G2 isoform X1 [Bos taurus], XP_059740913.1 netrin-G1 isoform X1 [Bos taurus], NP_001193834.1 netrin-3 precursor [Bos taurus], NP_001179495.1 netrin-1 precursor [Bos taurus], DAA24206.1 TPA_ laminin_ gamma 3-like [Bos taurus], NP_001193746.1 laminin subunit gamma-1 precursor [Bos taurus]
OG0000002	Amphimedon_queenslandica_tr_A0A1X7V5N9_A0A1X7V5N9_AMPQE tr_A0A1X7V5N9_A0A1X7V5N9_AMPQE Sema domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105312297 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7V831_A0A1X7V831_AMPQE tr_A0A1X7V831_A0A1X7V831_AMPQE Sema domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U8W1_A0A1X7U8W1_AMPQE tr_A0A1X7U8W1_A0A1X7U8W1_AMPQE Sema domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	XP_059736229.1 von Willebrand factor A domain-containing protein 7 isoform X1 [Bos taurus]
