Orthogroup	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Anthozoa_Porites_asteroides
OG0000000	Clytia_hemispherica_TCONS_00022085-protein TCONS_00022085-protein	Porites_asteroides_isotig24972 isotig24972 extracted_CDS GOMatch=A7RSP0 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Sialic_acid-binding_lectin_2_ Match_Acc=O76334 gene=isogroup23240 length=334 numContigs=1, Porites_asteroides_isotig19617 isotig19617 extracted_CDS GOMatch=C3Z9N5 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Tenascin-R_ Match_Acc=Q00546 gene=isogroup17885 length=400 numContigs=1
OG0000000	Clytia_hemispherica_TCONS_00037021-protein TCONS_00037021-protein, Clytia_hemispherica_TCONS_00032471-protein TCONS_00032471-protein	Porites_asteroides_GCKDGN102EK4EI GCKDGN102EK4EI extracted_CDS GOMatch=C3Z9N5 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Carcinolectin5b-7_ Match_Acc=A9X700 length=462 region=2 run=R_2010_02_19_08_49_25_ xy=1763_2808, Porites_asteroides_isotig21537 isotig21537 extracted_CDS GOMatch=A7SLX6 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Techylectin-5B_ Match_Acc=Q9U8W7 gene=isogroup19805 length=373 numContigs=1, Porites_asteroides_isotig01945 isotig01945 extracted_CDS GOMatch=A7SLX6 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Carcinolectin5b-5_ Match_Acc=A9X6Z8 gene=isogroup00805 length=548 numContigs=2
OG0000001	Clytia_hemispherica_TCONS_00049800-protein TCONS_00049800-protein	Porites_asteroides_isotig12620 isotig12620 extracted_CDS GOMatch=C3ZAH4 GOTerms=GO_0004872 Gene=Laminin__beta_2_ Match_Acc=Q8R0Y0 gene=isogroup10888 length=554 numContigs=1
OG0000001	Clytia_hemispherica_TCONS_00002943-protein TCONS_00002943-protein, Clytia_hemispherica_TCONS_00011288-protein TCONS_00011288-protein, Clytia_hemispherica_TCONS_00068399-protein TCONS_00068399-protein	Porites_asteroides_isotig07204 isotig07204 extracted_CDS GOMatch=B7Q1Z8 GOTerms=GO_0016740_GO_0050254 Gene=Down_syndrome_cell_adhesion_molecule-like_protein__Fragment__ Match_Acc=Q8R4B1 gene=isogroup05472 length=837 numContigs=1, Porites_asteroides_isotig04719 isotig04719 extracted_CDS Gene=Camel_ Match_Acc=C6ESH0 gene=isogroup02987 length=1200 numContigs=1
OG0000001	Clytia_hemispherica_TCONS_00067647-protein TCONS_00067647-protein	Porites_asteroides_isotig03262 isotig03262 extracted_CDS GOMatch=Q3S3D7 GOTerms=GO_0016021 Gene=NEO1_protein_ Match_Acc=B7ZKN0 gene=isogroup01530 length=2269 numContigs=1
OG0000001	Clytia_hemispherica_TCONS_00018494-protein TCONS_00018494-protein, Clytia_hemispherica_TCONS_00018496-protein TCONS_00018496-protein	Porites_asteroides_isotig18438 isotig18438 extracted_CDS GOMatch=D2HSQ6 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Dscam_family_member_AbsCAM-Ig7A_ Match_Acc=Q1T6Y3 gene=isogroup16706 length=415 numContigs=1
OG0000001	Clytia_hemispherica_TCONS_00062616-protein TCONS_00062616-protein	Porites_asteroides_isotig10906 isotig10906 extracted_CDS Gene=Contactin-3_ Match_Acc=Q9P232 gene=isogroup09174 length=628 numContigs=1
OG0000001	Clytia_hemispherica_TCONS_00020139-protein TCONS_00020139-protein, Clytia_hemispherica_TCONS_00072631-protein TCONS_00072631-protein	Porites_asteroides_isotig05454 isotig05454 extracted_CDS GOMatch=A7RNP0 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Receptor_tyrosine_phosphatase_type_r2a__putative_ Match_Acc=B7Q2Q7 gene=isogroup03722 length=1059 numContigs=1, Porites_asteroides_isotig03686 isotig03686 extracted_CDS GOMatch=C3Y2L2 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Receptor-type_tyrosine-protein_phosphatase_F_ Match_Acc=A4IFW2 gene=isogroup01954 length=1596 numContigs=1
OG0000001	Clytia_hemispherica_TCONS_00027713-protein TCONS_00027713-protein	Porites_asteroides_GCKDGN101BOTBW GCKDGN101BOTBW extracted_CDS GOMatch=C3YQU6 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Phosphotidylinositol_phosphatase_PTPRQ_ Match_Acc=P0C5E4 length=511 region=1 run=R_2010_02_19_08_49_25_ xy=0575_2282, Porites_asteroides_isotig17724 isotig17724 extracted_CDS GOMatch=A7RNP0 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Down_syndrome_cell_adhesion_molecule_ Match_Acc=Q17F85 gene=isogroup15992 length=428 numContigs=1, Porites_asteroides_isotig16782 isotig16782 extracted_CDS GOMatch=C3YQU6 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Receptor_protein_tyrosine_phosphatase_LAR_ Match_Acc=Q9IAJ0 gene=isogroup15050 length=444 numContigs=1
OG0000001	Clytia_hemispherica_TCONS_00033925-protein TCONS_00033925-protein	Porites_asteroides_isotig07530 isotig07530 extracted_CDS GOMatch=C3Y2L2 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Receptor_protein_tyrosine_phosphatase__putative__Fragment__ Match_Acc=B7PAS3 gene=isogroup05798 length=806 numContigs=1
