Orthogroup	Ctenophora_Tentaculata_Pleurobrachia_bachei	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000001	Pleurobrachia_bachei_sb_2652422_ sb_2652422_	Clytia_hemispherica_TCONS_00049799-protein TCONS_00049799-protein
OG0000001	Pleurobrachia_bachei_sb_2644342_ sb_2644342_, Pleurobrachia_bachei_sb_2646740_ sb_2646740_	Clytia_hemispherica_TCONS_00033925-protein TCONS_00033925-protein
OG0000001	Pleurobrachia_bachei_sb_2656958_ sb_2656958_, Pleurobrachia_bachei_sb_2651191_ sb_2651191_	Clytia_hemispherica_TCONS_00067350-protein TCONS_00067350-protein
OG0000001	Pleurobrachia_bachei_sb_2640766_ sb_2640766_	Clytia_hemispherica_TCONS_00004794-protein TCONS_00004794-protein
OG0000002	Pleurobrachia_bachei_sb_2639676_ sb_2639676_, Pleurobrachia_bachei_sb_2650520_ sb_2650520_, Pleurobrachia_bachei_sb_2643421_ sb_2643421_	Clytia_hemispherica_TCONS_00027170-protein TCONS_00027170-protein
OG0000002	Pleurobrachia_bachei_sb_2656797_ sb_2656797_, Pleurobrachia_bachei_sb_2657716_ sb_2657716_, Pleurobrachia_bachei_sb_2656175_ sb_2656175_, Pleurobrachia_bachei_sb_2666978_ sb_2666978_, Pleurobrachia_bachei_sb_2657496_ sb_2657496_	Clytia_hemispherica_TCONS_00019320-protein TCONS_00019320-protein, Clytia_hemispherica_TCONS_00011479-protein TCONS_00011479-protein, Clytia_hemispherica_TCONS_00057330-protein TCONS_00057330-protein, Clytia_hemispherica_TCONS_00016953-protein TCONS_00016953-protein
OG0000002	Pleurobrachia_bachei_sb_2659350_ sb_2659350_	Clytia_hemispherica_TCONS_00016956-protein TCONS_00016956-protein
OG0000002	Pleurobrachia_bachei_sb_2638781_ sb_2638781_	Clytia_hemispherica_TCONS_00054324-protein TCONS_00054324-protein
OG0000002	Pleurobrachia_bachei_sb_2662616_ sb_2662616_	Clytia_hemispherica_TCONS_00062091-protein TCONS_00062091-protein
OG0000002	Pleurobrachia_bachei_sb_2639240_ sb_2639240_	Clytia_hemispherica_TCONS_00011304-protein TCONS_00011304-protein
OG0000002	Pleurobrachia_bachei_sb_2641978_ sb_2641978_, Pleurobrachia_bachei_sb_2638179_ sb_2638179_	Clytia_hemispherica_TCONS_00032821-protein TCONS_00032821-protein, Clytia_hemispherica_TCONS_00054066-protein TCONS_00054066-protein
OG0000003	Pleurobrachia_bachei_sb_2646835_ sb_2646835_	Clytia_hemispherica_TCONS_00063447-protein TCONS_00063447-protein, Clytia_hemispherica_TCONS_00021701-protein TCONS_00021701-protein
OG0000003	Pleurobrachia_bachei_sb_2660103_ sb_2660103_, Pleurobrachia_bachei_sb_2661433_ sb_2661433_, Pleurobrachia_bachei_sb_2643938_ sb_2643938_	Clytia_hemispherica_TCONS_00059665-protein TCONS_00059665-protein
OG0000003	Pleurobrachia_bachei_sb_2654447_ sb_2654447_, Pleurobrachia_bachei_sb_2646239_ sb_2646239_, Pleurobrachia_bachei_sb_2662112_ sb_2662112_	Clytia_hemispherica_TCONS_00053094-protein TCONS_00053094-protein, Clytia_hemispherica_TCONS_00046080-protein TCONS_00046080-protein, Clytia_hemispherica_TCONS_00065030-protein TCONS_00065030-protein
