Orthogroup	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Other
OG0000006	Mnemiopsis_leidyi_ML01677a ML01677a, Mnemiopsis_leidyi_ML07913a ML07913a	Porites_asteroides_isotig26062 isotig26062 extracted_CDS GOMatch=C3YF03 GOTerms=GO_0005488 gene=isogroup24330 length=316 numContigs=1
OG0000021	Mnemiopsis_leidyi_ML082718a ML082718a	Branchiostoma_belcheri_tr_A0A6P4Y624_A0A6P4Y624_BRABE tr|A0A6P4Y624|A0A6P4Y624_BRABE Uncharacterized protein LOC109462101 OS=Branchiostoma belcheri OX=7741 GN=LOC109462101 PE=4 SV=1
OG0000021	Mnemiopsis_leidyi_ML082718a ML082718a	Branchiostoma_lanceolatum_tr_A0A8S4MN64_A0A8S4MN64_BRALA tr|A0A8S4MN64|A0A8S4MN64_BRALA Hypp9532 protein OS=Branchiostoma lanceolatum OX=7740 GN=Hypp9532 PE=4 SV=1
OG0000053	Mnemiopsis_leidyi_ML11053a ML11053a	Stylophora_pistillata_Spis17904 Spis17904 SpisGene17904, Stylophora_pistillata_Spis16422 Spis16422 SpisGene16422
OG0000070	Mnemiopsis_leidyi_ML02361a ML02361a	Branchiostoma_floridae_tr_A0A9J7HJT8_A0A9J7HJT8_BRAFL tr|A0A9J7HJT8|A0A9J7HJT8_BRAFL Myosin light chain kinase_ smooth muscle-like OS=Branchiostoma floridae OX=7739 GN=LOC118405515 PE=4 SV=1
OG0000081	Mnemiopsis_leidyi_ML056914a ML056914a	Branchiostoma_lanceolatum_tr_A0A8J9ZG70_A0A8J9ZG70_BRALA tr|A0A8J9ZG70|A0A8J9ZG70_BRALA FBN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN1 PE=4 SV=1
OG0000081	Mnemiopsis_leidyi_ML056914a ML056914a	Branchiostoma_belcheri_tr_A0A6P4Z330_A0A6P4Z330_BRABE tr|A0A6P4Z330|A0A6P4Z330_BRABE Signal peptide_ CUB and EGF-like domain-containing protein 2 OS=Branchiostoma belcheri OX=7741 GN=LOC109472919 PE=4 SV=1
OG0000103	Mnemiopsis_leidyi_ML14703a ML14703a	Nematostella_vectensis_NV2t024079005.1 NV2t024079005.1, Nematostella_vectensis_NV2t024079003.1 NV2t024079003.1, Nematostella_vectensis_NV2t024079006.1 NV2t024079006.1
OG0000165	Mnemiopsis_leidyi_ML40868a ML40868a	Stylophora_pistillata_Spis19394 Spis19394 SpisGene19394
OG0000193	Mnemiopsis_leidyi_ML03269a ML03269a	Calvadosia_cruxmelitensis_Ccrux.Trinity.15279 Ccrux.Trinity.15279
OG0000194	Mnemiopsis_leidyi_ML16565a ML16565a	Acropora_digitifera_adi_v1.23856 adi_v1.23856
