Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Ctenophora_Nuda_Beroe_ovata
OG0000000	Stylophora_pistillata_Spis17174 Spis17174 SpisGene17174	Beroe_ovata_Bova1_4.0362.g6.t1 Bova1_4.0362.g6.t1
OG0000001	Stylophora_pistillata_Spis17368 Spis17368 SpisGene17368	Beroe_ovata_Bova1_4.0204.g2.t1 Bova1_4.0204.g2.t1
OG0000001	Stylophora_pistillata_Spis18087 Spis18087 SpisGene18087	Beroe_ovata_Bova1_4.0014.g131.t1 Bova1_4.0014.g131.t1
OG0000001	Stylophora_pistillata_Spis3304 Spis3304 SpisGene3304, Stylophora_pistillata_Spis315 Spis315 SpisGene315	Beroe_ovata_Bova1_4.0005.g58.t1 Bova1_4.0005.g58.t1
OG0000001	Stylophora_pistillata_Spis22126 Spis22126 SpisGene22126	Beroe_ovata_Bova1_4.0158.g1.t2 Bova1_4.0158.g1.t2, Beroe_ovata_Bova1_4.0158.g1.t1 Bova1_4.0158.g1.t1, Beroe_ovata_Bova1_4.0469.g2.t2 Bova1_4.0469.g2.t2, Beroe_ovata_Bova1_4.0469.g2.t1 Bova1_4.0469.g2.t1
OG0000001	Stylophora_pistillata_Spis645.t2 Spis645.t2 SpisGene645, Stylophora_pistillata_Spis598 Spis598 SpisGene598	Beroe_ovata_Bova1_4.0013.g38.t1 Bova1_4.0013.g38.t1
OG0000002	Stylophora_pistillata_Spis16237 Spis16237 SpisGene16237	Beroe_ovata_Bova1_4.0017.g28.t1 Bova1_4.0017.g28.t1, Beroe_ovata_Bova1_4.0017.g27.t1 Bova1_4.0017.g27.t1
OG0000002	Stylophora_pistillata_Spis3382 Spis3382 SpisGene3382, Stylophora_pistillata_Spis10996 Spis10996 SpisGene10996, Stylophora_pistillata_Spis19048 Spis19048 SpisGene19048	Beroe_ovata_Bova1_4.0019.g34.t1 Bova1_4.0019.g34.t1, Beroe_ovata_Bova1_4.0105.g2.t1 Bova1_4.0105.g2.t1, Beroe_ovata_Bova1_4.0092.g42.t1 Bova1_4.0092.g42.t1
OG0000002	Stylophora_pistillata_Spis16680 Spis16680 SpisGene16680	Beroe_ovata_Bova1_4.0116.g21.t1 Bova1_4.0116.g21.t1
OG0000002	Stylophora_pistillata_Spis12792 Spis12792 SpisGene12792	Beroe_ovata_Bova1_4.0176.g1.t1 Bova1_4.0176.g1.t1, Beroe_ovata_Bova1_4.2215.g1.t1 Bova1_4.2215.g1.t1
OG0000003	Stylophora_pistillata_Spis23171 Spis23171 SpisGene23171	Beroe_ovata_Bova1_4.0188.g3.t1 Bova1_4.0188.g3.t1, Beroe_ovata_Bova1_4.0188.g5.t1 Bova1_4.0188.g5.t1
OG0000003	Stylophora_pistillata_Spis6710 Spis6710 SpisGene6710	Beroe_ovata_Bova1_4.0033.g69.t1 Bova1_4.0033.g69.t1
