Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Nematoda_Chromadorea_Caenorhabditis_elegans
OG0000000	Acropora_digitifera_adi_v1.14253 adi_v1.14253, Acropora_digitifera_adi_v1.08651 adi_v1.08651, Acropora_digitifera_adi_v1.00456 adi_v1.00456, Acropora_digitifera_adi_v1.08650 adi_v1.08650, Acropora_digitifera_adi_v1.14251 adi_v1.14251, Acropora_digitifera_adi_v1.00454 adi_v1.00454, Acropora_digitifera_adi_v1.00455 adi_v1.00455, Acropora_digitifera_adi_v1.21001 adi_v1.21001, Acropora_digitifera_adi_v1.08649 adi_v1.08649, Acropora_digitifera_adi_v1.14254 adi_v1.14254, Acropora_digitifera_adi_v1.08974 adi_v1.08974, Acropora_digitifera_adi_v1.17747 adi_v1.17747, Acropora_digitifera_adi_v1.10971 adi_v1.10971, Acropora_digitifera_adi_v1.03089 adi_v1.03089, Acropora_digitifera_adi_v1.18895 adi_v1.18895, Acropora_digitifera_adi_v1.22096 adi_v1.22096, Acropora_digitifera_adi_v1.18297 adi_v1.18297, Acropora_digitifera_adi_v1.24356 adi_v1.24356, Acropora_digitifera_adi_v1.20123 adi_v1.20123, Acropora_digitifera_adi_v1.13695 adi_v1.13695, Acropora_digitifera_adi_v1.15148 adi_v1.15148, Acropora_digitifera_adi_v1.13912 adi_v1.13912, Acropora_digitifera_adi_v1.20223 adi_v1.20223, Acropora_digitifera_adi_v1.00941 adi_v1.00941, Acropora_digitifera_adi_v1.19827 adi_v1.19827, Acropora_digitifera_adi_v1.05260 adi_v1.05260, Acropora_digitifera_adi_v1.14266 adi_v1.14266, Acropora_digitifera_adi_v1.11270 adi_v1.11270, Acropora_digitifera_adi_v1.14265 adi_v1.14265	Caenorhabditis_elegans_D1009.3b D1009.3b
OG0000001	Acropora_digitifera_adi_v1.20924 adi_v1.20924, Acropora_digitifera_adi_v1.22909 adi_v1.22909, Acropora_digitifera_adi_v1.17200 adi_v1.17200, Acropora_digitifera_adi_v1.22911 adi_v1.22911	Caenorhabditis_elegans_K07E12.1 K07E12.1
OG0000001	Acropora_digitifera_adi_v1.01960 adi_v1.01960	Caenorhabditis_elegans_F41C6.1 F41C6.1
OG0000001	Acropora_digitifera_adi_v1.06175 adi_v1.06175	Caenorhabditis_elegans_C54D1.5 C54D1.5
OG0000001	Acropora_digitifera_adi_v1.19391 adi_v1.19391, Acropora_digitifera_adi_v1.06434 adi_v1.06434	Caenorhabditis_elegans_T22A3.8 T22A3.8
OG0000002	Acropora_digitifera_adi_v1.10800 adi_v1.10800	Caenorhabditis_elegans_Y71G12B.20d Y71G12B.20d, Caenorhabditis_elegans_Y54E5B.1c Y54E5B.1c
OG0000003	Acropora_digitifera_adi_v1.06053 adi_v1.06053, Acropora_digitifera_adi_v1.10205 adi_v1.10205, Acropora_digitifera_adi_v1.16681 adi_v1.16681, Acropora_digitifera_adi_v1.01604 adi_v1.01604, Acropora_digitifera_adi_v1.15378 adi_v1.15378, Acropora_digitifera_adi_v1.19802 adi_v1.19802, Acropora_digitifera_adi_v1.24403 adi_v1.24403, Acropora_digitifera_adi_v1.07446 adi_v1.07446, Acropora_digitifera_adi_v1.23858 adi_v1.23858, Acropora_digitifera_adi_v1.17681 adi_v1.17681, Acropora_digitifera_adi_v1.12298 adi_v1.12298, Acropora_digitifera_adi_v1.02332 adi_v1.02332	Caenorhabditis_elegans_K02F3.5 K02F3.5
OG0000003	Acropora_digitifera_adi_v1.03583 adi_v1.03583, Acropora_digitifera_adi_v1.14330 adi_v1.14330, Acropora_digitifera_adi_v1.15432 adi_v1.15432, Acropora_digitifera_adi_v1.15433 adi_v1.15433, Acropora_digitifera_adi_v1.03585 adi_v1.03585, Acropora_digitifera_adi_v1.13721 adi_v1.13721, Acropora_digitifera_adi_v1.02565 adi_v1.02565, Acropora_digitifera_adi_v1.04620 adi_v1.04620, Acropora_digitifera_adi_v1.15479 adi_v1.15479, Acropora_digitifera_adi_v1.17665 adi_v1.17665, Acropora_digitifera_adi_v1.18386 adi_v1.18386, Acropora_digitifera_adi_v1.17664 adi_v1.17664, Acropora_digitifera_adi_v1.09977 adi_v1.09977, Acropora_digitifera_adi_v1.08376 adi_v1.08376, Acropora_digitifera_adi_v1.09840 adi_v1.09840, Acropora_digitifera_adi_v1.08075 adi_v1.08075, Acropora_digitifera_adi_v1.07831 adi_v1.07831, Acropora_digitifera_adi_v1.06761 adi_v1.06761, Acropora_digitifera_adi_v1.20323 adi_v1.20323, Acropora_digitifera_adi_v1.08076 adi_v1.08076, Acropora_digitifera_adi_v1.08077 adi_v1.08077, Acropora_digitifera_adi_v1.10868 adi_v1.10868, Acropora_digitifera_adi_v1.01273 adi_v1.01273	Caenorhabditis_elegans_F25B4.9 F25B4.9
OG0000003	Acropora_digitifera_adi_v1.12238 adi_v1.12238, Acropora_digitifera_adi_v1.14510 adi_v1.14510, Acropora_digitifera_adi_v1.21433 adi_v1.21433, Acropora_digitifera_adi_v1.20004 adi_v1.20004	Caenorhabditis_elegans_Y48E1B.9b Y48E1B.9b, Caenorhabditis_elegans_Y48E1B.16 Y48E1B.16
OG0000003	Acropora_digitifera_adi_v1.18239 adi_v1.18239	Caenorhabditis_elegans_C07A9.1 C07A9.1
OG0000004	Acropora_digitifera_adi_v1.24482 adi_v1.24482	Caenorhabditis_elegans_Y37B11A.1b Y37B11A.1b, Caenorhabditis_elegans_M142.2 M142.2, Caenorhabditis_elegans_C16E9.1 C16E9.1, Caenorhabditis_elegans_C18H7.1c C18H7.1c
