Orthogroup	Porifera_Demospongiae_Amphimedon_queenslandica	Cnidaria_Scyphozoa_Aurelia_aurita
OG0000000	Amphimedon_queenslandica_tr_A0A1X7TP62_A0A1X7TP62_AMPQE tr_A0A1X7TP62_A0A1X7TP62_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Aurelia_aurita_Seg1515.1 Seg1515.1 transcript_id=Seg1515.1_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg1515.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1515.2 Seg1515.2 transcript_id=Seg1515.2_GoldUCD_mRNA.D3Y31 product=Ryncolin-4 protein_id=Seg1515.2_GoldUCD_D3Y31, Aurelia_aurita_Seg144.2 Seg144.2 transcript_id=Seg144.2_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg144.2_GoldUCD_D3Y31, Aurelia_aurita_Seg451.5 Seg451.5 transcript_id=Seg451.5_GoldUCD_mRNA.D3Y31 product=Ryncolin-3 protein_id=Seg451.5_GoldUCD_D3Y31, Aurelia_aurita_Seg2318.1 Seg2318.1 transcript_id=Seg2318.1_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2318.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2243.3 Seg2243.3 transcript_id=Seg2243.3_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2243.3_GoldUCD_D3Y31, Aurelia_aurita_Seg4227.2 Seg4227.2 transcript_id=Seg4227.2_GoldUCD_mRNA.D3Y31 product=Ficolin-3 protein_id=Seg4227.2_GoldUCD_D3Y31, Aurelia_aurita_Seg983.3 Seg983.3 transcript_id=Seg983.3_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg983.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1964.7 Seg1964.7 transcript_id=Seg1964.7_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1964.7_GoldUCD_D3Y31, Aurelia_aurita_Seg349.4 Seg349.4 transcript_id=Seg349.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg349.4_GoldUCD_D3Y31
OG0000000	Amphimedon_queenslandica_tr_A0A1X7ULD6_A0A1X7ULD6_AMPQE tr_A0A1X7ULD6_A0A1X7ULD6_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105313195 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UNX5_A0A1X7UNX5_AMPQE tr_A0A1X7UNX5_A0A1X7UNX5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VAP0_A0A1X7VAP0_AMPQE tr_A0A1X7VAP0_A0A1X7VAP0_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100637828 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UEI3_A0A1X7UEI3_AMPQE tr_A0A1X7UEI3_A0A1X7UEI3_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TEI7_A0A1X7TEI7_AMPQE tr_A0A1X7TEI7_A0A1X7TEI7_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SPQ0_A0A1X7SPQ0_AMPQE tr_A0A1X7SPQ0_A0A1X7SPQ0_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TF91_A0A1X7TF91_AMPQE tr_A0A1X7TF91_A0A1X7TF91_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UXI6_A0A1X7UXI6_AMPQE tr_A0A1X7UXI6_A0A1X7UXI6_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UYQ5_A0A1X7UYQ5_AMPQE tr_A0A1X7UYQ5_A0A1X7UYQ5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100632538 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TTH3_A0A1X7TTH3_AMPQE tr_A0A1X7TTH3_A0A1X7TTH3_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TT50_A0A1X7TT50_AMPQE tr_A0A1X7TT50_A0A1X7TT50_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100639626 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U6Q1_A0A1X7U6Q1_AMPQE tr_A0A1X7U6Q1_A0A1X7U6Q1_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U6Q6_A0A1X7U6Q6_AMPQE tr_A0A1X7U6Q6_A0A1X7U6Q6_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T854_A0A1X7T854_AMPQE tr_A0A1X7T854_A0A1X7T854_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100637814 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U6G7_A0A1X7U6G7_AMPQE tr_A0A1X7U6G7_A0A1X7U6G7_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105313870 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TRL5_A0A1X7TRL5_AMPQE tr_A0A1X7TRL5_A0A1X7TRL5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100634289 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U772_A0A1X7U772_AMPQE tr_A0A1X7U772_A0A1X7U772_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105313869 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TNT2_A0A1X7TNT2_AMPQE tr_A0A1X7TNT2_A0A1X7TNT2_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100639582 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7STA5_A0A1X7STA5_AMPQE tr_A0A1X7STA5_A0A1X7STA5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TF57_A0A1X7TF57_AMPQE tr_A0A1X7TF57_A0A1X7TF57_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100633103 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T456_A0A1X7T456_AMPQE tr_A0A1X7T456_A0A1X7T456_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U0N8_A0A1X7U0N8_AMPQE tr_A0A1X7U0N8_A0A1X7U0N8_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105314125 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U0C2_A0A1X7U0C2_AMPQE tr_A0A1X7U0C2_A0A1X7U0C2_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TP65_A0A1X7TP65_AMPQE tr_A0A1X7TP65_A0A1X7TP65_AMPQE Arpin OS=Amphimedon queenslandica OX=400682 PE=3 SV=1, Amphimedon_queenslandica_tr_A0A1X7U606_A0A1X7U606_AMPQE tr_A0A1X7U606_A0A1X7U606_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T8J7_A0A1X7T8J7_AMPQE tr_A0A1X7T8J7_A0A1X7T8J7_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Aurelia_aurita_Seg5208.1 Seg5208.1 transcript_id=Seg5208.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg5208.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1894.9 Seg1894.9 transcript_id=Seg1894.9_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg1894.9_GoldUCD_D3Y31, Aurelia_aurita_Seg3725.2 Seg3725.2 transcript_id=Seg3725.2_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg3725.2_GoldUCD_D3Y31, Aurelia_aurita_Seg468.7 Seg468.7 transcript_id=Seg468.7_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg468.7_GoldUCD_D3Y31, Aurelia_aurita_Seg1762.8 Seg1762.8 transcript_id=Seg1762.8_GoldUCD_mRNA.D3Y31 product=Techylectin-5B protein_id=Seg1762.8_GoldUCD_D3Y31, Aurelia_aurita_Seg3388.1 Seg3388.1 transcript_id=Seg3388.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3388.1_GoldUCD_D3Y31, Aurelia_aurita_Seg3031.2 Seg3031.2 transcript_id=Seg3031.2_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3031.2_GoldUCD_D3Y31, Aurelia_aurita_Seg3086.3 Seg3086.3 transcript_id=Seg3086.3_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3086.3_GoldUCD_D3Y31, Aurelia_aurita_Seg6310.1 Seg6310.1 transcript_id=Seg6310.1_GoldUCD_mRNA.D3Y31 product=Ryncolin-2 protein_id=Seg6310.1_GoldUCD_D3Y31, Aurelia_aurita_Seg3715.1 Seg3715.1 transcript_id=Seg3715.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3715.1_GoldUCD_D3Y31, Aurelia_aurita_Seg87.1 Seg87.1 transcript_id=Seg87.1_GoldUCD_mRNA.D3Y31 product=Ficolin-1-A protein_id=Seg87.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2208.3 Seg2208.3 transcript_id=Seg2208.3_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg2208.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2828.3 Seg2828.3 transcript_id=Seg2828.3_GoldUCD_mRNA.D3Y31 product=Techylectin-5A protein_id=Seg2828.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2828.2 Seg2828.2 transcript_id=Seg2828.2_GoldUCD_mRNA.D3Y31 product=Ryncolin-4 protein_id=Seg2828.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2404.2 Seg2404.2 transcript_id=Seg2404.2_GoldUCD_mRNA.D3Y31 product=Techylectin-5A protein_id=Seg2404.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2404.1 Seg2404.1 transcript_id=Seg2404.1_GoldUCD_mRNA.D3Y31 product=Techylectin-5A protein_id=Seg2404.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1014.3 Seg1014.3 transcript_id=Seg1014.3_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1014.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1014.2 Seg1014.2 transcript_id=Seg1014.2_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1014.2_GoldUCD_D3Y31, Aurelia_aurita_Seg880.6 Seg880.6 transcript_id=Seg880.6_GoldUCD_mRNA.D3Y31 product=Ficolin-1-B protein_id=Seg880.6_GoldUCD_D3Y31, Aurelia_aurita_Seg985.4 Seg985.4 transcript_id=Seg985.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg985.4_GoldUCD_D3Y31
OG0000000	Amphimedon_queenslandica_tr_A0A1X7TFJ4_A0A1X7TFJ4_AMPQE tr_A0A1X7TFJ4_A0A1X7TFJ4_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TFU9_A0A1X7TFU9_AMPQE tr_A0A1X7TFU9_A0A1X7TFU9_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Aurelia_aurita_Seg1898.4 Seg1898.4 transcript_id=Seg1898.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen-like protein 1" protein_id=Seg1898.4_GoldUCD_D3Y31 partial=true
OG0000000	Amphimedon_queenslandica_tr_A0A1X7UM32_A0A1X7UM32_AMPQE tr_A0A1X7UM32_A0A1X7UM32_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Aurelia_aurita_Seg1444.3 Seg1444.3 transcript_id=Seg1444.3_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg1444.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2112.5 Seg2112.5 transcript_id=Seg2112.5_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2112.5_GoldUCD_D3Y31, Aurelia_aurita_Seg1875.9 Seg1875.9 transcript_id=Seg1875.9_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg1875.9_GoldUCD_D3Y31, Aurelia_aurita_Seg1876.8 Seg1876.8 transcript_id=Seg1876.8_GoldUCD_mRNA.D3Y31 product=Ryncolin-2 protein_id=Seg1876.8_GoldUCD_D3Y31, Aurelia_aurita_Seg5312.1 Seg5312.1 transcript_id=Seg5312.1_GoldUCD_mRNA.D3Y31 product=Ryncolin-2 protein_id=Seg5312.1_GoldUCD_D3Y31, Aurelia_aurita_Seg5312.2 Seg5312.2 transcript_id=Seg5312.2_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg5312.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2050.1 Seg2050.1 transcript_id=Seg2050.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg2050.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1153.9 Seg1153.9 transcript_id=Seg1153.9_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg1153.9_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2095.4 Seg2095.4 transcript_id=Seg2095.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen-like protein A" protein_id=Seg2095.4_GoldUCD_D3Y31, Aurelia_aurita_Seg1927.3 Seg1927.3 transcript_id=Seg1927.3_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1927.3_GoldUCD_D3Y31
OG0000001	Amphimedon_queenslandica_tr_A0A1X7UHN7_A0A1X7UHN7_AMPQE tr_A0A1X7UHN7_A0A1X7UHN7_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100638010 PE=4 SV=1	Aurelia_aurita_Seg2217.4 Seg2217.4 transcript_id=Seg2217.4_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg2217.4_GoldUCD_D3Y31, Aurelia_aurita_Seg1519.1 Seg1519.1 transcript_id=Seg1519.1_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg1519.1_GoldUCD_D3Y31 partial=true
OG0000001	Amphimedon_queenslandica_tr_A0A1X7VW10_A0A1X7VW10_AMPQE tr_A0A1X7VW10_A0A1X7VW10_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=109582339 PE=4 SV=1	Aurelia_aurita_Seg5148.1 Seg5148.1 transcript_id=Seg5148.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5148.1_GoldUCD_D3Y31 partial=true
OG0000001	Amphimedon_queenslandica_tr_A0A1X7VTD0_A0A1X7VTD0_AMPQE tr_A0A1X7VTD0_A0A1X7VTD0_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=105314164 PE=4 SV=1	Aurelia_aurita_Seg1378.3 Seg1378.3 transcript_id=Seg1378.3_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-1" protein_id=Seg1378.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2403.1 Seg2403.1 transcript_id=Seg2403.1_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-1" protein_id=Seg2403.1_GoldUCD_D3Y31
OG0000001	Amphimedon_queenslandica_tr_A0A1X7TTJ7_A0A1X7TTJ7_AMPQE tr_A0A1X7TTJ7_A0A1X7TTJ7_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Aurelia_aurita_Seg918.2 Seg918.2 transcript_id=Seg918.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg918.2_GoldUCD_D3Y31 partial=true
OG0000001	Amphimedon_queenslandica_tr_A0A1X7VJK8_A0A1X7VJK8_AMPQE tr_A0A1X7VJK8_A0A1X7VJK8_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VJP3_A0A1X7VJP3_AMPQE tr_A0A1X7VJP3_A0A1X7VJP3_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7ULH8_A0A1X7ULH8_AMPQE tr_A0A1X7ULH8_A0A1X7ULH8_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=3 SV=1, Amphimedon_queenslandica_tr_A0A1X7VI68_A0A1X7VI68_AMPQE tr_A0A1X7VI68_A0A1X7VI68_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Aurelia_aurita_Seg1879.3 Seg1879.3 transcript_id=Seg1879.3_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg1879.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2492.3 Seg2492.3 transcript_id=Seg2492.3_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg2492.3_GoldUCD_D3Y31, Aurelia_aurita_Seg913.6_Seg913.4 Seg913.6_Seg913.4 transcript_id=Seg913.6_Seg913.4_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg913.6_Seg913.4_GoldUCD_D3Y31, Aurelia_aurita_Seg913.3 Seg913.3 transcript_id=Seg913.3_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg913.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3339.2 Seg3339.2 transcript_id=Seg3339.2_GoldUCD_mRNA.D3Y31 product="Receptor-type tyrosine-protein phosphatase F" protein_id=Seg3339.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2958.1 Seg2958.1 transcript_id=Seg2958.1_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg2958.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1093.3 Seg1093.3 transcript_id=Seg1093.3_GoldUCD_mRNA.D3Y31 product="Phosphatidylinositol phosphatase PTPRQ" protein_id=Seg1093.3_GoldUCD_D3Y31 partial=true
