Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Anthozoa_Stylophora_pistillata
OG0000000	Xenia_spec_Xe_009126_T1 Xe_009126_T1 Xe_009126	Stylophora_pistillata_Spis6522 Spis6522 SpisGene6522, Stylophora_pistillata_Spis23020 Spis23020 SpisGene23020, Stylophora_pistillata_Spis15804 Spis15804 SpisGene15804, Stylophora_pistillata_Spis17174 Spis17174 SpisGene17174
OG0000000	Xenia_spec_Xe_009140_T1 Xe_009140_T1 Xe_009140	Stylophora_pistillata_Spis6532 Spis6532 SpisGene6532, Stylophora_pistillata_Spis22079 Spis22079 SpisGene22079, Stylophora_pistillata_Spis10952 Spis10952 SpisGene10952, Stylophora_pistillata_Spis14746 Spis14746 SpisGene14746, Stylophora_pistillata_Spis8083 Spis8083 SpisGene8083, Stylophora_pistillata_Spis8082 Spis8082 SpisGene8082, Stylophora_pistillata_Spis22076 Spis22076 SpisGene22076, Stylophora_pistillata_Spis18042 Spis18042 SpisGene18042, Stylophora_pistillata_Spis22993 Spis22993 SpisGene22993, Stylophora_pistillata_Spis9885 Spis9885 SpisGene9885, Stylophora_pistillata_Spis22619 Spis22619 SpisGene22619, Stylophora_pistillata_Spis22620 Spis22620 SpisGene22620, Stylophora_pistillata_Spis24695 Spis24695 SpisGene24695, Stylophora_pistillata_Spis17676 Spis17676 SpisGene17676, Stylophora_pistillata_Spis13935 Spis13935 SpisGene13935, Stylophora_pistillata_Spis10579 Spis10579 SpisGene10579, Stylophora_pistillata_Spis22545 Spis22545 SpisGene22545, Stylophora_pistillata_Spis24864 Spis24864 SpisGene24864, Stylophora_pistillata_Spis19503 Spis19503 SpisGene19503, Stylophora_pistillata_Spis12490 Spis12490 SpisGene12490, Stylophora_pistillata_Spis12489 Spis12489 SpisGene12489, Stylophora_pistillata_Spis19236 Spis19236 SpisGene19236, Stylophora_pistillata_Spis19237 Spis19237 SpisGene19237, Stylophora_pistillata_Spis22546 Spis22546 SpisGene22546, Stylophora_pistillata_Spis24624 Spis24624 SpisGene24624, Stylophora_pistillata_Spis19239 Spis19239 SpisGene19239, Stylophora_pistillata_Spis13910 Spis13910 SpisGene13910, Stylophora_pistillata_Spis18528 Spis18528 SpisGene18528, Stylophora_pistillata_Spis19451 Spis19451 SpisGene19451, Stylophora_pistillata_Spis1850 Spis1850 SpisGene1850, Stylophora_pistillata_Spis23981 Spis23981 SpisGene23981, Stylophora_pistillata_Spis5782 Spis5782 SpisGene5782, Stylophora_pistillata_Spis18527 Spis18527 SpisGene18527, Stylophora_pistillata_Spis1852 Spis1852 SpisGene1852, Stylophora_pistillata_Spis23181 Spis23181 SpisGene23181, Stylophora_pistillata_Spis22449 Spis22449 SpisGene22449, Stylophora_pistillata_Spis22450 Spis22450 SpisGene22450, Stylophora_pistillata_Spis12605 Spis12605 SpisGene12605, Stylophora_pistillata_Spis17776 Spis17776 SpisGene17776, Stylophora_pistillata_Spis12307 Spis12307 SpisGene12307, Stylophora_pistillata_Spis23976 Spis23976 SpisGene23976, Stylophora_pistillata_Spis12306 Spis12306 SpisGene12306, Stylophora_pistillata_Spis23675 Spis23675 SpisGene23675, Stylophora_pistillata_Spis5600 Spis5600 SpisGene5600, Stylophora_pistillata_Spis12603 Spis12603 SpisGene12603, Stylophora_pistillata_Spis7189 Spis7189 SpisGene7189, Stylophora_pistillata_Spis23677 Spis23677 SpisGene23677, Stylophora_pistillata_Spis16435 Spis16435 SpisGene16435, Stylophora_pistillata_Spis7226 Spis7226 SpisGene7226, Stylophora_pistillata_Spis22078 Spis22078 SpisGene22078, Stylophora_pistillata_Spis23974 Spis23974 SpisGene23974, Stylophora_pistillata_Spis7191 Spis7191 SpisGene7191, Stylophora_pistillata_Spis23211 Spis23211 SpisGene23211
OG0000001	Xenia_spec_Xe_003284_T1 Xe_003284_T1 Xe_003284	Stylophora_pistillata_Spis17368 Spis17368 SpisGene17368
OG0000001	Xenia_spec_Xe_004209_T1 Xe_004209_T1 Xe_004209, Xenia_spec_Xe_004262_T1 Xe_004262_T1 Xe_004262, Xenia_spec_Xe_015497_T1 Xe_015497_T1 Xe_015497, Xenia_spec_Xe_015497_T2 Xe_015497_T2 Xe_015497, Xenia_spec_Xe_004687_T1 Xe_004687_T1 Xe_004687, Xenia_spec_Xe_004686_T1 Xe_004686_T1 Xe_004686	Stylophora_pistillata_Spis24167 Spis24167 SpisGene24167, Stylophora_pistillata_Spis23377 Spis23377 SpisGene23377, Stylophora_pistillata_Spis19003 Spis19003 SpisGene19003
OG0000001	Xenia_spec_Xe_004325_T1 Xe_004325_T1 Xe_004325, Xenia_spec_Xe_004232_T1 Xe_004232_T1 Xe_004232	Stylophora_pistillata_Spis14116 Spis14116 SpisGene14116
OG0000001	Xenia_spec_Xe_020701_T1 Xe_020701_T1 Xe_020701	Stylophora_pistillata_Spis16034 Spis16034 SpisGene16034, Stylophora_pistillata_Spis3034 Spis3034 SpisGene3034
OG0000001	Xenia_spec_Xe_014520_T1 Xe_014520_T1 Xe_014520	Stylophora_pistillata_Spis8306 Spis8306 SpisGene8306, Stylophora_pistillata_Spis9292 Spis9292 SpisGene9292, Stylophora_pistillata_Spis11787 Spis11787 SpisGene11787, Stylophora_pistillata_Spis11782 Spis11782 SpisGene11782, Stylophora_pistillata_Spis18233 Spis18233 SpisGene18233, Stylophora_pistillata_Spis7755 Spis7755 SpisGene7755, Stylophora_pistillata_Spis6005 Spis6005 SpisGene6005, Stylophora_pistillata_Spis16273 Spis16273 SpisGene16273
OG0000001	Xenia_spec_Xe_018235_T1 Xe_018235_T1 Xe_018235	Stylophora_pistillata_Spis15904 Spis15904 SpisGene15904
OG0000001	Xenia_spec_Xe_014011_T1 Xe_014011_T1 Xe_014011	Stylophora_pistillata_Spis1143 Spis1143 SpisGene1143
OG0000001	Xenia_spec_Xe_011751_T1 Xe_011751_T1 Xe_011751	Stylophora_pistillata_Spis2356 Spis2356 SpisGene2356
