Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Nematoda_Chromadorea_Caenorhabditis_elegans
OG0000000	Xenia_spec_Xe_009126_T1 Xe_009126_T1 Xe_009126	Caenorhabditis_elegans_T15B7.1 T15B7.1, Caenorhabditis_elegans_C49C8.5 C49C8.5, Caenorhabditis_elegans_Y43C5A.2 Y43C5A.2, Caenorhabditis_elegans_T01D3.6b T01D3.6b
OG0000000	Xenia_spec_Xe_009140_T1 Xe_009140_T1 Xe_009140	Caenorhabditis_elegans_D1009.3b D1009.3b
OG0000001	Xenia_spec_Xe_016511_T1 Xe_016511_T1 Xe_016511	Caenorhabditis_elegans_F41C6.1 F41C6.1
OG0000001	Xenia_spec_Xe_008821_T1 Xe_008821_T1 Xe_008821	Caenorhabditis_elegans_C54D1.5 C54D1.5
OG0000001	Xenia_spec_Xe_002223_T1 Xe_002223_T1 Xe_002223	Caenorhabditis_elegans_T22A3.8 T22A3.8
OG0000003	Xenia_spec_Xe_009803_T1 Xe_009803_T1 Xe_009803, Xenia_spec_Xe_009805_T1 Xe_009805_T1 Xe_009805, Xenia_spec_Xe_009799_T1 Xe_009799_T1 Xe_009799, Xenia_spec_Xe_013651_T1 Xe_013651_T1 Xe_013651	Caenorhabditis_elegans_K02F3.5 K02F3.5
OG0000003	Xenia_spec_Xe_008296_T1 Xe_008296_T1 Xe_008296	Caenorhabditis_elegans_R07C3.1 R07C3.1
OG0000004	Xenia_spec_Xe_016725_T1 Xe_016725_T1 Xe_016725, Xenia_spec_Xe_016786_T1 Xe_016786_T1 Xe_016786, Xenia_spec_Xe_016743_T1 Xe_016743_T1 Xe_016743, Xenia_spec_Xe_016731_T1 Xe_016731_T1 Xe_016731, Xenia_spec_Xe_016842_T1 Xe_016842_T1 Xe_016842, Xenia_spec_Xe_011736_T1 Xe_011736_T1 Xe_011736, Xenia_spec_Xe_011737_T1 Xe_011737_T1 Xe_011737	Caenorhabditis_elegans_Y37B11A.1b Y37B11A.1b, Caenorhabditis_elegans_M142.2 M142.2, Caenorhabditis_elegans_C16E9.1 C16E9.1, Caenorhabditis_elegans_C18H7.1c C18H7.1c
OG0000004	Xenia_spec_Xe_002025_T1 Xe_002025_T1 Xe_002025	Caenorhabditis_elegans_K07D8.1 K07D8.1, Caenorhabditis_elegans_K08E5.3b K08E5.3b
OG0000004	Xenia_spec_Xe_011402_T1 Xe_011402_T1 Xe_011402, Xenia_spec_Xe_003341_T1 Xe_003341_T1 Xe_003341, Xenia_spec_Xe_016049_T1 Xe_016049_T1 Xe_016049, Xenia_spec_Xe_005233_T1 Xe_005233_T1 Xe_005233, Xenia_spec_Xe_005231_T1 Xe_005231_T1 Xe_005231, Xenia_spec_Xe_015008_T2 Xe_015008_T2 Xe_015008, Xenia_spec_Xe_015008_T1 Xe_015008_T1 Xe_015008, Xenia_spec_Xe_016404_T1 Xe_016404_T1 Xe_016404, Xenia_spec_Xe_016394_T1 Xe_016394_T1 Xe_016394, Xenia_spec_Xe_016402_T1 Xe_016402_T1 Xe_016402, Xenia_spec_Xe_016393_T1 Xe_016393_T1 Xe_016393, Xenia_spec_Xe_010643_T1 Xe_010643_T1 Xe_010643, Xenia_spec_Xe_010641_T1 Xe_010641_T1 Xe_010641, Xenia_spec_Xe_010631_T1 Xe_010631_T1 Xe_010631, Xenia_spec_Xe_010630_T1 Xe_010630_T1 Xe_010630, Xenia_spec_Xe_010644_T1 Xe_010644_T1 Xe_010644, Xenia_spec_Xe_002353_T1 Xe_002353_T1 Xe_002353, Xenia_spec_Xe_002350_T2 Xe_002350_T2 Xe_002350, Xenia_spec_Xe_002350_T1 Xe_002350_T1 Xe_002350, Xenia_spec_Xe_002347_T1 Xe_002347_T1 Xe_002347	Caenorhabditis_elegans_C24B9.3 C24B9.3
OG0000005	Xenia_spec_Xe_011516_T1 Xe_011516_T1 Xe_011516, Xenia_spec_Xe_013630_T1 Xe_013630_T1 Xe_013630, Xenia_spec_Xe_013630_T2 Xe_013630_T2 Xe_013630, Xenia_spec_Xe_013693_T1 Xe_013693_T1 Xe_013693, Xenia_spec_Xe_001395_T1 Xe_001395_T1 Xe_001395, Xenia_spec_Xe_005291_T1 Xe_005291_T1 Xe_005291, Xenia_spec_Xe_010629_T1 Xe_010629_T1 Xe_010629, Xenia_spec_Xe_010645_T1 Xe_010645_T1 Xe_010645, Xenia_spec_Xe_010516_T1 Xe_010516_T1 Xe_010516, Xenia_spec_Xe_015363_T1 Xe_015363_T1 Xe_015363, Xenia_spec_Xe_014383_T1 Xe_014383_T1 Xe_014383	Caenorhabditis_elegans_K04E7.3 K04E7.3, Caenorhabditis_elegans_T24A11.3 T24A11.3, Caenorhabditis_elegans_C17G1.6b C17G1.6b, Caenorhabditis_elegans_F57C12.1 F57C12.1, Caenorhabditis_elegans_C26C6.3 C26C6.3, Caenorhabditis_elegans_R151.5a R151.5a, Caenorhabditis_elegans_F40E10.1 F40E10.1, Caenorhabditis_elegans_F58B4.1b F58B4.1b, Caenorhabditis_elegans_T02B11.7 T02B11.7, Caenorhabditis_elegans_F46C5.3 F46C5.3, Caenorhabditis_elegans_F58A6.4 F58A6.4, Caenorhabditis_elegans_R10H1.5 R10H1.5, Caenorhabditis_elegans_F42A10.8 F42A10.8, Caenorhabditis_elegans_T23F4.4 T23F4.4
