Orthogroup	Ctenophora_Nuda_Beroe_ovata	Cnidaria_Anthozoa_Exaiptasia_diaphana
OG0000001	Beroe_ovata_Bova1_4.0204.g2.t1 Bova1_4.0204.g2.t1	Exaiptasia_diaphana_XP_020906267.2 XP_020906267.2 laminin subunit beta-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516585.1 XP_028516585.1 laminin subunit beta-1 [Exaiptasia diaphana]
OG0000001	Beroe_ovata_Bova1_4.0005.g58.t1 Bova1_4.0005.g58.t1	Exaiptasia_diaphana_XP_028517047.1 XP_028517047.1 netrin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916901.1 XP_020916901.1 laminin subunit gamma-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916243.1 XP_020916243.1 laminin subunit gamma-1 [Exaiptasia diaphana]
OG0000001	Beroe_ovata_Bova1_4.0158.g1.t2 Bova1_4.0158.g1.t2, Beroe_ovata_Bova1_4.0158.g1.t1 Bova1_4.0158.g1.t1, Beroe_ovata_Bova1_4.0469.g2.t2 Bova1_4.0469.g2.t2, Beroe_ovata_Bova1_4.0469.g2.t1 Bova1_4.0469.g2.t1	Exaiptasia_diaphana_XP_020916246.1 XP_020916246.1 laminin subunit alpha [Exaiptasia diaphana]
OG0000001	Beroe_ovata_Bova1_4.0013.g38.t1 Bova1_4.0013.g38.t1	Exaiptasia_diaphana_XP_020914470.1 XP_020914470.1 laminin subunit alpha-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904815.2 XP_020904815.2 laminin subunit alpha [Exaiptasia diaphana]
OG0000002	Beroe_ovata_Bova1_4.0122.g2.t1 Bova1_4.0122.g2.t1, Beroe_ovata_Bova1_4.0167.g18.t1 Bova1_4.0167.g18.t1, Beroe_ovata_Bova1_4.0036.g56.t1 Bova1_4.0036.g56.t1, Beroe_ovata_Bova1_4.0113.g13.t1 Bova1_4.0113.g13.t1, Beroe_ovata_Bova1_4.0287.g9.t1 Bova1_4.0287.g9.t1, Beroe_ovata_Bova1_4.0287.g10.t1 Bova1_4.0287.g10.t1, Beroe_ovata_Bova1_4.0006.g158.t1 Bova1_4.0006.g158.t1, Beroe_ovata_Bova1_4.0022.g96.t1 Bova1_4.0022.g96.t1, Beroe_ovata_Bova1_4.0017.g28.t1 Bova1_4.0017.g28.t1, Beroe_ovata_Bova1_4.0017.g27.t1 Bova1_4.0017.g27.t1	Exaiptasia_diaphana_XP_028516981.1 XP_028516981.1 mucin-7-like_ partial [Exaiptasia diaphana]
OG0000002	Beroe_ovata_Bova1_4.0019.g34.t1 Bova1_4.0019.g34.t1, Beroe_ovata_Bova1_4.0105.g2.t1 Bova1_4.0105.g2.t1, Beroe_ovata_Bova1_4.0092.g42.t1 Bova1_4.0092.g42.t1	Exaiptasia_diaphana_XP_028518903.1 XP_028518903.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518902.1 XP_028518902.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518901.1 XP_028518901.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518900.1 XP_028518900.1 cartilage oligomeric matrix protein [Exaiptasia diaphana]
OG0000002	Beroe_ovata_Bova1_4.0176.g1.t1 Bova1_4.0176.g1.t1, Beroe_ovata_Bova1_4.2215.g1.t1 Bova1_4.2215.g1.t1	Exaiptasia_diaphana_XP_028516014.1 XP_028516014.1 coadhesin-like [Exaiptasia diaphana]
OG0000003	Beroe_ovata_Bova1_4.0075.g12.t1 Bova1_4.0075.g12.t1	Exaiptasia_diaphana_XP_020898903.1 XP_020898903.1 macrophage mannose receptor 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913921.1 XP_020913921.1 uncharacterized protein LOC110251540 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512544.1 XP_028512544.1 neurogenic locus Notch protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893947.1 XP_020893947.1 lactose-binding lectin l-2_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901791.2 XP_020901791.2 fibrillin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515241.1 XP_028515241.1 fibrillin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896879.2 XP_020896879.2 fibropellin-3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518736.1 XP_028518736.1 fibrillin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897241.1 XP_020897241.1 protein kinase C-binding protein NELL1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517885.1 XP_028517885.1 nidogen-2_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514911.1 XP_028514911.1 EGF-like repeat and discoidin I-like domain-containing protein 3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915720.2 XP_020915720.2 uncharacterized protein LOC110253183 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515645.1 XP_028515645.1 neurogenic locus notch homolog protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518390.1 XP_028518390.1 uncharacterized protein LOC114576273 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517873.1 XP_028517873.1 uncharacterized protein LOC110248715 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907890.2 XP_020907890.2 uncharacterized protein LOC110245933 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517870.1 XP_028517870.1 uncharacterized protein LOC110248708 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907891.1 XP_020907891.1 uncharacterized protein LOC110245934 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912859.2 XP_020912859.2 uncharacterized protein LOC110250599 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518448.1 XP_028518448.1 P-selectin-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514228.1 XP_028514228.1 uncharacterized protein LOC114574827 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907884.2 XP_020907884.2 uncharacterized protein LOC110245927 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518810.1 XP_028518810.1 uncharacterized protein LOC110251696 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911103.1 XP_020911103.1 uncharacterized protein LOC110248883 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516010.1 XP_028516010.1 uncharacterized protein LOC114575413 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515610.1 XP_028515610.1 fibrillin-3_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518447.1 XP_028518447.1 uncharacterized protein LOC110250603 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518446.1 XP_028518446.1 neurotrypsin_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907897.2 XP_020907897.2 uromodulin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519493.1 XP_028519493.1 C-type mannose receptor 2-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512812.1 XP_028512812.1 glycine-rich cell wall structural protein 1.0_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516914.1 XP_028516914.1 adhesion G protein-coupled receptor E2 [Exaiptasia diaphana]
OG0000005	Beroe_ovata_Bova1_4.0134.g16.t1 Bova1_4.0134.g16.t1	Exaiptasia_diaphana_XP_020914254.1 XP_020914254.1 zinc metalloproteinase nas-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908974.1 XP_020908974.1 uncharacterized protein LOC110246932 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908967.2 XP_020908967.2 uncharacterized protein LOC110246925 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902117.2 XP_020902117.2 nematocyst expressed protein 6-like [Exaiptasia diaphana]
OG0000005	Beroe_ovata_Bova1_4.0259.g12.t1 Bova1_4.0259.g12.t1	Exaiptasia_diaphana_XP_028512430.1 XP_028512430.1 zinc metalloproteinase nas-36 [Exaiptasia diaphana]
OG0000006	Beroe_ovata_Bova1_4.0328.g2.t1 Bova1_4.0328.g2.t1, Beroe_ovata_Bova1_4.0159.g20.t1 Bova1_4.0159.g20.t1, Beroe_ovata_Bova1_4.0012.g91.t1 Bova1_4.0012.g91.t1	Exaiptasia_diaphana_XP_020916239.2 XP_020916239.2 uromodulin [Exaiptasia diaphana]
OG0000007	Beroe_ovata_Bova1_4.0286.g1.t1 Bova1_4.0286.g1.t1, Beroe_ovata_Bova1_4.0184.g4.t3 Bova1_4.0184.g4.t3, Beroe_ovata_Bova1_4.0184.g4.t2 Bova1_4.0184.g4.t2, Beroe_ovata_Bova1_4.0184.g4.t1 Bova1_4.0184.g4.t1	Exaiptasia_diaphana_XP_028519369.1 XP_028519369.1 mucin-like protein [Exaiptasia diaphana]
OG0000007	Beroe_ovata_Bova1_4.0012.g66.t1 Bova1_4.0012.g66.t1, Beroe_ovata_Bova1_4.0012.g65.t1 Bova1_4.0012.g65.t1	Exaiptasia_diaphana_XP_020902587.1 XP_020902587.1 latent-transforming growth factor beta-binding protein 1-like [Exaiptasia diaphana]
OG0000007	Beroe_ovata_Bova1_4.0242.g10.t1 Bova1_4.0242.g10.t1	Exaiptasia_diaphana_XP_028516188.1 XP_028516188.1 adhesion G protein-coupled receptor E2-like [Exaiptasia diaphana]
OG0000007	Beroe_ovata_Bova1_4.0279.g17.t1 Bova1_4.0279.g17.t1	Exaiptasia_diaphana_XP_028514361.1 XP_028514361.1 uncharacterized protein LOC110237188 [Exaiptasia diaphana]
OG0000009	Beroe_ovata_Bova1_4.0295.g20.t1 Bova1_4.0295.g20.t1, Beroe_ovata_Bova1_4.0295.g17.t1 Bova1_4.0295.g17.t1, Beroe_ovata_Bova1_4.0063.g33.t1 Bova1_4.0063.g33.t1	Exaiptasia_diaphana_XP_020902137.1 XP_020902137.1 nematocyst expressed protein 6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020891852.1 XP_020891852.1 uncharacterized protein LOC110231209 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512500.1 XP_028512500.1 uncharacterized protein LOC110231209 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512501.1 XP_028512501.1 uncharacterized protein LOC110231209 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512503.1 XP_028512503.1 uncharacterized protein LOC110231209 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512502.1 XP_028512502.1 uncharacterized protein LOC110231209 isoform X3 [Exaiptasia diaphana]
OG0000010	Beroe_ovata_Bova1_4.0400.g1.t1 Bova1_4.0400.g1.t1	Exaiptasia_diaphana_XP_020915443.2 XP_020915443.2 contactin-5-like [Exaiptasia diaphana]
OG0000010	Beroe_ovata_Bova1_4.0203.g21.t1 Bova1_4.0203.g21.t1	Exaiptasia_diaphana_XP_020894828.2 XP_020894828.2 protein eyes shut homolog [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518930.1 XP_028518930.1 basement membrane-specific heparan sulfate proteoglycan core protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518186.1 XP_028518186.1 pikachurin [Exaiptasia diaphana]
