Orthogroup	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_lanceolatum
OG0000000	Branchiostoma_belcheri_tr_A0A6P4ZPQ9_A0A6P4ZPQ9_BRABE tr|A0A6P4ZPQ9|A0A6P4ZPQ9_BRABE Fibrinogen C domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484358 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8K0ADV5_A0A8K0ADV5_BRALA tr|A0A8K0ADV5|A0A8K0ADV5_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P5AJM1_A0A6P5AJM1_BRABE tr|A0A6P5AJM1|A0A6P5AJM1_BRABE Fibrinogen-like protein 1 OS=Branchiostoma belcheri OX=7741 GN=LOC109483598 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9YXM4_A0A8J9YXM4_BRALA tr|A0A8J9YXM4|A0A8J9YXM4_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4Z873_A0A6P4Z873_BRABE tr|A0A6P4Z873|A0A6P4Z873_BRABE Uncharacterized protein LOC109472133 OS=Branchiostoma belcheri OX=7741 GN=LOC109472133 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9ZUC4_A0A8J9ZUC4_BRALA tr|A0A8J9ZUC4|A0A8J9ZUC4_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZU80_A0A8J9ZU80_BRALA tr|A0A8J9ZU80|A0A8J9ZU80_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4XZY2_A0A6P4XZY2_BRABE tr|A0A6P4XZY2|A0A6P4XZY2_BRABE Techylectin-5A-like OS=Branchiostoma belcheri OX=7741 GN=LOC109465020 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9ZD86_A0A8J9ZD86_BRALA tr|A0A8J9ZD86|A0A8J9ZD86_BRALA FCN3 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN3 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4YG03_A0A6P4YG03_BRABE tr|A0A6P4YG03|A0A6P4YG03_BRABE Angiopoietin-4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109465019 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9ZEE7_A0A8J9ZEE7_BRALA tr|A0A8J9ZEE7|A0A8J9ZEE7_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4ZVU9_A0A6P4ZVU9_BRABE tr|A0A6P4ZVU9|A0A6P4ZVU9_BRABE Uncharacterized protein LOC109486073 OS=Branchiostoma belcheri OX=7741 GN=LOC109486073 PE=3 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9YVS3_A0A8J9YVS3_BRALA tr|A0A8J9YVS3|A0A8J9YVS3_BRALA MEGF10 protein OS=Branchiostoma lanceolatum OX=7740 GN=MEGF10 PE=3 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P5ACW7_A0A6P5ACW7_BRABE tr|A0A6P5ACW7|A0A6P5ACW7_BRABE Uncharacterized protein LOC109481493 OS=Branchiostoma belcheri OX=7741 GN=LOC109481493 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9YVW9_A0A8J9YVW9_BRALA tr|A0A8J9YVW9|A0A8J9YVW9_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=3 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4ZIG7_A0A6P4ZIG7_BRABE tr|A0A6P4ZIG7|A0A6P4ZIG7_BRABE Fibrinogen C domain-containing protein 1-A-like OS=Branchiostoma belcheri OX=7741 GN=LOC109479095 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZZY9_A0A6P4ZZY9_BRABE tr|A0A6P4ZZY9|A0A6P4ZZY9_BRABE Protein jagged-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109479094 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8K0A2Y8_A0A8K0A2Y8_BRALA tr|A0A8K0A2Y8|A0A8K0A2Y8_BRALA NOTCH3 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A2N6_A0A8K0A2N6_BRALA tr|A0A8K0A2N6|A0A8K0A2N6_BRALA NOTCH3 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A5F9_A0A8K0A5F9_BRALA tr|A0A8K0A5F9|A0A8K0A5F9_BRALA NOTCH3 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EUG9_A0A8K0EUG9_BRALA tr|A0A8K0EUG9|A0A8K0EUG9_BRALA NOTCH3 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH3 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4ZXD3_A0A6P4ZXD3_BRABE tr|A0A6P4ZXD3|A0A6P4ZXD3_BRABE Uncharacterized protein LOC109483033 OS=Branchiostoma belcheri OX=7741 GN=LOC109483033 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8K0ECH5_A0A8K0ECH5_BRALA tr|A0A8K0ECH5|A0A8K0ECH5_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P5A5F5_A0A6P5A5F5_BRABE tr|A0A6P5A5F5|A0A6P5A5F5_BRABE LOW QUALITY PROTEIN_ uncharacterized protein LOC109480647 OS=Branchiostoma belcheri OX=7741 GN=LOC109480647 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9ZK72_A0A8J9ZK72_BRALA tr|A0A8J9ZK72|A0A8J9ZK72_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1
