Orthogroup	Ctenophora_Nuda_Beroe_ovata	Porifera_Demospongiae_Ephydatia_muelleri
OG0000001	Beroe_ovata_Bova1_4.0014.g131.t1 Bova1_4.0014.g131.t1	Ephydatia_muelleri_Em0308g1a Em0308g1a, Ephydatia_muelleri_Em0304g1a Em0304g1a, Ephydatia_muelleri_Em0178g1a Em0178g1a, Ephydatia_muelleri_Em0119g1a Em0119g1a, Ephydatia_muelleri_Em0001g2804a Em0001g2804a, Ephydatia_muelleri_Em0610g2a Em0610g2a, Ephydatia_muelleri_Em0001g2801a Em0001g2801a, Ephydatia_muelleri_Em0015g484a Em0015g484a, Ephydatia_muelleri_Em0001g2821a Em0001g2821a, Ephydatia_muelleri_Em0001g2790a Em0001g2790a, Ephydatia_muelleri_Em0542g1a Em0542g1a, Ephydatia_muelleri_Em0607g3a Em0607g3a
OG0000001	Beroe_ovata_Bova1_4.0158.g1.t2 Bova1_4.0158.g1.t2, Beroe_ovata_Bova1_4.0158.g1.t1 Bova1_4.0158.g1.t1, Beroe_ovata_Bova1_4.0469.g2.t2 Bova1_4.0469.g2.t2, Beroe_ovata_Bova1_4.0469.g2.t1 Bova1_4.0469.g2.t1	Ephydatia_muelleri_Em0016g530a Em0016g530a
OG0000002	Beroe_ovata_Bova1_4.0122.g2.t1 Bova1_4.0122.g2.t1, Beroe_ovata_Bova1_4.0167.g18.t1 Bova1_4.0167.g18.t1, Beroe_ovata_Bova1_4.0036.g56.t1 Bova1_4.0036.g56.t1, Beroe_ovata_Bova1_4.0113.g13.t1 Bova1_4.0113.g13.t1, Beroe_ovata_Bova1_4.0287.g9.t1 Bova1_4.0287.g9.t1, Beroe_ovata_Bova1_4.0287.g10.t1 Bova1_4.0287.g10.t1, Beroe_ovata_Bova1_4.0006.g158.t1 Bova1_4.0006.g158.t1, Beroe_ovata_Bova1_4.0022.g96.t1 Bova1_4.0022.g96.t1, Beroe_ovata_Bova1_4.0017.g28.t1 Bova1_4.0017.g28.t1, Beroe_ovata_Bova1_4.0017.g27.t1 Bova1_4.0017.g27.t1	Ephydatia_muelleri_Em0019g573a Em0019g573a, Ephydatia_muelleri_Em0019g563a Em0019g563a, Ephydatia_muelleri_Em0019g588a Em0019g588a, Ephydatia_muelleri_Em0007g817a Em0007g817a
OG0000002	Beroe_ovata_Bova1_4.0556.g1.t1 Bova1_4.0556.g1.t1	Ephydatia_muelleri_Em0012g778a Em0012g778a, Ephydatia_muelleri_Em0012g771a Em0012g771a
OG0000005	Beroe_ovata_Bova1_4.0134.g16.t1 Bova1_4.0134.g16.t1	Ephydatia_muelleri_Em0001g1715a Em0001g1715a
OG0000006	Beroe_ovata_Bova1_4.0112.g36.t1 Bova1_4.0112.g36.t1	Ephydatia_muelleri_Em0008g891a Em0008g891a, Ephydatia_muelleri_Em0008g882a Em0008g882a, Ephydatia_muelleri_Em0015g1280a Em0015g1280a, Ephydatia_muelleri_Em0015g1275a Em0015g1275a, Ephydatia_muelleri_Em0008g887a Em0008g887a
OG0000006	Beroe_ovata_Bova1_4.1808.g1.t1 Bova1_4.1808.g1.t1, Beroe_ovata_Bova1_4.0097.g29.t1 Bova1_4.0097.g29.t1, Beroe_ovata_Bova1_4.0097.g23.t1 Bova1_4.0097.g23.t1, Beroe_ovata_Bova1_4.0097.g22.t1 Bova1_4.0097.g22.t1, Beroe_ovata_Bova1_4.0597.g2.t1 Bova1_4.0597.g2.t1	Ephydatia_muelleri_Em0005g519a Em0005g519a
OG0000007	Beroe_ovata_Bova1_4.0286.g1.t1 Bova1_4.0286.g1.t1	Ephydatia_muelleri_Em0019g1079a Em0019g1079a, Ephydatia_muelleri_Em0019g1074a Em0019g1074a, Ephydatia_muelleri_Em0019g1070a Em0019g1070a, Ephydatia_muelleri_Em0019g1075a Em0019g1075a
OG0000010	Beroe_ovata_Bova1_4.0203.g21.t1 Bova1_4.0203.g21.t1	Ephydatia_muelleri_Em0011g1192a Em0011g1192a
OG0000011	Beroe_ovata_Bova1_4.0020.g34.t1 Bova1_4.0020.g34.t1, Beroe_ovata_Bova1_4.0473.g3.t2 Bova1_4.0473.g3.t2, Beroe_ovata_Bova1_4.0473.g3.t1 Bova1_4.0473.g3.t1, Beroe_ovata_Bova1_4.0302.g5.t1 Bova1_4.0302.g5.t1, Beroe_ovata_Bova1_4.0302.g5.t2 Bova1_4.0302.g5.t2, Beroe_ovata_Bova1_4.0010.g40.t1 Bova1_4.0010.g40.t1, Beroe_ovata_Bova1_4.0064.g23.t1 Bova1_4.0064.g23.t1, Beroe_ovata_Bova1_4.0064.g22.t1 Bova1_4.0064.g22.t1, Beroe_ovata_Bova1_4.0015.g70.t1 Bova1_4.0015.g70.t1, Beroe_ovata_Bova1_4.0015.g69.t1 Bova1_4.0015.g69.t1, Beroe_ovata_Bova1_4.0392.g3.t1 Bova1_4.0392.g3.t1, Beroe_ovata_Bova1_4.0080.g30.t1 Bova1_4.0080.g30.t1, Beroe_ovata_Bova1_4.0180.g2.t1 Bova1_4.0180.g2.t1, Beroe_ovata_Bova1_4.0029.g24.t1 Bova1_4.0029.g24.t1, Beroe_ovata_Bova1_4.0214.g1.t1 Bova1_4.0214.g1.t1, Beroe_ovata_Bova1_4.0488.g3.t1 Bova1_4.0488.g3.t1, Beroe_ovata_Bova1_4.0129.g13.t1 Bova1_4.0129.g13.t1, Beroe_ovata_Bova1_4.0137.g25.t1 Bova1_4.0137.g25.t1, Beroe_ovata_Bova1_4.0201.g17.t1 Bova1_4.0201.g17.t1, Beroe_ovata_Bova1_4.0035.g21.t1 Bova1_4.0035.g21.t1, Beroe_ovata_Bova1_4.0084.g28.t1 Bova1_4.0084.g28.t1, Beroe_ovata_Bova1_4.0169.g24.t1 Bova1_4.0169.g24.t1	Ephydatia_muelleri_Em0005g71a Em0005g71a
