Orthogroup	Cnidaria_Cubozoa_Morbakka_virulenta	Ctenophora_Tentaculata_Mnemiopsis_leidyi
OG0000001	Morbakka_virulenta_scaffold626.g1.t2 scaffold626.g1.t2	Mnemiopsis_leidyi_ML035910a ML035910a
OG0000001	Morbakka_virulenta_scaffold19.g85.t2 scaffold19.g85.t2, Morbakka_virulenta_scaffold19.g85.t4 scaffold19.g85.t4, Morbakka_virulenta_scaffold19.g85.t3 scaffold19.g85.t3, Morbakka_virulenta_scaffold19.g85.t1 scaffold19.g85.t1	Mnemiopsis_leidyi_ML17591a ML17591a
OG0000001	Morbakka_virulenta_scaffold186.g17.t1 scaffold186.g17.t1, Morbakka_virulenta_scaffold434.g16.t1 scaffold434.g16.t1	Mnemiopsis_leidyi_ML44781a ML44781a
OG0000001	Morbakka_virulenta_scaffold1.g52.t1 scaffold1.g52.t1, Morbakka_virulenta_scaffold1.g52.t2 scaffold1.g52.t2	Mnemiopsis_leidyi_ML20591a ML20591a, Mnemiopsis_leidyi_ML05951a ML05951a
OG0000002	Morbakka_virulenta_scaffold353.g2.t4 scaffold353.g2.t4, Morbakka_virulenta_scaffold353.g2.t3 scaffold353.g2.t3, Morbakka_virulenta_scaffold353.g2.t1 scaffold353.g2.t1, Morbakka_virulenta_scaffold256.g1.t1 scaffold256.g1.t1, Morbakka_virulenta_scaffold166.g9.t1 scaffold166.g9.t1	Mnemiopsis_leidyi_ML049019a ML049019a, Mnemiopsis_leidyi_ML34222a ML34222a
OG0000002	Morbakka_virulenta_scaffold479.g8.t1 scaffold479.g8.t1	Mnemiopsis_leidyi_ML05979a ML05979a, Mnemiopsis_leidyi_ML08108a ML08108a
OG0000002	Morbakka_virulenta_scaffold415.g11.t1 scaffold415.g11.t1, Morbakka_virulenta_scaffold83.g77.t1 scaffold83.g77.t1	Mnemiopsis_leidyi_ML05299a ML05299a, Mnemiopsis_leidyi_ML016334a ML016334a
OG0000002	Morbakka_virulenta_scaffold326.g8.t4 scaffold326.g8.t4, Morbakka_virulenta_scaffold326.g8.t3 scaffold326.g8.t3	Mnemiopsis_leidyi_ML27988a ML27988a
OG0000002	Morbakka_virulenta_scaffold15.g40.t1 scaffold15.g40.t1, Morbakka_virulenta_scaffold44.g87.t5 scaffold44.g87.t5, Morbakka_virulenta_scaffold44.g87.t4 scaffold44.g87.t4, Morbakka_virulenta_scaffold44.g87.t3 scaffold44.g87.t3, Morbakka_virulenta_scaffold44.g87.t2 scaffold44.g87.t2	Mnemiopsis_leidyi_ML07453a ML07453a
OG0000003	Morbakka_virulenta_scaffold71.g67.t1 scaffold71.g67.t1	Mnemiopsis_leidyi_ML01785a ML01785a
OG0000003	Morbakka_virulenta_scaffold163.g30.t1 scaffold163.g30.t1, Morbakka_virulenta_scaffold2.g141.t1 scaffold2.g141.t1, Morbakka_virulenta_scaffold192.g7.t1 scaffold192.g7.t1, Morbakka_virulenta_scaffold252.g1.t1 scaffold252.g1.t1, Morbakka_virulenta_scaffold23.g83.t1 scaffold23.g83.t1	Mnemiopsis_leidyi_ML090113a ML090113a
OG0000004	Morbakka_virulenta_scaffold55.g36.t1 scaffold55.g36.t1	Mnemiopsis_leidyi_ML077636a ML077636a, Mnemiopsis_leidyi_ML270522a ML270522a
OG0000005	Morbakka_virulenta_scaffold127.g48.t1 scaffold127.g48.t1, Morbakka_virulenta_scaffold127.g49.t1 scaffold127.g49.t1	Mnemiopsis_leidyi_ML073034a ML073034a
OG0000005	Morbakka_virulenta_scaffold177.g27.t1 scaffold177.g27.t1	Mnemiopsis_leidyi_ML104615a ML104615a, Mnemiopsis_leidyi_ML104616a ML104616a, Mnemiopsis_leidyi_ML00083a ML00083a
OG0000006	Morbakka_virulenta_scaffold315.g11.t2 scaffold315.g11.t2	Mnemiopsis_leidyi_ML085031a ML085031a
OG0000009	Morbakka_virulenta_scaffold585.g3.t1 scaffold585.g3.t1, Morbakka_virulenta_scaffold585.g3.t2 scaffold585.g3.t2	Mnemiopsis_leidyi_ML31401a ML31401a, Mnemiopsis_leidyi_ML007435a ML007435a
OG0000010	Morbakka_virulenta_scaffold535.g12.t1 scaffold535.g12.t1, Morbakka_virulenta_scaffold467.g8.t1 scaffold467.g8.t1, Morbakka_virulenta_scaffold149.g12.t1 scaffold149.g12.t1, Morbakka_virulenta_scaffold149.g12.t2 scaffold149.g12.t2	Mnemiopsis_leidyi_ML004921a ML004921a
OG0000010	Morbakka_virulenta_scaffold60.g6.t2 scaffold60.g6.t2, Morbakka_virulenta_scaffold60.g6.t3 scaffold60.g6.t3, Morbakka_virulenta_scaffold60.g6.t1 scaffold60.g6.t1, Morbakka_virulenta_scaffold16.g68.t2 scaffold16.g68.t2, Morbakka_virulenta_scaffold16.g68.t1 scaffold16.g68.t1, Morbakka_virulenta_scaffold386.g7.t1 scaffold386.g7.t1, Morbakka_virulenta_scaffold386.g7.t2 scaffold386.g7.t2, Morbakka_virulenta_scaffold386.g12.t1 scaffold386.g12.t1, Morbakka_virulenta_scaffold61.g42.t2 scaffold61.g42.t2, Morbakka_virulenta_scaffold40.g13.t1 scaffold40.g13.t1	Mnemiopsis_leidyi_ML00905a ML00905a
OG0000012	Morbakka_virulenta_scaffold150.g44.t1 scaffold150.g44.t1	Mnemiopsis_leidyi_ML31161a ML31161a, Mnemiopsis_leidyi_ML03227a ML03227a, Mnemiopsis_leidyi_ML231816a ML231816a
OG0000012	Morbakka_virulenta_scaffold155.g40.t1 scaffold155.g40.t1, Morbakka_virulenta_scaffold155.g40.t2 scaffold155.g40.t2	Mnemiopsis_leidyi_ML065752a ML065752a, Mnemiopsis_leidyi_ML12185a ML12185a, Mnemiopsis_leidyi_ML11032a ML11032a, Mnemiopsis_leidyi_ML022012a ML022012a, Mnemiopsis_leidyi_ML11033a ML11033a, Mnemiopsis_leidyi_ML41863a ML41863a
OG0000012	Morbakka_virulenta_scaffold150.g43.t1 scaffold150.g43.t1, Morbakka_virulenta_scaffold307.g17.t1 scaffold307.g17.t1	Mnemiopsis_leidyi_ML189317a ML189317a, Mnemiopsis_leidyi_ML00495a ML00495a
OG0000012	Morbakka_virulenta_scaffold96.g15.t1 scaffold96.g15.t1	Mnemiopsis_leidyi_ML020019a ML020019a
OG0000013	Morbakka_virulenta_scaffold120.g22.t1 scaffold120.g22.t1	Mnemiopsis_leidyi_ML101013a ML101013a
OG0000013	Morbakka_virulenta_scaffold12.g86.t1 scaffold12.g86.t1	Mnemiopsis_leidyi_ML06021a ML06021a
OG0000013	Morbakka_virulenta_scaffold5.g35.t1 scaffold5.g35.t1	Mnemiopsis_leidyi_ML07528a ML07528a
OG0000015	Morbakka_virulenta_scaffold147.g49.t1 scaffold147.g49.t1, Morbakka_virulenta_scaffold147.g50.t1 scaffold147.g50.t1, Morbakka_virulenta_scaffold147.g50.t2 scaffold147.g50.t2	Mnemiopsis_leidyi_ML25991a ML25991a
