Orthogroup	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Anthozoa_Xenia_spec
OG0000000	Clytia_hemispherica_TCONS_00025161-protein TCONS_00025161-protein, Clytia_hemispherica_TCONS_00004655-protein TCONS_00004655-protein, Clytia_hemispherica_TCONS_00001342-protein TCONS_00001342-protein, Clytia_hemispherica_TCONS_00030218-protein TCONS_00030218-protein, Clytia_hemispherica_TCONS_00004723-protein TCONS_00004723-protein, Clytia_hemispherica_TCONS_00004950-protein TCONS_00004950-protein, Clytia_hemispherica_TCONS_00016324-protein TCONS_00016324-protein, Clytia_hemispherica_TCONS_00009157-protein TCONS_00009157-protein, Clytia_hemispherica_TCONS_00019769-protein TCONS_00019769-protein, Clytia_hemispherica_TCONS_00007420-protein TCONS_00007420-protein, Clytia_hemispherica_TCONS_00030875-protein TCONS_00030875-protein, Clytia_hemispherica_TCONS_00071542-protein TCONS_00071542-protein, Clytia_hemispherica_TCONS_00018659-protein TCONS_00018659-protein, Clytia_hemispherica_TCONS_00012678-protein TCONS_00012678-protein, Clytia_hemispherica_TCONS_00032436-protein TCONS_00032436-protein, Clytia_hemispherica_TCONS_00002325-protein TCONS_00002325-protein, Clytia_hemispherica_TCONS_00002198-protein TCONS_00002198-protein, Clytia_hemispherica_TCONS_00023485-protein TCONS_00023485-protein	Xenia_spec_Xe_009126_T1 Xe_009126_T1 Xe_009126
OG0000000	Clytia_hemispherica_TCONS_00056369-protein TCONS_00056369-protein, Clytia_hemispherica_TCONS_00036375-protein TCONS_00036375-protein, Clytia_hemispherica_TCONS_00057358-protein TCONS_00057358-protein, Clytia_hemispherica_TCONS_00020582-protein TCONS_00020582-protein, Clytia_hemispherica_TCONS_00019248-protein TCONS_00019248-protein, Clytia_hemispherica_TCONS_00050286-protein TCONS_00050286-protein, Clytia_hemispherica_TCONS_00022360-protein TCONS_00022360-protein, Clytia_hemispherica_TCONS_00053667-protein TCONS_00053667-protein	Xenia_spec_Xe_009140_T1 Xe_009140_T1 Xe_009140
OG0000001	Clytia_hemispherica_TCONS_00049799-protein TCONS_00049799-protein	Xenia_spec_Xe_003284_T1 Xe_003284_T1 Xe_003284
OG0000001	Clytia_hemispherica_TCONS_00002943-protein TCONS_00002943-protein, Clytia_hemispherica_TCONS_00011288-protein TCONS_00011288-protein, Clytia_hemispherica_TCONS_00068399-protein TCONS_00068399-protein	Xenia_spec_Xe_004331_T1 Xe_004331_T1 Xe_004331, Xenia_spec_Xe_004329_T1 Xe_004329_T1 Xe_004329, Xenia_spec_Xe_004227_T1 Xe_004227_T1 Xe_004227, Xenia_spec_Xe_004334_T1 Xe_004334_T1 Xe_004334, Xenia_spec_Xe_004333_T1 Xe_004333_T1 Xe_004333, Xenia_spec_Xe_004326_T1 Xe_004326_T1 Xe_004326, Xenia_spec_Xe_004230_T1 Xe_004230_T1 Xe_004230, Xenia_spec_Xe_004229_T1 Xe_004229_T1 Xe_004229, Xenia_spec_Xe_004209_T1 Xe_004209_T1 Xe_004209, Xenia_spec_Xe_004262_T1 Xe_004262_T1 Xe_004262, Xenia_spec_Xe_015497_T1 Xe_015497_T1 Xe_015497, Xenia_spec_Xe_015497_T2 Xe_015497_T2 Xe_015497, Xenia_spec_Xe_004687_T1 Xe_004687_T1 Xe_004687, Xenia_spec_Xe_004686_T1 Xe_004686_T1 Xe_004686
OG0000001	Clytia_hemispherica_TCONS_00065163-protein TCONS_00065163-protein	Xenia_spec_Xe_004325_T1 Xe_004325_T1 Xe_004325, Xenia_spec_Xe_004232_T1 Xe_004232_T1 Xe_004232
OG0000001	Clytia_hemispherica_TCONS_00067647-protein TCONS_00067647-protein	Xenia_spec_Xe_020701_T1 Xe_020701_T1 Xe_020701
OG0000001	Clytia_hemispherica_TCONS_00062616-protein TCONS_00062616-protein	Xenia_spec_Xe_018235_T1 Xe_018235_T1 Xe_018235
OG0000001	Clytia_hemispherica_TCONS_00020139-protein TCONS_00020139-protein, Clytia_hemispherica_TCONS_00072631-protein TCONS_00072631-protein	Xenia_spec_Xe_014011_T1 Xe_014011_T1 Xe_014011
OG0000001	Clytia_hemispherica_TCONS_00064310-protein TCONS_00064310-protein	Xenia_spec_Xe_011751_T1 Xe_011751_T1 Xe_011751
OG0000001	Clytia_hemispherica_TCONS_00064021-protein TCONS_00064021-protein, Clytia_hemispherica_TCONS_00011362-protein TCONS_00011362-protein	Xenia_spec_Xe_008027_T1 Xe_008027_T1 Xe_008027
OG0000001	Clytia_hemispherica_TCONS_00067350-protein TCONS_00067350-protein	Xenia_spec_Xe_008821_T1 Xe_008821_T1 Xe_008821
OG0000001	Clytia_hemispherica_TCONS_00004794-protein TCONS_00004794-protein	Xenia_spec_Xe_007494_T1 Xe_007494_T1 Xe_007494
OG0000001	Clytia_hemispherica_TCONS_00056933-protein TCONS_00056933-protein	Xenia_spec_Xe_002223_T1 Xe_002223_T1 Xe_002223
OG0000002	Clytia_hemispherica_TCONS_00019320-protein TCONS_00019320-protein	Xenia_spec_Xe_002083_T1 Xe_002083_T1 Xe_002083
OG0000002	Clytia_hemispherica_TCONS_00011479-protein TCONS_00011479-protein	Xenia_spec_Xe_002085_T1 Xe_002085_T1 Xe_002085
OG0000002	Clytia_hemispherica_TCONS_00009629-protein TCONS_00009629-protein	Xenia_spec_Xe_002082_T1 Xe_002082_T1 Xe_002082
OG0000002	Clytia_hemispherica_TCONS_00061931-protein TCONS_00061931-protein	Xenia_spec_Xe_009903_T1 Xe_009903_T1 Xe_009903
OG0000002	Clytia_hemispherica_TCONS_00011304-protein TCONS_00011304-protein	Xenia_spec_Xe_009641_T1 Xe_009641_T1 Xe_009641
OG0000002	Clytia_hemispherica_TCONS_00032821-protein TCONS_00032821-protein, Clytia_hemispherica_TCONS_00054066-protein TCONS_00054066-protein	Xenia_spec_Xe_012680_T1 Xe_012680_T1 Xe_012680
OG0000002	Clytia_hemispherica_TCONS_00042536-protein TCONS_00042536-protein, Clytia_hemispherica_TCONS_00008538-protein TCONS_00008538-protein	Xenia_spec_Xe_003253_T1 Xe_003253_T1 Xe_003253
OG0000002	Clytia_hemispherica_TCONS_00010066-protein TCONS_00010066-protein, Clytia_hemispherica_TCONS_00010069-protein TCONS_00010069-protein	Xenia_spec_Xe_012746_T1 Xe_012746_T1 Xe_012746
OG0000002	Clytia_hemispherica_TCONS_00022744-protein TCONS_00022744-protein	Xenia_spec_Xe_007481_T1 Xe_007481_T1 Xe_007481
OG0000002	Clytia_hemispherica_TCONS_00050250-protein TCONS_00050250-protein, Clytia_hemispherica_TCONS_00030562-protein TCONS_00030562-protein, Clytia_hemispherica_TCONS_00070450-protein TCONS_00070450-protein	Xenia_spec_Xe_014527_T1 Xe_014527_T1 Xe_014527, Xenia_spec_Xe_014521_T1 Xe_014521_T1 Xe_014521
OG0000003	Clytia_hemispherica_TCONS_00063447-protein TCONS_00063447-protein, Clytia_hemispherica_TCONS_00021701-protein TCONS_00021701-protein	Xenia_spec_Xe_008214_T1 Xe_008214_T1 Xe_008214
OG0000003	Clytia_hemispherica_TCONS_00003294-protein TCONS_00003294-protein	Xenia_spec_Xe_009803_T1 Xe_009803_T1 Xe_009803, Xenia_spec_Xe_009805_T1 Xe_009805_T1 Xe_009805, Xenia_spec_Xe_009799_T1 Xe_009799_T1 Xe_009799
OG0000003	Clytia_hemispherica_TCONS_00048264-protein TCONS_00048264-protein	Xenia_spec_Xe_013651_T1 Xe_013651_T1 Xe_013651
