Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Porifera_Demospongiae_Ephydatia_muelleri
OG0000000	Exaiptasia_diaphana_XP_020909468.1 XP_020909468.1 ryncolin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514930.1 XP_028514930.1 hemicentin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900723.1 XP_020900723.1 fibrinogen-like protein A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517405.1 XP_028517405.1 fibrinogen-like protein A_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909470.1 XP_020909470.1 ficolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901995.2 XP_020901995.2 uncharacterized protein LOC110240525 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907418.1 XP_020907418.1 protein turtle isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516784.1 XP_028516784.1 roundabout homolog 3 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906591.2 XP_020906591.2 angiopoietin-related protein 7_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892707.2 XP_020892707.2 interference hedgehog-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901313.2 XP_020901313.2 uncharacterized protein LOC110239899 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901126.2 XP_020901126.2 interference hedgehog-like isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515058.1 XP_028515058.1 uncharacterized protein LOC110239728 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910039.2 XP_020910039.2 protein turtle [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515958.1 XP_028515958.1 uncharacterized protein LOC110242681 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517624.1 XP_028517624.1 uncharacterized protein LOC114575960 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512766.1 XP_028512766.1 LOW QUALITY PROTEIN_ uncharacterized protein LOC110231967 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512763.1 XP_028512763.1 contactin-5-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516591.1 XP_028516591.1 peroxidasin homolog [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517682.1 XP_028517682.1 hemicentin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907417.2 XP_020907417.2 angiopoietin-related protein 7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515950.1 XP_028515950.1 uncharacterized protein LOC110242692 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515947.1 XP_028515947.1 uncharacterized protein LOC110242689 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904368.2 XP_020904368.2 uncharacterized protein LOC110242694 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904386.1 XP_020904386.1 uncharacterized protein LOC110242712 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512764.1 XP_028512764.1 uncharacterized protein LOC110231966 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916327.1 XP_020916327.1 uncharacterized protein LOC110253717 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904387.2 XP_020904387.2 myosin light chain kinase_ smooth muscle [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516547.1 XP_028516547.1 macrophage receptor MARCO_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515948.1 XP_028515948.1 LOW QUALITY PROTEIN_ roundabout homolog 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901132.1 XP_020901132.1 obscurin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904409.2 XP_020904409.2 roundabout homolog 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901700.2 XP_020901700.2 muscle M-line assembly protein unc-89 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900320.1 XP_020900320.1 titin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514822.1 XP_028514822.1 basement membrane proteoglycan-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902245.2 XP_020902245.2 hemicentin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904712.2 XP_020904712.2 hemicentin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516592.1 XP_028516592.1 ryncolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515949.1 XP_028515949.1 ficolin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517410.1 XP_028517410.1 ryncolin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516950.1 XP_028516950.1 fibrinogen C domain-containing protein 1-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514603.1 XP_028514603.1 ficolin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514604.1 XP_028514604.1 ficolin-2 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899430.1 XP_020899430.1 microfibril-associated glycoprotein 4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896727.1 XP_020896727.1 microfibril-associated glycoprotein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896726.1 XP_020896726.1 ficolin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517872.1 XP_028517872.1 ficolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519151.1 XP_028519151.1 microfibril-associated glycoprotein 4-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519152.1 XP_028519152.1 fibrinogen C domain-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519153.1 XP_028519153.1 ficolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514372.1 XP_028514372.1 ficolin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908817.1 XP_020908817.1 fibrinogen-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908818.1 XP_020908818.1 fibrinogen-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517227.1 XP_028517227.1 ficolin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898929.1 XP_020898929.1 ryncolin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907414.1 XP_020907414.1 ryncolin-4 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907413.1 XP_020907413.1 ryncolin-4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516781.1 XP_028516781.1 techylectin-5B isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516780.1 XP_028516780.1 ryncolin-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915299.1 XP_020915299.1 techylectin-5B [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915296.1 XP_020915296.1 microfibril-associated glycoprotein 4-like isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907416.2 XP_020907416.2 ryncolin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906440.2 XP_020906440.2 ryncolin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915297.1 XP_020915297.1 microfibril-associated glycoprotein 4-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915295.1 XP_020915295.1 LOW QUALITY PROTEIN_ ficolin-2-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909125.2 XP_020909125.2 ryncolin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909200.1 XP_020909200.1 ryncolin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909132.2 XP_020909132.2 ryncolin-2 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909205.1 XP_020909205.1 ryncolin-2 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897244.1 XP_020897244.1 ryncolin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897245.1 XP_020897245.1 ryncolin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892914.2 XP_020892914.2 microfibril-associated glycoprotein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902044.1 XP_020902044.1 ryncolin-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515321.1 XP_028515321.1 microfibril-associated glycoprotein 4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515322.1 XP_028515322.1 ryncolin-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515324.1 XP_028515324.1 microfibril-associated glycoprotein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897261.1 XP_020897261.1 ryncolin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514008.1 XP_028514008.1 ryncolin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898377.1 XP_020898377.1 fibrinogen C domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898316.2 XP_020898316.2 microfibril-associated glycoprotein 4-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513997.1 XP_028513997.1 ryncolin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513996.1 XP_028513996.1 microfibril-associated glycoprotein 4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903268.1 XP_020903268.1 fibrinogen-like protein A isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903269.1 XP_020903269.1 fibrinogen-like protein A isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907168.1 XP_020907168.1 ficolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903272.1 XP_020903272.1 ficolin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899812.1 XP_020899812.1 techylectin-5B [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020891997.1 XP_020891997.1 techylectin-5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915140.2 XP_020915140.2 ficolin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915176.2 XP_020915176.2 techylectin-5B-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519070.1 XP_028519070.1 uncharacterized protein LOC110252679 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519064.1 XP_028519064.1 techylectin-5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901441.2 XP_020901441.2 ryncolin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915180.1 XP_020915180.1 fibrinogen C domain-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908476.1 XP_020908476.1 techylectin-5B-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893436.1 XP_020893436.1 techylectin-5B-like_ partial [Exaiptasia diaphana]	Ephydatia_muelleri_Em0001g3419a Em0001g3419a, Ephydatia_muelleri_Em0001g3405a Em0001g3405a, Ephydatia_muelleri_Em0001g3413a Em0001g3413a, Ephydatia_muelleri_Em0001g3310a Em0001g3310a, Ephydatia_muelleri_Em0001g3415a Em0001g3415a, Ephydatia_muelleri_Em0001g3392a Em0001g3392a, Ephydatia_muelleri_Em0001g3535a Em0001g3535a, Ephydatia_muelleri_Em0001g3515a Em0001g3515a
OG0000000	Exaiptasia_diaphana_XP_028512814.1 XP_028512814.1 uncharacterized protein LOC110232112 [Exaiptasia diaphana]	Ephydatia_muelleri_Em0018g742a Em0018g742a, Ephydatia_muelleri_Em0142g7a Em0142g7a, Ephydatia_muelleri_Em0018g746a Em0018g746a, Ephydatia_muelleri_Em0142g1a Em0142g1a, Ephydatia_muelleri_Em0003g608a Em0003g608a, Ephydatia_muelleri_Em0142g5a Em0142g5a, Ephydatia_muelleri_Em0018g738a Em0018g738a, Ephydatia_muelleri_Em0018g755a Em0018g755a, Ephydatia_muelleri_Em0142g6a Em0142g6a, Ephydatia_muelleri_Em0018g737a Em0018g737a, Ephydatia_muelleri_Em0003g603a Em0003g603a, Ephydatia_muelleri_Em0011g289a Em0011g289a, Ephydatia_muelleri_Em0017g354a Em0017g354a, Ephydatia_muelleri_Em0018g765a Em0018g765a, Ephydatia_muelleri_Em0018g745a Em0018g745a, Ephydatia_muelleri_Em0018g749a Em0018g749a, Ephydatia_muelleri_Em0018g729a Em0018g729a, Ephydatia_muelleri_Em0142g4a Em0142g4a, Ephydatia_muelleri_Em0018g722a Em0018g722a, Ephydatia_muelleri_Em0018g751a Em0018g751a, Ephydatia_muelleri_Em0018g766a Em0018g766a, Ephydatia_muelleri_Em0018g741a Em0018g741a, Ephydatia_muelleri_Em0018g747a Em0018g747a, Ephydatia_muelleri_Em0018g739a Em0018g739a, Ephydatia_muelleri_Em0018g756a Em0018g756a, Ephydatia_muelleri_Em0018g728a Em0018g728a
OG0000001	Exaiptasia_diaphana_XP_020908873.1 XP_020908873.1 fibronectin type III domain-containing protein isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908871.1 XP_020908871.1 fibronectin type III domain-containing protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908872.1 XP_020908872.1 fibronectin type III domain-containing protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516734.1 XP_028516734.1 fibronectin type III domain-containing protein [Exaiptasia diaphana]	Ephydatia_muelleri_Em0009g1115a Em0009g1115a
OG0000001	Exaiptasia_diaphana_XP_020900342.1 XP_020900342.1 receptor-type tyrosine-protein phosphatase delta_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900689.1 XP_020900689.1 uncharacterized protein LOC110239316 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896540.1 XP_020896540.1 uncharacterized protein LOC110235419 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512881.1 XP_028512881.1 uncharacterized protein LOC110232353 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519676.1 XP_028519676.1 uncharacterized protein LOC110254595 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516859.1 XP_028516859.1 uncharacterized protein LOC110245738 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896606.1 XP_020896606.1 uncharacterized protein LOC110235487 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519684.1 XP_028519684.1 uncharacterized protein LOC110254618 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516606.1 XP_028516606.1 protein sidekick [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515621.1 XP_028515621.1 protein sidekick-1-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515622.1 XP_028515622.1 phosphatidylinositol phosphatase PTPRQ [Exaiptasia diaphana]	Ephydatia_muelleri_Em0015g115a Em0015g115a, Ephydatia_muelleri_Em0015g114a Em0015g114a, Ephydatia_muelleri_Em0015g113a Em0015g113a
OG0000001	Exaiptasia_diaphana_XP_020908404.2 XP_020908404.2 protein sidekick-2_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512496.1 XP_028512496.1 protein sidekick-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911996.2 XP_020911996.2 protein sidekick-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512495.1 XP_028512495.1 protein sidekick-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516624.1 XP_028516624.1 receptor-type tyrosine-protein phosphatase delta [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518888.1 XP_028518888.1 tyrosine-protein phosphatase Lar_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516631.1 XP_028516631.1 protein sidekick-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911637.1 XP_020911637.1 receptor-type tyrosine-protein phosphatase F_ partial [Exaiptasia diaphana]	Ephydatia_muelleri_Em0021g358a Em0021g358a, Ephydatia_muelleri_Em0021g361a Em0021g361a, Ephydatia_muelleri_Em0003g1623a Em0003g1623a, Ephydatia_muelleri_Em0003g1616a Em0003g1616a, Ephydatia_muelleri_Em0003g1628a Em0003g1628a, Ephydatia_muelleri_Em0011g443a Em0011g443a
OG0000001	Exaiptasia_diaphana_XP_020914496.2 XP_020914496.2 phosphatidylinositol phosphatase PTPRQ [Exaiptasia diaphana]	Ephydatia_muelleri_Em0308g1a Em0308g1a, Ephydatia_muelleri_Em0304g1a Em0304g1a, Ephydatia_muelleri_Em0178g1a Em0178g1a, Ephydatia_muelleri_Em0119g1a Em0119g1a, Ephydatia_muelleri_Em0001g2804a Em0001g2804a, Ephydatia_muelleri_Em0610g2a Em0610g2a, Ephydatia_muelleri_Em0001g2801a Em0001g2801a, Ephydatia_muelleri_Em0015g484a Em0015g484a, Ephydatia_muelleri_Em0001g2821a Em0001g2821a, Ephydatia_muelleri_Em0001g2790a Em0001g2790a, Ephydatia_muelleri_Em0542g1a Em0542g1a, Ephydatia_muelleri_Em0607g3a Em0607g3a
OG0000001	Exaiptasia_diaphana_XP_028512987.1 XP_028512987.1 usherin [Exaiptasia diaphana]	Ephydatia_muelleri_Em0019g102a Em0019g102a
OG0000001	Exaiptasia_diaphana_XP_020916246.1 XP_020916246.1 laminin subunit alpha [Exaiptasia diaphana]	Ephydatia_muelleri_Em0016g530a Em0016g530a
OG0000002	Exaiptasia_diaphana_XP_028516981.1 XP_028516981.1 mucin-7-like_ partial [Exaiptasia diaphana]	Ephydatia_muelleri_Em0019g573a Em0019g573a, Ephydatia_muelleri_Em0019g563a Em0019g563a, Ephydatia_muelleri_Em0019g588a Em0019g588a, Ephydatia_muelleri_Em0007g817a Em0007g817a
OG0000002	Exaiptasia_diaphana_XP_028515903.1 XP_028515903.1 hemicentin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515902.1 XP_028515902.1 hemicentin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514310.1 XP_028514310.1 hemicentin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898306.1 XP_020898306.1 hemicentin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515910.1 XP_028515910.1 uncharacterized protein LOC114575375 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519564.1 XP_028519564.1 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512748.1 XP_028512748.1 coadhesin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512668.1 XP_028512668.1 SCO-spondin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512672.1 XP_028512672.1 uncharacterized protein LOC114574392 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514920.1 XP_028514920.1 uncharacterized protein LOC110239318_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516844.1 XP_028516844.1 uncharacterized protein LOC110245675 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903382.1 XP_020903382.1 uncharacterized protein LOC110241817 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897811.1 XP_020897811.1 uncharacterized protein LOC110236613 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514725.1 XP_028514725.1 proprotein convertase subtilisin_kexin type 6_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517750.1 XP_028517750.1 proprotein convertase subtilisin_kexin type 6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911994.1 XP_020911994.1 SCO-spondin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912114.1 XP_020912114.1 coadhesin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907214.2 XP_020907214.2 uncharacterized protein LOC110245292 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516738.1 XP_028516738.1 uncharacterized protein LOC110245292 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516739.1 XP_028516739.1 uncharacterized protein LOC110245292 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518467.1 XP_028518467.1 uncharacterized protein LOC110250637 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892077.1 XP_020892077.1 coadhesin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898400.1 XP_020898400.1 coadhesin isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514363.1 XP_028514363.1 coadhesin isoform X2 [Exaiptasia diaphana]	Ephydatia_muelleri_Em0018g930a Em0018g930a, Ephydatia_muelleri_Em0011g758a Em0011g758a, Ephydatia_muelleri_Em0018g931a Em0018g931a
