Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Nematoda_Chromadorea_Caenorhabditis_elegans
OG0000000	Coturnix_japonica_XP_015734261.1 tenascin isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015725285.1 PREDICTED_ tenascin-R isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015725046.1 tenascin-N [Coturnix japonica]	Caenorhabditis_elegans_T15B7.1 T15B7.1, Caenorhabditis_elegans_C49C8.5 C49C8.5, Caenorhabditis_elegans_Y43C5A.2 Y43C5A.2, Caenorhabditis_elegans_T01D3.6b T01D3.6b
OG0000000	Coturnix_japonica_XP_015706135.1 PREDICTED_ microfibril-associated glycoprotein 4_ partial [Coturnix japonica], Coturnix_japonica_XP_015716417.1 fibrinogen alpha chain [Coturnix japonica], Coturnix_japonica_XP_015716415.1 fibrinogen beta chain [Coturnix japonica], Coturnix_japonica_XP_015716494.1 fibrinogen gamma chain [Coturnix japonica], Coturnix_japonica_XP_015717701.1 fibrinogen-like protein 1 [Coturnix japonica], Coturnix_japonica_XP_015734889.1 angiopoietin-related protein 2 [Coturnix japonica], Coturnix_japonica_XP_015725101.1 angiopoietin-related protein 1 [Coturnix japonica], Coturnix_japonica_XP_015737920.1 angiopoietin-related protein 7 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015737426.1 angiopoietin-4 [Coturnix japonica], Coturnix_japonica_XP_015714782.1 angiopoietin-2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015711648.1 angiopoietin-1 [Coturnix japonica], Coturnix_japonica_XP_015741945.1 angiopoietin-related protein 4 [Coturnix japonica], Coturnix_japonica_XP_015726184.1 angiopoietin-related protein 3 [Coturnix japonica], Coturnix_japonica_XP_015707743.1 angiopoietin-related protein 5 [Coturnix japonica], Coturnix_japonica_XP_015738452.1 fibroleukin [Coturnix japonica], Coturnix_japonica_XP_015734076.1 PREDICTED_ tenascin-X [Coturnix japonica]	Caenorhabditis_elegans_D1009.3b D1009.3b
OG0000001	Coturnix_japonica_XP_015732925.1 netrin-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015735411.1 netrin-1 [Coturnix japonica]	Caenorhabditis_elegans_F41C6.1 F41C6.1
OG0000001	Coturnix_japonica_XP_015734644.1 laminin subunit gamma-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015725067.1 laminin subunit gamma-1 [Coturnix japonica]	Caenorhabditis_elegans_C54D1.5 C54D1.5
OG0000001	Coturnix_japonica_XP_015710772.1 laminin subunit alpha-1 [Coturnix japonica]	Caenorhabditis_elegans_T22A3.8 T22A3.8
OG0000002	Coturnix_japonica_XP_015728452.1 semaphorin-6D isoform X7 [Coturnix japonica], Coturnix_japonica_XP_015705476.1 semaphorin-6A isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015742241.1 semaphorin-6B isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015740145.1 PREDICTED_ semaphorin-6C isoform X3 [Coturnix japonica]	Caenorhabditis_elegans_Y54E5B.1c Y54E5B.1c
OG0000003	Coturnix_japonica_XP_015739942.1 brevican core protein isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015742251.2 neurocan core protein isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015728567.1 PREDICTED_ aggrecan core protein isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015705249.1 PREDICTED_ versican core protein isoform X1 [Coturnix japonica]	Caenorhabditis_elegans_T19E7.1 T19E7.1
OG0000003	Coturnix_japonica_XP_015714842.1 PREDICTED_ collectin-11 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015711709.1 collectin-10 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015721592.1 mannose-binding protein [Coturnix japonica]	Caenorhabditis_elegans_K02F3.5 K02F3.5
OG0000003	Coturnix_japonica_XP_015709635.1 tetranectin [Coturnix japonica], Coturnix_japonica_XP_015729671.1 C-type lectin domain family 3 member A [Coturnix japonica]	Caenorhabditis_elegans_C54D1.2 C54D1.2, Caenorhabditis_elegans_Y38H6C.8 Y38H6C.8, Caenorhabditis_elegans_R06B10.3 R06B10.3
OG0000003	Coturnix_japonica_XP_015710863.1 collectin-12 [Coturnix japonica]	Caenorhabditis_elegans_F25B4.9 F25B4.9
OG0000003	Coturnix_japonica_XP_015703924.1 CD209 antigen-like protein E isoform X2 [Coturnix japonica]	Caenorhabditis_elegans_R07C3.1 R07C3.1, Caenorhabditis_elegans_ZK863.9 ZK863.9, Caenorhabditis_elegans_Y48E1B.9b Y48E1B.9b, Caenorhabditis_elegans_Y48E1B.16 Y48E1B.16, Caenorhabditis_elegans_ZK896.7 ZK896.7, Caenorhabditis_elegans_Y19D10A.9 Y19D10A.9, Caenorhabditis_elegans_ZK896.6 ZK896.6, Caenorhabditis_elegans_C07A9.1 C07A9.1, Caenorhabditis_elegans_C30H6.4 C30H6.4, Caenorhabditis_elegans_C30H6.1e C30H6.1e, Caenorhabditis_elegans_C49C3.13 C49C3.13
OG0000004	Coturnix_japonica_XP_015715058.1 matrilin-3 [Coturnix japonica], Coturnix_japonica_XP_015711574.1 matrilin-2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015738684.1 cartilage matrix protein [Coturnix japonica], Coturnix_japonica_XP_015737175.1 PREDICTED_ matrilin-4 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015737176.1 PREDICTED_ matrilin-4 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015714716.1 collagen alpha-1_XXI_ chain [Coturnix japonica], Coturnix_japonica_XP_015711896.1 collagen alpha-1_XXII_ chain isoform X1 [Coturnix japonica]	Caenorhabditis_elegans_K07D8.1 K07D8.1, Caenorhabditis_elegans_K08E5.3b K08E5.3b
OG0000005	Coturnix_japonica_XP_015720065.1 astacin-like metalloendopeptidase [Coturnix japonica]	Caenorhabditis_elegans_F45G2.1 F45G2.1, Caenorhabditis_elegans_C07D10.4 C07D10.4, Caenorhabditis_elegans_C34D4.9 C34D4.9, Caenorhabditis_elegans_T23H4.3 T23H4.3, Caenorhabditis_elegans_C24F3.3 C24F3.3
OG0000009	Coturnix_japonica_XP_015722340.1 tolloid-like protein 2 [Coturnix japonica], Coturnix_japonica_XP_015716446.1 tolloid-like protein 1 isoform X1 [Coturnix japonica]	Caenorhabditis_elegans_F38E9.2 F38E9.2
OG0000010	Coturnix_japonica_XP_015703969.1 pikachurin [Coturnix japonica]	Caenorhabditis_elegans_T19D12.6 T19D12.6
OG0000010	Coturnix_japonica_XP_015738166.1 agrin isoform X4 [Coturnix japonica]	Caenorhabditis_elegans_F41G3.12 F41G3.12
OG0000013	Coturnix_japonica_XP_015708300.1 protein Wnt-16 [Coturnix japonica]	Caenorhabditis_elegans_W08D2.1 W08D2.1
OG0000013	Coturnix_japonica_XP_015737876.1 protein Wnt-4 isoform X2 [Coturnix japonica]	Caenorhabditis_elegans_K10B4.6a K10B4.6a
OG0000013	Coturnix_japonica_XP_015720854.1 protein Wnt-5b [Coturnix japonica], Coturnix_japonica_XP_015730917.1 protein Wnt-5a isoform X2 [Coturnix japonica]	Caenorhabditis_elegans_W01B6.1 W01B6.1
OG0000013	Coturnix_japonica_XP_015724730.1 protein Wnt-10a [Coturnix japonica]	Caenorhabditis_elegans_E01A2.3 E01A2.3
OG0000013	Coturnix_japonica_XP_015740908.1 PREDICTED_ protein Wnt-9b [Coturnix japonica], Coturnix_japonica_XP_015708473.1 protein Wnt-9a [Coturnix japonica]	Caenorhabditis_elegans_F38E1.7 F38E1.7
OG0000014	Coturnix_japonica_XP_015704587.1 ADAMTS-like protein 1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015728496.1 ADAMTS-like protein 3 isoform X1 [Coturnix japonica]	Caenorhabditis_elegans_F53B6.2c F53B6.2c
OG0000014	Coturnix_japonica_XP_015720070.1 papilin isoform X1 [Coturnix japonica]	Caenorhabditis_elegans_C37C3.6c C37C3.6c
