Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000000	Acropora_digitifera_adi_v1.08380 adi_v1.08380	Nematostella_vectensis_NV2t007004001.1 NV2t007004001.1
OG0000000	Acropora_digitifera_adi_v1.14253 adi_v1.14253, Acropora_digitifera_adi_v1.08651 adi_v1.08651, Acropora_digitifera_adi_v1.00456 adi_v1.00456, Acropora_digitifera_adi_v1.08650 adi_v1.08650	Nematostella_vectensis_NV2t003941001.1 NV2t003941001.1
OG0000000	Acropora_digitifera_adi_v1.08974 adi_v1.08974, Acropora_digitifera_adi_v1.17747 adi_v1.17747, Acropora_digitifera_adi_v1.10971 adi_v1.10971, Acropora_digitifera_adi_v1.03089 adi_v1.03089, Acropora_digitifera_adi_v1.18895 adi_v1.18895	Nematostella_vectensis_NV2t016067001.1 NV2t016067001.1, Nematostella_vectensis_NV2t025471001.1 NV2t025471001.1, Nematostella_vectensis_NV2t025467001.1 NV2t025467001.1, Nematostella_vectensis_NV2t025470001.1 NV2t025470001.1, Nematostella_vectensis_NV2t025464001.1 NV2t025464001.1, Nematostella_vectensis_NV2t025526001.1 NV2t025526001.1
OG0000000	Acropora_digitifera_adi_v1.19827 adi_v1.19827	Nematostella_vectensis_NV2t017967001.1 NV2t017967001.1
OG0000001	Acropora_digitifera_adi_v1.01396 adi_v1.01396	Nematostella_vectensis_NV2t020012002.1 NV2t020012002.1, Nematostella_vectensis_NV2t020009001.1 NV2t020009001.1, Nematostella_vectensis_NV2t020012001.1 NV2t020012001.1
OG0000001	Acropora_digitifera_adi_v1.02555 adi_v1.02555	Nematostella_vectensis_NV2t020323001.1 NV2t020323001.1, Nematostella_vectensis_NV2t020323002.1 NV2t020323002.1, Nematostella_vectensis_NV2t024355001.1 NV2t024355001.1, Nematostella_vectensis_NV2t024348001.1 NV2t024348001.1, Nematostella_vectensis_NV2t024359002.1 NV2t024359002.1
OG0000001	Acropora_digitifera_adi_v1.16442 adi_v1.16442, Acropora_digitifera_adi_v1.14600 adi_v1.14600	Nematostella_vectensis_NV2t001171001.1 NV2t001171001.1
OG0000001	Acropora_digitifera_adi_v1.11962 adi_v1.11962	Nematostella_vectensis_NV2t000702003.1 NV2t000702003.1, Nematostella_vectensis_NV2t000702002.1 NV2t000702002.1, Nematostella_vectensis_NV2t000702004.1 NV2t000702004.1, Nematostella_vectensis_NV2t000702005.1 NV2t000702005.1, Nematostella_vectensis_NV2t000702006.1 NV2t000702006.1, Nematostella_vectensis_NV2t000702001.1 NV2t000702001.1
OG0000001	Acropora_digitifera_adi_v1.08764 adi_v1.08764	Nematostella_vectensis_NV2t014222001.1 NV2t014222001.1, Nematostella_vectensis_NV2t014222002.1 NV2t014222002.1
OG0000001	Acropora_digitifera_adi_v1.04277 adi_v1.04277	Nematostella_vectensis_NV2t019077001.1 NV2t019077001.1
OG0000001	Acropora_digitifera_adi_v1.21086 adi_v1.21086	Nematostella_vectensis_NV2t011946001.1 NV2t011946001.1, Nematostella_vectensis_NV2t011946002.1 NV2t011946002.1, Nematostella_vectensis_NV2t011946003.1 NV2t011946003.1
OG0000001	Acropora_digitifera_adi_v1.11064 adi_v1.11064	Nematostella_vectensis_NV2t016932001.1 NV2t016932001.1, Nematostella_vectensis_NV2t022950001.1 NV2t022950001.1, Nematostella_vectensis_NV2t016931001.1 NV2t016931001.1
OG0000001	Acropora_digitifera_adi_v1.00967 adi_v1.00967	Nematostella_vectensis_NV2t006892003.1 NV2t006892003.1, Nematostella_vectensis_NV2t006892004.1 NV2t006892004.1, Nematostella_vectensis_NV2t006892002.1 NV2t006892002.1, Nematostella_vectensis_NV2t006892001.1 NV2t006892001.1
OG0000001	Acropora_digitifera_adi_v1.03506 adi_v1.03506	Nematostella_vectensis_NV2t022749001.1 NV2t022749001.1
OG0000001	Acropora_digitifera_adi_v1.23959 adi_v1.23959, Acropora_digitifera_adi_v1.15527 adi_v1.15527, Acropora_digitifera_adi_v1.22420 adi_v1.22420, Acropora_digitifera_adi_v1.18763 adi_v1.18763, Acropora_digitifera_adi_v1.21915 adi_v1.21915, Acropora_digitifera_adi_v1.11811 adi_v1.11811	Nematostella_vectensis_NV2t011900001.1 NV2t011900001.1, Nematostella_vectensis_NV2t000599002.1 NV2t000599002.1, Nematostella_vectensis_NV2t000599001.1 NV2t000599001.1
OG0000001	Acropora_digitifera_adi_v1.14231 adi_v1.14231, Acropora_digitifera_adi_v1.21625 adi_v1.21625	Nematostella_vectensis_NV2t003810001.1 NV2t003810001.1, Nematostella_vectensis_NV2t011961001.1 NV2t011961001.1
OG0000001	Acropora_digitifera_adi_v1.09526 adi_v1.09526, Acropora_digitifera_adi_v1.13954 adi_v1.13954, Acropora_digitifera_adi_v1.22460 adi_v1.22460	Nematostella_vectensis_NV2t001802001.1 NV2t001802001.1
OG0000001	Acropora_digitifera_adi_v1.01229 adi_v1.01229	Nematostella_vectensis_NV2t020014001.1 NV2t020014001.1
OG0000001	Acropora_digitifera_adi_v1.10769 adi_v1.10769	Nematostella_vectensis_NV2t025732001.1 NV2t025732001.1
OG0000001	Acropora_digitifera_adi_v1.01960 adi_v1.01960	Nematostella_vectensis_NV2t007734002.1 NV2t007734002.1, Nematostella_vectensis_NV2t007734004.1 NV2t007734004.1, Nematostella_vectensis_NV2t007734001.1 NV2t007734001.1, Nematostella_vectensis_NV2t007734003.1 NV2t007734003.1
OG0000001	Acropora_digitifera_adi_v1.06175 adi_v1.06175	Nematostella_vectensis_NV2t025737001.1 NV2t025737001.1
OG0000001	Acropora_digitifera_adi_v1.11383 adi_v1.11383	Nematostella_vectensis_NV2t024496001.1 NV2t024496001.1, Nematostella_vectensis_NV2t024496003.1 NV2t024496003.1, Nematostella_vectensis_NV2t024496004.1 NV2t024496004.1
OG0000001	Acropora_digitifera_adi_v1.19391 adi_v1.19391, Acropora_digitifera_adi_v1.06434 adi_v1.06434	Nematostella_vectensis_NV2t024158001.1 NV2t024158001.1, Nematostella_vectensis_NV2t022843001.1 NV2t022843001.1, Nematostella_vectensis_NV2t022840001.1 NV2t022840001.1
OG0000002	Acropora_digitifera_adi_v1.12948 adi_v1.12948	Nematostella_vectensis_NV2t017239001.1 NV2t017239001.1, Nematostella_vectensis_NV2t017582001.1 NV2t017582001.1
OG0000002	Acropora_digitifera_adi_v1.10669 adi_v1.10669	Nematostella_vectensis_NV2t025728001.1 NV2t025728001.1
OG0000002	Acropora_digitifera_adi_v1.00160 adi_v1.00160, Acropora_digitifera_adi_v1.00161 adi_v1.00161	Nematostella_vectensis_NV2t023884001.1 NV2t023884001.1, Nematostella_vectensis_NV2t023884002.1 NV2t023884002.1
OG0000002	Acropora_digitifera_adi_v1.14607 adi_v1.14607	Nematostella_vectensis_NV2t014418001.1 NV2t014418001.1
OG0000002	Acropora_digitifera_adi_v1.09542 adi_v1.09542	Nematostella_vectensis_NV2t015519002.1 NV2t015519002.1, Nematostella_vectensis_NV2t015519001.1 NV2t015519001.1
OG0000002	Acropora_digitifera_adi_v1.01703 adi_v1.01703, Acropora_digitifera_adi_v1.01702 adi_v1.01702, Acropora_digitifera_adi_v1.01379 adi_v1.01379, Acropora_digitifera_adi_v1.14561 adi_v1.14561, Acropora_digitifera_adi_v1.01794 adi_v1.01794, Acropora_digitifera_adi_v1.18031 adi_v1.18031	Nematostella_vectensis_NV2t011758001.1 NV2t011758001.1
OG0000002	Acropora_digitifera_adi_v1.10800 adi_v1.10800	Nematostella_vectensis_NV2t022863003.1 NV2t022863003.1, Nematostella_vectensis_NV2t022863001.1 NV2t022863001.1, Nematostella_vectensis_NV2t022863002.1 NV2t022863002.1
OG0000002	Acropora_digitifera_adi_v1.13790 adi_v1.13790	Nematostella_vectensis_NV2t011502001.1 NV2t011502001.1
OG0000002	Acropora_digitifera_adi_v1.09130 adi_v1.09130, Acropora_digitifera_adi_v1.09132 adi_v1.09132	Nematostella_vectensis_NV2t010038001.1 NV2t010038001.1
OG0000002	Acropora_digitifera_adi_v1.03981 adi_v1.03981	Nematostella_vectensis_NV2t004066003.1 NV2t004066003.1, Nematostella_vectensis_NV2t004066001.1 NV2t004066001.1, Nematostella_vectensis_NV2t004066002.1 NV2t004066002.1
OG0000002	Acropora_digitifera_adi_v1.19508 adi_v1.19508, Acropora_digitifera_adi_v1.13412 adi_v1.13412, Acropora_digitifera_adi_v1.12190 adi_v1.12190	Nematostella_vectensis_NV2t023447001.1 NV2t023447001.1, Nematostella_vectensis_NV2t023447002.1 NV2t023447002.1
