Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000000	Coturnix_japonica_XP_015737426.1 angiopoietin-4 [Coturnix japonica], Coturnix_japonica_XP_015714782.1 angiopoietin-2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015711648.1 angiopoietin-1 [Coturnix japonica]	Morbakka_virulenta_scaffold713.g2.t2 scaffold713.g2.t2, Morbakka_virulenta_scaffold713.g2.t1 scaffold713.g2.t1, Morbakka_virulenta_scaffold16.g2.t1 scaffold16.g2.t1
OG0000001	Coturnix_japonica_XP_015725071.1 laminin subunit gamma-2 [Coturnix japonica]	Morbakka_virulenta_scaffold626.g1.t2 scaffold626.g1.t2
OG0000001	Coturnix_japonica_XP_015706098.1 PREDICTED_ laminin subunit beta-4 [Coturnix japonica], Coturnix_japonica_XP_015730671.1 laminin subunit beta-2 [Coturnix japonica], Coturnix_japonica_XP_015706984.1 laminin subunit beta-1 [Coturnix japonica]	Morbakka_virulenta_scaffold19.g85.t2 scaffold19.g85.t2, Morbakka_virulenta_scaffold19.g85.t4 scaffold19.g85.t4, Morbakka_virulenta_scaffold19.g85.t3 scaffold19.g85.t3, Morbakka_virulenta_scaffold19.g85.t1 scaffold19.g85.t1
OG0000001	Coturnix_japonica_XP_015734637.1 PREDICTED_ netrin-G2 isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015724985.1 netrin-G1 isoform X4 [Coturnix japonica]	Morbakka_virulenta_scaffold35.g66.t1 scaffold35.g66.t1, Morbakka_virulenta_scaffold152.g29.t1 scaffold152.g29.t1, Morbakka_virulenta_scaffold152.g29.t2 scaffold152.g29.t2, Morbakka_virulenta_scaffold152.g29.t3 scaffold152.g29.t3
OG0000001	Coturnix_japonica_XP_015734644.1 laminin subunit gamma-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015725067.1 laminin subunit gamma-1 [Coturnix japonica]	Morbakka_virulenta_scaffold1.g52.t1 scaffold1.g52.t1, Morbakka_virulenta_scaffold1.g52.t2 scaffold1.g52.t2
OG0000001	Coturnix_japonica_XP_015710772.1 laminin subunit alpha-1 [Coturnix japonica]	Morbakka_virulenta_scaffold55.g42.t1 scaffold55.g42.t1
OG0000002	Coturnix_japonica_XP_015741579.1 cartilage oligomeric matrix protein [Coturnix japonica], Coturnix_japonica_XP_015704105.1 thrombospondin-4 isoform X1 [Coturnix japonica]	Morbakka_virulenta_scaffold164.g26.t1 scaffold164.g26.t1
OG0000002	Coturnix_japonica_XP_015709878.1 semaphorin-5A [Coturnix japonica], Coturnix_japonica_XP_015724160.1 semaphorin-5B isoform X2 [Coturnix japonica]	Morbakka_virulenta_scaffold24.g105.t1 scaffold24.g105.t1
OG0000002	Coturnix_japonica_XP_015728452.1 semaphorin-6D isoform X7 [Coturnix japonica], Coturnix_japonica_XP_015705476.1 semaphorin-6A isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015742241.1 semaphorin-6B isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015740145.1 PREDICTED_ semaphorin-6C isoform X3 [Coturnix japonica]	Morbakka_virulenta_scaffold22.g63.t2 scaffold22.g63.t2, Morbakka_virulenta_scaffold22.g63.t3 scaffold22.g63.t3, Morbakka_virulenta_scaffold22.g63.t1 scaffold22.g63.t1
OG0000003	Coturnix_japonica_XP_015714842.1 PREDICTED_ collectin-11 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015711709.1 collectin-10 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015721592.1 mannose-binding protein [Coturnix japonica]	Morbakka_virulenta_scaffold138.g37.t1 scaffold138.g37.t1, Morbakka_virulenta_scaffold14.g14.t1 scaffold14.g14.t1
