Orthogroup	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Danio_rerio
OG0000000	Homo_sapiens_sp_P24821_TENA_HUMAN sp|P24821|TENA_HUMAN Tenascin OS=Homo sapiens OX=9606 GN=TNC PE=1 SV=3	Danio_rerio_tr_E9QHI1_E9QHI1_DANRE tr|E9QHI1|E9QHI1_DANRE Tenascin C OS=Danio rerio OX=7955 GN=tenc PE=1 SV=1, Danio_rerio_tr_F1QYE2_F1QYE2_DANRE tr|F1QYE2|F1QYE2_DANRE Tenascin C OS=Danio rerio OX=7955 GN=tenc PE=1 SV=1
OG0000000	Homo_sapiens_sp_Q92752_TENR_HUMAN sp|Q92752|TENR_HUMAN Tenascin-R OS=Homo sapiens OX=9606 GN=TNR PE=1 SV=3	Danio_rerio_tr_Q7T3T6_Q7T3T6_DANRE tr|Q7T3T6|Q7T3T6_DANRE Tenascin-R OS=Danio rerio OX=7955 GN=tnr PE=1 SV=1
OG0000000	Homo_sapiens_sp_Q9UQP3_TENN_HUMAN sp|Q9UQP3|TENN_HUMAN Tenascin-N OS=Homo sapiens OX=9606 GN=TNN PE=1 SV=2	Danio_rerio_tr_B0S6K6_B0S6K6_DANRE tr|B0S6K6|B0S6K6_DANRE Tenascin N OS=Danio rerio OX=7955 GN=tnw PE=1 SV=1, Danio_rerio_tr_F1QSR3_F1QSR3_DANRE tr|F1QSR3|F1QSR3_DANRE Tenascin N OS=Danio rerio OX=7955 GN=tenw PE=1 SV=2, Danio_rerio_tr_B0S6K5_B0S6K5_DANRE tr|B0S6K5|B0S6K5_DANRE Tenascin N OS=Danio rerio OX=7955 GN=tnw PE=1 SV=1
OG0000000	Homo_sapiens_sp_P02671_FIBA_HUMAN sp|P02671|FIBA_HUMAN Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2	Danio_rerio_tr_B8A5L6_B8A5L6_DANRE tr|B8A5L6|B8A5L6_DANRE Fibrinogen alpha chain OS=Danio rerio OX=7955 GN=sb_cb892 PE=1 SV=1
OG0000000	Homo_sapiens_sp_P02675_FIBB_HUMAN sp|P02675|FIBB_HUMAN Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2	Danio_rerio_tr_Q6NYE1_Q6NYE1_DANRE tr|Q6NYE1|Q6NYE1_DANRE Fibrinogen beta chain OS=Danio rerio OX=7955 GN=wu_fa55c11 PE=1 SV=1
OG0000000	Homo_sapiens_sp_P02679_FIBG_HUMAN sp|P02679|FIBG_HUMAN Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3	Danio_rerio_tr_Q7ZVG7_Q7ZVG7_DANRE tr|Q7ZVG7|Q7ZVG7_DANRE Fgg protein OS=Danio rerio OX=7955 GN=fb60h05 PE=1 SV=1
OG0000000	Homo_sapiens_sp_Q08830_FGL1_HUMAN sp|Q08830|FGL1_HUMAN Fibrinogen-like protein 1 OS=Homo sapiens OX=9606 GN=FGL1 PE=1 SV=3	Danio_rerio_tr_A0A140LG86_A0A140LG86_DANRE tr|A0A140LG86|A0A140LG86_DANRE Fibrinogen-like 1 OS=Danio rerio OX=7955 GN=fgl1 PE=4 SV=1
OG0000000	Homo_sapiens_sp_Q9UKU9_ANGL2_HUMAN sp|Q9UKU9|ANGL2_HUMAN Angiopoietin-related protein 2 OS=Homo sapiens OX=9606 GN=ANGPTL2 PE=1 SV=1	Danio_rerio_tr_Q4LES0_Q4LES0_DANRE tr|Q4LES0|Q4LES0_DANRE Angiopoietin-like 2a OS=Danio rerio OX=7955 GN=angptl2b PE=2 SV=1, Danio_rerio_tr_B0UXH5_B0UXH5_DANRE tr|B0UXH5|B0UXH5_DANRE Angiopoietin-like 2b OS=Danio rerio OX=7955 GN=angptl2 PE=4 SV=1, Danio_rerio_tr_Q5KQT9_Q5KQT9_DANRE tr|Q5KQT9|Q5KQT9_DANRE Angiopoietin-like 2 OS=Danio rerio OX=7955 GN=Angptl2 PE=2 SV=1
OG0000000	Homo_sapiens_sp_Q9Y264_ANGP4_HUMAN sp|Q9Y264|ANGP4_HUMAN Angiopoietin-4 OS=Homo sapiens OX=9606 GN=ANGPT4 PE=1 SV=1	Danio_rerio_tr_X1WC45_X1WC45_DANRE tr|X1WC45|X1WC45_DANRE Angiopoietin 4 OS=Danio rerio OX=7955 GN=angpt4 PE=4 SV=1
OG0000000	Homo_sapiens_sp_Q15389_ANGP1_HUMAN sp|Q15389|ANGP1_HUMAN Angiopoietin-1 OS=Homo sapiens OX=9606 GN=ANGPT1 PE=1 SV=2	Danio_rerio_tr_Q90Z19_Q90Z19_DANRE tr|Q90Z19|Q90Z19_DANRE Angiopoietin-1 OS=Danio rerio OX=7955 GN=ang1 PE=2 SV=1
OG0000000	Homo_sapiens_sp_Q9BY76_ANGL4_HUMAN sp|Q9BY76|ANGL4_HUMAN Angiopoietin-related protein 4 OS=Homo sapiens OX=9606 GN=ANGPTL4 PE=1 SV=2, Homo_sapiens_sp_Q9Y5C1_ANGL3_HUMAN sp|Q9Y5C1|ANGL3_HUMAN Angiopoietin-related protein 3 OS=Homo sapiens OX=9606 GN=ANGPTL3 PE=1 SV=1	Danio_rerio_tr_A0A8N7UZN6_A0A8N7UZN6_DANRE tr|A0A8N7UZN6|A0A8N7UZN6_DANRE Angiopoietin-like 3 OS=Danio rerio OX=7955 GN=fb60e11 PE=4 SV=1
OG0000000	Homo_sapiens_sp_Q14314_FGL2_HUMAN sp|Q14314|FGL2_HUMAN Fibroleukin OS=Homo sapiens OX=9606 GN=FGL2 PE=1 SV=1	Danio_rerio_tr_K7DY96_K7DY96_DANRE tr|K7DY96|K7DY96_DANRE Fibrinogen-like 2b OS=Danio rerio OX=7955 GN=fgl2b PE=4 SV=1, Danio_rerio_tr_Q5TYU3_Q5TYU3_DANRE tr|Q5TYU3|Q5TYU3_DANRE Fibrinogen-like 2 OS=Danio rerio OX=7955 GN=fgl2 PE=1 SV=1
OG0000001	Homo_sapiens_sp_Q9HB63_NET4_HUMAN sp|Q9HB63|NET4_HUMAN Netrin-4 OS=Homo sapiens OX=9606 GN=NTN4 PE=1 SV=2	Danio_rerio_tr_A0A0R4IFE9_A0A0R4IFE9_DANRE tr|A0A0R4IFE9|A0A0R4IFE9_DANRE Netrin 4 OS=Danio rerio OX=7955 GN=ntn4 PE=4 SV=1, Danio_rerio_tr_Q32SK8_Q32SK8_DANRE tr|Q32SK8|Q32SK8_DANRE Netrin 4 OS=Danio rerio OX=7955 GN=ntn4 PE=2 SV=1
OG0000001	Homo_sapiens_sp_A4D0S4_LAMB4_HUMAN sp|A4D0S4|LAMB4_HUMAN Laminin subunit beta-4 OS=Homo sapiens OX=9606 GN=LAMB4 PE=2 SV=1	Danio_rerio_sp_Q8JHV6_LAMB4_DANRE sp|Q8JHV6|LAMB4_DANRE Laminin subunit beta-4 OS=Danio rerio OX=7955 GN=lamb4 PE=2 SV=1
OG0000001	Homo_sapiens_sp_P55268_LAMB2_HUMAN sp|P55268|LAMB2_HUMAN Laminin subunit beta-2 OS=Homo sapiens OX=9606 GN=LAMB2 PE=1 SV=2	Danio_rerio_tr_B7ZDA6_B7ZDA6_DANRE tr|B7ZDA6|B7ZDA6_DANRE Laminin subunit beta-2 precursor OS=Danio rerio OX=7955 GN=si_dkey-32e6.2 PE=1 SV=1
OG0000001	Homo_sapiens_sp_P07942_LAMB1_HUMAN sp|P07942|LAMB1_HUMAN Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=2	Danio_rerio_tr_F1REL9_F1REL9_DANRE tr|F1REL9|F1REL9_DANRE Laminin_ beta 1b OS=Danio rerio OX=7955 GN=si_dkey-183c16.5 PE=4 SV=1, Danio_rerio_tr_Q8JHV7_Q8JHV7_DANRE tr|Q8JHV7|Q8JHV7_DANRE Laminin beta 1 OS=Danio rerio OX=7955 GN=lamb1 PE=1 SV=1
OG0000001	Homo_sapiens_sp_P02751_FINC_HUMAN sp|P02751|FINC_HUMAN Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5	Danio_rerio_tr_Q6JAN2_Q6JAN2_DANRE tr|Q6JAN2|Q6JAN2_DANRE Fibronectin OS=Danio rerio OX=7955 GN=wu_fb03c02 PE=1 SV=1, Danio_rerio_tr_A2CEW3_A2CEW3_DANRE tr|A2CEW3|A2CEW3_DANRE Fibronectin OS=Danio rerio OX=7955 GN=cb1057 PE=1 SV=2, Danio_rerio_tr_B0S602_B0S602_DANRE tr|B0S602|B0S602_DANRE Fibronectin OS=Danio rerio OX=7955 GN=Fn PE=1 SV=1
OG0000001	Homo_sapiens_sp_Q96CW9_NTNG2_HUMAN sp|Q96CW9|NTNG2_HUMAN Netrin-G2 OS=Homo sapiens OX=9606 GN=NTNG2 PE=1 SV=2, Homo_sapiens_sp_Q9Y2I2_NTNG1_HUMAN sp|Q9Y2I2|NTNG1_HUMAN Netrin-G1 OS=Homo sapiens OX=9606 GN=NTNG1 PE=1 SV=3	Danio_rerio_tr_I3IT80_I3IT80_DANRE tr|I3IT80|I3IT80_DANRE Netrin g2b OS=Danio rerio OX=7955 GN=ntng2b PE=4 SV=1
OG0000001	Homo_sapiens_sp_Q9Y6N6_LAMC3_HUMAN sp|Q9Y6N6|LAMC3_HUMAN Laminin subunit gamma-3 OS=Homo sapiens OX=9606 GN=LAMC3 PE=1 SV=3	Danio_rerio_tr_F1QPJ1_F1QPJ1_DANRE tr|F1QPJ1|F1QPJ1_DANRE Laminin subunit gamma-3 OS=Danio rerio OX=7955 GN=lamc3 PE=4 SV=1
