Orthogroup	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000001	Salpingoeca_rosetta_XP_004991651.1 XP_004991651.1 uncharacterized protein PTSG_07846 [Salpingoeca rosetta]	Nematostella_vectensis_NV2t019078001.1 NV2t019078001.1, Nematostella_vectensis_NV2t000601001.1 NV2t000601001.1
OG0000001	Salpingoeca_rosetta_XP_004988333.1 XP_004988333.1 proprotein convertase subtilisin_kexin type 5 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004988175.1 XP_004988175.1 uncharacterized protein PTSG_13079 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004993910.1 XP_004993910.1 uncharacterized protein PTSG_12296 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004988782.1 XP_004988782.1 uncharacterized protein PTSG_13098_ partial [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004989183.1 XP_004989183.1 uncharacterized protein PTSG_09826 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004991958.1 XP_004991958.1 uncharacterized protein PTSG_06573 [Salpingoeca rosetta]	Nematostella_vectensis_NV2t012582003.1 NV2t012582003.1, Nematostella_vectensis_NV2t012653001.1 NV2t012653001.1, Nematostella_vectensis_NV2t012583001.1 NV2t012583001.1, Nematostella_vectensis_NV2t023796001.1 NV2t023796001.1, Nematostella_vectensis_NV2t017702001.1 NV2t017702001.1, Nematostella_vectensis_NV2t022951001.1 NV2t022951001.1, Nematostella_vectensis_NV2t011373001.1 NV2t011373001.1, Nematostella_vectensis_NV2t011373002.1 NV2t011373002.1, Nematostella_vectensis_NV2t020188002.1 NV2t020188002.1, Nematostella_vectensis_NV2t020188001.1 NV2t020188001.1, Nematostella_vectensis_NV2t020819001.1 NV2t020819001.1, Nematostella_vectensis_NV2t019077001.1 NV2t019077001.1, Nematostella_vectensis_NV2t011946001.1 NV2t011946001.1, Nematostella_vectensis_NV2t011946002.1 NV2t011946002.1, Nematostella_vectensis_NV2t011946003.1 NV2t011946003.1, Nematostella_vectensis_NV2t011797001.1 NV2t011797001.1, Nematostella_vectensis_NV2t012753001.1 NV2t012753001.1, Nematostella_vectensis_NV2t012755001.1 NV2t012755001.1, Nematostella_vectensis_NV2t022551001.1 NV2t022551001.1, Nematostella_vectensis_NV2t016932001.1 NV2t016932001.1, Nematostella_vectensis_NV2t022950001.1 NV2t022950001.1, Nematostella_vectensis_NV2t016931001.1 NV2t016931001.1, Nematostella_vectensis_NV2t001803001.1 NV2t001803001.1, Nematostella_vectensis_NV2t001804001.1 NV2t001804001.1, Nematostella_vectensis_NV2t000600001.1 NV2t000600001.1, Nematostella_vectensis_NV2t006892003.1 NV2t006892003.1, Nematostella_vectensis_NV2t006892004.1 NV2t006892004.1, Nematostella_vectensis_NV2t006892002.1 NV2t006892002.1, Nematostella_vectensis_NV2t006892001.1 NV2t006892001.1, Nematostella_vectensis_NV2t022749001.1 NV2t022749001.1
OG0000001	Salpingoeca_rosetta_XP_004994797.1 XP_004994797.1 uncharacterized protein PTSG_12094 [Salpingoeca rosetta]	Nematostella_vectensis_NV2t011962001.1 NV2t011962001.1
OG0000001	Salpingoeca_rosetta_XP_004992170.1 XP_004992170.1 uncharacterized protein PTSG_06772 [Salpingoeca rosetta]	Nematostella_vectensis_NV2t001802001.1 NV2t001802001.1
OG0000001	Salpingoeca_rosetta_XP_004990163.1 XP_004990163.1 uncharacterized protein PTSG_12793 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004996713.1 XP_004996713.1 laminin alpha 5 chain [Salpingoeca rosetta]	Nematostella_vectensis_NV2t020013001.1 NV2t020013001.1, Nematostella_vectensis_NV2t020013002.1 NV2t020013002.1, Nematostella_vectensis_NV2t020014001.1 NV2t020014001.1
OG0000001	Salpingoeca_rosetta_XP_004993731.1 XP_004993731.1 laminin alpha 5 chain [Salpingoeca rosetta]	Nematostella_vectensis_NV2t025734001.1 NV2t025734001.1, Nematostella_vectensis_NV2t025732001.1 NV2t025732001.1, Nematostella_vectensis_NV2t007734002.1 NV2t007734002.1, Nematostella_vectensis_NV2t007734004.1 NV2t007734004.1, Nematostella_vectensis_NV2t007734001.1 NV2t007734001.1, Nematostella_vectensis_NV2t007734003.1 NV2t007734003.1, Nematostella_vectensis_NV2t025737001.1 NV2t025737001.1, Nematostella_vectensis_NV2t024496001.1 NV2t024496001.1, Nematostella_vectensis_NV2t024496003.1 NV2t024496003.1, Nematostella_vectensis_NV2t024496004.1 NV2t024496004.1, Nematostella_vectensis_NV2t024158001.1 NV2t024158001.1, Nematostella_vectensis_NV2t022843001.1 NV2t022843001.1, Nematostella_vectensis_NV2t022840001.1 NV2t022840001.1
OG0000002	Salpingoeca_rosetta_XP_004998178.1 XP_004998178.1 uncharacterized protein PTSG_00710 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004992682.1 XP_004992682.1 uncharacterized protein PTSG_07263 [Salpingoeca rosetta]	Nematostella_vectensis_NV2t017239001.1 NV2t017239001.1
OG0000003	Salpingoeca_rosetta_XP_004988103.1 XP_004988103.1 uncharacterized protein PTSG_10568 [Salpingoeca rosetta]	Nematostella_vectensis_NV2t005851001.1 NV2t005851001.1, Nematostella_vectensis_NV2t014809001.1 NV2t014809001.1, Nematostella_vectensis_NV2t014808004.1 NV2t014808004.1, Nematostella_vectensis_NV2t014772001.1 NV2t014772001.1, Nematostella_vectensis_NV2t014808002.1 NV2t014808002.1
OG0000003	Salpingoeca_rosetta_XP_004991792.1 XP_004991792.1 uncharacterized protein PTSG_12667 [Salpingoeca rosetta]	Nematostella_vectensis_NV2t008278001.1 NV2t008278001.1, Nematostella_vectensis_NV2t008276001.1 NV2t008276001.1, Nematostella_vectensis_NV2t008399001.1 NV2t008399001.1
