Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000000	Stylophora_pistillata_Spis17174 Spis17174 SpisGene17174	Clytia_hemispherica_TCONS_00002198-protein TCONS_00002198-protein
OG0000000	Stylophora_pistillata_Spis12602 Spis12602 SpisGene12602, Stylophora_pistillata_Spis16434 Spis16434 SpisGene16434	Clytia_hemispherica_TCONS_00037021-protein TCONS_00037021-protein, Clytia_hemispherica_TCONS_00032471-protein TCONS_00032471-protein
OG0000000	Stylophora_pistillata_Spis9824 Spis9824 SpisGene9824, Stylophora_pistillata_Spis9823 Spis9823 SpisGene9823	Clytia_hemispherica_TCONS_00047229-protein TCONS_00047229-protein, Clytia_hemispherica_TCONS_00035351-protein TCONS_00035351-protein, Clytia_hemispherica_TCONS_00072749-protein TCONS_00072749-protein, Clytia_hemispherica_TCONS_00060419-protein TCONS_00060419-protein, Clytia_hemispherica_TCONS_00027220-protein TCONS_00027220-protein, Clytia_hemispherica_TCONS_00019639-protein TCONS_00019639-protein, Clytia_hemispherica_TCONS_00041903-protein TCONS_00041903-protein, Clytia_hemispherica_TCONS_00055631-protein TCONS_00055631-protein, Clytia_hemispherica_TCONS_00017249-protein TCONS_00017249-protein, Clytia_hemispherica_TCONS_00071837-protein TCONS_00071837-protein, Clytia_hemispherica_TCONS_00011360-protein TCONS_00011360-protein, Clytia_hemispherica_TCONS_00060455-protein TCONS_00060455-protein, Clytia_hemispherica_TCONS_00032431-protein TCONS_00032431-protein, Clytia_hemispherica_TCONS_00062122-protein TCONS_00062122-protein, Clytia_hemispherica_TCONS_00006663-protein TCONS_00006663-protein, Clytia_hemispherica_TCONS_00015470-protein TCONS_00015470-protein, Clytia_hemispherica_TCONS_00021098-protein TCONS_00021098-protein, Clytia_hemispherica_TCONS_00022251-protein TCONS_00022251-protein, Clytia_hemispherica_TCONS_00031046-protein TCONS_00031046-protein, Clytia_hemispherica_TCONS_00056773-protein TCONS_00056773-protein, Clytia_hemispherica_TCONS_00049966-protein TCONS_00049966-protein
OG0000001	Stylophora_pistillata_Spis17368 Spis17368 SpisGene17368	Clytia_hemispherica_TCONS_00049799-protein TCONS_00049799-protein
OG0000001	Stylophora_pistillata_Spis24167 Spis24167 SpisGene24167, Stylophora_pistillata_Spis23377 Spis23377 SpisGene23377, Stylophora_pistillata_Spis19003 Spis19003 SpisGene19003	Clytia_hemispherica_TCONS_00002943-protein TCONS_00002943-protein, Clytia_hemispherica_TCONS_00011288-protein TCONS_00011288-protein, Clytia_hemispherica_TCONS_00068399-protein TCONS_00068399-protein
OG0000001	Stylophora_pistillata_Spis14116 Spis14116 SpisGene14116	Clytia_hemispherica_TCONS_00065163-protein TCONS_00065163-protein
OG0000001	Stylophora_pistillata_Spis16034 Spis16034 SpisGene16034	Clytia_hemispherica_TCONS_00067647-protein TCONS_00067647-protein
OG0000001	Stylophora_pistillata_Spis18234 Spis18234 SpisGene18234	Clytia_hemispherica_TCONS_00018494-protein TCONS_00018494-protein, Clytia_hemispherica_TCONS_00018496-protein TCONS_00018496-protein
OG0000001	Stylophora_pistillata_Spis15904 Spis15904 SpisGene15904	Clytia_hemispherica_TCONS_00062616-protein TCONS_00062616-protein
OG0000001	Stylophora_pistillata_Spis1143 Spis1143 SpisGene1143	Clytia_hemispherica_TCONS_00020139-protein TCONS_00020139-protein, Clytia_hemispherica_TCONS_00072631-protein TCONS_00072631-protein
OG0000001	Stylophora_pistillata_Spis21757 Spis21757 SpisGene21757, Stylophora_pistillata_Spis15993 Spis15993 SpisGene15993, Stylophora_pistillata_Spis18847 Spis18847 SpisGene18847, Stylophora_pistillata_Spis18871 Spis18871 SpisGene18871, Stylophora_pistillata_Spis25137 Spis25137 SpisGene25137	Clytia_hemispherica_TCONS_00027713-protein TCONS_00027713-protein
OG0000001	Stylophora_pistillata_Spis18087 Spis18087 SpisGene18087	Clytia_hemispherica_TCONS_00033925-protein TCONS_00033925-protein
OG0000001	Stylophora_pistillata_Spis17176 Spis17176 SpisGene17176, Stylophora_pistillata_Spis16684 Spis16684 SpisGene16684, Stylophora_pistillata_Spis16687 Spis16687 SpisGene16687, Stylophora_pistillata_Spis23488 Spis23488 SpisGene23488, Stylophora_pistillata_Spis16688 Spis16688 SpisGene16688	Clytia_hemispherica_TCONS_00067910-protein TCONS_00067910-protein, Clytia_hemispherica_TCONS_00055217-protein TCONS_00055217-protein
OG0000001	Stylophora_pistillata_Spis2957 Spis2957 SpisGene2957	Clytia_hemispherica_TCONS_00020975-protein TCONS_00020975-protein
OG0000001	Stylophora_pistillata_Spis12987 Spis12987 SpisGene12987	Clytia_hemispherica_TCONS_00026153-protein TCONS_00026153-protein, Clytia_hemispherica_TCONS_00003461-protein TCONS_00003461-protein, Clytia_hemispherica_TCONS_00071725-protein TCONS_00071725-protein
OG0000001	Stylophora_pistillata_Spis23102 Spis23102 SpisGene23102	Clytia_hemispherica_TCONS_00020951-protein TCONS_00020951-protein
OG0000001	Stylophora_pistillata_Spis313 Spis313 SpisGene313	Clytia_hemispherica_TCONS_00064021-protein TCONS_00064021-protein
OG0000001	Stylophora_pistillata_Spis312 Spis312 SpisGene312	Clytia_hemispherica_TCONS_00011362-protein TCONS_00011362-protein
OG0000001	Stylophora_pistillata_Spis315 Spis315 SpisGene315	Clytia_hemispherica_TCONS_00067350-protein TCONS_00067350-protein
OG0000001	Stylophora_pistillata_Spis22126 Spis22126 SpisGene22126	Clytia_hemispherica_TCONS_00004794-protein TCONS_00004794-protein
OG0000001	Stylophora_pistillata_Spis598 Spis598 SpisGene598	Clytia_hemispherica_TCONS_00056933-protein TCONS_00056933-protein
OG0000002	Stylophora_pistillata_Spis16237 Spis16237 SpisGene16237	Clytia_hemispherica_TCONS_00027170-protein TCONS_00027170-protein
OG0000002	Stylophora_pistillata_Spis3382 Spis3382 SpisGene3382	Clytia_hemispherica_TCONS_00019320-protein TCONS_00019320-protein, Clytia_hemispherica_TCONS_00011479-protein TCONS_00011479-protein
OG0000002	Stylophora_pistillata_Spis10996 Spis10996 SpisGene10996, Stylophora_pistillata_Spis19048 Spis19048 SpisGene19048	Clytia_hemispherica_TCONS_00057330-protein TCONS_00057330-protein, Clytia_hemispherica_TCONS_00016953-protein TCONS_00016953-protein
OG0000002	Stylophora_pistillata_Spis10820 Spis10820 SpisGene10820	Clytia_hemispherica_TCONS_00061931-protein TCONS_00061931-protein
OG0000002	Stylophora_pistillata_Spis372 Spis372 SpisGene372	Clytia_hemispherica_TCONS_00003803-protein TCONS_00003803-protein
OG0000002	Stylophora_pistillata_Spis10500 Spis10500 SpisGene10500	Clytia_hemispherica_TCONS_00011304-protein TCONS_00011304-protein
OG0000002	Stylophora_pistillata_Spis3169 Spis3169 SpisGene3169	Clytia_hemispherica_TCONS_00032821-protein TCONS_00032821-protein, Clytia_hemispherica_TCONS_00054066-protein TCONS_00054066-protein
OG0000002	Stylophora_pistillata_Spis25564 Spis25564 SpisGene25564	Clytia_hemispherica_TCONS_00071884-protein TCONS_00071884-protein
OG0000002	Stylophora_pistillata_Spis3194 Spis3194 SpisGene3194, Stylophora_pistillata_Spis6482 Spis6482 SpisGene6482	Clytia_hemispherica_TCONS_00044266-protein TCONS_00044266-protein
OG0000002	Stylophora_pistillata_Spis14421 Spis14421 SpisGene14421	Clytia_hemispherica_TCONS_00010066-protein TCONS_00010066-protein, Clytia_hemispherica_TCONS_00010069-protein TCONS_00010069-protein
OG0000002	Stylophora_pistillata_Spis13469 Spis13469 SpisGene13469, Stylophora_pistillata_Spis549 Spis549 SpisGene549, Stylophora_pistillata_Spis24848 Spis24848 SpisGene24848, Stylophora_pistillata_Spis7560 Spis7560 SpisGene7560, Stylophora_pistillata_Spis7559 Spis7559 SpisGene7559, Stylophora_pistillata_Spis3252 Spis3252 SpisGene3252	Clytia_hemispherica_TCONS_00022744-protein TCONS_00022744-protein
OG0000003	Stylophora_pistillata_Spis11319 Spis11319 SpisGene11319	Clytia_hemispherica_TCONS_00059665-protein TCONS_00059665-protein
OG0000003	Stylophora_pistillata_Spis23171 Spis23171 SpisGene23171	Clytia_hemispherica_TCONS_00052747-protein TCONS_00052747-protein, Clytia_hemispherica_TCONS_00021064-protein TCONS_00021064-protein
OG0000003	Stylophora_pistillata_Spis4789 Spis4789 SpisGene4789	Clytia_hemispherica_TCONS_00003294-protein TCONS_00003294-protein
OG0000003	Stylophora_pistillata_Spis5031 Spis5031 SpisGene5031	Clytia_hemispherica_TCONS_00064671-protein TCONS_00064671-protein
OG0000003	Stylophora_pistillata_Spis15966 Spis15966 SpisGene15966	Clytia_hemispherica_TCONS_00048264-protein TCONS_00048264-protein
OG0000003	Stylophora_pistillata_Spis6956 Spis6956 SpisGene6956	Clytia_hemispherica_TCONS_00038274-protein TCONS_00038274-protein, Clytia_hemispherica_TCONS_00025012-protein TCONS_00025012-protein, Clytia_hemispherica_TCONS_00056350-protein TCONS_00056350-protein, Clytia_hemispherica_TCONS_00063658-protein TCONS_00063658-protein, Clytia_hemispherica_TCONS_00056360-protein TCONS_00056360-protein, Clytia_hemispherica_TCONS_00012031-protein TCONS_00012031-protein, Clytia_hemispherica_TCONS_00000809-protein TCONS_00000809-protein, Clytia_hemispherica_TCONS_00065193-protein TCONS_00065193-protein, Clytia_hemispherica_TCONS_00065170-protein TCONS_00065170-protein, Clytia_hemispherica_TCONS_00065169-protein TCONS_00065169-protein, Clytia_hemispherica_TCONS_00026958-protein TCONS_00026958-protein
OG0000003	Stylophora_pistillata_Spis10999 Spis10999 SpisGene10999	Clytia_hemispherica_TCONS_00026645-protein TCONS_00026645-protein
OG0000003	Stylophora_pistillata_Spis17921 Spis17921 SpisGene17921, Stylophora_pistillata_Spis17923 Spis17923 SpisGene17923, Stylophora_pistillata_Spis17924 Spis17924 SpisGene17924, Stylophora_pistillata_Spis15291 Spis15291 SpisGene15291, Stylophora_pistillata_Spis7813 Spis7813 SpisGene7813, Stylophora_pistillata_Spis5543 Spis5543 SpisGene5543	Clytia_hemispherica_TCONS_00050531-protein TCONS_00050531-protein
OG0000003	Stylophora_pistillata_Spis14636 Spis14636 SpisGene14636	Clytia_hemispherica_TCONS_00001968-protein TCONS_00001968-protein
OG0000003	Stylophora_pistillata_Spis3605 Spis3605 SpisGene3605, Stylophora_pistillata_Spis3607 Spis3607 SpisGene3607	Clytia_hemispherica_TCONS_00047185-protein TCONS_00047185-protein
OG0000003	Stylophora_pistillata_Spis7146.t1 Spis7146.t1 SpisGene7146	Clytia_hemispherica_TCONS_00020411-protein TCONS_00020411-protein
OG0000003	Stylophora_pistillata_Spis6710 Spis6710 SpisGene6710	Clytia_hemispherica_TCONS_00019274-protein TCONS_00019274-protein, Clytia_hemispherica_TCONS_00024141-protein TCONS_00024141-protein, Clytia_hemispherica_TCONS_00027918-protein TCONS_00027918-protein, Clytia_hemispherica_TCONS_00015294-protein TCONS_00015294-protein, Clytia_hemispherica_TCONS_00015272-protein TCONS_00015272-protein, Clytia_hemispherica_TCONS_00058579-protein TCONS_00058579-protein, Clytia_hemispherica_TCONS_00060002-protein TCONS_00060002-protein
OG0000003	Stylophora_pistillata_Spis21314 Spis21314 SpisGene21314	Clytia_hemispherica_TCONS_00036482-protein TCONS_00036482-protein, Clytia_hemispherica_TCONS_00036492-protein TCONS_00036492-protein
OG0000003	Stylophora_pistillata_Spis24974 Spis24974 SpisGene24974, Stylophora_pistillata_Spis5993 Spis5993 SpisGene5993	Clytia_hemispherica_TCONS_00060536-protein TCONS_00060536-protein
OG0000004	Stylophora_pistillata_Spis5092 Spis5092 SpisGene5092	Clytia_hemispherica_TCONS_00048850-protein TCONS_00048850-protein
OG0000004	Stylophora_pistillata_Spis19275 Spis19275 SpisGene19275, Stylophora_pistillata_Spis5178.t1 Spis5178.t1 SpisGene5178	Clytia_hemispherica_TCONS_00049030-protein TCONS_00049030-protein
OG0000004	Stylophora_pistillata_Spis4237 Spis4237 SpisGene4237	Clytia_hemispherica_TCONS_00000463-protein TCONS_00000463-protein
OG0000004	Stylophora_pistillata_Spis5789.t1 Spis5789.t1 SpisGene5789	Clytia_hemispherica_TCONS_00025069-protein TCONS_00025069-protein
OG0000004	Stylophora_pistillata_Spis22146.t1 Spis22146.t1 SpisGene22146, Stylophora_pistillata_Spis1349 Spis1349 SpisGene1349	Clytia_hemispherica_TCONS_00008136-protein TCONS_00008136-protein, Clytia_hemispherica_TCONS_00059597-protein TCONS_00059597-protein
OG0000004	Stylophora_pistillata_Spis9793 Spis9793 SpisGene9793, Stylophora_pistillata_Spis1413 Spis1413 SpisGene1413	Clytia_hemispherica_TCONS_00067439-protein TCONS_00067439-protein, Clytia_hemispherica_TCONS_00048295-protein TCONS_00048295-protein
OG0000004	Stylophora_pistillata_Spis8899 Spis8899 SpisGene8899, Stylophora_pistillata_Spis30 Spis30 SpisGene30	Clytia_hemispherica_TCONS_00029812-protein TCONS_00029812-protein
OG0000004	Stylophora_pistillata_Spis11895 Spis11895 SpisGene11895	Clytia_hemispherica_TCONS_00053426-protein TCONS_00053426-protein
OG0000004	Stylophora_pistillata_Spis8457 Spis8457 SpisGene8457	Clytia_hemispherica_TCONS_00067398-protein TCONS_00067398-protein
OG0000004	Stylophora_pistillata_Spis1357 Spis1357 SpisGene1357	Clytia_hemispherica_TCONS_00068125-protein TCONS_00068125-protein, Clytia_hemispherica_TCONS_00059198-protein TCONS_00059198-protein
